# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.93
metadata : {}


# id : NWRW1800000025.93.1.1
뚝심의 두산 ‘나홀로 6승’

뚝심의	뚝심/NNG+의/JKG
뒤	뒤/NNG
김선우의	김선우/NNP+의/JKG
폭투와	폭투/NNG+와/JC
추승우의	추승우/NNP+의/JKG
2루타로	2루타/NNG+로/JKB
홈을	홈/NNG+을/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.93.4.3
그러나 한화는 이어진 2사 2루의 기회에서 이대수의 가운데 안타 때 추승우가 홈에서 아웃되면서 추가 득점에 실패한 게 아쉬웠다.

그러나	그러나/MAJ
한화는	한화/NNP+는/JX
이어진	이어지/VV+ㄴ/ETM
2사	2/SN+사/NNG
2루의	2루/NNG+의/JKG
기회에서	기회/NNG+에서/JKB
이대수의	이대수/NNP+의/JKG
가운데	가운데/NNG
안타	안타/NNG
때	때/NNG
추승우가	추승우/NNP+가/JKS
홈에서	홈/NNG+에서/JKB
아웃되면서	아웃/NNG+되/XSV+면서/EC
추가	추가/NNG
득점에	득점/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
아쉬웠다.	아쉽/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.93.5.1
4회 무사 만루의 기회에서 후속타 불발로 득점에 실패한 두산은 5회 손시헌의 안타와 이종욱의 볼넷으로 만든 1사 1, 2루에서 이성열이 왼쪽 담장을 맞히는 2루타를 터뜨려 주자를 모두 불러들이며 역전에 성공했다.

4회	4/SN+회/NNB
무사	무사/NNG
만루의	만루/NNG+의/JKG
기회에서	기회/NNG+에서/JKB
후속타	후속타/NNG
불발로	불발/NNG+로/JKB
득점에	득점/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
두산은	두산/NNP+은/JX
5회	5/SN+회/NNB
손시헌의	손시헌/NNP+의/JKG
안타와	안타/NNG+와/JC
이종욱의	이종욱/NNP+의/JKG
볼넷으로	볼넷/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
1사	1/SN+사/NNG
1,	1/SN+,/SP
2루에서	2루/NNG+에서/JKB
이성열이	이성열/NNP+이/JKS
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
맞히는	맞히/VV+는/ETM
2루타를	2루타/NNG+를/JKO
터뜨려	터뜨리/VV+어/EC
주자를	주자/NNG+를/JKO
모두	모두/MAG
불러들이며	불러들이/VV+며/EC
역전에	역전/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.93.5.2
한화는 7회 정원석의 안타로 1점을 보태 승부를 원점으로 돌렸지만 두산은 2-2로 맞선 8회 2사 만루에서 양의지의 타구를 한화 유격수 이대수가 놓치면서 결승점을 얻었다.

한화는	한화/NNP+는/JX
7회	7/SN+회/NNB
정원석의	정원석/NNP+의/JKG
안타로	안타/NNG+로/JKB
1점을	1/SN+점/NNB+을/JKO
보태	보태/VV+어/EC
승부를	승부/NNG+를/JKO
원점으로	원점/NNG+으로/JKB
돌렸지만	돌리/VV+었/EP+지만/EC
두산은	두산/NNP+은/JX
2-2로	2/SN+-/SO+2/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
8회	8/SN+회/NNB
2사	2/SN+사/NNG
만루에서	만루/NNG+에서/JKB
양의지의	양의지/NNP+의/JKG
타구를	타구/NNG+를/JKO
한화	한화/NNP
유격수	유격수/NNG
이대수가	이대수/NNP+가/JKS
놓치면서	놓치/VV+면서/EC
결승점을	결승점/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.5.3
5회 동점타를 때린 이성열은 8회 선두타자로 나서 가운데 안타를 때린 뒤 홈까지 밟아 결승 득점의 주인공이 됐다.

5회	5/SN+회/NNB
동점타를	동점타/NNG+를/JKO
때린	때리/VV+ㄴ/ETM
이성열은	이성열/NNP+은/JX
8회	8/SN+회/NNB
선두타자로	선두/NNG+타자/NNG+로/JKB
나서	나서/VV+어/EC
가운데	가운데/NNG
안타를	안타/NNG+를/JKO
뒤	뒤/NNG
홈까지	홈/NNG+까지/JX
밟아	밟/VV+아/EC
결승	결승/NNG
득점의	득점/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.5.4
이성열은 “팀이 연승을 이어가 기분 좋다.

이성열은	이성열/NNP+은/JX
“팀이	“/SS+팀/NNG+이/JKS
연승을	연승/NNG+을/JKO
이어가	잇/VV+어/EC+가/VX+아/EC
기분	기분/NNG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000025.93.5.5
아프지 않고 꾸준히 전 경기에 나가는 것이 목표”라고 말했다.

아프지	아프/VA+지/EC
않고	않/VX+고/EC
꾸준히	꾸준히/MAG
전	전/MMN
경기에	경기/NNG+에/JKB
나가는	나가/VV+는/ETM
것이	것/NNB+이/JKS
목표”라고	목표/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.93.6.1
초반부터 하위권으로 추락한 ‘엘롯 동맹’ 롯데와 LG의 대결에서는 홈팀 롯데가 7-5로 이기고 5연패 뒤 2연승을 달렸다.

초반부터	초반/NNG+부터/JX
하위권으로	하위/NNG+권/XSN+으로/JKB
추락한	추락/NNG+하/XSV+ㄴ/ETM
‘엘롯	‘/SS+엘/NNP+롯/NNP
동맹’	동맹/NNG+’/SS
롯데와	롯데/NNP+와/JC
LG의	LG/SL+의/JKG
대결에서는	대결/NNG+에서/JKB+는/JX
홈팀	홈팀/NNG
롯데가	롯데/NNP+가/JKS
7-5로	7/SN+-/SO+5/SN+로/JKB
이기고	이기/VV+고/EC
5연패	5/SN+연패/NNG
뒤	뒤/NNG
2연승을	2/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.6.2
어수선한 팀 분위기 속에서 부산 원정에 나선 LG는 박용택이 3점 홈런을 포함해 혼자 4타점을 올리며 분전했지만 5패(2승)째를 당하며 롯데, 한화와 공동 6위가 됐다.

어수선한	어수선하/VA+ㄴ/ETM
팀	팀/NNG
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
부산	부산/NNP
원정에	원정/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
LG는	LG/SL+는/JX
박용택이	박용택/NNP+이/JKS
3점	3/SN+점/NNB
홈런을	홈런/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
혼자	혼자/MAG
4타점을	4/SN+타점/NNG+을/JKO
올리며	올리/VV+며/EC
분전했지만	분전/NNG+하/XSV+았/EP+지만/EC
5패(2승)째를	5/SN+패/NNB+(/SS+2/SN+승/NNB+)/SS+째/XSN+를/JKO
당하며	당하/VV+며/EC
롯데,	롯데/NNP+,/SP
한화와	한화/NNP+와/JKB
공동	공동/NNG
6위가	6/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.6.3
두 팀은 5회말 롯데 공격 때 3루 주자 카림 가르시아가 박종윤의 1루 땅볼을 틈타 홈으로 뛰어들다 LG 포수 김태군을 밀치는 바람에 올 시즌 처음으로 벤치 클리어링 사태를 겪었다.

두	두/MMN
팀은	팀/NNG+은/JX
5회말	5/SN+회/NNB+말/NNB
롯데	롯데/NNP
공격	공격/NNG
때	때/NNG
3루	3루/NNG
주자	주자/NNG
카림	카림/NNP
가르시아가	가르시아/NNP+가/JKS
박종윤의	박종윤/NNP+의/JKG
1루	1루/NNG
땅볼을	땅볼/NNG+을/JKO
틈타	틈타/VV+아/EC
홈으로	홈/NNG+으로/JKB
뛰어들다	뛰어들/VV+다/EC
LG	LG/SL
포수	포수/NNG
김태군을	김태군/NNP+을/JKO
밀치는	밀치/VV+는/ETM
바람에	바람/NNB+에/JKB
올	올/NNG
시즌	시즌/NNG
처음으로	처음/NNG+으로/JKB
벤치	벤치/NNG
클리어링	클리어링/NNG
사태를	사태/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.6.4
6분 동안 이어진 벤치 클리어링은 두 팀 감독이 나서면서 마무리됐다.

6분	6/SN+분/NNB
동안	동안/NNG
이어진	이어지/VV+ㄴ/ETM
벤치	벤치/NNG
클리어링은	클리어링/NNG+은/JX
두	두/MMN
팀	팀/NNG
감독이	감독/NNG+이/JKS
나서면서	나서/VV+면서/EC
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.7.1
삼성은 선발 크루세타가 5와 3분의 2이닝을 7안타 3실점(2자책)으로 막고 권오준-권혁-정현욱으로 이어지는 막강 불펜진을 투입해 넥센을 7-3으로 누르고 단독 2위(5승 3패)가 됐다.

삼성은	삼성/NNP+은/JX
선발	선발/NNG
크루세타가	크루세타/NNP+가/JKS
5와	5/SN+와/JC
3분의	3/SN+분/XSN+의/JKG
2이닝을	2/SN+이닝/NNG+을/JKO
7안타	7/SN+안타/NNG
3실점(2자책)으로	3/SN+실점/NNG+(/SS+2/SN+자책/NNG+)/SS+으로/JKB
막고	막/VV+고/EC
권오준-권혁-정현욱으로	권오준/NNP+-/SO+권혁/NNP+-/SO+정현욱/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
막강	막강/NNG
불펜진을	불펜진/NNG+을/JKO
투입해	투입/NNG+하/XSV+아/EC
넥센을	넥센/NNP+을/JKO
7-3으로	7/SN+-/SO+3/SN+으로/JKB
누르고	누르/VV+고/EC
단독	단독/NNG
2위(5승	2/SN+위/NNB+(/SS+5/SN+승/NNB
3패)가	3/SN+패/NNB+)/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.7.2
디펜딩 챔피언 KIA는 지난해 한국시리즈에서 만났던 SK를 3-1로 눌렀다.

디펜딩	디펜딩/NNG
챔피언	챔피언/NNG
KIA는	KIA/SL+는/JX
지난해	지난해/NNG
한국시리즈에서	한국/NNP+시리즈/NNG+에서/JKB
만났던	만나/VV+았/EP+던/ETM
SK를	SK/SL+를/JKO
3-1로	3/SN+-/SO+1/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.7.3
KIA 선발 양현종은 6과 3분의 2이닝을 5안타 1실점으로 막고 시즌 첫 승을 거뒀다.

KIA	KIA/SL
선발	선발/NNG
양현종은	양현종/NNP+은/JX
6과	6/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
2이닝을	2/SN+이닝/NNG+을/JKO
5안타	5/SN+안타/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
막고	막/VV+고/EC
시즌	시즌/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


