# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.230
metadata : {}


# id : NWRW1800000041.230.1.1
매섭게 달리는 한국 썰매

매섭게	매섭/VA+게/EC
전	전/MMN
종목에	종목/NNG+에/JKB
걸쳐	걸치/VV+어/EC
역대	역대/NNG
최다	최다/NNG
인원이	인원/NNG+이/JKS
올림픽	올림픽/NNG
무대를	무대/NNG+를/JKO
밟을	밟/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.230.5.1
○ 루지 사상 첫 전 경기 출전 쾌거

○	○/SW
루지	루지/NNG
사상	사상/NNG
첫	첫/MMN
전	전/MMN
경기	경기/NNG
출전	출전/NNG
쾌거	쾌거/NNG


# id : NWRW1800000041.230.6.1
한국 루지 대표팀은 소치 올림픽에 사상 처음으로 전 경기에 선수를 내보낸다.

한국	한국/NNP
루지	루지/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
소치	소치/NNP
올림픽에	올림픽/NNG+에/JKB
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
전	전/MMN
경기에	경기/NNG+에/JKB
선수를	선수/NNG+를/JKO
내보낸다.	내보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.230.6.2
대한루지경기연맹은 9일 “국제루지경기연맹(FIL)으로부터 모든 종목에 출전이 가능하다는 통보를 받았다”고 밝혔다.

대한루지경기연맹은	대한루지경기연맹/NNP+은/JX
9일	9/SN+일/NNB
“국제루지경기연맹(FIL)으로부터	“/SS+국제루지경기연맹/NNP+(/SS+FIL/SL+)/SS+으로부터/JKB
모든	모든/MMN
종목에	종목/NNG+에/JKB
출전이	출전/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
통보를	통보/NNG+를/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.6.3
대표팀은 남녀 싱글과 남자 2인승, 팀 계주 등에 모두 출전할 수 있게 됐다.

대표팀은	대표/NNG+팀/NNG+은/JX
남녀	남녀/NNG
싱글과	싱글/NNG+과/JC
남자	남자/NNG
2인승,	2인승/NNG+,/SP
팀	팀/NNG
계주	계주/NNG
등에	등/NNB+에/JKB
모두	모두/MAG
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.6.4
한국은 1998년 나가노 올림픽부터 2010년 밴쿠버 올림픽까지 남자 싱글만 출전해 왔다.

한국은	한국/NNP+은/JX
1998년	1998/SN+년/NNB
나가노	나가노/NNP
올림픽부터	올림픽/NNG+부터/JX
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
올림픽까지	올림픽/NNG+까지/JX
남자	남자/NNG
싱글만	싱글/NNG+만/JX
출전해	출전/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.230.7.1
밴쿠버 올림픽 이후 본격적으로 선수 육성에 나선 대표팀은 국내에 전용 트랙이 없어 아스팔트에서 뒹굴며 3년간 훈련했다.

밴쿠버	밴쿠버/NNP
올림픽	올림픽/NNG
이후	이후/NNG
본격적으로	본격/NNG+적/XSN+으로/JKB
선수	선수/NNG
육성에	육성/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
국내에	국내/NNG+에/JKB
전용	전용/NNG
트랙이	트랙/NNG+이/JKS
없어	없/VA+어/EC
아스팔트에서	아스팔트/NNG+에서/JKB
뒹굴며	뒹굴/VV+며/EC
3년간	3/SN+년/NNB+간/XSN
훈련했다.	훈련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.7.2
경험도 적어 해외에서 10번 트랙을 돌면 절반은 썰매가 전복되거나 트랙 벽에 부딪쳤다.

경험도	경험/NNG+도/JX
적어	적/VA+어/EC
해외에서	해외/NNG+에서/JKB
10번	10/SN+번/NNB
트랙을	트랙/NNG+을/JKO
돌면	돌/VV+면/EC
절반은	절반/NNG+은/JX
썰매가	썰매/NNG+가/JKS
전복되거나	전복/NNG+되/XSV+거나/EC
트랙	트랙/NNG
벽에	벽/NNG+에/JKB
부딪쳤다.	부딪치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.7.3
사고 위험이 높다는 이유로 대회 출전을 거부당하기도 했다.

사고	사고/NNG
위험이	위험/NNG+이/JKS
높다는	높/VA+다는/ETM
이유로	이유/NNG+로/JKB
대회	대회/NNG
출전을	출전/NNG+을/JKO
거부당하기도	거부/NNG+당하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.230.7.4
외국팀들은 한국팀이 넘어지면서 트랙에 쌓인 눈을 쓸어버린다며 ‘청소부’라고 비웃었다.

외국팀들은	외국/NNG+팀/NNG+들/XSN+은/JX
한국팀이	한국/NNP+팀/NNG+이/JKS
넘어지면서	넘어지/VV+면서/EC
트랙에	트랙/NNG+에/JKB
쌓인	쌓이/VV+ㄴ/ETM
눈을	눈/NNG+을/JKO
쓸어버린다며	쓸/VV+어/EC+버리/VX+ㄴ다며/EC
‘청소부’라고	‘/SS+청소부/NNG+’/SS+라고/JKQ
비웃었다.	비웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.8.1
그러나 최근 1년 사이 선수들의 기량이 급격하게 성장했다.

그러나	그러나/MAJ
최근	최근/NNG
1년	1/SN+년/NNB
사이	사이/NNG
선수들의	선수/NNG+들/XSN+의/JKG
기량이	기량/NNG+이/JKS
급격하게	급격하/VA+게/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.8.2
2000년 세계선수권대회 단체전 금메달리스트인 독일의 슈테펜 자르토어 코치를 영입하고, 해외 전지훈련을 통해 3개월간 트랙을 300번이나 도는 강행군을 소화했다.

2000년	2000/SN+년/NNB
세계선수권대회	세계/NNG+선수/NNG+권/XSN+대회/NNG
단체전	단체전/NNG
금메달리스트인	금메달리스트/NNG+이/VCP+ㄴ/ETM
독일의	독일/NNP+의/JKG
슈테펜	슈테펜/NNP
자르토어	자르토어/NNP
코치를	코치/NNG+를/JKO
영입하고,	영입/NNG+하/XSV+고/EC+,/SP
해외	해외/NNG
전지훈련을	전지훈련/NNG+을/JKO
통해	통하/VV+아/EC
3개월간	3/SN+개월/NNB+간/XSN
트랙을	트랙/NNG+을/JKO
300번이나	300/SN+번/NNB+이나/JX
도는	돌/VV+는/ETM
강행군을	강행군/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.8.3
지난해 12월까지 치른 올림픽 출전 자격 대회 결과 남자 1인승의 김동현(23·용인대)이 세계랭킹 41위에 올라 올림픽 자력 진출을 이뤘다.

지난해	지난해/NNG
12월까지	12/SN+월/NNB+까지/JX
치른	치르/VV+ㄴ/ETM
올림픽	올림픽/NNG
출전	출전/NNG
자격	자격/NNG
대회	대회/NNG
결과	결과/NNG
남자	남자/NNG
1인승의	1인승/NNG+의/JKG
김동현(23·용인대)이	김동현/NNP+(/SS+23/SN+·/SP+용인대/NNP+)/SS+이/JKS
세계랭킹	세계/NNG+랭킹/NNG
41위에	41/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
자력	자력/NNG
진출을	진출/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.8.4
또 팀 계주는 월드컵 3차 대회에서 역대 가장 높은 순위인 8위에 올랐다.

또	또/MAG
팀	팀/NNG
계주는	계주/NNG+는/JX
월드컵	월드컵/NNG
3차	3/SN+차/NNB
대회에서	대회/NNG+에서/JKB
역대	역대/NNG
가장	가장/MAG
높은	높/VA+은/ETM
순위인	순위/NNG+이/VCP+ㄴ/ETM
8위에	8/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.9.1
FIL은 한국이 아시아에서 유일하게 전 경기에 선수들을 내보내고 있다는 점을 높이 평가했다.

FIL은	FIL/SL+은/JX
한국이	한국/NNP+이/JKS
아시아에서	아시아/NNP+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
전	전/MMN
경기에	경기/NNG+에/JKB
선수들을	선수/NNG+들/XSN+을/JKO
내보내고	내보내/VV+고/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.9.2
아시아권에서도 팀 계주 출전국이 나올 수 있도록 여자 싱글과 남자 2인승의 와일드카드를 한국에 주기로 했다.

아시아권에서도	아시아/NNP+권/XSN+에서/JKB+도/JX
팀	팀/NNG
계주	계주/NNG
출전국이	출전국/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
여자	여자/NNG
싱글과	싱글/NNG+과/JC
남자	남자/NNG
2인승의	2인승/NNG+의/JKG
와일드카드를	와일드카드/NNG+를/JKO
한국에	한국/NNP+에/JKB
주기로	주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.9.3
한국은 소치 올림픽 팀 계주의 유일한 아시아 출전국이 됐다.

한국은	한국/NNP+은/JX
소치	소치/NNP
올림픽	올림픽/NNG
팀	팀/NNG
계주의	계주/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
아시아	아시아/NNP
출전국이	출전국/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.10.1
○ 봅슬레이 최다 출전 전망

○	○/SW
봅슬레이	봅슬레이/NNG
최다	최다/NNG
출전	출전/NNG
전망	전망/NNG


# id : NWRW1800000041.230.11.1
봅슬레이 대표팀은 9일 미국 레이크플래시드에서 열린 아메리카컵 7차 대회 2인승 남자 부문에서 원윤종(29)-서영우(24·이상 경기연맹) 조와 김동현(28)-전정린(25·이상 강원도청) 조가 최초로 금메달과 은메달을 동시에 획득하는 쾌거를 이룩했다.

봅슬레이	봅슬레이/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
9일	9/SN+일/NNB
미국	미국/NNP
레이크플래시드에서	레이크플래시드/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
아메리카컵	아메리카/NNP+컵/NNG
7차	7/SN+차/NNB
대회	대회/NNG
2인승	2인승/NNG
남자	남자/NNG
부문에서	부문/NNG+에서/JKB
원윤종(29)-서영우(24·이상	원윤종/NNP+(/SS+29/SN+)/SS+-/SO+서영우/NNP+(/SS+24/SN+·/SP+이상/NNG
경기연맹)	경기연맹/NNP+)/SS
조와	조/NNG+와/JC
김동현(28)-전정린(25·이상	김동현/NNP+(/SS+28/SN+)/SS+-/SO+전정린/NNP+(/SS+25/SN+·/SP+이상/NNG
강원도청)	강원도청/NNP+)/SS
조가	조/NNG+가/JKS
최초로	최초/NNG+로/JKB
금메달과	금메달/NNG+과/JC
은메달을	은메달/NNG+을/JKO
동시에	동시/NNG+에/JKB
획득하는	획득/NNG+하/XSV+는/ETM
쾌거를	쾌거/NNG+를/JKO
이룩했다.	이룩하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.11.2
한 대회에서 1, 2위를 차지한 것은 한국 봅슬레이 역사상 처음 있는 일이다.

한	한/MMN
대회에서	대회/NNG+에서/JKB
1,	1/SN+,/SP
2위를	2/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
한국	한국/NNP
봅슬레이	봅슬레이/NNG
역사상	역사/NNG+상/XSN
처음	처음/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.230.12.1
밴쿠버 올림픽에서 4인승만 출전했던 대표팀은 소치 올림픽에서 2인승 두 팀을 출전시킬 가능성이 높아졌다.

밴쿠버	밴쿠버/NNP
올림픽에서	올림픽/NNG+에서/JKB
4인승만	4인승/NNG+만/JX
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
소치	소치/NNP
2인승	2인승/NNG
두	두/MMN
팀을	팀/NNG+을/JKO
출전시킬	출전/NNG+시키/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.12.2
대표팀은 2인승 두 팀에 남자 4인승, 여자 2인승까지 올림픽에 출전시킬 계획이다.

대표팀은	대표/NNG+팀/NNG+은/JX
2인승	2인승/NNG
두	두/MMN
팀에	팀/NNG+에/JKB
남자	남자/NNG
4인승,	4인승/NNG+,/SP
여자	여자/NNG
2인승까지	2인승/NNG+까지/JX
올림픽에	올림픽/NNG+에/JKB
출전시킬	출전/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.230.12.3
강광배 국제봅슬레이스켈리턴연맹(FIBT) 부회장은 “이제 한국은 썰매 변방국이 아니다.

강광배	강광배/NNP
국제봅슬레이스켈리턴연맹(FIBT)	국제봅슬레이스켈리턴연맹/NNP+(/SS+FIBT/SL+)/SS
부회장은	부회장/NNG+은/JX
“이제	“/SS+이제/MAG
한국은	한국/NNP+은/JX
썰매	썰매/NNG
변방국이	변방국/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.230.12.4
독일, 미국 등 해외에서도 한국 썰매 팀을 바라보는 눈길이 달라졌다.

독일,	독일/NNP+,/SP
미국	미국/NNP
등	등/NNB
해외에서도	해외/NNG+에서/JKB+도/JX
한국	한국/NNP
썰매	썰매/NNG
팀을	팀/NNG+을/JKO
바라보는	바라보/VV+는/ETM
눈길이	눈길/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.230.12.5
소치 올림픽을 발판삼아 평창에서는 한국의 첫 썰매 메달을 따도록 하겠다”고 말했다.

소치	소치/NNP
올림픽을	올림픽/NNG+을/JKO
발판삼아	발판/NNG+삼/VV+아/EC
평창에서는	평창/NNP+에서/JKB+는/JX
한국의	한국/NNP+의/JKG
첫	첫/MMN
썰매	썰매/NNG
메달을	메달/NNG+을/JKO
따도록	따/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


