# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.52
metadata : {}


# id : NWRW1800000036.52.1.1
금감원, 외환은행 하나고 250억 출연 제동

금감원,	금감원/NNG+,/SP
열어	열/VV+어/EC
자율형	자율/NNG+형/XSN
사립고인	사립고/NNG+이/VCP+ㄴ/ETM
하나고에	하나고/NNP+에/JKB
250억원을	250/SN+억/NR+원/NNB+을/JKO
출연하고	출연/NNG+하/XSV+고/EC
7억5000만원의	7/SN+억/NR+5000/SN+만/NR+원/NNB+의/JKG
운영비를	운영비/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
의결한	의결/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.52.4.3
금감원은 외환은행의 하나고 출연이 은행법 35조 2항에 명시된 ‘대주주에 대한 신용공여 금지’ 조항을 위반한 것으로 볼 수 있다며 내부적으로 다시 논의할 것을 요구했다.

금감원은	금감원/NNG+은/JX
외환은행의	외환은행/NNP+의/JKG
하나고	하나고/NNP
출연이	출연/NNG+이/JKS
은행법	은행법/NNG
35조	35/SN+조/NNB
2항에	2/SN+항/NNG+에/JKB
명시된	명시/NNG+되/XSV+ㄴ/ETM
‘대주주에	‘/SS+대/XPN+주주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신용공여	신용/NNG+공여/NNG
금지’	금지/NNG+’/SS
조항을	조항/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다며	있/VA+다며/EC
내부적으로	내부/NNG+적/XSN+으로/JKB
다시	다시/MAG
논의할	논의/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.52.4.4
금감원 관계자는 “하나고는 외환은행의 대주주인 하나지주가 설립한 학교여서 대주주의 특수관계인이라고 볼 수 있다”며 “외환은행이 제출한 법률확인서도 검토해봤지만, 여전히 순수한 사회공헌으로 보기엔 논란의 여지가 있다”고 밝혔다.

금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“하나고는	“/SS+하나고/NNP+는/JX
외환은행의	외환은행/NNP+의/JKG
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
하나지주가	하나지주/NNP+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
학교여서	학교/NNG+이/VCP+어서/EC
대주주의	대/XPN+주주/NNG+의/JKG
특수관계인이라고	특수/NNG+관계인/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“외환은행이	“/SS+외환은행/NNP+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
법률확인서도	법률/NNG+확인서/NNG+도/JX
검토해봤지만,	검토/NNG+하/XSV+아/EC+보/VX+았/EP+지만/EC+,/SP
여전히	여전히/MAG
순수한	순수/NNG+하/XSA+ㄴ/ETM
사회공헌으로	사회/NNG+공헌/NNG+으로/JKB
보기엔	보/VV+기/ETN+에/JKB+ㄴ/JX
논란의	논란/NNG+의/JKG
여지가	여지/NNB+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.52.5.1
금융위원회도 이른 시일 안에 하나고 출연의 적법성 여부에 대한 법률검토를 의뢰할 계획이다.

금융위원회도	금융/NNG+위원회/NNG+도/JX
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
하나고	하나고/NNP
출연의	출연/NNG+의/JKG
적법성	적법/NNG+성/XSN
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법률검토를	법률/NNG+검토/NNG+를/JKO
의뢰할	의뢰/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.52.5.2
금융위 관계자는 “국정감사에서도 외환은행의 하나고 출연에 대해 여러 지적이 나왔기 때문에, 법률전문가들의 의견을 들어 다음달에 결론을 내릴 것”이라고 밝혔다.

금융위	금융위/NNG
관계자는	관계자/NNG+는/JX
“국정감사에서도	“/SS+국정/NNG+감사/NNG+에서/JKB+도/JX
외환은행의	외환은행/NNP+의/JKG
하나고	하나고/NNP
출연에	출연/NNG+에/JKB
대해	대하/VV+아/EC
여러	여러/MMN
지적이	지적/NNG+이/JKS
나왔기	나오/VV+았/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
법률전문가들의	법률/NNG+전문가/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
들어	듣/VV+어/EC
다음달에	다음/NNG+달/NNG+에/JKB
결론을	결론/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.52.5.3
이에 대해 외환은행은 “(금융당국 의견에 대해) 아직 내부적으로 논의가 진행되지 않았다”면서도 “이사회에서도 출연 시기를 못박지는 않았다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
외환은행은	외환은행/NNP+은/JX
“(금융당국	“/SS+(/SS+금융/NNG+당국/NNG
의견에	의견/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
아직	아직/MAG
내부적으로	내부/NNG+적/XSN+으로/JKB
논의가	논의/NNG+가/JKS
진행되지	진행/NNG+되/XSV+지/EC
않았다”면서도	않/VX+았/EP+다/EF+”/SS+면서/EC+도/JX
“이사회에서도	“/SS+이사회/NNG+에서/JKB+도/JX
출연	출연/NNG
시기를	시기/NNG+를/JKO
못박지는	못/NNG+박/VV+지/EC+는/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.52.5.4
금융권에서는 금융당국이 부정적 의견을 낸 만큼, 외환은행이 일단 출연 시기를 뒤로 미룰 가능성이 높은 것으로 보고 있다.

금융권에서는	금융/NNG+권/XSN+에서/JKB+는/JX
금융당국이	금융/NNG+당국/NNG+이/JKS
부정적	부정/NNG+적/XSN
의견을	의견/NNG+을/JKO
낸	내/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
외환은행이	외환은행/NNP+이/JKS
일단	일단/MAG
출연	출연/NNG
시기를	시기/NNG+를/JKO
뒤로	뒤/NNG+로/JKB
미룰	미루/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


