# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.26
metadata : {}


# id : NWRW1800000022.26.1.1
[클래식 ABC] "이스라엘이여 반성하라"

[클래식	[/SS+클래식/NNG
괴테의 말년 시집 제목에서 따온 이 악단은 타계한 팔레스타인 출신의 석학 에드워드 사이드(Said)와의 교감에서 출발한 것이기도 합니다.

괴테의	괴테/NNP+의/JKG
말년	말년/NNG
시집	시집/NNG
제목에서	제목/NNG+에서/JKB
따온	따오/VV+ㄴ/ETM
이	이/MMD
악단은	악단/NNG+은/JX
타계한	타계/NNG+하/XSV+ㄴ/ETM
팔레스타인	팔레스타인/NNP
출신의	출신/NNG+의/JKG
석학	석학/NNG
에드워드	에드워드/NNP
사이드(Said)와의	사이드/NNP+(/SS+Said/SL+)/SS+와/JKB+의/JKG
교감에서	교감/NNG+에서/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
것이기도	것/NNB+이/VCP+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.5.1
청년 시절, 바렌보임은 누구보다 이스라엘을 위한 음악 활동에 발벗고 나섰습니다.

청년	청년/NNG
시절,	시절/NNG+,/SP
바렌보임은	바렌보임/NNP+은/JX
누구보다	누구/NP+보다/JKB
이스라엘을	이스라엘/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
음악	음악/NNG
활동에	활동/NNG+에/JKB
발벗고	발/NNG+벗/VV+고/EC
나섰습니다.	나서/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.26.5.2
1967년 '6일 전쟁'으로 불리는 제3차 중동 전쟁 당시에는 로마 콘서트를 취소하고 첫 아내인 첼리스트 재클린 뒤 프레와 함께 마지막 민항기로 이스라엘에 건너가, 텔아비브 등에서 매일 저녁 연주회를 열었습니다.

1967년	1967/SN+년/NNB
'6일	'/SS+6/SN+일/NNB
전쟁'으로	전쟁/NNG+'/SS+으로/JKB
불리는	불리/VV+는/ETM
제3차	제/XPN+3/SN+차/NNB
중동	중동/NNP
전쟁	전쟁/NNG
당시에는	당시/NNG+에/JKB+는/JX
로마	로마/NNP
콘서트를	콘서트/NNG+를/JKO
취소하고	취소/NNG+하/XSV+고/EC
첫	첫/MMN
아내인	아내/NNG+이/VCP+ㄴ/ETM
첼리스트	첼리스트/NNG
재클린	재클린/NNP
뒤	뒤/NNP
프레와	프레/NNP+와/JKB
함께	함께/MAG
마지막	마지막/NNG
민항기로	민항기/NNG+로/JKB
이스라엘에	이스라엘/NNP+에/JKB
건너가,	건너가/VV+아/EC+,/SP
텔아비브	텔아비브/NNP
등에서	등/NNB+에서/JKB
매일	매일/MAG
저녁	저녁/NNG
연주회를	연주회/NNG+를/JKO
열었습니다.	열/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.26.6.1
'열혈 이스라엘 청년'이었던 바렌보임이 중동과 이스라엘의 평화 공존을 역설하자, 거꾸로 심경이 불편해진 쪽은 이스라엘입니다.

'열혈	'/SS+열혈/NNG
이스라엘	이스라엘/NNP
청년'이었던	청년/NNG+'/SS+이/VCP+었/EP+던/ETM
바렌보임이	바렌보임/NNP+이/JKS
중동과	중동/NNP+과/JC
이스라엘의	이스라엘/NNP+의/JKG
평화	평화/NNG
공존을	공존/NNG+을/JKO
역설하자,	역설/NNG+하/XSV+자/EC+,/SP
거꾸로	거꾸로/MAG
심경이	심경/NNG+이/JKS
불편해진	불편/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
쪽은	쪽/NNB+은/JX
이스라엘입니다.	이스라엘/NNP+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.6.2
강경파에 속하는 이스라엘 전 교육부 장관은 바렌보임에 대해 "반(反)유대주의자"라는 원색적인 비난을 퍼붓기도 했습니다.

강경파에	강경파/NNG+에/JKB
속하는	속하/VV+는/ETM
이스라엘	이스라엘/NNP
전	전/MMD
교육부	교육부/NNG
장관은	장관/NNG+은/JX
바렌보임에	바렌보임/NNP+에/JKB
대해	대하/VV+아/EC
"반(反)유대주의자"라는	"/SS+반/XPN+(/SS+反/SH+)/SS+유대주의자/NNG+"/SS+이/VCP+라는/ETM
원색적인	원색/NNG+적/XSN+이/VCP+ㄴ/ETM
비난을	비난/NNG+을/JKO
퍼붓기도	퍼붓/VV+기/ETN+도/JX
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.26.6.3
이 같은 반발에도 바렌보임은 지난해 팔레스타인 명예 시민권을 받았다는 사실을 밝혔고, 올 초에는 '서동시집 오케스트라'의 중동 공연을 취소하면서 이스라엘의 가자 지구 공습에 대해 "군사적 해결책을 강구하는 근시안적 태도를 지닌 사람들에게 절망한다"고 비판했지요.

이	이/NP
같은	같/VA+은/ETM
반발에도	반발/NNG+에/JKB+도/JX
바렌보임은	바렌보임/NNP+은/JX
지난해	지난해/NNG
팔레스타인	팔레스타인/NNP
명예	명예/NNG
시민권을	시민/NNG+권/XSN+을/JKO
받았다는	받/VV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
올	올/NNG
초에는	초/NNB+에/JKB+는/JX
'서동시집	'/SS+서동시집/NNP
오케스트라'의	오케스트라/NNG+'/SS+의/JKG
중동	중동/NNP
공연을	공연/NNG+을/JKO
취소하면서	취소/NNG+하/XSV+면서/EC
이스라엘의	이스라엘/NNP+의/JKG
가자	가자/NNP
지구	지구/NNG
공습에	공습/NNG+에/JKB
대해	대하/VV+아/EC
"군사적	"/SS+군사/NNG+적/XSN
해결책을	해결책/NNG+을/JKO
강구하는	강구/NNG+하/XSV+는/ETM
근시안적	근시안/NNG+적/XSN
태도를	태도/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
절망한다"고	절망/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
비판했지요.	비판/NNG+하/XSV+았/EP+지요/EF+./SF


# id : NWRW1800000022.26.7.1
바렌보임의 생각은 확고합니다.

바렌보임의	바렌보임/NNP+의/JKG
생각은	생각/NNG+은/JX
확고합니다.	확고하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.7.2
과거 독일 나치의 박해를 받았던 이스라엘이 상대적으로 약자인 팔레스타인의 입장을 이해 못하는 한, 중동 평화는 불가능하다는 것입니다.

과거	과거/NNG
독일	독일/NNP
나치의	나치/NNP+의/JKG
박해를	박해/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
이스라엘이	이스라엘/NNP+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
약자인	약자/NNG+이/VCP+ㄴ/ETM
팔레스타인의	팔레스타인/NNP+의/JKG
입장을	입장/NNG+을/JKO
이해	이해/NNG
못하는	못/MAG+하/VV+는/ETM
한,	한/NNG+,/SP
중동	중동/NNP
평화는	평화/NNG+는/JX
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.26.7.3
"음악은 세상을 변화시킬 수는 없지만, 무지를 깨고 서로에 대한 이해를 가져올 수 있다"는 바렌보임의 신념에는 무엇보다 일관성과 실천력이 깃들어 있습니다.

"음악은	"/SS+음악/NNG+은/JX
세상을	세상/NNG+을/JKO
변화시킬	변화/NNG+시키/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만,	없/VA+지만/EC+,/SP
무지를	무지/NNG+를/JKO
깨고	깨/VV+고/EC
서로에	서로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해를	이해/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있다"는	있/VA+다/EF+"/SS+는/ETM
바렌보임의	바렌보임/NNP+의/JKG
신념에는	신념/NNG+에/JKB+는/JX
무엇보다	무엇/NP+보다/JKB
일관성과	일관/NNG+성/XSN+과/JC
실천력이	실천력/NNG+이/JKS
깃들어	깃들/VV+어/EC
있습니다.	있/VX+습니다/EF+./SF


