# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.258
metadata : {}


# id : NWRW1800000030.258.1.1
[태평로] 善意에 침을 뱉는 사람들

[태평로]	[/SS+태평로/NNP+]/SS
중	중/NNB
일부가	일부/NNG+가/JKS
'돈이	'/SS+돈/NNG+이/JKS
없다'	없/VA+다/EF+'/SS
'왜	'/SS+왜/MAG
우리가	우리/NP+가/JKS
내느냐'면서	내/VV+느냐/EF+'/SS+면서/EC
납부를	납부/NNG+를/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.2.6
앞서 이집트 사태 때 돌아온 213명은 모두 본인이 항공료를 지불했다.

앞서	앞서/MAG
이집트	이집트/NNP
사태	사태/NNG
때	때/NNG
돌아온	돌아오/VV+ㄴ/ETM
213명은	213/SN+명/NNB+은/JX
모두	모두/MAG
본인이	본인/NNG+이/JKS
항공료를	항공료/NNG+를/JKO
지불했다.	지불/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.258.2.7
일부에서는 "중국은 나라가 돈을 내서 데려오는데 왜 우리는 개인 돈을 내라느냐"는 논리를 내세우고 있다.

일부에서는	일부/NNG+에서/JKB+는/JX
"중국은	"/SS+중국/NNP+은/JX
나라가	나라/NNG+가/JKS
돈을	돈/NNG+을/JKO
내서	내/VV+어서/EC
데려오는데	데려오/VV+는데/EC
왜	왜/MAG
우리는	우리/NP+는/JX
개인	개인/NNG
내라느냐"는	내/VV+라느냐/EF+"/SS+는/ETM
논리를	논리/NNG+를/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.258.3.1
지난주에는 소말리아에서 해적에게 총상을 입은 석해균 선장의 치료비가 논란이 됐다.

지난주에는	지난주/NNG+에/JKB+는/JX
소말리아에서	소말리아/NNP+에서/JKB
해적에게	해적/NNG+에게/JKB
총상을	총상/NNG+을/JKO
입은	입/VV+은/ETM
석해균	석해균/NNP
선장의	선장/NNG+의/JKG
치료비가	치료비/NNG+가/JKS
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.258.3.2
약 1억7500만원의 병원비가 밀려 있어 아주대병원이 정산을 요구했다.

약	약/MMA
1억7500만원의	1/SN+억/NR+7500/SN+만/NR+원/NNB+의/JKG
병원비가	병원비/NNG+가/JKS
밀려	밀리/VV+어/EC
있어	있/VX+어/EC
아주대병원이	아주대병원/NNP+이/JKS
정산을	정산/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.258.3.3
문제는 병원비를 내야 할 삼호해운이 법정관리 상태라 병원비를 지불할 형편이 못 된다는 점이다.

문제는	문제/NNG+는/JX
병원비를	병원비/NNG+를/JKO
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
삼호해운이	삼호해운/NNP+이/JKS
법정관리	법정/NNG+관리/NNG
상태라	상태/NNG+이/VCP+라/EC
지불할	지불/NNG+하/XSV+ㄹ/ETM
형편이	형편/NNG+이/JKC
못	못/MAG
된다는	되/VV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.3.4
이번에는 치료를 맡았던 아주대병원에 불똥이 튀었다.

이번에는	이번/NNG+에/JKB+는/JX
치료를	치료/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
아주대병원에	아주대병원/NNP+에/JKB
불똥이	불똥/NNG+이/JKS
튀었다.	튀/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.258.3.5
"병원이 얼마나 막대한 선전효과를 거뒀는데 광고모델료를 주지는 못할망정 치료비를 내라고 하는가" "아니면 정부가 내라"는 주장이었다.

"병원이	"/SS+병원/NNG+이/JKS
얼마나	얼마나/MAG
막대한	막대하/VA+ㄴ/ETM
선전효과를	선전/NNG+효과/NNG+를/JKO
거뒀는데	거두/VV+었/EP+는데/EC
광고모델료를	광고/NNG+모델료/NNG+를/JKO
주지는	주/VV+지/EC+는/JX
못할망정	못하/VX+ㄹ망정/EC
치료비를	치료비/NNG+를/JKO
내라고	내/VV+라고/EC
하는가"	하/VV+는가/EF+"/SS
"아니면	"/SS+아니/VCN+면/EC
정부가	정부/NNG+가/JKS
내라"는	내/VV+어라/EF+"/SS+는/ETM
주장이었다.	주장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.258.4.1
두 사건은 비슷한 경우다.

두	두/MMN
사건은	사건/NNG+은/JX
비슷한	비슷하/VA+ㄴ/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.4.2
국민이 위험에 처했다, 정부가 개입했다, 돈이 들었다, 생명을 구한 사람(혹은 옆사람들)이 돈을 낼 수 없다고 주장한다….

국민이	국민/NNG+이/JKS
위험에	위험/NNG+에/JKB
처했다,	처하/VV+았/EP+다/EF+,/SP
정부가	정부/NNG+가/JKS
개입했다,	개입/NNG+하/XSV+았/EP+다/EF+,/SP
돈이	돈/NNG+이/JKS
들었다,	들/VV+었/EP+다/EF+,/SP
생명을	생명/NNG+을/JKO
구한	구하/VV+ㄴ/ETM
사람(혹은	사람/NNG+(/SS+혹은/MAG
옆사람들)이	옆/NNG+사람/NNG+들/XSN+)/SS+이/JKS
돈을	돈/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
주장한다….	주장/NNG+하/XSV+ㄴ다/EF+…/SE+./SF


# id : NWRW1800000030.258.4.3
물론 예산이 충분하다면 공포에 떨고 있는 국민을 구하는 데 돈을 쓰는 게 무슨 문제가 될까마는 문제는 한정된 예산과 형평성, 그리고 전례(前例)다.

물론	물론/MAG
예산이	예산/NNG+이/JKS
충분하다면	충분하/VA+다면/EC
공포에	공포/NNG+에/JKB
떨고	떨/VV+고/EC
있는	있/VX+는/ETM
국민을	국민/NNG+을/JKO
구하는	구하/VV+는/ETM
데	데/NNB
돈을	돈/NNG+을/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
무슨	무슨/MMD
문제가	문제/NNG+가/JKC
될까마는	되/VV+ㄹ까/EF+마는/JX
문제는	문제/NNG+는/JX
한정된	한정/NNG+되/XSV+ㄴ/ETM
예산과	예산/NNG+과/JC
형평성,	형평/NNG+성/XSN+,/SP
그리고	그리고/MAJ
전례(前例)다.	전례/NNG+(/SS+前例/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.4.4
이런 일은 끝이 아니라 시작이기 때문이다.

이런	이런/MMD
일은	일/NNG+은/JX
끝이	끝/NNG+이/JKC
아니라	아니/VCN+라/EC
시작이기	시작/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.4.5
정부는 긴급구호예산이 턱없이 적을뿐더러 전례가 없다며 '불가(不可)하다'고 했다.

정부는	정부/NNG+는/JX
긴급구호예산이	긴급/NNG+구호/NNG+예산/NNG+이/JKS
턱없이	턱없이/MAG
적을뿐더러	적/VA+을뿐더러/EC
전례가	전례/NNG+가/JKS
없다며	없/VA+다며/EC
'불가(不可)하다'고	'/SS+불가/NNG+(/SS+不可/SH+)/SS+하/XSA+다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.258.4.6
이런 식이라면, 분쟁이나 재난지역에 나가 있는 국민의 항공료에 세금이 펑펑 들어가야 한다.

이런	이런/MMD
식이라면,	식/NNB+이/VCP+라면/EC+,/SP
분쟁이나	분쟁/NNG+이나/JC
재난지역에	재난/NNG+지역/NNG+에/JKB
나가	나가/VV+아/EC
있는	있/VX+는/ETM
국민의	국민/NNG+의/JKG
항공료에	항공료/NNG+에/JKB
세금이	세금/NNG+이/JKS
펑펑	펑펑/MAG
들어가야	들어가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.258.4.7
'내가 내는 세금은 아깝고, 정부 돈은 공짜'라는 앞뒤가 맞지 않는 생각에서 비롯된 주장이다.

'내가	'/SS+내/NP+가/JKS
내는	내/VV+는/ETM
세금은	세금/NNG+은/JX
아깝고,	아깝/VA+고/EC+,/SP
정부	정부/NNG
돈은	돈/NNG+은/JX
공짜'라는	공짜/NNG+'/SS+이/VCP+라는/ETM
앞뒤가	앞뒤/NNG+가/JKS
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
생각에서	생각/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.4.8
석 선장의 병원비 문제는 세금과 정부예산을 따로 생각하는 어리석음에 아주대병원에 대한 '무시'도 추가됐다.

석	석/NNP
선장의	선장/NNG+의/JKG
병원비	병원비/NNG
문제는	문제/NNG+는/JX
세금과	세금/NNG+과/JC
정부예산을	정부/NNG+예산/NNG+을/JKO
따로	따로/MAG
생각하는	생각/NNG+하/XSV+는/ETM
어리석음에	어리석/VA+음/ETN+에/JKB
아주대병원에	아주대병원/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
'무시'도	'/SS+무시/NNG+'/SS+도/JX
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.258.4.9
만일 서울대병원에서 이런 일이 벌어졌다면 '홍보 효과'를 운운했을까.

만일	만일/MAG
서울대병원에서	서울대병원/NNP+에서/JKB
이런	이런/MMD
일이	일/NNG+이/JKS
벌어졌다면	벌어지/VV+었/EP+다면/EC
'홍보	'/SS+홍보/NNG
효과'를	효과/NNG+'/SS+를/JKO
운운했을까.	운운/NNG+하/XSV+았/EP+을까/EF+./SF


# id : NWRW1800000030.258.5.1
선의(善意)를 베풀거나 책임을 진 쪽을 당황하게 만드는 일은 보는 이를 화나게 한다.

선의(善意)를	선의/NNG+(/SS+善意/SH+)/SS+를/JKO
베풀거나	베풀/VV+거나/EC
책임을	책임/NNG+을/JKO
진	지/VV+ㄴ/ETM
쪽을	쪽/NNB+을/JKO
당황하게	당황/NNG+하/XSV+게/EC
만드는	만들/VV+는/ETM
일은	일/NNG+은/JX
보는	보/VV+는/ETM
이를	이/NNB+를/JKO
화나게	화나/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.258.5.2
그런데 이런 억지 발상을 나라에서도 하고 있다.

그런데	그런데/MAJ
이런	이런/MMD
억지	억지/NNG
발상을	발상/NNG+을/JKO
나라에서도	나라/NNG+에서/JKB+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.258.5.3
정부는 이르면 오는 7월부터 재산세 과세표준액 기준으로 9억원을 초과하는 재산 보유자의 경우, 자녀의 직장 건강보험 피보험자 자격을 박탈할 계획이다.

정부는	정부/NNG+는/JX
이르면	이르/VA+면/EC
오는	오/VV+는/ETM
7월부터	7/SN+월/NNB+부터/JX
재산세	재산세/NNG
과세표준액	과세/NNG+표준액/NNG
기준으로	기준/NNG+으로/JKB
9억원을	9/SN+억/NR+원/NNB+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
재산	재산/NNG
보유자의	보유자/NNG+의/JKG
경우,	경우/NNG+,/SP
자녀의	자녀/NNG+의/JKG
직장	직장/NNG
건강보험	건강/NNG+보험/NNG
피보험자	피보험자/NNG
자격을	자격/NNG+을/JKO
박탈할	박탈/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.5.4
이 '자산 9억원'은 부동산이 중심이고 금융재산은 포함되지 않는다.

이	이/MMD
'자산	'/SS+자산/NNG
9억원'은	9/SN+억/NR+원/NNB+'/SS+은/JX
부동산이	부동산/NNG+이/JKS
중심이고	중심/NNG+이/VCP+고/EC
금융재산은	금융/NNG+재산/NNG+은/JX
포함되지	포함/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.258.5.5
그러니까 작은 집에 살며 세금도 안 내는 고리대금업자는 자식의 건강보험에 올라갈 수 있어도, 현금은 없는 부동산 보유 노인은 앞으로 한 달에 20만원 넘는 건보료를 내야 한다.

그러니까	그러니까/MAJ
작은	작/VA+은/ETM
집에	집/NNG+에/JKB
살며	살/VV+며/EC
세금도	세금/NNG+도/JX
안	안/MAG
내는	내/VV+는/ETM
고리대금업자는	고리대금업자/NNG+는/JX
자식의	자식/NNG+의/JKG
건강보험에	건강/NNG+보험/NNG+에/JKB
올라갈	올라가/VV+ㄹ/ETM
수	수/NNB
있어도,	있/VA+어도/EC+,/SP
현금은	현금/NNG+은/JX
없는	없/VA+는/ETM
부동산	부동산/NNG
보유	보유/NNG
노인은	노인/NNG+은/JX
앞으로	앞/NNG+으로/JKB
한	한/MMN
달에	달/NNB+에/JKB
20만원	20/SN+만/NR+원/NNB
넘는	넘/VV+는/ETM
건보료를	건보료/NNG+를/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.258.5.6
중산층 퇴직자의 불만이 하늘을 찌른다.

중산층	중산/NNG+층/XSN
퇴직자의	퇴직자/NNG+의/JKG
불만이	불만/NNG+이/JKS
하늘을	하늘/NNG+을/JKO
찌른다.	찌르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.258.5.7
먹을 거 다 먹고, 입을 거 다 입으면서 9억원이 넘는 집과 땅을 갖고 있는 부모세대는 별로 없다.

먹을	먹/VV+을/ETM
거	거/NNB
다	다/MAG
먹고,	먹/VV+고/EC+,/SP
입을	입/VV+을/ETM
입으면서	입/VV+으면서/EC
9억원이	9/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
집과	집/NNG+과/JC
땅을	땅/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
부모세대는	부모/NNG+세대/NNG+는/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.258.5.8
소득이 없는 부모세대에 대한 '부양'의 의미인 피부양자 개념을 정부는 이번에 '무임승차'라는 부도덕한 개념으로 바꾸어 선전했다.

소득이	소득/NNG+이/JKS
없는	없/VA+는/ETM
부모세대에	부모/NNG+세대/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'부양'의	'/SS+부양/NNG+'/SS+의/JKG
의미인	의미/NNG+이/VCP+ㄴ/ETM
피부양자	피/XPN+부양자/NNG
개념을	개념/NNG+을/JKO
정부는	정부/NNG+는/JX
이번에	이번/NNG+에/JKB
'무임승차'라는	'/SS+무임승차/NNG+'/SS+이/VCP+라는/ETM
부도덕한	부/XPN+도덕/NNG+하/XSA+ㄴ/ETM
개념으로	개념/NNG+으로/JKB
바꾸어	바꾸/VV+어/EC
선전했다.	선전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.258.5.9
부동산 매매할 때 세금 내고, 월급에서 세금 내고, 보너스에서 더 많은 세금을 떼어온 은퇴자들은 당황한다.

부동산	부동산/NNG
매매할	매매/NNG+하/XSV+ㄹ/ETM
때	때/NNG
세금	세금/NNG
내고,	내/VV+고/EC+,/SP
월급에서	월급/NNG+에서/JKB
보너스에서	보너스/NNG+에서/JKB
더	더/MAG
많은	많/VA+은/ETM
세금을	세금/NNG+을/JKO
떼어온	떼/VV+어/EC+오/VX+ㄴ/ETM
은퇴자들은	은퇴자/NNG+들/XSN+은/JX
당황한다.	당황/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.258.5.10
월급쟁이를 닦달해서 건보료 적자를 메워온 정부가 이번에는 그들이 은퇴하자 따라다니며 또 닦달하는 셈이다.

월급쟁이를	월급/NNG+쟁이/XSN+를/JKO
닦달해서	닦달/NNG+하/XSV+아서/EC
건보료	건보료/NNG
적자를	적자/NNG+를/JKO
메워온	메우/VV+어/EC+오/VX+ㄴ/ETM
정부가	정부/NNG+가/JKS
이번에는	이번/NNG+에/JKB+는/JX
그들이	그/NP+들/XSN+이/JKS
은퇴하자	은퇴/NNG+하/XSV+자/EC
따라다니며	따라다니/VV+며/EC
또	또/MAG
닦달하는	닦달/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.258.5.11
물론 다른 '새는 곳'을 찾을 의지와 행동력이 그들에게는 없다.

물론	물론/MAG
다른	다른/MMD
'새는	'/SS+새/VV+는/ETM
곳'을	곳/NNG+'/SS+을/JKO
찾을	찾/VV+을/ETM
의지와	의지/NNG+와/JC
행동력이	행동력/NNG+이/JKS
그들에게는	그/NP+들/XSN+에게/JKB+는/JX
없다.	없/VA+다/EF+./SF


