# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.374
metadata : {}


# id : NWRW1800000049.374.1.1
[단독]롯데면세점이 미르재단에 준 28억 ‘승인관련 대가성’ 수사

[단독]롯데면세점이	[/SS+단독/NNG+]/SS+롯데면세점/NNP+이/JKS
모든	모든/MMN
수단을	수단/NNG+을/JKO
동원하고	동원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.374.4.1
검찰은 뇌물죄를 적용하기 위해 이미 검토한 롯데그룹의 K스포츠재단 추가 출연뿐 아니라 롯데면세점의 정부 관계자 접촉, CJ그룹의 K컬처밸리 조성 정황, 국민연금공단의 삼성 계열사 간 합병 찬성건 등을 새로 파헤치는 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
뇌물죄를	뇌물죄/NNG+를/JKO
적용하기	적용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이미	이미/MAG
검토한	검토/NNG+하/XSV+ㄴ/ETM
롯데그룹의	롯데그룹/NNP+의/JKG
K스포츠재단	K스포츠재단/NNP
추가	추가/NNG
출연뿐	출연/NNG+뿐/JX
아니라	아니/VCN+라/EC
롯데면세점의	롯데면세점/NNP+의/JKG
정부	정부/NNG
관계자	관계자/NNG
접촉,	접촉/NNG+,/SP
CJ그룹의	CJ그룹/NNP+의/JKG
K컬처밸리	K컬처밸리/NNP
조성	조성/NNG
정황,	정황/NNG+,/SP
국민연금공단의	국민연금공단/NNP+의/JKG
삼성	삼성/NNP
계열사	계열사/NNG
간	간/NNB
합병	합병/NNG
찬성건	찬성/NNG+건/NNG
등을	등/NNB+을/JKO
새로	새로/MAG
파헤치는	파헤치/VV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.374.5.1
○ 롯데면세점 출연금 대가성 주목

○	○/SW
롯데면세점	롯데면세점/NNP
출연금	출연금/NNG
대가성	대가/NNG+성/XSN
주목	주목/NNG


# id : NWRW1800000049.374.6.1
검찰 특별수사본부(본부장 이영렬 서울중앙지검장)는 최근 서울중앙지검 특수4부에 롯데면세점 수사 자료를 넘겨 달라고 요청했다.

검찰	검찰/NNG
특별수사본부(본부장	특별/NNG+수사본부/NNG+(/SS+본부장/NNG
이영렬	이영렬/NNP
서울중앙지검장)는	서울중앙지검장/NNG+)/SS+는/JX
최근	최근/NNG
서울중앙지검	서울중앙지검/NNP
특수4부에	특수/NNG+4/SN+부/NNG+에/JKB
롯데면세점	롯데면세점/NNP
수사	수사/NNG
자료를	자료/NNG+를/JKO
넘겨	넘기/VV+어/EC
달라고	달/VX+라고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.374.6.2
특수4부는 올해 대대적으로 롯데그룹을 수사했던 곳이다.

특수4부는	특수/NNG+4/SN+부/NNG+는/JX
올해	올해/NNG
대대적으로	대대적/NNG+으로/JKB
롯데그룹을	롯데그룹/NNP+을/JKO
수사했던	수사/NNG+하/XSV+았/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.7.1
롯데면세점은 ‘롯데가(家) 왕자의 난’ 여파로 여론이 곱지 않았던 지난해 11월 면세점 특허권 재승인 심사를 받았다.

롯데면세점은	롯데면세점/NNP+은/JX
‘롯데가(家)	‘/SS+롯데가/NNG+(/SS+家/SH+)/SS
왕자의	왕자/NNG+의/JKG
난’	난/NNG+’/SS
여파로	여파/NNG+로/JKB
여론이	여론/NNG+이/JKS
곱지	곱/VA+지/EC
않았던	않/VX+았/EP+던/ETM
지난해	지난해/NNG
11월	11/SN+월/NNB
면세점	면세점/NNG
특허권	특허/NNG+권/XSN
재승인	재/XPN+승인/NNG
심사를	심사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.374.7.2
서울 송파구 잠실동 월드타워점 재승인은 받지 못했지만 중구 소공동점은 지켰다.

서울	서울/NNP
송파구	송파구/NNP
잠실동	잠실동/NNP
월드타워점	월드타워점/NNG
재승인은	재/XPN+승인/NNG+은/JX
받지	받/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
중구	중구/NNP
소공동점은	소공동점/NNG+은/JX
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.374.7.3
절반의 성공이라는 평가도 나왔지만 설마 했던 롯데는 충격에 빠졌다.

절반의	절반/NNG+의/JKG
성공이라는	성공/NNG+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
나왔지만	나오/VV+았/EP+지만/EC
설마	설마/MAG
했던	하/VV+았/EP+던/ETM
롯데는	롯데/NNP+는/JX
충격에	충격/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.374.7.4
그런데 정부가 올해 4월 대기업 3곳에 면세점을 추가로 주겠다고 해 롯데는 또 다른 기회를 잡았다.

그런데	그런데/MAJ
정부가	정부/NNG+가/JKS
올해	올해/NNG
4월	4/SN+월/NNB
대기업	대/XPN+기업/NNG
3곳에	3/SN+곳/NNG+에/JKB
면세점을	면세점/NNG+을/JKO
추가로	추가/NNG+로/JKB
주겠다고	주/VV+겠/EP+다고/EC
해	하/VV+아/EC
롯데는	롯데/NNP+는/JX
또	또/MAG
다른	다른/MMD
기회를	기회/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.374.7.5
정부의 발표는 롯데면세점이 미르재단에 28억 원을 출연한 지 약 3개월 뒤에 나온 것으로, 검찰이 대가성을 의심하는 지점이다.

정부의	정부/NNG+의/JKG
발표는	발표/NNG+는/JX
롯데면세점이	롯데면세점/NNP+이/JKS
미르재단에	미르재단/NNP+에/JKB
28억	28/SN+억/NR
원을	원/NNB+을/JKO
출연한	출연/NNG+하/XSV+ㄴ/ETM
지	지/NNB
약	약/MMA
3개월	3/SN+개월/NNB
뒤에	뒤/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
검찰이	검찰/NNG+이/JKS
대가성을	대가/NNG+성/XSN+을/JKO
의심하는	의심/NNG+하/XSV+는/ETM
지점이다.	지점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.7.6
신규 면세점 3곳의 사업자 선정은 원래 다음 달로 예정돼 있지만 일정대로 결과가 나올지는 불투명하다.

신규	신규/NNG
면세점	면세점/NNG
3곳의	3/SN+곳/NNG+의/JKG
사업자	사업자/NNG
선정은	선정/NNG+은/JX
원래	원래/MAG
다음	다음/NNG
달로	달/NNG+로/JKB
예정돼	예정/NNG+되/XSV+어/EC
있지만	있/VX+지만/EC
일정대로	일정/NNG+대로/JX
결과가	결과/NNG+가/JKS
나올지는	나오/VV+ㄹ지/EF+는/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.374.8.1
특수본이 건네받은 자료에는 롯데그룹 최고위 임원이 지난해 최경환 전 경제부총리 겸 기획재정부 장관을 접촉한 정황이 담긴 것으로 전해져 검찰의 칼끝이 최 전 부총리를 향할 것이라는 관측이 검찰 내부에서 나온다.

특수본이	특수본/NNG+이/JKS
건네받은	건네받/VV+은/ETM
자료에는	자료/NNG+에/JKB+는/JX
롯데그룹	롯데그룹/NNP
최고위	최/XPN+고위/NNG
임원이	임원/NNG+이/JKS
지난해	지난해/NNG
최경환	최경환/NNP
전	전/MMD
경제부총리	경제/NNG+부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관을	장관/NNG+을/JKO
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해져	전하/VV+아/EC+지/VX+어/EC
검찰의	검찰/NNG+의/JKG
칼끝이	칼끝/NNG+이/JKS
최	최/NNP
부총리를	부총리/NNG+를/JKO
향할	향하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
검찰	검찰/NNG
내부에서	내부/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.374.8.2
최 전 부총리는 박근혜 대통령의 최측근이라는 점에서 이 역시 박 대통령에 대한 압박용 카드라는 분석도 있다.

최	최/NNP
전	전/MMD
부총리는	부총리/NNG+는/JX
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
최측근이라는	최/XPN+측근/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
이	이/MMD
역시	역시/MAG
박	박/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압박용	압박/NNG+용/XSN
카드라는	카드/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.374.9.1
○ 문형표 전 장관도 소환 통보

○	○/SW
문형표	문형표/NNP
전	전/MMD
장관도	장관/NNG+도/JX
소환	소환/NNG
통보	통보/NNG


# id : NWRW1800000049.374.10.1
검찰은 23일 국민연금공단을 압수수색한 데 이어 문형표 공단 이사장을 이날 소환하려 했지만 여의치 않아 일정을 조율 중이다.

검찰은	검찰/NNG+은/JX
23일	23/SN+일/NNB
국민연금공단을	국민연금공단/NNP+을/JKO
압수수색한	압수/NNG+수색/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
문형표	문형표/NNP
공단	공단/NNG
이사장을	이사장/NNG+을/JKO
이날	이날/NNG
소환하려	소환/NNG+하/XSV+려/EC
했지만	하/VX+았/EP+지만/EC
여의치	여의하/VA+지/EC
않아	않/VX+아/EC
일정을	일정/NNG+을/JKO
조율	조율/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.10.2
문 이사장은 국민연금이 삼성물산-제일모직 합병에 찬성할 당시 보건복지부 장관이었다.

문	문/NNP
이사장은	이사장/NNG+은/JX
국민연금이	국민연금/NNG+이/JKS
삼성물산-제일모직	삼성물산/NNP+-/SO+제일모직/NNP
합병에	합병/NNG+에/JKB
찬성할	찬성/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
보건복지부	보건/NNG+복지부/NNG
장관이었다.	장관/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.374.10.3
전날엔 최광 당시 공단 이사장(69)을 소환 조사했다.

전날엔	전날/NNG+에/JKB+ㄴ/JX
최광	최광/NNP
당시	당시/NNG
공단	공단/NNG
이사장(69)을	이사장/NNG+(/SS+69/SN+)/SS+을/JKO
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.374.11.1
이는 삼성물산-제일모직 합병과 관련해 청와대가 국민연금에 압력을 넣었는지 확인하기 위한 절차다.

이는	이/NP+는/JX
삼성물산-제일모직	삼성물산/NNP+-/SO+제일모직/NNP
합병과	합병/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
청와대가	청와대/NNP+가/JKS
국민연금에	국민연금/NNG+에/JKB
압력을	압력/NNG+을/JKO
넣었는지	넣/VV+었/EP+는지/EC
확인하기	확인/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
절차다.	절차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.11.2
국민연금이 보유한 주식의 의결권을 행사하는 기구는 공단 내 기금운용본부다.

국민연금이	국민연금/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
주식의	주식/NNG+의/JKG
의결권을	의결/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
기구는	기구/NNG+는/JX
공단	공단/NNG
내	내/NNB
기금운용본부다.	기금/NNG+운용/NNG+본부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.11.3
홍완선 당시 본부장은 주도적으로 합병안 찬성을 이끌었던 것으로 전해졌다.

홍완선	홍완선/NNP
당시	당시/NNG
본부장은	본부장/NNG+은/JX
주도적으로	주도/NNG+적/XSN+으로/JKB
합병안	합병/NNG+안/NNG
찬성을	찬성/NNG+을/JKO
이끌었던	이끌/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.374.12.1
그런데 지난해 10월 최 전 이사장은 홍 전 본부장을 연임시키지 않겠다고 밝혔다.

그런데	그런데/MAJ
지난해	지난해/NNG
10월	10/SN+월/NNB
최	최/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
홍	홍/NNP
본부장을	본부장/NNG+을/JKO
연임시키지	연임/NNG+시키/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.374.12.2
이에 대해 최 전 이사장은 앞서 한 언론과의 인터뷰에서 “구체적으로 밝힐 순 없지만 정부 관계자가 홍 전 본부장을 연임하도록 요청했지만 거절했다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
최	최/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
앞서	앞서/MAG
한	한/MMN
언론과의	언론/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“구체적으로	“/SS+구체/NNG+적/XSN+으로/JKB
밝힐	밝히/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지만	없/VA+지만/EC
정부	정부/NNG
관계자가	관계자/NNG+가/JKS
홍	홍/NNP
본부장을	본부장/NNG+을/JKO
연임하도록	연임/NNG+하/XSV+도록/EC
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
거절했다”고	거절/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.374.12.3
삼성 계열사 합병을 이끈 홍 전 본부장을 정부 고위 관계자가 보호하려 했다고도 해석할 수 있는 대목이다.

삼성	삼성/NNP
계열사	계열사/NNG
합병을	합병/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
홍	홍/NNP
전	전/MMD
본부장을	본부장/NNG+을/JKO
정부	정부/NNG
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
보호하려	보호/NNG+하/XSV+려/EC
했다고도	하/VX+았/EP+다고/EC+도/JX
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.374.13.1
검찰은 CJ그룹의 K컬처밸리에 대한 수사 강도도 높이고 있다.

검찰은	검찰/NNG+은/JX
CJ그룹의	CJ그룹/NNP+의/JKG
K컬처밸리에	K컬처밸리/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
수사	수사/NNG
강도도	강도/NNG+도/JX
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.374.13.2
CJ가 경기 고양시에 1조4000억 원을 투자해 조성하는 이 사업 역시 청와대가 개입했다는 의혹을 받고 있다.

CJ가	CJ/SL+가/JKS
경기	경기/NNP
고양시에	고양시/NNP+에/JKB
1조4000억	1/SN+조/NR+4000/SN+억/NR
원을	원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
조성하는	조성/NNG+하/XSV+는/ETM
이	이/MMD
사업	사업/NNG
역시	역시/MAG
청와대가	청와대/NNP+가/JKS
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.374.13.3
K컬처밸리는 지난 10년 동안 해당 사업을 맡을 기업이 나타나지 않았는데 지난해 CJ가 사업을 맡으면서 본격적으로 추진됐다.

K컬처밸리는	K컬처밸리/NNP+는/JX
지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
해당	해당/NNG
사업을	사업/NNG+을/JKO
맡을	맡/VV+을/ETM
기업이	기업/NNG+이/JKS
나타나지	나타나/VV+지/EC
않았는데	않/VX+았/EP+는데/EC
지난해	지난해/NNG
CJ가	CJ/SL+가/JKS
맡으면서	맡/VV+으면서/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
추진됐다.	추진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.374.13.4
검찰은 이 사업과 이재현 CJ그룹 회장의 사면 간에 연관성이 있는지 확인하고 있다.

검찰은	검찰/NNG+은/JX
이	이/MMD
사업과	사업/NNG+과/JC
이재현	이재현/NNP
CJ그룹	CJ그룹/NNP
회장의	회장/NNG+의/JKG
사면	사면/NNG
간에	간/NNB+에/JKB
연관성이	연관/NNG+성/XSN+이/JKS
있는지	있/VA+는지/EC
확인하고	확인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


