# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.19
metadata : {}


# id : NWRW1800000029.19.1.1
주가뛰어 개인 금융자산 2000조 돌파

주가뛰어	주가/NNG+뛰/VV+어/EC
개선됐다.	개선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.19.5.3
이는 2005년의 2.33배 이후 최고 수준이다.

이는	이/NP+는/JX
2005년의	2005/SN+년/NNB+의/JKG
2.33배	2/SN+./SP+33/SN+배/NNG
이후	이후/NNG
최고	최고/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.19.6.1
개인과 기업, 금융회사, 정부의 금융자산을 포함한 국내 총 금융자산은 지난해 현재 1경297조7000억 원으로 전년 말보다 807조6000억 원(8.5%) 늘었다.

개인과	개인/NNG+과/JC
기업,	기업/NNG+,/SP
금융회사,	금융/NNG+회사/NNG+,/SP
정부의	정부/NNG+의/JKG
금융자산을	금융/NNG+자산/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
총	총/MMA
금융자산은	금융/NNG+자산/NNG+은/JX
지난해	지난해/NNG
현재	현재/NNG
1경297조7000억	1/SN+경/NR+297/SN+조/NR+7000/SN+억/NR
원으로	원/NNB+으로/JKB
전년	전년/NNG
말보다	말/NNB+보다/JKB
807조6000억	807/SN+조/NR+6000/SN+억/NR
원(8.5%)	원/NNB+(/SS+8/SN+./SP+5/SN+%/SW+)/SS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.19.6.2
한은 관계자는 “지난해 주가 오름세 여파로 개인의 금융자산이 많이 늘었다”며 “또 금리 상승에 따라 저축성예금 증가액이 대출금 증가액을 웃돌았다”고 설명했다.

한은	한은/NNP
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
주가	주가/NNG
오름세	오름세/NNG
여파로	여파/NNG+로/JKB
개인의	개인/NNG+의/JKG
금융자산이	금융/NNG+자산/NNG+이/JKS
많이	많이/MAG
늘었다”며	늘/VV+었/EP+다/EF+”/SS+며/EC
“또	“/SS+또/MAG
금리	금리/NNG
상승에	상승/NNG+에/JKB
따라	따르/VV+아/EC
저축성예금	저축/NNG+성/XSN+예금/NNG
증가액이	증가액/NNG+이/JKS
대출금	대출금/NNG
증가액을	증가액/NNG+을/JKO
웃돌았다”고	웃돌/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


