# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.173
metadata : {}


# id : NWRW1800000046.173.1.1
현역의원 성폭행 논란… 당했다던 여인 진술 미묘한 변화

현역의원	현역/NNG+의원/NNG
강제로	강제/NNG+로/JKB
성관계를	성관계/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.173.5.2
A씨는 신고 당일 이뤄진 1차 조사에서 B의원이 지난 12일 밤 혼자 이 호텔에 체크인한 뒤 자신에게 10여 차례 "호텔로 나오라"고 전화를 걸었고 처음엔 이를 거절했다고 진술했다고 경찰은 전했다.

A씨는	A/SL+씨/NNB+는/JX
신고	신고/NNG
당일	당일/NNG
이뤄진	이뤄지/VV+ㄴ/ETM
1차	1/SN+차/NNB
조사에서	조사/NNG+에서/JKB
B의원이	B/SL+의원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
밤	밤/NNG
혼자	혼자/MAG
이	이/MMD
호텔에	호텔/NNG+에/JKB
체크인한	체크인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
자신에게	자신/NNG+에게/JKB
10여	10/SN+여/XSN
차례	차례/NNG
"호텔로	"/SS+호텔/NNG+로/JKB
나오라"고	나오/VV+라/EF+"/SS+고/JKQ
전화를	전화/NNG+를/JKO
걸었고	걸/VV+었/EP+고/EC
처음엔	처음/NNG+에/JKB+ㄴ/JX
이를	이/NP+를/JKO
거절했다고	거절/NNG+하/XSV+았/EP+다고/EC
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.173.5.3
A씨는 B의원이 13일 오전 또다시 전화를 하자 호텔로 찾아갔다가 성폭행을 당했고, B의원이 관계가 끝나고 가방에 현금 30만원을 넣어줬다고 경찰은 전했다.

A씨는	A/SL+씨/NNB+는/JX
B의원이	B/SL+의원/NNG+이/JKS
13일	13/SN+일/NNB
오전	오전/NNG
또다시	또다시/MAG
전화를	전화/NNG+를/JKO
하자	하/VV+자/EC
호텔로	호텔/NNG+로/JKB
찾아갔다가	찾아가/VV+았/EP+다가/EC
성폭행을	성폭행/NNG+을/JKO
당했고,	당하/VV+았/EP+고/EC+,/SP
관계가	관계/NNG+가/JKS
끝나고	끝나/VV+고/EC
가방에	가방/NNG+에/JKB
현금	현금/NNG
30만원을	30/SN+만/NR+원/NNB+을/JKO
넣어줬다고	넣/VV+어/EC+주/VX+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.173.5.4
B의원이 묵은 호텔에는 술 냄새가 진동했고 B의원은 A씨가 문을 열고 들어오자마자 강제로 침대에 눕혀 옷을 벗기고 성관계를 시도했다는 주장이다.

B의원이	B/SL+의원/NNG+이/JKS
묵은	묵/VV+은/ETM
호텔에는	호텔/NNG+에/JKB+는/JX
술	술/NNG
냄새가	냄새/NNG+가/JKS
진동했고	진동/NNG+하/XSV+았/EP+고/EC
B의원은	B/SL+의원/NNG+은/JX
A씨가	A/SL+씨/NNB+가/JKS
문을	문/NNG+을/JKO
열고	열/VV+고/EC
들어오자마자	들어오/VV+자마자/EC
강제로	강제/NNG+로/JKB
침대에	침대/NNG+에/JKB
눕혀	눕히/VV+어/EC
옷을	옷/NNG+을/JKO
벗기고	벗기/VV+고/EC
성관계를	성관계/NNG+를/JKO
시도했다는	시도/NNG+하/XSV+았/EP+다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.173.6.1
경찰은 이런 진술의 진위를 확인하기 위해 호텔 CCTV에서 B의원이 체크인, 체크아웃하는 모습과 A씨가 13일 호텔에 들어갔다 나온 모습을 확인했다고 밝혔다.

경찰은	경찰/NNG+은/JX
이런	이런/MMD
진술의	진술/NNG+의/JKG
진위를	진위/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
호텔	호텔/NNG
CCTV에서	CCTV/SL+에서/JKB
B의원이	B/SL+의원/NNG+이/JKS
체크인,	체크인/NNG+,/SP
체크아웃하는	체크아웃/NNG+하/XSV+는/ETM
모습과	모습/NNG+과/JC
A씨가	A/SL+씨/NNB+가/JKS
13일	13/SN+일/NNB
호텔에	호텔/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC
나온	나오/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.6.2
경찰은 디지털 포렌식을 통해 A씨 휴대전화에서 B의원과 통화한 내역도 확보한 것으로 전해졌다.

경찰은	경찰/NNG+은/JX
디지털	디지털/NNG
포렌식을	포렌식/NNG+을/JKO
통해	통하/VV+아/EC
A씨	A/SL+씨/NNB
휴대전화에서	휴대/NNG+전화/NNG+에서/JKB
B의원과	B/SL+의원/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
내역도	내역/NNG+도/JX
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.173.7.1
A씨가 경찰에서 1차 피해자 진술까지 마친 뒤 B의원은 지난 주말 A씨를 만나 사과한다는 뜻을 전한 것으로 알려졌다.

A씨가	A/SL+씨/NNB+가/JKS
경찰에서	경찰/NNG+에서/JKB
1차	1/SN+차/NNB
피해자	피해자/NNG
진술까지	진술/NNG+까지/JX
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
B의원은	B/SL+의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
A씨를	A/SL+씨/NNB+를/JKO
만나	만나/VV+아/EC
사과한다는	사과/NNG+하/XSV+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
전한	전하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.7.2
B의원을 만난 뒤 A씨는 지난 27일 2차 조사에서는 "의사에 반해 성관계한 것은 맞지만 도망가려고 전력을 다한 것은 아니다"며 1차 진술 때와는 다른 취지로 진술했다.

B의원을	B/SL+의원/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
A씨는	A/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
2차	2/SN+차/NNB
조사에서는	조사/NNG+에서/JKB+는/JX
"의사에	"/SS+의사/NNG+에/JKB
반해	반하/VV+아/EC
성관계한	성관계/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
도망가려고	도망가/VV+려고/EC
전력을	전력/NNG+을/JKO
다한	다/MAG+하/XSV+ㄴ/ETM
아니다"며	아니/VCN+다/EF+"/SS+며/EC
1차	1/SN+차/NNB
진술	진술/NNG
때와는	때/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
취지로	취지/NNG+로/JKB
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.173.7.3
A씨는 31일 3차 피해자 조사에서도 2차 때와 같은 입장을 밝혔다.

A씨는	A/SL+씨/NNB+는/JX
31일	31/SN+일/NNB
3차	3/SN+차/NNB
피해자	피해자/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
2차	2/SN+차/NNB
때와	때/NNG+와/JKB
같은	같/VA+은/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.173.7.4
B의원과 A씨는 지난 6월 말 대구 한 횟집에서 지인 포함, 4명이 모여 한 차례 저녁을 먹고 노래방에서 어울리며 친분을 쌓은 것으로 전해졌다.

B의원과	B/SL+의원/NNG+과/JC
A씨는	A/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
말	말/NNB
대구	대구/NNP
한	한/MMN
횟집에서	횟집/NNG+에서/JKB
지인	지인/NNG
포함,	포함/NNG+,/SP
4명이	4/SN+명/NNB+이/JKS
모여	모이/VV+어/EC
차례	차례/NNG
저녁을	저녁/NNG+을/JKO
먹고	먹/VV+고/EC
노래방에서	노래방/NNG+에서/JKB
어울리며	어울리/VV+며/EC
친분을	친분/NNG+을/JKO
쌓은	쌓/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.173.8.1
이에 대해 B의원은 본지에 "A씨와 또 다른 친구들과 함께 술을 마시다 다툼이 일어나 싸우다가 헤어졌을 뿐 성관계는 없었다"고 관련 의혹을 부인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
B의원은	B/SL+의원/NNG+은/JX
본지에	본지/NNG+에/JKB
"A씨와	"/SS+A/SL+씨/NNB+와/JC
또	또/MAG
다른	다른/MMD
친구들과	친구/NNG+들/XSN+과/JKB
함께	함께/MAG
술을	술/NNG+을/JKO
마시다	마시/VV+다/EC
다툼이	다툼/NNG+이/JKS
일어나	일어나/VV+아/EC
싸우다가	싸우/VV+다가/EC
헤어졌을	헤어지/VV+었/EP+을/ETM
뿐	뿐/NNB
성관계는	성관계/NNG+는/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.173.8.2
경찰 관계자는 "수사가 진행 중인 상황에서 피해자 진술이 바뀌었다고 해서 없던 일로 처리할 수는 없다"면서 "두 사람 사이에 성관계가 있었는지, 있었다면 강간(强姦)인지 화간(和姦)인지 조사할 계획"이라고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"수사가	"/SS+수사/NNG+가/JKS
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
피해자	피해자/NNG
진술이	진술/NNG+이/JKS
바뀌었다고	바뀌/VV+었/EP+다고/EC
해서	하/VV+아서/EC
없던	없/VA+던/ETM
일로	일/NNG+로/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다"면서	없/VA+다/EF+"/SS+면서/EC
"두	"/SS+두/MMN
사람	사람/NNG
사이에	사이/NNG+에/JKB
성관계가	성관계/NNG+가/JKS
있었는지,	있/VA+었/EP+는지/EF+,/SP
있었다면	있/VA+었/EP+다면/EC
강간(强姦)인지	강간/NNG+(/SS+强姦/SH+)/SS+이/VCP+ㄴ지/EF
화간(和姦)인지	화간/NNG+(/SS+和姦/SH+)/SS+이/VCP+ㄴ지/EF
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


