# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.169
metadata : {}


# id : NWRW1800000038.169.1.1
세종청사 주변 수목원·녹지공원 공사 金개구리 보호 위해 1년째 전면 중단

세종청사	세종청사/NNP
서식하기	서식/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
장소"라고	장소/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.6.1
LH 측은 "공사를 계속하되, 녹지공원 내에 건설될 예정인 습지에 금개구리의 서식지를 마련하자"고 주장했고, 환경단체 쪽은 "금개구리의 집단 서식이 확인된 만큼 논을 원형 그대로 보존해야 한다"고 맞섰다.

LH	LH/SL
측은	측/NNB+은/JX
"공사를	"/SS+공사/NNG+를/JKO
계속하되,	계속/NNG+하/XSV+되/EC+,/SP
녹지공원	녹지/NNG+공원/NNG
내에	내/NNB+에/JKB
건설될	건설/NNG+되/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
습지에	습지/NNG+에/JKB
금개구리의	금개구리/NNG+의/JKG
서식지를	서식지/NNG+를/JKO
마련하자"고	마련/NNG+하/XSV+자/EF+"/SS+고/JKQ
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
환경단체	환경/NNG+단체/NNG
쪽은	쪽/NNB+은/JX
"금개구리의	"/SS+금개구리/NNG+의/JKG
집단	집단/NNG
서식이	서식/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
논을	논/NNG+을/JKO
원형	원형/NNG
그대로	그대로/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.169.6.2
결국 양측은 올 1월 전문가와 환경단체가 참여한 조사단을 꾸려 금개구리의 개체 수와 서식지 보전 방안 등을 조사하도록 하고, 조사 결과에 무조건 따르기로 합의했다.

결국	결국/MAG
양측은	양측/NNG+은/JX
올	올/NNG
1월	1/SN+월/NNB
전문가와	전문가/NNG+와/JC
환경단체가	환경/NNG+단체/NNG+가/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
조사단을	조사단/NNG+을/JKO
꾸려	꾸리/VV+어/EC
금개구리의	금개구리/NNG+의/JKG
개체	개체/NNG
수와	수/NNG+와/JC
서식지	서식지/NNG
보전	보전/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
조사하도록	조사/NNG+하/XSV+도록/EC
하고,	하/VX+고/EC+,/SP
조사	조사/NNG
결과에	결과/NNG+에/JKB
무조건	무/XPN+조건/NNG
따르기로	따르/VV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.7.1
LH 관계자는 "현재 생태조사가 진행 중이며 11월에 최종 결과가 나온다"고 했다.

LH	LH/SL
관계자는	관계자/NNG+는/JX
"현재	"/SS+현재/MAG
생태조사가	생태/NNG+조사/NNG+가/JKS
진행	진행/NNG
중이며	중/NNB+이/VCP+며/EC
11월에	11/SN+월/NNB+에/JKB
최종	최종/NNG
결과가	결과/NNG+가/JKS
나온다"고	나오/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.169.8.1
조사단이 논 전체를 원형 그대로 보존해야 한다는 결론을 내릴 경우, 정부의 수목원·녹지공원 조성 계획은 백지화된다.

조사단이	조사단/NNG+이/JKS
논	논/NNG
전체를	전체/NNG+를/JKO
원형	원형/NNG
그대로	그대로/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
결론을	결론/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
정부의	정부/NNG+의/JKG
수목원·녹지공원	수목원/NNG+·/SP+녹지/NNG+공원/NNG
조성	조성/NNG
계획은	계획/NNG+은/JX
백지화된다.	백지/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


