# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.353
metadata : {}


# id : NWRW1800000038.353.1.1
17조~19조 追更 추진

17조~19조	17/SN+조/NR+~/SO+19/SN+조/NR
"17조~19조원	"/SS+17/SN+조/NR+~/SO+19/SN+조/NR+원/NNB
수준을	수준/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.5.1
추경 규모가 당초 예상보다 늘어난 것은 세입에 구멍이 크게 뚫렸기 때문이다.

추경	추경/NNG
규모가	규모/NNG+가/JKS
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
늘어난	늘어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
세입에	세입/NNG+에/JKB
구멍이	구멍/NNG+이/JKS
크게	크/VA+게/EC
뚫렸기	뚫리/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.353.5.2
청와대와 기획재정부는 이날 오전 기자 브리핑을 열어 올해 부족한 세입 규모가 12조원에 달한다고 공식 선언했다.

청와대와	청와대/NNP+와/JC
기획재정부는	기획/NNG+재정부/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
기자	기자/NNG
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
올해	올해/NNG
부족한	부족/NNG+하/XSA+ㄴ/ETM
세입	세입/NNG
규모가	규모/NNG+가/JKS
12조원에	12/SN+조/NR+원/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
공식	공식/NNG
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.5.3
조원동 청와대 경제수석은 "작년과 올해 경제성장이 부진해 발생한 세수 결손이 6조원에 달하고, 산업은행과 기업은행 지분 매각이 늦어져 올해 6조원가량의 세외수입 부족이 예상된다"며 "이에 따라 총 12조원까지 세수 결손이 발생할 수 있다고 보고 있다"고 말했다.

조원동	조원동/NNP
청와대	청와대/NNP
경제수석은	경제/NNG+수석/NNG+은/JX
"작년과	"/SS+작년/NNG+과/JC
올해	올해/NNG
경제성장이	경제/NNG+성장/NNG+이/JKS
부진해	부진/NNG+하/XSA+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
세수	세수/NNG
결손이	결손/NNG+이/JKS
6조원에	6/SN+조/NR+원/NNB+에/JKB
달하고,	달하/VV+고/EC+,/SP
산업은행과	산업은행/NNP+과/JC
기업은행	기업은행/NNP
지분	지분/NNG
매각이	매각/NNG+이/JKS
늦어져	늦어지/VV+어/EC
6조원가량의	6/SN+조/NR+원/NNB+가량/XSN+의/JKG
세외수입	세외/NNG+수입/NNG
부족이	부족/NNG+이/JKS
예상된다"며	예상/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
"이에	"/SS+이/NP+에/JKB
따라	따르/VV+아/EC
총	총/MMA
12조원까지	12/SN+조/NR+원/NNB+까지/JX
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.5.4
정부는 28일 경제정책 방향에서는 산업은행과 기업은행 지분 매각이 지연돼 부족한 세외수입이 최고 7조7000억원이라고 추정했지만, 기업은행의 경우 올해 1조7000억원의 지분 매각은 가능하다고 이날 설명했다.

정부는	정부/NNG+는/JX
28일	28/SN+일/NNB
경제정책	경제/NNG+정책/NNG
방향에서는	방향/NNG+에서/JKB+는/JX
산업은행과	산업은행/NNP+과/JC
기업은행	기업은행/NNP
지분	지분/NNG
매각이	매각/NNG+이/JKS
지연돼	지연/NNG+되/XSV+어/EC
부족한	부족/NNG+하/XSA+ㄴ/ETM
세외수입이	세외/NNG+수입/NNG+이/JKS
최고	최고/NNG
7조7000억원이라고	7/SN+조/NR+7000/SN+억/NR+원/NNB+이/VCP+라고/EC
추정했지만,	추정/NNG+하/XSV+았/EP+지만/EC+,/SP
기업은행의	기업은행/NNP+의/JKG
경우	경우/NNG
올해	올해/NNG
1조7000억원의	1/SN+조/NR+7000/SN+억/NR+원/NNB+의/JKG
매각은	매각/NNG+은/JX
가능하다고	가능/NNG+하/XSA+다고/EC
이날	이날/NNG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.6.1
정부는 추경이 이뤄지지 않으면 재정지출이 급격히 줄어 경제에 충격을 주는 '재정절벽(fiscal cliff)' 현상이 당장 하반기부터 발생할 수 있다고 경고했다.

정부는	정부/NNG+는/JX
추경이	추경/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않으면	않/VX+으면/EC
재정지출이	재정/NNG+지출/NNG+이/JKS
급격히	급격히/MAG
줄어	줄/VV+어/EC
경제에	경제/NNG+에/JKB
충격을	충격/NNG+을/JKO
주는	주/VV+는/ETM
'재정절벽(fiscal	'/SS+재정/NNG+절벽/NNG+(/SS+fiscal/SL
cliff)'	cliff/SL+)/SS+'/SS
현상이	현상/NNG+이/JKS
당장	당장/NNG
하반기부터	하반기/NNG+부터/JX
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.6.2
이석준 기획재정부 차관은 "정부는 예산의 60% 이상을 상반기에 조기 집행할 계획인데, 이렇게 되면 하반기에 재정지출 여력이 줄어든다. 게다가 12조원에 달하는 세입까지 구멍이 난 상태여서 이를 보강하지 않으면 하반기에 정부의 재정 여력이 크게 위축될 수밖에 없다"고 말했다.

이석준	이석준/NNP
기획재정부	기획/NNG+재정부/NNG
차관은	차관/NNG+은/JX
"정부는	"/SS+정부/NNG+는/JX
예산의	예산/NNG+의/JKG
60%	60/SN+%/SW
이상을	이상/NNG+을/JKO
상반기에	상반기/NNG+에/JKB
조기	조기/NNG
집행할	집행/NNG+하/XSV+ㄹ/ETM
계획인데,	계획/NNG+이/VCP+ㄴ데/EC+,/SP
이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
하반기에	하반기/NNG+에/JKB
재정지출	재정/NNG+지출/NNG
여력이	여력/NNG+이/JKS
줄어든다.	줄어들/VV+ㄴ다/EF+./SF
게다가	게다가/MAG
12조원에	12/SN+조/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
세입까지	세입/NNG+까지/JX
구멍이	구멍/NNG+이/JKS
난	나/VV+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
이를	이/NP+를/JKO
보강하지	보강/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
정부의	정부/NNG+의/JKG
재정	재정/NNG
크게	크/VA+게/EC
위축될	위축/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.353.7.1
정부는 이에 따라 세수보전용 12조원, 추가 경기부양용 5조~7조원을 더해 17조~19조원 규모의 추경안을 가지고 새누리당과 협의에 나선다는 입장이다.

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
세수보전용	세수/NNG+보전/NNG+용/XSN
12조원,	12/SN+조/NR+원/NNB+,/SP
추가	추가/NNG
경기부양용	경기/NNG+부양/NNG+용/XSN
5조~7조원을	5/SN+조/NR+~/SO+7/SN+조/NR+원/NNB+을/JKO
더해	더/MAG+하/XSV+아/EC
17조~19조원	17/SN+조/NR+~/SO+19/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
추경안을	추경안/NNG+을/JKO
가지고	가지/VV+고/EC
새누리당과	새누리당/NNP+과/JKB
협의에	협의/NNG+에/JKB
나선다는	나서/VV+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.353.7.2
하지만 당·정 협의 과정에서 규모가 조정될 가능성은 여전히 남아 있다.

하지만	하지만/MAJ
당·정	당·정/NNG
협의	협의/NNG
과정에서	과정/NNG+에서/JKB
규모가	규모/NNG+가/JKS
조정될	조정/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
여전히	여전히/MAG
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.353.7.3
정부는 추경 재원은 대부분 국채를 발행해 마련한다는 계획이어서 재정건전성 악화는 불가피할 것으로 보인다.

정부는	정부/NNG+는/JX
추경	추경/NNG
재원은	재원/NNG+은/JX
대부분	대/XPN+부분/NNG
국채를	국채/NNG+를/JKO
발행해	발행/NNG+하/XSV+아/EC
마련한다는	마련/NNG+하/XSV+ㄴ다는/ETM
계획이어서	계획/NNG+이/VCP+어서/EC
재정건전성	재정/NNG+건전/NNG+성/XSN
악화는	악화/NNG+는/JX
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


