# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.293
metadata : {}


# id : NWRW1800000054.293.1.1
[기자의 視角] 情이라는 소프트웨어

[기자의	[/SS+기자/NNG+의/JKG
# id : NWRW1800000054.293.4.3
그런데 국정 농단의 장본인 최순실씨 등이 동계 스포츠까지 손을 뻗쳐 사익(私益)을 노렸다는 사실이 드러난 뒤 올림픽에 대한 국민 관심은 크게 식은 듯하다.

그런데	그런데/MAJ
국정	국정/NNG
농단의	농단/NNG+의/JKG
장본인	장본인/NNG
최순실씨	최순실/NNP+씨/NNB
등이	등/NNB+이/JKS
동계	동계/NNG
스포츠까지	스포츠/NNG+까지/JX
손을	손/NNG+을/JKO
뻗쳐	뻗치/VV+어/EC
사익(私益)을	사익/NNG+(/SS+私益/SH+)/SS+을/JKO
노렸다는	노리/VV+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
뒤	뒤/NNG
올림픽에	올림픽/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민	국민/NNG
관심은	관심/NNG+은/JX
크게	크/VA+게/EC
식은	식/VV+은/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000054.293.4.4
"나라가 이 모양인데 올림픽 분위기 낼 때냐"는 말이 예사롭지 않게 들린다.

"나라가	"/SS+나라/NNG+가/JKS
이	이/MMD
모양인데	모양/NNB+이/VCP+ㄴ데/EC
올림픽	올림픽/NNG
분위기	분위기/NNG
낼	내/VV+ㄹ/ETM
때냐"는	때/NNG+이/VCP+냐/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
예사롭지	예사/NNG+롭/XSA+지/EC
않게	않/VX+게/EC
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.293.5.1
내년 이맘때 외국인 수십만 명이 몰려들 강원도의 국제화 수준이 미흡하다는 지적도 사실이다.

내년	내년/NNG
이맘때	이맘때/NNG
외국인	외국인/NNG
수십만	수십만/NR
명이	명/NNB+이/JKS
몰려들	몰려들/VV+ㄹ/ETM
강원도의	강원도/NNP+의/JKG
국제화	국제/NNG+화/XSN
수준이	수준/NNG+이/JKS
미흡하다는	미흡/NNG+하/XSA+다는/ETM
지적도	지적/NNG+도/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.293.5.2
침대 방이 부족하고, 식당의 좌식 탁자나 화장실 화변기, 영문 표기 없는 음식점 메뉴판도 손볼 필요가 있다.

침대	침대/NNG
방이	방/NNG+이/JKS
부족하고,	부족/NNG+하/XSA+고/EC+,/SP
식당의	식당/NNG+의/JKG
좌식	좌식/NNG
탁자나	탁자/NNG+나/JC
화장실	화장실/NNG
화변기,	화변기/NNG+,/SP
영문	영문/NNG
표기	표기/NNG
없는	없/VA+는/ETM
음식점	음식점/NNG
메뉴판도	메뉴판/NNG+도/JX
손볼	손보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.293.5.3
강원도도 이런 문제를 어떻게 해결할지 고민하고 있다.

강원도도	강원도/NNP+도/JX
이런	이런/MMD
문제를	문제/NNG+를/JKO
어떻게	어떻/VA+게/EC
해결할지	해결/NNG+하/XSV+ㄹ지/EC
고민하고	고민/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.293.6.1
하지만 시각을 조금 달리해서 보면 어떨까.

하지만	하지만/MAJ
시각을	시각/NNG+을/JKO
조금	조금/MAG
달리해서	달리/MAG+하/XSV+아서/EC
보면	보/VV+면/EC
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000054.293.6.2
음식 표기만 해도 그렇다.

음식	음식/NNG
표기만	표기/NNG+만/JX
해도	하/VV+아도/EC
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000054.293.6.3
일본 음식인 스시(すし·초밥)가 영어로는 그냥 'Sushi'이듯, 김밥은 일단 우리말 발음대로 'gimbap'이라고 써야 한국 음식 이름을 세계에 제대로 알릴 수 있다.

일본	일본/NNP
음식인	음식/NNG+이/VCP+ㄴ/ETM
스시(すし·초밥)가	스시/NNG+(/SS+すし/SL+·/SP+초밥/NNG+)/SS+가/JKS
영어로는	영어/NNP+로/JKB+는/JX
그냥	그냥/MAG
'Sushi'이듯,	'/SS+Sushi/SL+'/SS+이/VCP+듯/EC+,/SP
김밥은	김밥/NNG+은/JX
일단	일단/MAG
우리말	우리말/NNG
발음대로	발음/NNG+대로/JX
'gimbap'이라고	'/SS+gimbap/SL+'/SS+이라고/JKQ
써야	쓰/VV+어야/EC
한국	한국/NNP
음식	음식/NNG
이름을	이름/NNG+을/JKO
세계에	세계/NNG+에/JKB
제대로	제대로/MAG
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.293.6.4
여기에 음식 내용을 영어로 설명하거나 사진을 곁들인다면 더할 나위가 없겠다.

여기에	여기/NP+에/JKB
음식	음식/NNG
내용을	내용/NNG+을/JKO
영어로	영어/NNP+로/JKB
설명하거나	설명/NNG+하/XSV+거나/EC
사진을	사진/NNG+을/JKO
곁들인다면	곁들이/VV+ㄴ다면/EC
더할	더/MAG+하/XSV+ㄹ/ETM
나위가	나위/NNB+가/JKS
없겠다.	없/VA+겠/EP+다/EF+./SF


# id : NWRW1800000054.293.6.5
다만 현실적으로 모든 식당에 적용하기는 쉽지 않다.

다만	다만/MAG
현실적으로	현실/NNG+적/XSN+으로/JKB
모든	모든/MMN
식당에	식당/NNG+에/JKB
적용하기는	적용/NNG+하/XSV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.293.7.1
한국 음식이나 문화를 각국 언어로 알려주는 모바일 애플리케이션을 만드는 편이 효과적일 수 있다.

한국	한국/NNP
음식이나	음식/NNG+이나/JC
문화를	문화/NNG+를/JKO
각국	각국/NNG
언어로	언어/NNG+로/JKB
알려주는	알리/VV+어/EC+주/VX+는/ETM
모바일	모바일/NNG
애플리케이션을	애플리케이션/NNG+을/JKO
만드는	만들/VV+는/ETM
편이	편/NNB+이/JKS
효과적일	효과/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.293.7.2
강원도는 올 들어 '투어 강원'이라는 앱을 만들어 4개 국어로 관광 정보를 제공하고 있다.

강원도는	강원도/NNP+는/JX
올	올/NNG
들어	들/VV+어/EC
'투어	'/SS+투어/NNG
강원'이라는	강원/NNP+'/SS+이/VCP+라는/ETM
앱을	앱/NNG+을/JKO
만들어	만들/VV+어/EC
4개	4/SN+개/NNB
국어로	국어/NNG+로/JKB
관광	관광/NNG
정보를	정보/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.293.7.3
올림픽 기간엔 각 경기장은 물론이고, 유명 관광지 주변에서 무료 공공 와이파이(근거리 무선망)가 터지게 된다.

올림픽	올림픽/NNG
기간엔	기간/NNG+에/JKB+ㄴ/JX
각	각/MMD
경기장은	경기장/NNG+은/JX
물론이고,	물론/NNG+이/VCP+고/EC+,/SP
유명	유명/NNG
관광지	관광지/NNG
주변에서	주변/NNG+에서/JKB
무료	무료/NNG
공공	공공/NNG
와이파이(근거리	와이파이/NNG+(/SS+근거리/NNG
무선망)가	무선망/NNG+)/SS+가/JKS
터지게	터지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.293.7.4
세계적으로 뛰어난 IT(정보통신 기술) 환경은 한국의 자랑이다.

세계적으로	세계/NNG+적/XSN+으로/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
IT(정보통신	IT/SL+(/SS+정보/NNG+통신/NNG
기술)	기술/NNG+)/SS
환경은	환경/NNG+은/JX
한국의	한국/NNP+의/JKG
자랑이다.	자랑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.293.8.1
한국에 대한 정보를 찾아보고 오는 외국인 중에는 뜨끈하게 등을 지질 수 있는 온돌, 양반다리를 하고 앉아 음식을 먹을 수 있는 좌식 밥상에 호기심을 갖고 그걸 경험하고 싶어 하는 사람도 많을 것이다.

한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
찾아보고	찾아보/VV+고/EC
오는	오/VV+는/ETM
외국인	외국인/NNG
중에는	중/NNB+에/JKB+는/JX
뜨끈하게	뜨끈하/VA+게/EC
등을	등/NNG+을/JKO
지질	지지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
온돌,	온돌/NNG+,/SP
양반다리를	양반다리/NNG+를/JKO
하고	하/VV+고/EC
앉아	앉/VV+아/EC
음식을	음식/NNG+을/JKO
먹을	먹/VV+을/ETM
좌식	좌식/NNG
밥상에	밥상/NNG+에/JKB
호기심을	호기심/NNG+을/JKO
갖고	갖/VV+고/EC
그걸	그거/NP+ㄹ/JKO
경험하고	경험/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
사람도	사람/NNG+도/JX
많을	많/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.293.8.2
이들이 자기 나라로 돌아가 한식당을 찾았을 때 쇼트 립 수프(Short Rib Soup)보다는 갈비탕(Galbitang)을 달라고 말할 수 있으면 좋겠다.

이들이	이/NP+들/XSN+이/JKS
자기	자기/NP
나라로	나라/NNG+로/JKB
돌아가	돌아가/VV+아/EC
한식당을	한식당/NNG+을/JKO
찾았을	찾/VV+았/EP+을/ETM
때	때/NNG
쇼트	쇼트/NNG
립	립/NNG
수프(Short	수프/NNG+(/SS+Short/SL
Rib	Rib/SL
Soup)보다는	Soup/SL+)/SS+보다/JKB+는/JX
갈비탕(Galbitang)을	갈비탕/NNG+(/SS+Galbitang/SL+)/SS+을/JKO
달라고	달/VV+라고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000054.293.9.1
토마스 바흐 IOC(국제올림픽위원회) 위원장은 최근 평창에 "여러분은 내년 올림픽에서 새로운 지평을 열 것"이라는 메시지를 전했다.

토마스	토마스/NNP
바흐	바흐/NNP
IOC(국제올림픽위원회)	IOC/SL+(/SS+국제올림픽위원회/NNP+)/SS
위원장은	위원장/NNG+은/JX
최근	최근/NNG
평창에	평창/NNP+에/JKB
"여러분은	"/SS+여러분/NP+은/JX
내년	내년/NNG
올림픽에서	올림픽/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
지평을	지평/NNG+을/JKO
열	열/VV+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
메시지를	메시지/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.293.9.2
올림픽 때 우리가 세계를 매혹할 최고의 '소프트웨어'는 따뜻하게 손님을 응대하는 한국인 특유의 정(情)이 아닐까 한다.

올림픽	올림픽/NNG
때	때/NNG
우리가	우리/NP+가/JKS
세계를	세계/NNG+를/JKO
매혹할	매혹/NNG+하/XSV+ㄹ/ETM
최고의	최고/NNG+의/JKG
'소프트웨어'는	'/SS+소프트웨어/NNG+'/SS+는/JX
따뜻하게	따뜻하/VA+게/EC
손님을	손/NNG+님/XSN+을/JKO
응대하는	응대/NNG+하/XSV+는/ETM
한국인	한국인/NNG
특유의	특유/NNG+의/JKG
정(情)이	정/NNG+(/SS+情/SH+)/SS+이/JKC
아닐까	아니/VCN+ㄹ까/EF
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.293.9.3
외국인들이 한국을 다시 방문하고 싶도록 추억을 만들어줘야 성공한 올림픽이 된다.

외국인들이	외국인/NNG+들/XSN+이/JKS
한국을	한국/NNP+을/JKO
다시	다시/MAG
방문하고	방문/NNG+하/XSV+고/EC
싶도록	싶/VX+도록/EC
추억을	추억/NNG+을/JKO
만들어줘야	만들/VV+어/EC+주/VX+어야/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
올림픽이	올림픽/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


