# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.25
metadata : {}


# id : NWRW1800000048.25.1.1
대림그룹 ‘지배구조 개편’ 경영승계 본격화

대림그룹	대림그룹/NNP
대림코퍼레이션과 대림아이앤에스의 합병 비율은 1 대 4.19로, 합병 뒤 이준용 명예회장과 아들인 이해욱 부회장의 대림코퍼레이션 지분율은 각각 60.9%와 32.1%에서 42.7%와 52.3%로 역전된다.

대림코퍼레이션과	대림코퍼레이션/NNP+과/JC
대림아이앤에스의	대림아이앤에스/NNP+의/JKG
합병	합병/NNG
비율은	비율/NNG+은/JX
1	1/SN
대	대/NNB
4.19로,	4/SN+./SP+19/SN+로/JKB+,/SP
뒤	뒤/NNG
이준용	이준용/NNP
명예회장과	명예/NNG+회장/NNG+과/JC
아들인	아들/NNG+이/VCP+ㄴ/ETM
이해욱	이해욱/NNP
부회장의	부회장/NNG+의/JKG
대림코퍼레이션	대림코퍼레이션/NNP
지분율은	지분/NNG+율/XSN+은/JX
각각	각각/MAG
60.9%와	60/SN+./SP+9/SN+%/SW+와/JC
32.1%에서	32/SN+./SP+1/SN+%/SW+에서/JKB
42.7%와	42/SN+./SP+7/SN+%/SW+와/JC
52.3%로	52/SN+./SP+3/SN+%/SW+로/JKB
역전된다.	역전/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.25.8.3
후계자인 이 부회장이 대림코퍼레이션의 최대 주주로 올라서 그룹 지배력을 크게 높이는 셈이다.

후계자인	후계자/NNG+이/VCP+ㄴ/ETM
이	이/NNP
부회장이	부회장/NNG+이/JKS
대림코퍼레이션의	대림코퍼레이션/NNP+의/JKG
최대	최대/NNG
주주로	주주/NNG+로/JKB
올라서	오르/VV+아서/EC
그룹	그룹/NNG
지배력을	지배력/NNG+을/JKO
크게	크/VA+게/EC
높이는	높이/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.25.8.4
대림그룹은 지난해 말 기준 자산 규모가 16조3000억원으로, 재계 순위는 27위다.

대림그룹은	대림그룹/NNP+은/JX
지난해	지난해/NNG
말	말/NNB
기준	기준/NNG
자산	자산/NNG
규모가	규모/NNG+가/JKS
16조3000억원으로,	16/SN+조/NR+3000/SN+억/NR+원/NNB+으로/JKB+,/SP
재계	재계/NNG
순위는	순위/NNG+는/JX
27위다.	27/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.25.9.1
한진그룹도 한진칼과 정석기업의 합병을 통해 지배구조 개편을 본격적으로 추진할 것으로 보인다.

한진그룹도	한진그룹/NNP+도/JX
한진칼과	한진칼/NNP+과/JC
정석기업의	정석기업/NNP+의/JKG
합병을	합병/NNG+을/JKO
통해	통하/VV+아/EC
지배구조	지배/NNG+구조/NNG
개편을	개편/NNG+을/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.25.9.2
앞서 한진칼은 21일 공시를 통해 “기업가치·주주가치 제고와 지주회사 행위제한 요건 충족을 위해서 정석기업과 합병을 검토중”이라고 밝혔다.

앞서	앞서/MAG
한진칼은	한진칼/NNP+은/JX
21일	21/SN+일/NNB
공시를	공시/NNG+를/JKO
통해	통하/VV+아/EC
“기업가치·주주가치	“/SS+기업/NNG+가치/NNG+·/SP+주주/NNG+가치/NNG
제고와	제고/NNG+와/JC
지주회사	지주/NNG+회사/NNG
행위제한	행위/NNG+제한/NNG
요건	요건/NNG
충족을	충족/NNG+을/JKO
위해서	위하/VV+아서/EC
정석기업과	정석기업/NNP+과/JKB
합병을	합병/NNG+을/JKO
검토중”이라고	검토/NNG+중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.25.9.3
지주회사 체제로 개편중인 한진그룹은 오는 7월까지 관련 요건을 충족해야 한다.

지주회사	지주/NNG+회사/NNG
체제로	체제/NNG+로/JKB
개편중인	개편/NNG+중/NNB+이/VCP+ㄴ/ETM
한진그룹은	한진그룹/NNP+은/JX
오는	오/VV+는/ETM
7월까지	7/SN+월/NNB+까지/JX
관련	관련/NNG
요건을	요건/NNG+을/JKO
충족해야	충족/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.25.9.4
한진칼과 정석기업이 합병하면 한진그룹은 한진칼 지주회사 체제로 정비된다.

한진칼과	한진칼/NNP+과/JC
정석기업이	정석기업/NNP+이/JKS
합병하면	합병/NNG+하/XSV+면/EC
한진그룹은	한진그룹/NNP+은/JX
한진칼	한진칼/NNP
지주회사	지주/NNG+회사/NNG
체제로	체제/NNG+로/JKB
정비된다.	정비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.25.9.5
한진그룹은 현재 한진칼이 정석기업(지분율 48.3%)과 대한항공(31.5%)을 보유하는 지주사 역할을 하고 있다.

한진그룹은	한진그룹/NNP+은/JX
현재	현재/MAG
한진칼이	한진칼/NNP+이/JKS
정석기업(지분율	정석기업/NNP+(/SS+지분/NNG+율/XSN
48.3%)과	48/SN+./SP+3/SN+%/SW+)/SS+과/JC
대한항공(31.5%)을	대한항공/NNP+(/SS+31/SN+./SP+5/SN+%/SW+)/SS+을/JKO
보유하는	보유/NNG+하/XSV+는/ETM
지주사	지주사/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


