# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.396
metadata : {}


# id : NWRW1800000033.396.1.1
[수도권]‘서울형 기초보장제’ 윤곽… 내년에 기초수급 못받는 저소득층 6만명 생계비 지원

[수도권]‘서울형	[/SS+수도/NNG+권/XSN+]/SS+‘/SS+서울/NNP+형/XSN
지원하는	지원/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.396.5.1
시는 24일 “‘서울시민복지기준’ 선정 연구용역 결과가 나와 이를 토대로 시의회, 관계기관 협의를 거쳐 다음 달 중순 확정할 예정”이라고 밝혔다.

시는	시/NNG+는/JX
24일	24/SN+일/NNB
“‘서울시민복지기준’	“/SS+‘/SS+서울/NNP+시민/NNG+복지/NNG+기준/NNG+’/SS
선정	선정/NNG
연구용역	연구/NNG+용역/NNG
결과가	결과/NNG+가/JKS
나와	나오/VV+아/EC
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
시의회,	시/NNG+의회/NNG+,/SP
관계기관	관계/NNG+기관/NNG
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
다음	다음/NNG
달	달/NNG
중순	중순/NNG
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.396.5.2
서울시민복지기준에는 ‘서울형기초보장제도’ 도입, 공공임대주택 13만5000채 추가 공급 등의 내용이 담겼다.

서울시민복지기준에는	서울/NNP+시민/NNG+복지/NNG+기준/NNG+에/JKB+는/JX
‘서울형기초보장제도’	‘/SS+서울/NNP+형/XSN+기초/NNG+보장/NNG+제도/NNG+’/SS
도입,	도입/NNG+,/SP
공공임대주택	공공/NNG+임대/NNG+주택/NNG
13만5000채	13/SN+만/NR+5000/SN+채/NNB
추가	추가/NNG
공급	공급/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.396.6.1
이 제도가 도입될 경우 2013년 하반기 6만 명을 시작으로 2018년까지 19만 명의 서울시민에게 추가로 생계비를 지원하게 된다.

이	이/MMD
제도가	제도/NNG+가/JKS
도입될	도입/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
2013년	2013/SN+년/NNB
하반기	하반기/NNG
6만	6/SN+만/NR
명을	명/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
2018년까지	2018/SN+년/NNB+까지/JX
19만	19/SN+만/NR
명의	명/NNB+의/JKG
서울시민에게	서울/NNP+시민/NNG+에게/JKB
추가로	추가/NNG+로/JKB
생계비를	생계비/NNG+를/JKO
지원하게	지원/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.396.6.2
국가가 정한 현행 4인 가구 최저생계비는 149만5550원이지만 2011년 서울시복지재단에서 발표한 서울형 최저생계비는 4인 가구 기준 172만7658원으로 약 16% 높다.

국가가	국가/NNG+가/JKS
정한	정하/VV+ㄴ/ETM
현행	현행/NNG
4인	4/SN+인/NNG
가구	가구/NNG
최저생계비는	최저/NNG+생계비/NNG+는/JX
149만5550원이지만	149/SN+만/NR+5550/SN+원/NNB+이/VCP+지만/EC
2011년	2011/SN+년/NNB
서울시복지재단에서	서울시복지재단/NNP+에서/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
서울형	서울/NNP+형/XSN
기준	기준/NNG
172만7658원으로	172/SN+만/NR+7658/SN+원/NNB+으로/JKB
약	약/MMA
16%	16/SN+%/SW
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.396.7.1
주거 분야에서는 2018년까지 공공임대주택 약 13만5000채를 공급하고, 2014년까지 매년 1만 가구, 2018년까지 2만 가구에 주거비를 지원한다.

주거	주거/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
2018년까지	2018/SN+년/NNB+까지/JX
공공임대주택	공공/NNG+임대/NNG+주택/NNG
약	약/MMA
13만5000채를	13/SN+만/NR+5000/SN+채/NNB+를/JKO
공급하고,	공급/NNG+하/XSV+고/EC+,/SP
2014년까지	2014/SN+년/NNB+까지/JX
매년	매년/MAG
1만	1/SN+만/NR
가구,	가구/NNG+,/SP
2만	2/SN+만/NR
가구에	가구/NNG+에/JKB
주거비를	주거비/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.396.7.2
이를 통해 임대료가 소득의 25%를 넘지 않도록 한다는 목표를 세웠다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
임대료가	임대료/NNG+가/JKS
소득의	소득/NNG+의/JKG
25%를	25/SN+%/SW+를/JKO
넘지	넘/VV+지/EC
않도록	않/VX+도록/EC
한다는	하/VV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.396.8.1
교육 분야에서는 국공립 초등학교에 학교보안관을 2명 이상 배치하는 등 학교폭력 대책을 강화하고 고교 수업료를 단계적으로 무상화하는 방안도 추진한다.

교육	교육/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
국공립	국공립/NNG
초등학교에	초등학교/NNG+에/JKB
학교보안관을	학교/NNG+보안관/NNG+을/JKO
2명	2/SN+명/NNB
이상	이상/NNG
배치하는	배치/NNG+하/XSV+는/ETM
등	등/NNB
학교폭력	학교/NNG+폭력/NNG
대책을	대책/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
고교	고교/NNG
수업료를	수업료/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
무상화하는	무상/NNG+화/XSN+하/XSV+는/ETM
방안도	방안/NNG+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.396.9.1
하지만 일각에서는 “취지는 좋지만 재원 마련에 대한 구체적인 방법이 없다”고 지적한다.

하지만	하지만/MAJ
일각에서는	일각/NNG+에서/JKB+는/JX
“취지는	“/SS+취지/NNG+는/JX
좋지만	좋/VA+지만/EC
재원	재원/NNG
마련에	마련/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방법이	방법/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.396.9.2
연구용역 결과에 따르면 이 사업들에 소요될 내년 예산은 1조9177억여 원으로 올해 관련 사업에 책정된 예산에서 약 5580억 원이 더 늘어난다.

연구용역	연구/NNG+용역/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
사업들에	사업/NNG+들/XSN+에/JKB
소요될	소요/NNG+되/XSV+ㄹ/ETM
내년	내년/NNG
예산은	예산/NNG+은/JX
1조9177억여	1/SN+조/NR+9177/SN+억/NR+여/XSN
원으로	원/NNB+으로/JKB
올해	올해/NNG
관련	관련/NNG
사업에	사업/NNG+에/JKB
책정된	책정/NNG+되/XSV+ㄴ/ETM
예산에서	예산/NNG+에서/JKB
약	약/MMA
5580억	5580/SN+억/NR
원이	원/NNB+이/JKS
더	더/MAG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


