# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.21
metadata : {}


# id : NWRW1800000049.21.1.1
“하반기 집값 강보합… 지역별 쏠림 심화”

“하반기	“/SS+하반기/NNG
전문가들은 하반기 주택 가격이 크게 오르지 않을 것으로 전망했다.

전문가들은	전문가/NNG+들/XSN+은/JX
하반기	하반기/NNG
주택	주택/NNG
가격이	가격/NNG+이/JKS
크게	크/VA+게/EC
오르지	오르/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.6.2
보합세라는 응답이 11명(55%)으로 가장 많았고, 1∼2%대 오를 것이라는 응답이 7명(35%)으로 뒤를 이었다.

보합세라는	보합세/NNG+이/VCP+라는/ETM
응답이	응답/NNG+이/JKS
11명(55%)으로	11/SN+명/NNB+(/SS+55/SN+%/SW+)/SS+으로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
1∼2%대	1/SN+∼/SO+2/SN+%/SW+대/XSN
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
7명(35%)으로	7/SN+명/NNB+(/SS+35/SN+%/SW+)/SS+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.21.6.3
수도권의 집값 상승세가 언제까지 갈 것으로 보느냐는 질문에는 ‘연말까지’(9명·45%)라거나 ‘내년 상반기(1∼6월)까지’(9명·45%)라는 대답이 많았다.

수도권의	수도/NNG+권/XSN+의/JKG
집값	집값/NNG
상승세가	상승세/NNG+가/JKS
언제까지	언제/NP+까지/JX
갈	가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보느냐는	보/VV+느냐는/ETM
질문에는	질문/NNG+에/JKB+는/JX
‘연말까지’(9명·45%)라거나	‘/SS+연말/NNG+까지/JX+’/SS+(/SS+9/SN+명/NNB+·/SP+45/SN+%/SW+)/SS+라거나/EC
‘내년	‘/SS+내년/NNG
상반기(1∼6월)까지’(9명·45%)라는	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+까지/JX+’/SS+(/SS+9/SN+명/NNB+·/SP+45/SN+%/SW+)/SS+이/VCP+라는/ETM
대답이	대답/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.21.6.4
내년 상반기에는 흐름이 바뀔 가능성을 높이 본 것이다.

내년	내년/NNG
상반기에는	상반기/NNG+에/JKB+는/JX
흐름이	흐름/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
높이	높이/MAG
본	보/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.21.6.5
지방의 집값 조정은 ‘향후 2∼3년간 지속될 것’(14명·70%)이라는 응답이 다수를 차지했다.

지방의	지방/NNG+의/JKG
집값	집값/NNG
조정은	조정/NNG+은/JX
‘향후	‘/SS+향후/NNG
2∼3년간	2/SN+∼/SO+3/SN+년/NNB+간/XSN
지속될	지속/NNG+되/XSV+ㄹ/ETM
것’(14명·70%)이라는	것/NNB+’/SS+(/SS+14/SN+명/NNB+·/SP+70/SN+%/SW+)/SS+이/VCP+라는/ETM
응답이	응답/NNG+이/JKS
다수를	다수/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.6.6
이용만 한성대 부동산학과 교수는 “브렉시트(영국의 유럽연합 탈퇴) 등 거시경제 불확실성, 대출 규제, 공급 과잉 등의 우려가 있지만 저금리 및 유동성 공급이 침체를 어느 정도 막아주고 있다”며 “다만 공급 과잉 우려가 높은 일부 지역은 침체를 피하기 어렵다”고 전망했다.

이용만	이용만/NNP
한성대	한성대/NNP
부동산학과	부동산학과/NNG
교수는	교수/NNG+는/JX
“브렉시트(영국의	“/SS+브렉시트/NNG+(/SS+영국/NNP+의/JKG
유럽연합	유럽연합/NNP
탈퇴)	탈퇴/NNG+)/SS
등	등/NNB
거시경제	거시/NNG+경제/NNG
불확실성,	불확실/NNG+성/XSN+,/SP
대출	대출/NNG
규제,	규제/NNG+,/SP
공급	공급/NNG
과잉	과잉/NNG
등의	등/NNB+의/JKG
우려가	우려/NNG+가/JKS
있지만	있/VA+지만/EC
저금리	저/XPN+금리/NNG
및	및/MAG
유동성	유동/NNG+성/XSN
공급이	공급/NNG+이/JKS
침체를	침체/NNG+를/JKO
어느	어느/MMD
정도	정도/NNG
막아주고	막/VV+아/EC+주/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
높은	높/VA+은/ETM
일부	일부/NNG
지역은	지역/NNG+은/JX
피하기	피하/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.7.1
올해 상반기 광풍이 불었던 서울 강남권 재건축 아파트 가격은 ‘거품까지는 아니지만 약간 높다’(14명·70%)는 응답이 가장 많았다.

올해	올해/NNG
상반기	상반기/NNG
광풍이	광풍/NNG+이/JKS
불었던	불/VV+었/EP+던/ETM
서울	서울/NNP
강남권	강남/NNP+권/XSN
재건축	재/XPN+건축/NNG
아파트	아파트/NNG
가격은	가격/NNG+은/JX
‘거품까지는	‘/SS+거품/NNG+까지/JX+는/JX
아니지만	아니/VCN+지만/EC
약간	약간/MAG
높다’(14명·70%)는	높/VA+다/EF+’/SS+(/SS+14/SN+명/NNB+·/SP+70/SN+%/SW+)/SS+는/JX
응답이	응답/NNG+이/JKS
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.21.7.2
투자 시기는 올해 3분기(7∼9월·4명), 4분기(10∼12월·7명), 내년 상반기(3명) 등으로 의견이 분분했다.

투자	투자/NNG
시기는	시기/NNG+는/JX
올해	올해/NNG
3분기(7∼9월·4명),	3/SN+분기/NNG+(/SS+7/SN+∼/SO+9/SN+월/NNB+·/SP+4/SN+명/NNB+)/SS+,/SP
4분기(10∼12월·7명),	4/SN+분기/NNG+(/SS+10/SN+∼/SO+12/SN+월/NNB+·/SP+7/SN+명/NNB+)/SS+,/SP
내년	내년/NNG
상반기(3명)	상반기/NNG+(/SS+3/SN+명/NNB+)/SS
등으로	등/NNB+으로/JKB
의견이	의견/NNG+이/JKS
분분했다.	분분하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.21.7.3
하지만 재건축 초과이익환수제 도입 가능성, 대내외 변수 등을 고려해야 한다고 입을 모았다.

하지만	하지만/MAJ
재건축	재/XPN+건축/NNG
초과이익환수제	초과/NNG+이익/NNG+환수/NNG+제/XSN
도입	도입/NNG
가능성,	가능/NNG+성/XSN+,/SP
대내외	대내외/NNG
변수	변수/NNG
등을	등/NNB+을/JKO
고려해야	고려/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.7.4
김규정 NH투자증권 부동산연구위원은 “재건축은 대내외 변수에 따라 가격 부침이 큰 투자형 상품”이라며 “내년 이후 가격 변동을 살피면서 저가 매입 전략을 구사하는 것이 바람직하다”고 조언했다.

김규정	김규정/NNP
NH투자증권	NH투자증권/NNP
부동산연구위원은	부동산/NNG+연구/NNG+위원/NNG+은/JX
“재건축은	“/SS+재/XPN+건축/NNG+은/JX
대내외	대내외/NNG
변수에	변수/NNG+에/JKB
따라	따르/VV+아/EC
가격	가격/NNG
부침이	부침/NNG+이/JKS
큰	크/VA+ㄴ/ETM
투자형	투자/NNG+형/XSN
상품”이라며	상품/NNG+”/SS+이/VCP+라며/EC
“내년	“/SS+내년/NNG
이후	이후/NNG
변동을	변동/NNG+을/JKO
살피면서	살피/VV+면서/EC
저가	저가/NNG
매입	매입/NNG
전략을	전략/NNG+을/JKO
구사하는	구사/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바람직하다”고	바람직하/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.8.1
○ “청약시장, 점포 겸용 단독주택 유망”

○	○/SW
“청약시장,	“/SS+청약/NNG+시장/NNG+,/SP
점포	점포/NNG
겸용	겸용/NNG
단독주택	단독/NNG+주택/NNG
유망”	유망/NNG+”/SS


# id : NWRW1800000049.21.9.1
하반기 투자 유망 상품을 묻는 질문(중복 응답)에는 △분양·청약시장(9명) △점포 겸용 단독주택(7명) △재건축(6명) △상가(4명) △원룸·오피스텔·도시형생활주택(3명) 순으로 응답했다.

하반기	하반기/NNG
투자	투자/NNG
유망	유망/NNG
상품을	상품/NNG+을/JKO
묻는	묻/VV+는/ETM
질문(중복	질문/NNG+(/SS+중복/NNG
응답)에는	응답/NNG+)/SS+에/JKB+는/JX
△분양·청약시장(9명)	△/SW+분양/NNG+·/SP+청약/NNG+시장/NNG+(/SS+9/SN+명/NNB+)/SS
△점포	△/SW+점포/NNG
겸용	겸용/NNG
단독주택(7명)	단독/NNG+주택/NNG+(/SS+7/SN+명/NNB+)/SS
△재건축(6명)	△/SW+재/XPN+건축/NNG+(/SS+6/SN+명/NNB+)/SS
△상가(4명)	△/SW+상가/NNG+(/SS+4/SN+명/NNB+)/SS
△원룸·오피스텔·도시형생활주택(3명)	△/SW+원룸/NNG+·/SP+오피스텔/NNG+·/SP+도시/NNG+형/XSN+생활/NNG+주택/NNG+(/SS+3/SN+명/NNB+)/SS
순으로	순/NNB+으로/JKB
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.9.2
지역별로는 강남 재건축, 수도권 공공분양, 서울 인접 택지지구 등을 추천한 반면 수도권 외곽 및 지방 신규분양, 기존 주택 매매시장 등은 피하는 것이 좋다는 답변이 많았다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
강남	강남/NNP
재건축,	재/XPN+건축/NNG+,/SP
수도권	수도/NNG+권/XSN
공공분양,	공공/NNG+분양/NNG+,/SP
서울	서울/NNP
인접	인접/NNG
택지지구	택지/NNG+지구/NNG
등을	등/NNB+을/JKO
추천한	추천/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
외곽	외곽/NNG
및	및/MAG
지방	지방/NNG
신규분양,	신규/NNG+분양/NNG+,/SP
기존	기존/NNG
주택	주택/NNG
매매시장	매매/NNG+시장/NNG
등은	등/NNB+은/JX
피하는	피하/VV+는/ETM
것이	것/NNB+이/JKS
좋다는	좋/VA+다는/ETM
답변이	답변/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.21.10.1
함영진 부동산114 리서치센터장은 “7월부터 중도금 대출 규제가 시작됐지만 분양가 9억 원 이상 물량만 규제를 받는 등 실수요자에게는 다른 선택의 길이 열려 있어 유망 물량 위주의 청약 열기는 지속될 것”으로 예상했다.

함영진	함영진/NNP
부동산114	부동산114/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“7월부터	“/SS+7/SN+월/NNB+부터/JX
중도금	중도금/NNG
대출	대출/NNG
규제가	규제/NNG+가/JKS
시작됐지만	시작/NNG+되/XSV+었/EP+지만/EC
분양가	분양/NNG+가/XSN
9억	9/SN+억/NR
원	원/NNB
이상	이상/NNG
물량만	물량/NNG+만/JX
규제를	규제/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
실수요자에게는	실수요자/NNG+에게/JKB+는/JX
다른	다른/MMD
선택의	선택/NNG+의/JKG
길이	길/NNG+이/JKS
열려	열리/VV+어/EC
있어	있/VX+어/EC
유망	유망/NNG
물량	물량/NNG
위주의	위주/NNG+의/JKG
청약	청약/NNG
열기는	열기/NNG+는/JX
지속될	지속/NNG+되/XSV+ㄹ/ETM
것”으로	것/NNB+”/SS+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.11.1
최근 돈이 몰리고 있는 점포 겸용 단독주택을 추천하는 전문가들도 많았다.

최근	최근/NNG
돈이	돈/NNG+이/JKS
몰리고	몰리/VV+고/EC
있는	있/VX+는/ETM
점포	점포/NNG
겸용	겸용/NNG
단독주택을	단독/NNG+주택/NNG+을/JKO
추천하는	추천/NNG+하/XSV+는/ETM
전문가들도	전문가/NNG+들/XSN+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.21.11.2
박원갑 KB국민은행 부동산수석전문위원은 “거주하면서 상가 임대수익을 노려볼 수 있다는 점에서 베이비부머들이 관심을 가져볼 만하다”며 “다만 인터넷쇼핑몰, 대형 할인점의 등장으로 과거보다 임대수익이 떨어질 수 있다는 점은 유의해야 한다”고 말했다.

박원갑	박원갑/NNP
KB국민은행	KB국민은행/NNP
부동산수석전문위원은	부동산/NNG+수석/NNG+전문/NNG+위원/NNG+은/JX
“거주하면서	“/SS+거주/NNG+하/XSV+면서/EC
상가	상가/NNG
임대수익을	임대/NNG+수익/NNG+을/JKO
노려볼	노려보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
베이비부머들이	베이비부머/NNG+들/XSN+이/JKS
관심을	관심/NNG+을/JKO
가져볼	가지/VV+어/EC+보/VX+ㄹ/ETM
만하다”며	만/NNB+하/XSA+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
인터넷쇼핑몰,	인터넷/NNG+쇼핑몰/NNG+,/SP
대형	대형/NNG
할인점의	할인점/NNG+의/JKG
등장으로	등장/NNG+으로/JKB
과거보다	과거/NNG+보다/JKB
임대수익이	임대/NNG+수익/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
점은	점/NNG+은/JX
유의해야	유의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.21.12.1
박상언 유엔알컨설팅 대표는 “여윳돈이 1억 원 정도면 도심권 소형 아파트나 빌라, 3억 원 정도면 도심권 아파트를 전세 끼고 사거나 분양권을 구입하는 것도 괜찮다”며 “10억 원 이상이면 역세권을 중심으로 상가주택을 노려볼 만하다”고 추천했다.

박상언	박상언/NNP
유엔알컨설팅	유엔알컨설팅/NNP
대표는	대표/NNG+는/JX
“여윳돈이	“/SS+여윳돈/NNG+이/JKS
1억	1/SN+억/NR
원	원/NNB
정도면	정도/NNG+이/VCP+면/EC
도심권	도심/NNG+권/XSN
소형	소형/NNG
아파트나	아파트/NNG+나/JC
빌라,	빌라/NNG+,/SP
3억	3/SN+억/NR
아파트를	아파트/NNG+를/JKO
전세	전세/NNG
끼고	끼/VV+고/EC
사거나	사/VV+거나/EC
분양권을	분양/NNG+권/XSN+을/JKO
구입하는	구입/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
괜찮다”며	괜찮/VA+다/EF+”/SS+며/EC
“10억	“/SS+10/SN+억/NR
이상이면	이상/NNG+이/VCP+면/EC
역세권을	역세권/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
상가주택을	상가/NNG+주택/NNG+을/JKO
노려볼	노려보/VV+ㄹ/ETM
만하다”고	만/NNB+하/XSA+다/EF+”/SS+고/JKQ
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


