# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.227
metadata : {}


# id : NWRW1800000029.227.1.1
‘부부간 강제 성관계, 강간죄 성립’

‘부부간	‘/SS+부부간/NNG
“국가가	“/SS+국가/NNG+가/JKS
개입해	개입/NNG+하/XSV+아/EC
부부관계를	부부/NNG+관계/NNG+를/JKO
파탄	파탄/NNG
내는	내/VV+는/ETM
것이	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
강간으로	강간/NNG+으로/JKB
혼인	혼인/NNG
관계가	관계/NNG+가/JKS
났기	나/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이	이/MMD
죄를	죄/NNG+를/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
선을	선/NNG+을/JKO
그은	긋/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.227.9.2
미국 프랑스 영국 독일 등 선진국은 부부간의 강간이나 강제추행을 대부분 인정하고 있다.

미국	미국/NNP
프랑스	프랑스/NNP
영국	영국/NNP
독일	독일/NNP
등	등/NNB
선진국은	선진국/NNG+은/JX
부부간의	부부간/NNG+의/JKG
강간이나	강간/NNG+이나/JC
강제추행을	강제/NNG+추행/NNG+을/JKO
대부분	대/XPN+부분/NNG
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


