# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.93
metadata : {}


# id : NWRW1800000053.93.1.1
관객엔 정보, 공연계엔 짭짤한 수입… 프로그램북의 세계

관객엔	관객/NNG+에/JKB+ㄴ/JX
사진보단	사진/NNG+보다/JKB+ㄴ/JX
텍스트	텍스트/NNG
비중이	비중/NNG+이/JKS
큰	크/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.93.4.3
작품의 이해를 돕는 전문가 및 연출가, 제작진의 글과 출연 배우의 프로필 등이 담긴다.

작품의	작품/NNG+의/JKG
이해를	이해/NNG+를/JKO
돕는	돕/VV+는/ETM
전문가	전문가/NNG
및	및/MAG
연출가,	연출가/NNG+,/SP
제작진의	제작진/NNG+의/JKG
글과	글/NNG+과/JC
출연	출연/NNG
배우의	배우/NNG+의/JKG
프로필	프로필/NNG
등이	등/NNB+이/JKS
담긴다.	담기/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.4.4
가격대는 3000∼5000원 선이다.

가격대는	가격대/NNG+는/JX
3000∼5000원	3000/SN+∼/SO+5000/SN+원/NNB
선이다.	선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.93.5.1
특히 국립극단 프로그램 북은 공연 마니아들 사이에서 ‘가성비 갑’으로 꼽힌다.

특히	특히/MAG
국립극단	국립극단/NNP
프로그램	프로그램/NNG
북은	북/NNG+은/JX
공연	공연/NNG
마니아들	마니아/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
‘가성비	‘/SS+가성비/NNG
갑’으로	갑/NNG+’/SS+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.5.2
작품 정보와 기본적인 줄거리, 평론가 및 학자들의 작품 분석 글, 연출 및 배우 인터뷰, 무대 및 의상 디자인 스케치 등이 빠지지 않고 실린다.

작품	작품/NNG
정보와	정보/NNG+와/JC
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
줄거리,	줄거리/NNG+,/SP
평론가	평론가/NNG
및	및/MAG
학자들의	학자/NNG+들/XSN+의/JKG
분석	분석/NNG
글,	글/NNG+,/SP
연출	연출/NNG
배우	배우/NNG
인터뷰,	인터뷰/NNG+,/SP
무대	무대/NNG
의상	의상/NNG
디자인	디자인/NNG
스케치	스케치/NNG
등이	등/NNB+이/JKS
빠지지	빠지/VV+지/EC
않고	않/VX+고/EC
실린다.	실리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.5.3
국립극단 지민주 PD는 “지난해 명동예술극장에서 공연된 연극 ‘아버지’와 ‘어머니’는 노년의 심리 문제를 다룬 작품이라 심리학자와 정신건강의학과 전문의 등으로부터 노년 심리를 분석한 글을 받아 프로그램 북에 실었다”며 “연쇄살인범의 실화를 바탕으로 한 ‘로베르토 주코’는 실제 사건에 대한 이야기, ‘메디아’는 신화를 분석한 전문가의 글을 실어 좋은 반응을 얻었다”고 말했다.

국립극단	국립극단/NNP
지민주	지민주/NNP
PD는	PD/SL+는/JX
“지난해	“/SS+지난해/NNG
명동예술극장에서	명동예술극장/NNP+에서/JKB
공연된	공연/NNG+되/XSV+ㄴ/ETM
연극	연극/NNG
‘아버지’와	‘/SS+아버지/NNG+’/SS+와/JC
‘어머니’는	‘/SS+어머니/NNG+’/SS+는/JX
노년의	노년/NNG+의/JKG
심리	심리/NNG
문제를	문제/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
작품이라	작품/NNG+이/VCP+라/EC
심리학자와	심리학자/NNG+와/JC
정신건강의학과	정신/NNG+건강/NNG+의학과/NNG
전문의	전문의/NNG
등으로부터	등/NNB+으로부터/JKB
노년	노년/NNG
심리를	심리/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
글을	글/NNG+을/JKO
받아	받/VV+아/EC
프로그램	프로그램/NNG
북에	북/NNG+에/JKB
실었다”며	싣/VV+었/EP+다/EF+”/SS+며/EC
“연쇄살인범의	“/SS+연쇄/NNG+살인범/NNG+의/JKG
실화를	실화/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘로베르토	‘/SS+로베르토/NNP
주코’는	주코/NNP+’/SS+는/JX
실제	실제/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기,	이야기/NNG+,/SP
‘메디아’는	‘/SS+메디아/NNP+’/SS+는/JX
신화를	신화/NNG+를/JKO
전문가의	전문가/NNG+의/JKG
실어	싣/VV+어/EC
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻었다”고	얻/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.93.5.4
실제 동아연극상 대상작인 ‘조씨고아 복수의 씨앗’의 프로그램 북 2500부가 전부 팔린 것을 비롯해 ‘갈매기’(2200부), ‘겨울이야기’(1200부), ‘시련’(2400부), ‘문제적 인간 연산’(2700부), ‘리어왕’(2300부) 공연 프로그램 북도 매진 기록을 세웠다.

실제	실제/MAG
동아연극상	동아/NNP+연극상/NNG
대상작인	대상작/NNG+이/VCP+ㄴ/ETM
‘조씨고아	‘/SS+조/NNP+씨/NNB+고아/NNG
복수의	복수/NNG+의/JKG
씨앗’의	씨앗/NNG+’/SS+의/JKG
프로그램	프로그램/NNG
북	북/NNG
2500부가	2500/SN+부/NNB+가/JKS
전부	전부/MAG
팔린	팔리/VV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
‘갈매기’(2200부),	‘/SS+갈매기/NNP+’/SS+(/SS+2200/SN+부/NNB+)/SS+,/SP
‘겨울이야기’(1200부),	‘/SS+겨울/NNG+이야기/NNG+’/SS+(/SS+1200/SN+부/NNB+)/SS+,/SP
‘시련’(2400부),	‘/SS+시련/NNG+’/SS+(/SS+2400/SN+부/NNB+)/SS+,/SP
‘문제적	‘/SS+문제/NNG+적/XSN
인간	인간/NNG
연산’(2700부),	연산/NNG+’/SS+(/SS+2700/SN+부/NNB+)/SS+,/SP
‘리어왕’(2300부)	‘/SS+리어왕/NNP+’/SS+(/SS+2300/SN+부/NNB+)/SS
공연	공연/NNG
북도	북/NNG+도/JX
매진	매진/NNG
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.93.6.1
뮤지컬 프로그램 북은 ‘화보집’에 가깝다.

뮤지컬	뮤지컬/NNG
프로그램	프로그램/NNG
북은	북/NNG+은/JX
‘화보집’에	‘/SS+화보집/NNG+’/SS+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000053.93.6.2
배우와 화려한 무대, 공연 장면 사진 위주다.

배우와	배우/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
무대,	무대/NNG+,/SP
공연	공연/NNG
장면	장면/NNG
사진	사진/NNG
위주다.	위주/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.93.6.3
가격대는 1만∼2만 원 선.

가격대는	가격대/NNG+는/JX
1만∼2만	1/SN+만/NR+∼/SO+2/SN+만/NR
원	원/NNB
선.	선/NNG+./SF


# id : NWRW1800000053.93.6.4
뮤지컬 ‘보디가드’의 프로그램 북을 기획·제작한 랑의 조수곤 과장은 “배우와 공연 장면 위주의 사진뿐 아니라 해외에서 들어온 라이선스 작품은 해외 매체의 리뷰와 프로덕션 관계자들의 작품 분석, 한국 제작진의 소개 글 등을 함께 배치한다”고 했다.

뮤지컬	뮤지컬/NNG
‘보디가드’의	‘/SS+보디가드/NNP+’/SS+의/JKG
프로그램	프로그램/NNG
북을	북/NNG+을/JKO
기획·제작한	기획/NNG+·/SP+제작/NNG+하/XSV+ㄴ/ETM
랑의	랑/NNP+의/JKG
조수곤	조수곤/NNP
과장은	과장/NNG+은/JX
“배우와	“/SS+배우/NNG+와/JC
공연	공연/NNG
장면	장면/NNG
위주의	위주/NNG+의/JKG
사진뿐	사진/NNG+뿐/JX
아니라	아니/VCN+라/EC
해외에서	해외/NNG+에서/JKB
들어온	들어오/VV+ㄴ/ETM
라이선스	라이선스/NNG
작품은	작품/NNG+은/JX
해외	해외/NNG
매체의	매체/NNG+의/JKG
리뷰와	리뷰/NNG+와/JC
프로덕션	프로덕션/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
작품	작품/NNG
분석,	분석/NNG+,/SP
한국	한국/NNP
제작진의	제작진/NNG+의/JKG
소개	소개/NNG
글	글/NNG
등을	등/NNB+을/JKO
함께	함께/MAG
배치한다”고	배치/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.93.6.5
사진이 많이 사용돼 사진 선택도 여러 단계를 거친다.

사진이	사진/NNG+이/JKS
많이	많이/MAG
사용돼	사용/NNG+되/XSV+어/EC
사진	사진/NNG
선택도	선택/NNG+도/JX
여러	여러/MMN
단계를	단계/NNG+를/JKO
거친다.	거치/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.6.6
사진작가가 배우당 200∼300장의 사진을 골라 기획자에게 전달하면 기획자는 그중 50∼100장을 추린다.

사진작가가	사진작가/NNG+가/JKS
배우당	배우/NNG+당/XSN
200∼300장의	200/SN+∼/SO+300/SN+장/NNB+의/JKG
사진을	사진/NNG+을/JKO
골라	고르/VV+아/EC
기획자에게	기획자/NNG+에게/JKB
전달하면	전달/NNG+하/XSV+면/EC
기획자는	기획자/NNG+는/JX
그중	그중/NNG
50∼100장을	50/SN+∼/SO+100/SN+장/NNB+을/JKO
추린다.	추리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.6.7
이후 배우와 소속사에서 선택한 사진을 바탕으로 프로그램 북이 구성된다.

이후	이후/NNG
배우와	배우/NNG+와/JC
소속사에서	소속사/NNG+에서/JKB
선택한	선택/NNG+하/XSV+ㄴ/ETM
사진을	사진/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
프로그램	프로그램/NNG
북이	북/NNG+이/JKS
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.7.1
프로그램 북 사진 구성을 놓고 배우 사이에 웃지 못할 ‘신경전’도 벌어진다.

프로그램	프로그램/NNG
북	북/NNG
사진	사진/NNG
구성을	구성/NNG+을/JKO
놓고	놓/VV+고/EC
배우	배우/NNG
사이에	사이/NNG+에/JKB
웃지	웃/VV+지/EC
못할	못하/VX+ㄹ/ETM
‘신경전’도	‘/SS+신경전/NNG+’/SS+도/JX
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.93.7.2
한 공연 관계자는 “같은 배역에 더블 캐스팅된 배우들 사이에선 누가 더 비중 있게 프로그램 북 사진이 실리느냐를 놓고 예민한 반응을 보인다”고 전했다.

한	한/MMN
공연	공연/NNG
관계자는	관계자/NNG+는/JX
“같은	“/SS+같/VA+은/ETM
배역에	배역/NNG+에/JKB
더블	더블/NNG
캐스팅된	캐스팅/NNG+되/XSV+ㄴ/ETM
배우들	배우/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
누가	누구/NP+가/JKS
더	더/MAG
비중	비중/NNG
있게	있/VA+게/EC
프로그램	프로그램/NNG
북	북/NNG
사진이	사진/NNG+이/JKS
실리느냐를	실리/VV+느냐/EF+를/JKO
놓고	놓/VV+고/EC
예민한	예민하/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.93.7.3
연극계 사정도 비슷하다.

연극계	연극/NNG+계/XSN
사정도	사정/NNG+도/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000053.93.7.4
한 관계자는 “비슷한 인기도의 배우들이 한꺼번에 출연해 프로그램 북의 사진 컷 수를 배우별로 동일하게 넣었다”고 귀띔했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
“비슷한	“/SS+비슷하/VA+ㄴ/ETM
인기도의	인기도/NNG+의/JKG
배우들이	배우/NNG+들/XSN+이/JKS
한꺼번에	한꺼번에/MAG
출연해	출연/NNG+하/XSV+아/EC
프로그램	프로그램/NNG
북의	북/NNG+의/JKG
사진	사진/NNG
컷	컷/NNG
수를	수/NNG+를/JKO
배우별로	배우/NNG+별/XSN+로/JKB
동일하게	동일/NNG+하/XSA+게/EC
넣었다”고	넣/VV+었/EP+다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


