# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.350
metadata : {}


# id : NWRW1800000046.350.1.1
與 "이석기 사면 해명하라" 野 "또 從北 색깔론"

與	與/SH
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
당시	당시/NNG
민정수석이던	민정/NNG+수석/NNG+이/VCP+던/ETM
문재인	문재인/NNP
(새정치민주연합)	(/SS+새정치민주연합/NNP+)/SS
대표에게	대표/NNG+에게/JKB
해명을	해명/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.350.3.2
전날에도 김 대표는 "이 전 의원이 국회에 진출할 수 있게 도와준 정당은 새정치연합"이라면서 "이석기란 사람은 동부연합이란 지하 종북단체를 만들어서 우리 사회를 분열시키는 활동을 하다가 구속된 적이 있는데, 노무현 정부 때 사면 복권됐다"고 했다.

전날에도	전날/NNG+에/JKB+도/JX
김	김/NNP
대표는	대표/NNG+는/JX
"이	"/SS+이/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
국회에	국회/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
도와준	도와주/VV+ㄴ/ETM
정당은	정당/NNG+은/JX
새정치연합"이라면서	새정치연합/NNP+"/SS+이/VCP+라면서/EC
"이석기란	"/SS+이석기/NNP+란/JX
사람은	사람/NNG+은/JX
동부연합이란	동부/NNG+연합/NNG+이/VCP+란/ETM
지하	지하/NNG
종북단체를	종북/NNG+단체/NNG+를/JKO
만들어서	만들/VV+어서/EC
우리	우리/NP
사회를	사회/NNG+를/JKO
분열시키는	분열/NNG+시키/XSV+는/ETM
활동을	활동/NNG+을/JKO
하다가	하/VV+다가/EC
구속된	구속/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있는데,	있/VA+는데/EC+,/SP
노무현	노무현/NNP
정부	정부/NNG
때	때/NNG
사면	사면/NNG
복권됐다"고	복권/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.350.3.3
이번 재·보선은 통진당 해산으로 인해 치러지는데, 성남 중원에 무소속으로 출마한 통진당 출신인 김미희 전 의원을 겨냥하면서, 2012년 총선 때 통진당과 연대한 새정치연합도 공격한 것이다.

이번	이번/NNG
재·보선은	재·보선/NNG+은/JX
통진당	통진당/NNP
해산으로	해산/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
치러지는데,	치르/VV+어/EC+지/VX+는데/EC+,/SP
성남	성남/NNP
중원에	중원/NNP+에/JKB
무소속으로	무/XPN+소속/NNG+으로/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
출신인	출신/NNG+이/VCP+ㄴ/ETM
김미희	김미희/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
겨냥하면서,	겨냥/NNG+하/XSV+면서/EC+,/SP
2012년	2012/SN+년/NNB
총선	총선/NNG
때	때/NNG
통진당과	통진당/NNP+과/JKB
연대한	연대/NNG+하/XSV+ㄴ/ETM
새정치연합도	새정치연합/NNP+도/JX
공격한	공격/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.350.4.1
이에 대해 새정치연합 김성수 대변인은 "김무성 대표의 종북몰이, 색깔론은 습관적으로 재발하는 치명적인 불치병"이라며 "국민을 분열시키는 저급한 구태 정치의 전형"이라고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
새정치연합	새정치연합/NNP
김성수	김성수/NNP
대변인은	대변인/NNG+은/JX
"김무성	"/SS+김무성/NNP
대표의	대표/NNG+의/JKG
종북몰이,	종북/NNG+몰이/NNG+,/SP
색깔론은	색깔/NNG+론/XSN+은/JX
습관적으로	습관/NNG+적/XSN+으로/JKB
재발하는	재발/NNG+하/XSV+는/ETM
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
불치병"이라며	불치병/NNG+"/SS+이/VCP+라며/EC
"국민을	"/SS+국민/NNG+을/JKO
분열시키는	분열/NNG+시키/XSV+는/ETM
저급한	저급/NNG+하/XSA+ㄴ/ETM
구태	구태/NNG
정치의	정치/NNG+의/JKG
전형"이라고	전형/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.350.4.2
전날 논평에서는 "특별사면은 국민 통합을 위한 대통령의 고유 권한으로 공안 사범도 포함되는 것은 너무도 당연하다. 게다가 이석기씨의 내란 음모 같은 혐의는 드러나기 훨씬 전의 일"이라며 "이런 식이면 새누리당은 이명박 정권에서 이건희 삼성 회장이 혼자 단독으로 사면을 받은 내막부터 먼저 털어놓아야 할 것"이라고 했다.

전날	전날/NNG
논평에서는	논평/NNG+에서/JKB+는/JX
"특별사면은	"/SS+특별/NNG+사면/NNG+은/JX
국민	국민/NNG
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대통령의	대통령/NNG+의/JKG
고유	고유/NNG
권한으로	권한/NNG+으로/JKB
공안	공안/NNG
사범도	사범/NNG+도/JX
포함되는	포함/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
너무도	너무/MAG+도/JX
당연하다.	당연/NNG+하/XSA+다/EF+./SF
게다가	게다가/MAG
이석기씨의	이석기/NNP+씨/NNB+의/JKG
내란	내란/NNG
음모	음모/NNG
같은	같/VA+은/ETM
혐의는	혐의/NNG+는/JX
드러나기	드러나/VV+기/ETN
훨씬	훨씬/MAG
전의	전/NNG+의/JKG
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"이런	"/SS+이런/MMD
식이면	식/NNB+이/VCP+면/EC
새누리당은	새누리당/NNP+은/JX
이명박	이명박/NNP
정권에서	정권/NNG+에서/JKB
이건희	이건희/NNP
삼성	삼성/NNP
회장이	회장/NNG+이/JKS
혼자	혼자/MAG
단독으로	단독/NNG+으로/JKB
사면을	사면/NNG+을/JKO
받은	받/VV+은/ETM
내막부터	내막/NNG+부터/JX
먼저	먼저/MAG
털어놓아야	털어놓/VV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


