# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.346
metadata : {}


# id : NWRW1800000041.346.1.1
비대위장 박영선 ‘어정쩡’ 한달

비대위장	비대위장/NNG
어렵사리	어렵사리/MAG
두	두/MMN
차례	차례/NNG
세월호	세월호/NNP
특별법	특별법/NNG
협상안을	협상안/NNG+을/JKO
도출했지만	도출/NNG+하/XSV+았/EP+지만/EC
유족들의	유족/NNG+들/XSN+의/JKG
거부로	거부/NNG+로/JKB
협상	협상/NNG
주도권을	주도/NNG+권/XSN+을/JKO
놓아버렸고,	놓/VV+아/EC+버리/VX+었/EP+고/EC+,/SP
장외로	장외/NNG+로/JKB
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.346.5.5
당 지지율이 창당 직후에 비해 반 토막 난 것은 당내 강경파와 온건파 틈새에서 어정쩡한 박 원내대표의 갈지자 행보와 무관치 않다는 지적이 나온다.

당	당/NNG
지지율이	지지/NNG+율/XSN+이/JKS
창당	창당/NNG
직후에	직후/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
반	반/NNG
토막	토막/NNG
난	나/VV+ㄴ/ETM
것은	것/NNB+은/JX
당내	당내/NNG
강경파와	강경파/NNG+와/JKB
온건파	온건파/NNG
틈새에서	틈새/NNG+에서/JKB
어정쩡한	어정쩡/MAG+하/XSA+ㄴ/ETM
박	박/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
갈지자	갈지자/NNG
행보와	행보/NNG+와/JKB
무관치	무관하/VA+지/EC
않다는	않/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.346.6.1
당내 일각에선 비대위원장직을 내놓아야 하는 것 아니냐는 목소리도 흘러나와 박 원내대표 측은 촉각을 곤두세우고 있다.

당내	당내/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
비대위원장직을	비대위원장/NNG+직/NNG+을/JKO
내놓아야	내놓/VV+아야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
목소리도	목소리/NNG+도/JX
흘러나와	흘러나오/VV+아/EC
박	박/NNP
원내대표	원내/NNG+대표/NNG
측은	측/NNB+은/JX
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.346.6.2
한 재선 의원은 “박 원내대표는 갈팡질팡하는 줄타기 행보를 중단해야 한다.

한	한/MMN
재선	재선/NNG
의원은	의원/NNG+은/JX
“박	“/SS+박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
갈팡질팡하는	갈팡질팡/MAG+하/XSV+는/ETM
줄타기	줄타기/NNG
행보를	행보/NNG+를/JKO
중단해야	중단/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.346.6.3
뚝심을 발휘해야 당도 살고 박 원내대표도 살 수 있다”고 조언했다.

뚝심을	뚝심/NNG+을/JKO
발휘해야	발휘/NNG+하/XSV+아야/EC
당도	당/NNG+도/JX
살고	살/VV+고/EC
박	박/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
살	살/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


