# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.242
metadata : {}


# id : NWRW1800000022.242.1.1
"환경 경영 실천"… 汎포스코 녹색성장위원회 출범

"환경	"/SS+환경/NNG
출자사	출자사/NNG
대표	대표/NNG
10명으로	10/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
위원회는	위원회/NNG+는/JX
산하에	산하/NNG+에/JKB
▲저탄소	▲/SW+저/XPN+탄소/NNG
철강기술	철강/NNG+기술/NNG
▲기후변화	▲/SW+기후/NNG+변화/NNG
대응	대응/NNG
▲신재생에너지	▲/SW+신/XPN+재생/NNG+에너지/NNG
▲녹색	▲/SW+녹색/NNG
신성장사업	신/XPN+성장/NNG+사업/NNG
4개	4/SN+개/NNB
분과를	분과/NNG+를/JKO
두고	두/VV+고/EC
과제별	과제/NNG+별/XSN
전략수립과	전략/NNG+수립/NNG+과/JC
추진상황을	추진/NNG+상황/NNG+을/JKO
분기별로	분기/NNG+별/XSN+로/JKB
점검할	점검/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.242.4.1
예컨대 저탄소 철강기술 분과는 혁신적인 이산화탄소 배출 축소와 수소환원 제철법 기술개발 전략을 담당하고, 녹색 신성장분과는 저탄소 일관제철기술 패키지의 고유 브랜드화를 통한 해외 사업진출 전략을 담당한다.

예컨대	예컨대/MAG
저탄소	저/XPN+탄소/NNG
철강기술	철강/NNG+기술/NNG
분과는	분과/NNG+는/JX
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
이산화탄소	이산화/NNG+탄소/NNG
배출	배출/NNG
축소와	축소/NNG+와/JC
수소환원	수소/NNG+환원/NNG
제철법	제철법/NNG
기술개발	기술/NNG+개발/NNG
전략을	전략/NNG+을/JKO
담당하고,	담당/NNG+하/XSV+고/EC+,/SP
녹색	녹색/NNG
신성장분과는	신/XPN+성장/NNG+분과/NNG+는/JX
일관제철기술	일관/NNG+제철/NNG+기술/NNG
패키지의	패키지/NNG+의/JKG
고유	고유/NNG
브랜드화를	브랜드/NNG+화/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
해외	해외/NNG
사업진출	사업/NNG+진출/NNG
담당한다.	담당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.242.5.1
포스코는 이날 출범식에서 녹색성장 비전을 '글로벌 녹색성장 리더(Global Green Growth Leader)로 명명하고, 저탄소체제 구축을 통한 철강업계 최고의 경쟁우위 지속과 비철강 분야 신성장 동력 확보를 위한 범포스코 녹색성장 마스터플랜을 오는 10월 수립할 계획이라고 밝혔다.

포스코는	포스코/NNP+는/JX
이날	이날/NNG
출범식에서	출범식/NNG+에서/JKB
녹색성장	녹색/NNG+성장/NNG
비전을	비전/NNG+을/JKO
'글로벌	'/SS+글로벌/NNG
리더(Global	리더/NNG+(/SS+Global/SL
Green	Green/SL
Growth	Growth/SL
Leader)로	Leader/SL+)/SS+로/JKB
명명하고,	명명/NNG+하/XSV+고/EC+,/SP
저탄소체제	저/XPN+탄소/NNG+체제/NNG
구축을	구축/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
철강업계	철강업/NNG+계/XSN
최고의	최고/NNG+의/JKG
경쟁우위	경쟁/NNG+우위/NNG
지속과	지속/NNG+과/JC
비철강	비/XPN+철강/NNG
분야	분야/NNG
신성장	신/XPN+성장/NNG
동력	동력/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
범포스코	범/XPN+포스코/NNP
마스터플랜을	마스터플랜/NNG+을/JKO
오는	오/VV+는/ETM
10월	10/SN+월/NNB
수립할	수립/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.242.6.1
정 회장은 "철강산업에서의 윤리경영은 저탄소 녹색성장이란 생각으로 환경경영을 통해 새로운 21세기 윤리경영을 뿌리내리도록 하자"고 강조했다.

정	정/NNP
회장은	회장/NNG+은/JX
"철강산업에서의	"/SS+철강/NNG+산업/NNG+에서/JKB+의/JKG
윤리경영은	윤리/NNG+경영/NNG+은/JX
저탄소	저/XPN+탄소/NNG
녹색성장이란	녹색/NNG+성장/NNG+이/VCP+란/ETM
생각으로	생각/NNG+으로/JKB
환경경영을	환경/NNG+경영/NNG+을/JKO
통해	통하/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
21세기	21/SN+세기/NNG
윤리경영을	윤리/NNG+경영/NNG+을/JKO
뿌리내리도록	뿌리내리/VV+도록/EC
하자"고	하/VV+자/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


