# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.57
metadata : {}


# id : NWRW1800000046.57.1.1
한뼘 '더' 우아해진 언니의 '더' 私的인 이야기

한뼘	한/MMN+뼘/NNB
버스와	버스/NNG+와/JKB
맨몸으로	맨/XPN+몸/NNG+으로/JKB
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.57.6.2
여러 번 수술을 받았고, 지난해에야 겨우 마지막 철심을 다리에서 뽑아낼 만큼 큰 사고였다.

여러	여러/MMN
번	번/NNB
수술을	수술/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
지난해에야	지난해/NNG+에/JKB+야/JX
겨우	겨우/MAG
마지막	마지막/NNG
철심을	철심/NNG+을/JKO
다리에서	다리/NNG+에서/JKB
뽑아낼	뽑아내/VV+ㄹ/ETM
만큼	만큼/NNB
큰	크/VA+ㄴ/ETM
사고였다.	사고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.57.6.3
인간관계도 힘들었고, 몸과 마음은 모두 흔들렸다.

인간관계도	인간관계/NNG+도/JX
힘들었고,	힘들/VA+었/EP+고/EC+,/SP
몸과	몸/NNG+과/JC
마음은	마음/NNG+은/JX
모두	모두/MAG
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.57.6.4
흉터가 아물기 시작한 계기는 이 에세이스트의 2005~2010년 블로그를 '박박 긁어' 산더미 같은 원고 뭉치를 출력해온 후배 시인 김민정(40)의 등장.

흉터가	흉터/NNG+가/JKS
아물기	아물/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
계기는	계기/NNG+는/JX
이	이/MMD
에세이스트의	에세이스트/NNG+의/JKG
2005~2010년	2005/SN+~/SO+2010/SN+년/NNB
블로그를	블로그/NNG+를/JKO
'박박	'/SS+박박/MAG
긁어'	긁/VV+어/EC+'/SS
산더미	산더미/NNG
같은	같/VA+은/ETM
원고	원고/NNG
뭉치를	뭉치/NNG+를/JKO
출력해온	출력/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
후배	후배/NNG
시인	시인/NNG
김민정(40)의	김민정/NNP+(/SS+40/SN+)/SS+의/JKG
등장.	등장/NNG+./SF


# id : NWRW1800000046.57.6.5
동생은 "글로 언니를 재활시키고 싶었다"고 했다.

동생은	동생/NNG+은/JX
"글로	"/SS+글/NNG+로/JKB
언니를	언니/NNG+를/JKO
재활시키고	재활/NNG+시키/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.57.7.1
이 소심한 화랑 주인에게 주목하는 이유가 있다.

이	이/MMD
소심한	소심하/VA+ㄴ/ETM
화랑	화랑/NNG
주인에게	주인/NNG+에게/JKB
주목하는	주목/NNG+하/XSV+는/ETM
이유가	이유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.57.7.2
박상미의 첫 책 '뉴요커'가 나온 건 2004년.

박상미의	박상미/NNP+의/JKG
첫	첫/MMN
책	책/NNG
'뉴요커'가	'/SS+뉴요커/NNP+'/SS+가/JKS
나온	나오/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
2004년.	2004/SN+년/NNB+./SF


# id : NWRW1800000046.57.7.3
메트로폴리탄 미술관의 화가 베르메르(1632~1675)와 맨해튼의 영화감독 우디 앨런(80)을 뉴욕 여성의 T팬티 몰락과 엮어 쓰는 에세이스트라니.

메트로폴리탄	메트로폴리탄/NNP
미술관의	미술관/NNG+의/JKG
화가	화가/NNG
베르메르(1632~1675)와	베르메르/NNP+(/SS+1632/SN+~/SO+1675/SN+)/SS+와/JC
맨해튼의	맨해튼/NNP+의/JKG
영화감독	영화감독/NNG
우디	우디/NNP
앨런(80)을	앨런/NNP+(/SS+80/SN+)/SS+을/JKO
뉴욕	뉴욕/NNP
여성의	여성/NNG+의/JKG
T팬티	T/SL+팬티/NNG
몰락과	몰락/NNG+과/JKB
엮어	엮/VV+어/EC
쓰는	쓰/VV+는/ETM
에세이스트라니.	에세이스트/NNG+이/VCP+라니/EF+./SF


# id : NWRW1800000046.57.7.4
역시 지독하게 사적인데도, 묘하게 끌리는 문장이었다.

역시	역시/MAG
지독하게	지독하/VA+게/EC
사적인데도,	사/NNG+적/XSN+이/VCP+ㄴ데/EC+도/JX+,/SP
묘하게	묘하/VA+게/EC
끌리는	끌리/VV+는/ETM
문장이었다.	문장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.57.7.5
서울의 구반포와 신촌에서 초·중·고·대학을 마치고 뉴욕에서 미술과 미술사를 공부한 이 예외적 감각과 재능은, 곧 장르를 가로지르는 출판계의 프러포즈를 받았다.

서울의	서울/NNP+의/JKG
구반포와	구/XPN+반포/NNP+와/JC
신촌에서	신촌/NNP+에서/JKB
초·중·고·대학을	초·중·고/NNG+·/SP+대학/NNG+을/JKO
마치고	마치/VV+고/EC
뉴욕에서	뉴욕/NNP+에서/JKB
미술과	미술/NNG+과/JC
미술사를	미술사/NNG+를/JKO
공부한	공부/NNG+하/XSV+ㄴ/ETM
이	이/MMD
예외적	예외/NNG+적/XSN
감각과	감각/NNG+과/JC
재능은,	재능/NNG+은/JX+,/SP
곧	곧/MAG
장르를	장르/NNG+를/JKO
가로지르는	가로지르/VV+는/ETM
출판계의	출판/NNG+계/XSN+의/JKG
프러포즈를	프러포즈/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.57.7.6
'작가들의 작가'로 존경받는 미국 소설가 제임스 설터(89)와 "부끄러울 만큼 설터에게 빚을 졌다"고 고백한 퓰리처상 작가 줌파 라히리의 책을 번역했고, '함께 밥먹기'라는 트렌드를 세계에 퍼뜨린 킨포크(Kinfolk)의 라이프스타일, 에드워드 호퍼의 쓸쓸하고 심란한 그림들, 일반인과 유명 인사의 패션 격차를 없애는 사진으로 이름난 스콧 슈만의 '사토리얼리스트'를 국내에 처음 글로 옮긴 것도 그였다.

'작가들의	'/SS+작가/NNG+들/XSN+의/JKG
작가'로	작가/NNG+'/SS+로/JKB
존경받는	존경/NNG+받/XSV+는/ETM
미국	미국/NNP
소설가	소설가/NNG
제임스	제임스/NNP
설터(89)와	설터/NNP+(/SS+89/SN+)/SS+와/JC
"부끄러울	"/SS+부끄럽/VA+ㄹ/ETM
만큼	만큼/NNB
설터에게	설터/NNP+에게/JKB
빚을	빚/NNG+을/JKO
졌다"고	지/VV+었/EP+다/EF+"/SS+고/JKQ
고백한	고백/NNG+하/XSV+ㄴ/ETM
퓰리처상	퓰리처상/NNG
작가	작가/NNG
줌파	줌파/NNP
라히리의	라히리/NNP+의/JKG
책을	책/NNG+을/JKO
번역했고,	번역/NNG+하/XSV+았/EP+고/EC+,/SP
'함께	'/SS+함께/MAG
밥먹기'라는	밥/NNG+먹/VV+기/ETN+'/SS+이/VCP+라는/ETM
트렌드를	트렌드/NNG+를/JKO
세계에	세계/NNG+에/JKB
퍼뜨린	퍼뜨리/VV+ㄴ/ETM
킨포크(Kinfolk)의	킨포크/NNG+(/SS+Kinfolk/SL+)/SS+의/JKG
라이프스타일,	라이프스타일/NNG+,/SP
에드워드	에드워드/NNP
호퍼의	호퍼/NNP+의/JKG
쓸쓸하고	쓸쓸하/VA+고/EC
심란한	심란하/VA+ㄴ/ETM
그림들,	그림/NNG+들/XSN+,/SP
일반인과	일반인/NNG+과/JC
유명	유명/NNG
인사의	인사/NNG+의/JKG
패션	패션/NNG
격차를	격차/NNG+를/JKO
없애는	없애/VV+는/ETM
사진으로	사진/NNG+으로/JKB
이름난	이름나/VV+ㄴ/ETM
스콧	스콧/NNP
슈만의	슈만/NNP+의/JKG
'사토리얼리스트'를	'/SS+사토리얼리스트/NNG+'/SS+를/JKO
국내에	국내/NNG+에/JKB
처음	처음/NNG
글로	글/NNG+로/JKB
옮긴	옮기/VV+ㄴ/ETM
것도	것/NNB+도/JX
그였다.	그/NP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.57.7.7
말하자면 박상미의 번역 리스트는, 눈치 빠른 국내 젊은 예술가와 트렌드 세터들이 아껴 읽는 '필독 리스트'였다.

말하자면	말/NNG+하/XSV+자면/EC
박상미의	박상미/NNP+의/JKG
번역	번역/NNG
리스트는,	리스트/NNG+는/JX+,/SP
눈치	눈치/NNG
빠른	빠르/VA+ㄴ/ETM
국내	국내/NNG
젊은	젊/VA+은/ETM
예술가와	예술가/NNG+와/JC
트렌드	트렌드/NNG
세터들이	세터/NNG+들/XSN+이/JKS
아껴	아끼/VV+어/EC
읽는	읽/VV+는/ETM
'필독	'/SS+필독/NNG
리스트'였다.	리스트/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.57.8.1
'나의 사적인 도시' 역시 뉴욕에서의 예술 에세이다.

'나의	'/SS+나/NP+의/JKG
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
도시'	도시/NNG+'/SS
역시	역시/MAG
뉴욕에서의	뉴욕/NNP+에서/JKB+의/JKG
예술	예술/NNG
에세이다.	에세이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.57.8.2
11년 전 '뉴요커'를 쓸 당시 그의 첫 소감은 '무단횡단'.

11년	11/SN+년/NNB
전	전/NNG
'뉴요커'를	'/SS+뉴요커/NNP+'/SS+를/JKO
쓸	쓰/VV+ㄹ/ETM
당시	당시/NNG
그의	그/NP+의/JKG
첫	첫/MMN
소감은	소감/NNG+은/JX
'무단횡단'.	'/SS+무단/NNG+횡단/NNG+'/SS+./SF


# id : NWRW1800000046.57.8.3
초심자의 쑥스러움 혹은 머뭇거림이랄까.

초심자의	초심자/NNG+의/JKG
쑥스러움	쑥스럽/VA+ㅁ/ETN
혹은	혹은/MAG
머뭇거림이랄까.	머뭇거리/VV+ㅁ/ETN+이/VCP+랄까/EF+./SF


# id : NWRW1800000046.57.8.4
하지만 이번 책에서 그는 한뼘 더 우아하고, 한층 더 정밀하게 뉴욕을 걷는다.

하지만	하지만/MAJ
이번	이번/NNG
책에서	책/NNG+에서/JKB
그는	그/NP+는/JX
한뼘	한/MMN+뼘/NNB
더	더/MAG
우아하고,	우아하/VA+고/EC+,/SP
한층	한층/MAG
정밀하게	정밀/NNG+하/XSA+게/EC
뉴욕을	뉴욕/NNP+을/JKO
걷는다.	걷/VV+는다/EF+./SF


# id : NWRW1800000046.57.8.5
몰락한 디자이너 헬무트 랭을 연민할 때, 자신이 번역한 작가 설터와 구운 새우를 나눠 먹을 때, 그의 글은 한결 더 아늑하다.

몰락한	몰락/NNG+하/XSV+ㄴ/ETM
디자이너	디자이너/NNG
헬무트	헬무트/NNP
랭을	랭/NNP+을/JKO
연민할	연민/NNG+하/XSV+ㄹ/ETM
때,	때/NNG+,/SP
자신이	자신/NNG+이/JKS
번역한	번역/NNG+하/XSV+ㄴ/ETM
작가	작가/NNG
설터와	설터/NNP+와/JKB
구운	굽/VV+ㄴ/ETM
새우를	새우/NNG+를/JKO
나눠	나누/VV+어/EC
먹을	먹/VV+을/ETM
그의	그/NP+의/JKG
글은	글/NNG+은/JX
한결	한결/MAG
더	더/MAG
아늑하다.	아늑하/VA+다/EF+./SF


# id : NWRW1800000046.57.9.1
이번 책에는 'subtlety'를 다룬 장(章)이 등장한다.

이번	이번/NNG
책에는	책/NNG+에/JKB+는/JX
'subtlety'를	'/SS+subtlety/SL+'/SS+를/JKO
다룬	다루/VV+ㄴ/ETM
장(章)이	장/NNG+(/SS+章/SH+)/SS+이/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.57.9.2
우리 말로는 미묘함이랄까.

우리	우리/NP
말로는	말/NNG+로/JKB+는/JX
미묘함이랄까.	미묘하/VA+ㅁ/ETN+이/VCP+랄까/EF+./SF


# id : NWRW1800000046.57.9.3
소수의 몇몇을 제외하면 놓치고 지나치도록 의도된 무엇.

소수의	소수/NNG+의/JKG
몇몇을	몇몇/NR+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
놓치고	놓치/VV+고/EC
지나치도록	지나치/VA+도록/EC
의도된	의도/NNG+되/XSV+ㄴ/ETM
무엇.	무엇/NP+./SF


# id : NWRW1800000046.57.9.4
이론이나 기법처럼 배울 수 있는 것이 아니라 스타일과 감성에 관계된 직관적인 것.

이론이나	이론/NNG+이나/JC
기법처럼	기법/NNG+처럼/JKB
배울	배우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
스타일과	스타일/NNG+과/JC
감성에	감성/NNG+에/JKB
관계된	관계/NNG+되/XSV+ㄴ/ETM
직관적인	직관/NNG+적/XSN+이/VCP+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.57.9.5
박상미의 글이 그렇다.

박상미의	박상미/NNP+의/JKG
글이	글/NNG+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000046.57.9.6
가장 사적인 것이 어쩌면 가장 멀리 나아갈 수 있는 법.

가장	가장/MAG
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKS
어쩌면	어쩌면/MAG
멀리	멀리/MAG
나아갈	나아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법.	법/NNB+./SF


# id : NWRW1800000046.57.9.7
부러우면 지는 거라지만, 반 발자국 앞선 자의 취향과 재능이 그 안에 있다.

부러우면	부럽/VA+으면/EC
지는	지/VV+는/ETM
거라지만,	거/NNB+이/VCP+라지만/EC+,/SP
반	반/NNG
발자국	발자국/NNG
앞선	앞서/VV+ㄴ/ETM
자의	자/NNB+의/JKG
취향과	취향/NNG+과/JC
재능이	재능/NNG+이/JKS
그	그/MMD
안에	안/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.57.10.1
그의 왼쪽 어깨에는 로트레아몽(1846~1870)의 시가 불어로 적혀 있다.

그의	그/NP+의/JKG
왼쪽	왼쪽/NNG
어깨에는	어깨/NNG+에/JKB+는/JX
로트레아몽(1846~1870)의	로트레아몽/NNP+(/SS+1846/SN+~/SO+1870/SN+)/SS+의/JKG
시가	시/NNG+가/JKS
불어로	불어/NNP+로/JKB
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.57.10.2
점점 커지고 있다는 사고의 흉터를 덮는, 일종의 타투다.

점점	점점/MAG
커지고	커지/VV+고/EC
있다는	있/VX+다는/ETM
사고의	사고/NNG+의/JKG
흉터를	흉터/NNG+를/JKO
덮는,	덮/VV+는/ETM+,/SP
일종의	일종/NNG+의/JKG
타투다.	타투/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.57.11.1
'Beau comme la rencontre fortuite sur une table de dissection d'une machine a coudre et d'un parapluie'(수술대 위에서 재봉틀과 우산이 우연히 만난 것처럼 아름다운).

'Beau	'/SS+Beau/SL
comme	comme/SL
la	la/SL
rencontre	rencontre/SL
fortuite	fortuite/SL
sur	sur/SL
une	une/SL
table	table/SL
de	de/SL
dissection	dissection/SL
d'une	d/SL+'/SS+une/SL
machine	machine/SL
a	a/SL
coudre	coudre/SL
et	et/SL
d'un	d/SL+'/SS+un/SL
parapluie'(수술대	parapluie/SL+'/SS+(/SS+수술대/NNG
위에서	위/NNG+에서/JKB
재봉틀과	재봉틀/NNG+과/JC
우산이	우산/NNG+이/JKS
우연히	우연히/MAG
만난	만나/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
아름다운).	아름답/VA+ㄴ/ETM+)/SS+./SF


# id : NWRW1800000046.57.12.1
고통과 싸워 이긴 흔적인데 어찌 흉일까.

고통과	고통/NNG+과/JKB
싸워	싸우/VV+어/EC
이긴	이기/VV+ㄴ/ETM
흔적인데	흔적/NNG+이/VCP+ㄴ데/EC
어찌	어찌/MAG
흉일까.	흉/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.57.12.2
상흔과 시가 겹쳐 빚어내는 미묘한 아름다움.

상흔과	상흔/NNG+과/JC
시가	시/NNG+가/JKS
겹쳐	겹치/VV+어/EC
빚어내는	빚어내/VV+는/ETM
미묘한	미묘하/VA+ㄴ/ETM
아름다움.	아름다움/NNG+./SF


# id : NWRW1800000046.57.12.3
'글 쓰는 화랑 주인'의 분투와 예술적 다짐이 이 안에 있다.

'글	'/SS+글/NNG
쓰는	쓰/VV+는/ETM
화랑	화랑/NNG
주인'의	주인/NNG+'/SS+의/JKG
분투와	분투/NNG+와/JC
예술적	예술/NNG+적/XSN
다짐이	다짐/NNG+이/JKS
이	이/MMD
안에	안/NNG+에/JKB
있다.	있/VA+다/EF+./SF


