# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.153
metadata : {}


# id : NWRW1800000032.153.1.1
“마음속 빚, 공연에 담았어요”

“마음속	“/SS+마음속/NNG
추모공연 일을 덜컥 맡아버린 게.”

추모공연	추모/NNG+공연/NNG
일을	일/NNG+을/JKO
덜컥	덜컥/MAG
맡아버린	맡/VV+아/EC+버리/VX+ㄴ/ETM
게.”	거/NNB+이/JKS+./SF+”/SS


# id : NWRW1800000032.153.10.1
추모공연 준비에 와이낫 전상규, 타카피 김재국 등 고인과 친했던 음악인들과 공연·페스티벌 에이전시 ‘컴퍼니에프’가 적극적으로 소매를 걷어붙이고 나서 얼마나 든든했는지 모른다고 그는 말했다.

추모공연	추모/NNG+공연/NNG
준비에	준비/NNG+에/JKB
와이낫	와이낫/NNP
전상규,	전상규/NNP+,/SP
타카피	타카피/NNP
김재국	김재국/NNP
등	등/NNB
고인과	고인/NNG+과/JKB
친했던	친하/VA+았/EP+던/ETM
음악인들과	음악인/NNG+들/XSN+과/JC
공연·페스티벌	공연/NNG+·/SP+페스티벌/NNG
에이전시	에이전시/NNG
‘컴퍼니에프’가	‘/SS+컴퍼니에프/NNP+’/SS+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
소매를	소매/NNG+를/JKO
걷어붙이고	걷어붙이/VV+고/EC
나서	나서/VV+어/EC
얼마나	얼마나/MAG
든든했는지	든든하/VA+았/EP+는지/EC
모른다고	모르/VV+ㄴ다고/EC
그는	그/NP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.153.10.2
자발적 출연진이 순식간에 103팀에 이르렀고, 자원봉사자를 70여명 모집하는 데 300여명이나 지원했다.

자발적	자발/NNG+적/XSN
출연진이	출연진/NNG+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
103팀에	103/SN+팀/NNG+에/JKB
이르렀고,	이르/VV+었/EP+고/EC+,/SP
자원봉사자를	자원봉사자/NNG+를/JKO
70여명	70/SN+여/XSN+명/NNB
모집하는	모집/NNG+하/XSV+는/ETM
데	데/NNB
300여명이나	300/SN+여/XSN+명/NNB+이나/JX
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.153.10.3
“진원이는 참 복이 많은 친구예요.”

“진원이는	“/SS+진원이/NNP+는/JX
참	참/MAG
복이	복/NNG+이/JKS
많은	많/VA+은/ETM
친구예요.”	친구/NNG+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000032.153.11.1
그는 마지막 스페셜 공연 준비에 온힘을 쏟고 있다.

그는	그/NP+는/JX
마지막	마지막/NNG
스페셜	스페셜/NNG
공연	공연/NNG
준비에	준비/NNG+에/JKB
온힘을	온/MMN+힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.153.11.2
이날 밤 11시가 되면 다른 클럽의 모든 공연은 마무리되고 상상마당 라이브홀에서 특별한 무대가 펼쳐진다.

이날	이날/NNG
밤	밤/NNG
11시가	11/SN+시/NNB+가/JKC
되면	되/VV+면/EC
다른	다른/MMD
클럽의	클럽/NNG+의/JKG
모든	모든/MMN
공연은	공연/NNG+은/JX
마무리되고	마무리/NNG+되/XSV+고/EC
상상마당	상상마당/NNP
라이브홀에서	라이브/NNG+홀/NNG+에서/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
무대가	무대/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.153.11.3
이진원의 목소리와 기타 연주만 따서 틀고, 생전에 같이 공연했던 이동훈(기타), 장혁조(베이스), 유승혜(키보드) 등 다른 멤버들이 악기를 연주한다.

이진원의	이진원/NNP+의/JKG
목소리와	목소리/NNG+와/JC
기타	기타/NNG
연주만	연주/NNG+만/JX
따서	따/VV+아서/EC
틀고,	틀/VV+고/EC+,/SP
생전에	생전/NNG+에/JKB
같이	같이/MAG
공연했던	공연/NNG+하/XSV+았/EP+던/ETM
이동훈(기타),	이동훈/NNP+(/SS+기타/NNG+)/SS+,/SP
장혁조(베이스),	장혁조/NNP+(/SS+베이스/NNG+)/SS+,/SP
유승혜(키보드)	유승혜/NNP+(/SS+키보드/NNG+)/SS
등	등/NNB
다른	다른/MMD
멤버들이	멤버/NNG+들/XSN+이/JKS
악기를	악기/NNG+를/JKO
연주한다.	연주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.153.11.4
공연하는 이진원의 모습을 실제 크기로 비출 화면을 무대 한가운데 세운다.

공연하는	공연/NNG+하/XSV+는/ETM
이진원의	이진원/NNP+의/JKG
모습을	모습/NNG+을/JKO
실제	실제/NNG
크기로	크기/NNG+로/JKB
비출	비추/VV+ㄹ/ETM
화면을	화면/NNG+을/JKO
무대	무대/NNG
한가운데	한/XPN+가운데/NNG
세운다.	세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.153.11.5
이진원이 부활해 모두가 함께 합주하는 것 같은 광경을 연출하려는 것이다.

이진원이	이진원/NNP+이/JKS
부활해	부활/NNG+하/XSV+아/EC
모두가	모두/NNG+가/JKS
함께	함께/MAG
합주하는	합주/NNG+하/XSV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
광경을	광경/NNG+을/JKO
연출하려는	연출/NNG+하/XSV+려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.153.12.1
“사실 예전에는 인디 음악은 뒷전으로 하고 주류 아이돌 음악 일에만 몰두했어요.

“사실	“/SS+사실/MAG
예전에는	예전/NNG+에/JKB+는/JX
인디	인디/NNG
음악은	음악/NNG+은/JX
뒷전으로	뒷전/NNG+으로/JKB
하고	하/VV+고/EC
주류	주류/NNG
아이돌	아이돌/NNG
음악	음악/NNG
일에만	일/NNG+에/JKB+만/JX
몰두했어요.	몰두/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000032.153.12.2
그러다 진원이의 ‘절룩거리네’를 세살배기 아들이 흥얼거리는 걸 듣고 충격을 받았어요.

그러다	그러/VV+다/EC
진원이의	진원이/NNP+의/JKG
‘절룩거리네’를	‘/SS+절룩거리/VV+네/EF+’/SS+를/JKO
세살배기	세/MMN+살/NNB+배기/XSN
아들이	아들/NNG+이/JKS
흥얼거리는	흥얼거리/VV+는/ETM
걸	거/NNB+ㄹ/JKO
듣고	듣/VV+고/EC
충격을	충격/NNG+을/JKO
받았어요.	받/VV+았/EP+어요/EF+./SF


# id : NWRW1800000032.153.12.3
‘어린애도 좋은 음악을 알아보는데, 나는 지금 뭐하고 있나’ 하는 생각에 얼굴이 화끈거렸죠.

‘어린애도	‘/SS+어린애/NNG+도/JX
좋은	좋/VA+은/ETM
음악을	음악/NNG+을/JKO
알아보는데,	알아보/VV+는데/EC+,/SP
나는	나/NP+는/JX
지금	지금/MAG
뭐하고	뭐/NP+하/VV+고/EC
있나’	있/VX+나/EF+’/SS
하는	하/VV+는/ETM
생각에	생각/NNG+에/JKB
얼굴이	얼굴/NNG+이/JKS
화끈거렸죠.	화끈거리/VV+었/EP+죠/EF+./SF


# id : NWRW1800000032.153.12.4
이후 좋은 인디 음악을 알리려 나름 애써왔어요.

이후	이후/NNG
좋은	좋/VA+은/ETM
인디	인디/NNG
음악을	음악/NNG+을/JKO
알리려	알리/VV+려/EC
나름	나름/NNB
애써왔어요.	애쓰/VV+어/EC+오/VX+았/EP+어요/EF+./SF


# id : NWRW1800000032.153.12.5
그래도 부족하죠.

그래도	그래도/MAJ
부족하죠.	부족/NNG+하/XSA+죠/EF+./SF


# id : NWRW1800000032.153.12.6
이제부터 더 분발할 겁니다.

이제부터	이제/NNG+부터/JX
더	더/MAG
분발할	분발/NNG+하/XSV+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


