# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.32
metadata : {}


# id : NWRW1800000041.32.1.1
유럽중앙銀 기준금리 0.05%로 ‘깜짝 인하’… 韓銀 2014년내 추가인하 압박 커져

유럽중앙銀	유럽중앙銀/NNP
만에	만/NNB+에/JKB
기준금리를	기준/NNG+금리/NNG+를/JKO
전격	전격/NNG
인하한	인하/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
금리인하	금리/NNG+인하/NNG
효과를	효과/NNG+를/JKO
좀	좀/MAG
더	더/MAG
지켜봐야	지켜보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.32.4.3
산업생산이 2개월 연속 증가하는 등 일부 실물경제 지표가 회복 기미를 보이는 데다 정부의 부동산 대책으로 가계부채가 빠르게 늘고 있는 것도 한은이 연달아 금리를 내리는 데 부담으로 작용하고 있다.

산업생산이	산업/NNG+생산/NNG+이/JKS
2개월	2/SN+개월/NNB
연속	연속/NNG
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
일부	일부/NNG
실물경제	실물/NNG+경제/NNG
지표가	지표/NNG+가/JKS
회복	회복/NNG
기미를	기미/NNG+를/JKO
보이는	보이/VV+는/ETM
데다	데/NNB+다/JX
정부의	정부/NNG+의/JKG
부동산	부동산/NNG
대책으로	대책/NNG+으로/JKB
가계부채가	가계/NNG+부채/NNG+가/JKS
빠르게	빠르/VA+게/EC
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
한은이	한은/NNP+이/JKS
연달아	연달/VV+아/EC
금리를	금리/NNG+를/JKO
내리는	내리/VV+는/ETM
데	데/NNB
부담으로	부담/NNG+으로/JKB
작용하고	작용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.32.5.1
하지만 한은이 연내에 추가 금리인하를 단행할 것이라는 기대감은 여전히 높다.

하지만	하지만/MAJ
한은이	한은/NNP+이/JKS
연내에	연내/NNG+에/JKB
추가	추가/NNG
금리인하를	금리/NNG+인하/NNG+를/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대감은	기대감/NNG+은/JX
여전히	여전히/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.32.5.2
기준금리 결정의 주요 참고지표 가운데 하나인 국내총생산(GDP) 증가율이 예상보다 부진한 데다 저물가 기조가 뚜렷해지고 있기 때문이다.

기준금리	기준/NNG+금리/NNG
결정의	결정/NNG+의/JKG
주요	주요/NNG
참고지표	참고/NNG+지표/NNG
가운데	가운데/NNG
하나인	하나/NR+이/VCP+ㄴ/ETM
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
증가율이	증가/NNG+율/XSN+이/JKS
예상보다	예상/NNG+보다/JKB
부진한	부진/NNG+하/XSA+ㄴ/ETM
데다	데/NNB+다/JX
저물가	저/XPN+물가/NNG
기조가	기조/NNG+가/JKS
뚜렷해지고	뚜렷하/VA+아/EC+지/VX+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.32.5.3
한은이 4일 발표한 2분기(4∼6월) GDP 증가율은 0.5%로 7개 분기 만에 가장 낮았다.

한은이	한은/NNP+이/JKS
4일	4/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
2분기(4∼6월)	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS
GDP	GDP/SL
증가율은	증가/NNG+율/XSN+은/JX
0.5%로	0/SN+./SP+5/SN+%/SW+로/JKB
7개	7/SN+개/NNB
분기	분기/NNG
만에	만/NNB+에/JKB
가장	가장/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.32.5.4
8월 소비자물가는 전년 동월보다 1.4% 오르며 두 달 연속 하향 곡선을 그렸다.

8월	8/SN+월/NNB
소비자물가는	소비자/NNG+물가/NNG+는/JX
전년	전년/NNG
동월보다	동월/NNG+보다/JKB
1.4%	1/SN+./SP+4/SN+%/SW
오르며	오르/VV+며/EC
두	두/MMN
달	달/NNB
연속	연속/NNG
하향	하향/NNG
곡선을	곡선/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.32.5.5
한은의 물가안정 목표(2.5∼3.5%)를 크게 밑도는 수치다.

한은의	한은/NNP+의/JKG
물가안정	물가/NNG+안정/NNG
목표(2.5∼3.5%)를	목표/NNG+(/SS+2/SN+./SP+5/SN+∼/SO+3/SN+./SP+5/SN+%/SW+)/SS+를/JKO
크게	크/VA+게/EC
밑도는	밑돌/VV+는/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.32.6.1
여기에 경기 부양에 ‘다걸기(올인)’한 정부의 금리인하 압박도 계속되고 있다.

여기에	여기/NP+에/JKB
경기	경기/NNG
부양에	부양/NNG+에/JKB
‘다걸기(올인)’한	‘/SS+다/MAG+걸/VV+기/ETN+(/SS+올인/NNG+)/SS+’/SS+하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
금리인하	금리/NNG+인하/NNG
압박도	압박/NNG+도/JX
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.32.6.2
최경환 경제부총리 겸 기획재정부 장관은 최근 디플레이션 가능성을 언급한 데 이어 ECB의 4일(현지 시간) 기준금리 인하와 관련해 “국제 경제 환경이 급변하고 있기 때문에 거기에 맞게 선제적 대응을 해야 한다”고 말했다.

최경환	최경환/NNP
경제부총리	경제/NNG+부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관은	장관/NNG+은/JX
최근	최근/MAG
디플레이션	디플레이션/NNG
가능성을	가능/NNG+성/XSN+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
ECB의	ECB/SL+의/JKG
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
기준금리	기준/NNG+금리/NNG
인하와	인하/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“국제	“/SS+국제/NNG
경제	경제/NNG
환경이	환경/NNG+이/JKS
급변하고	급변/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
거기에	거기/NP+에/JKB
맞게	맞/VV+게/EC
선제적	선제/NNG+적/XSN
대응을	대응/NNG+을/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.32.7.1
박상현 하이투자증권 연구원은 “ECB의 금리인하로 유로화 약세와 원화 강세가 심화되면서 국내 수출경기 회복이 더욱 늦어질 수 있다”며 “환율 리스크가 경기 회복에 장애가 되면서 한은의 추가 금리인하 고민이 커질 것”이라고 말했다.

박상현	박상현/NNP
하이투자증권	하이투자증권/NNP
연구원은	연구원/NNG+은/JX
“ECB의	“/SS+ECB/SL+의/JKG
금리인하로	금리/NNG+인하/NNG+로/JKB
유로화	유로화/NNG
약세와	약세/NNG+와/JC
원화	원화/NNG
강세가	강세/NNG+가/JKS
심화되면서	심화/NNG+되/XSV+면서/EC
국내	국내/NNG
수출경기	수출/NNG+경기/NNG
회복이	회복/NNG+이/JKS
더욱	더욱/MAG
늦어질	늦어지/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“환율	“/SS+환율/NNG
리스크가	리스크/NNG+가/JKS
경기	경기/NNG
회복에	회복/NNG+에/JKB
장애가	장애/NNG+가/JKC
되면서	되/VV+면서/EC
한은의	한은/NNP+의/JKG
추가	추가/NNG
금리인하	금리/NNG+인하/NNG
고민이	고민/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


