# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.76
metadata : {}


# id : NWRW1800000029.76.1.1
G20회의, 유럽 재정위기 소방수 될까

G20회의,	G/SL+20/SN+회의/NNG+,/SP
다만 우리 정부가 금융위기에 대한 안전판 마련을 위한 ‘글로벌 안정 메커니즘(GSM)’을 재추진할 방침이어서 귀추가 주목된다.

다만	다만/MAG
우리	우리/NP
정부가	정부/NNG+가/JKS
금융위기에	금융/NNG+위기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안전판	안전판/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘글로벌	‘/SS+글로벌/NNG
안정	안정/NNG
메커니즘(GSM)’을	메커니즘/NNG+(/SS+GSM/SL+)/SS+’/SS+을/JKO
재추진할	재/XPN+추진/NNG+하/XSV+ㄹ/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
귀추가	귀추/NNG+가/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.76.4.1
○ 유럽 재정위기 해결책, 합의 어려울 듯

○	○/SW
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
해결책,	해결책/NNG+,/SP
합의	합의/NNG
어려울	어렵/VA+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000029.76.5.1
G20 재무장관 회담은 다음 달 3, 4일 열리는 칸 정상회의에서 논의될 주요 의제를 점검하고 그간 논의를 결산하는 자리다.

G20	G/SL+20/SN
재무장관	재무/NNG+장관/NNG
회담은	회담/NNG+은/JX
다음	다음/NNG
달	달/NNG
3,	3/SN+,/SP
4일	4/SN+일/NNB
열리는	열리/VV+는/ETM
칸	칸/NNP
정상회의에서	정상/NNG+회의/NNG+에서/JKB
논의될	논의/NNG+되/XSV+ㄹ/ETM
주요	주요/NNG
의제를	의제/NNG+를/JKO
점검하고	점검/NNG+하/XSV+고/EC
그간	그/NP+간/XSN
논의를	논의/NNG+를/JKO
결산하는	결산/NNG+하/XSV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.76.5.2
지난해 정상회의의 초점은 세계경제의 균형 성장에 맞춰졌지만 올해는 글로벌 재정위기 극복이 최우선 과제가 될 것으로 보인다.

지난해	지난해/NNG
정상회의의	정상/NNG+회의/NNG+의/JKG
초점은	초점/NNG+은/JX
세계경제의	세계/NNG+경제/NNG+의/JKG
균형	균형/NNG
성장에	성장/NNG+에/JKB
맞춰졌지만	맞추/VV+어/EC+지/VX+었/EP+지만/EC
올해는	올해/NNG+는/JX
글로벌	글로벌/NNG
재정위기	재정/NNG+위기/NNG
극복이	극복/NNG+이/JKS
최우선	최/XPN+우선/NNG
과제가	과제/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.76.6.1
유럽을 직접적으로 도울 수 있는 구체적인 정책 합의를 도출하기는 어려울 것이라는 전망이 지배적이다.

유럽을	유럽/NNP+을/JKO
직접적으로	직접/NNG+적/XSN+으로/JKB
도울	돕/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정책	정책/NNG
합의를	합의/NNG+를/JKO
도출하기는	도출/NNG+하/XSV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.76.6.2
크리스틴 라가르드 국제통화기금(IMF) 총재가 제안한 것처럼 일각에서는 브릭스(BRICs·브라질 러시아 인도 중국) 등 신흥국들이 재정위기를 겪고 있는 유럽 국가들의 국채를 사들이는 방안을 거론하고 있다.

크리스틴	크리스틴/NNP
라가르드	라가르드/NNP
국제통화기금(IMF)	국제통화기금/NNP+(/SS+IMF/SL+)/SS
총재가	총재/NNG+가/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
일각에서는	일각/NNG+에서/JKB+는/JX
브릭스(BRICs·브라질	브릭스/NNP+(/SS+BRICs/SL+·/SP+브라질/NNP
러시아	러시아/NNP
인도	인도/NNP
중국)	중국/NNP+)/SS
등	등/NNB
신흥국들이	신흥국/NNG+들/XSN+이/JKS
재정위기를	재정/NNG+위기/NNG+를/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
유럽	유럽/NNP
국가들의	국가/NNG+들/XSN+의/JKG
국채를	국채/NNG+를/JKO
사들이는	사들이/VV+는/ETM
방안을	방안/NNG+을/JKO
거론하고	거론/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.76.7.1
하지만 신흥국들이 이에 합의할 가능성은 거의 없다.

하지만	하지만/MAJ
신흥국들이	신흥국/NNG+들/XSN+이/JKS
이에	이/NP+에/JKB
합의할	합의/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.76.7.2
기획재정부 관계자는 “중국이 유럽을 지원하더라도 최근 유로 국채 매입의 대가로 중국을 완전 시장경제로 인정해 달라는 요구를 공공연하게 내세우고 있다”며 “양자회담의 틀을 선호하고 있어 G20의 틀 안에서 이에 대한 합의는 어려울 것”이라고 전망했다.

기획재정부	기획/NNG+재정부/NNG
관계자는	관계자/NNG+는/JX
“중국이	“/SS+중국/NNP+이/JKS
유럽을	유럽/NNP+을/JKO
지원하더라도	지원/NNG+하/XSV+더라도/EC
최근	최근/MAG
유로	유로/NNG
국채	국채/NNG
매입의	매입/NNG+의/JKG
대가로	대가/NNG+로/JKB
중국을	중국/NNP+을/JKO
완전	완전/NNG
시장경제로	시장/NNG+경제/NNG+로/JKB
인정해	인정/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
요구를	요구/NNG+를/JKO
공공연하게	공공연하/VA+게/EC
내세우고	내세우/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“양자회담의	“/SS+양자/NNG+회담/NNG+의/JKG
틀을	틀/NNG+을/JKO
선호하고	선호/NNG+하/XSV+고/EC
있어	있/VX+어/EC
G20의	G/SL+20/SN+의/JKG
틀	틀/NNG
안에서	안/NNG+에서/JKB
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
합의는	합의/NNG+는/JX
어려울	어렵/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.76.8.1
결국 G20에서 나올 수 있는 유럽 재정위기 관련 합의는 단기적으로 경기회복을 지지하는 동시에 중장기적으로는 재정 건전성 회복에 중점을 두자는 원론적인 수준에 그칠 것으로 전망된다.

결국	결국/MAG
G20에서	G/SL+20/SN+에서/JKB
나올	나오/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
관련	관련/NNG
합의는	합의/NNG+는/JX
단기적으로	단기/NNG+적/XSN+으로/JKB
경기회복을	경기/NNG+회복/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
중장기적으로는	중장기/NNG+적/XSN+으로/JKB+는/JX
재정	재정/NNG
건전성	건전/NNG+성/XSN
회복에	회복/NNG+에/JKB
중점을	중점/NNG+을/JKO
두자는	두/VV+자는/ETM
원론적인	원론/NNG+적/XSN+이/VCP+ㄴ/ETM
수준에	수준/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.76.9.1
○ 금융위기 안전판 확보될까

○	○/SW
금융위기	금융/NNG+위기/NNG
안전판	안전판/NNG
확보될까	확보/NNG+되/XSV+ㄹ까/EF


# id : NWRW1800000029.76.10.1
하지만 자본이동 및 글로벌 유동성 관리에 대한 논의는 일부 진전될 것으로 점쳐진다.

하지만	하지만/MAJ
자본이동	자본/NNG+이동/NNG
및	및/MAG
글로벌	글로벌/NNG
유동성	유동/NNG+성/XSN
관리에	관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의는	논의/NNG+는/JX
일부	일부/NNG
진전될	진전/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
점쳐진다.	점치/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.76.10.2
특히 G20은 최근 자본 유출입을 완화할 수 있는 규제에 대해 각국의 정책 자율성을 좀 더 폭넓게 인정하기로 의견을 모았다.

특히	특히/MAG
G20은	G/SL+20/SN+은/JX
최근	최근/MAG
자본	자본/NNG
유출입을	유출입/NNG+을/JKO
완화할	완화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규제에	규제/NNG+에/JKB
대해	대하/VV+아/EC
각국의	각국/NNG+의/JKG
정책	정책/NNG
자율성을	자율/NNG+성/XSN+을/JKO
좀	좀/MAG
더	더/MAG
폭넓게	폭넓/VA+게/EC
인정하기로	인정/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.76.10.3
급격한 자본 유출입에 따른 변동성을 줄이려는 거시건전성 규제에 대해서도 언제든지 활용할 수 있도록 규제의 전제조건을 대폭 완화하겠다는 것이다.

급격한	급격하/VA+ㄴ/ETM
자본	자본/NNG
유출입에	유출입/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
변동성을	변동/NNG+성/XSN+을/JKO
줄이려는	줄이/VV+려는/ETM
거시건전성	거시/NNG+건전/NNG+성/XSN
규제에	규제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
언제든지	언제/NP+든지/JX
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규제의	규제/NNG+의/JKG
전제조건을	전제/NNG+조건/NNG+을/JKO
대폭	대폭/MAG
완화하겠다는	완화/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.76.10.4
재정부 관계자는 “G20 실무그룹 논의에서 각국 상황에 따라 자본 유출입 규제를 자율적으로 하는 쪽으로 정리된 것으로 안다”며 “작년 G20 서울선언에 있던 규제의 전제조건들이 없어지게 된 만큼 신흥국 입장에선 훨씬 진전된 것”이라고 설명했다.

재정부	재정부/NNG
관계자는	관계자/NNG+는/JX
“G20	“/SS+G/SL+20/SN
실무그룹	실무/NNG+그룹/NNG
논의에서	논의/NNG+에서/JKB
각국	각국/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
자본	자본/NNG
유출입	유출입/NNG
규제를	규제/NNG+를/JKO
자율적으로	자율/NNG+적/XSN+으로/JKB
하는	하/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
정리된	정리/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”며	알/VV+ㄴ다/EF+”/SS+며/EC
“작년	“/SS+작년/NNG
G20	G/SL+20/SN
서울선언에	서울/NNP+선언/NNG+에/JKB
있던	있/VA+던/ETM
규제의	규제/NNG+의/JKG
전제조건들이	전제/NNG+조건/NNG+들/XSN+이/JKS
없어지게	없어지/VV+게/EC
된	되/VV+ㄴ/ETM
만큼	만큼/NNB
신흥국	신흥국/NNG
입장에선	입장/NNG+에서/JKB+ㄴ/JX
훨씬	훨씬/MAG
진전된	진전/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.76.11.1
정부도 다음 달 G20 정상회의에서 금융위기에 대한 안전판인 GSM을 재추진할 방침이다.

정부도	정부/NNG+도/JX
다음	다음/NNG
달	달/NNG
G20	G/SL+20/SN
정상회의에서	정상/NNG+회의/NNG+에서/JKB
금융위기에	금융/NNG+위기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안전판인	안전판/NNG+이/VCP+ㄴ/ETM
GSM을	GSM/SL+을/JKO
재추진할	재/XPN+추진/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.76.11.2
GSM은 글로벌 금융위기와 같은 징후가 포착되면 해당 국가의 요청이 없어도 IMF가 일시적 위기 우려 국가에 자동으로 자금을 공급하는 것을 의미한다.

GSM은	GSM/SL+은/JX
글로벌	글로벌/NNG
금융위기와	금융/NNG+위기/NNG+와/JKB
같은	같/VA+은/ETM
징후가	징후/NNG+가/JKS
포착되면	포착/NNG+되/XSV+면/EC
해당	해당/NNG
국가의	국가/NNG+의/JKG
요청이	요청/NNG+이/JKS
없어도	없/VA+어도/EC
IMF가	IMF/SL+가/JKS
일시적	일시/NNG+적/XSN
위기	위기/NNG
우려	우려/NNG
국가에	국가/NNG+에/JKB
자동으로	자동/NNG+으로/JKB
자금을	자금/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.76.12.1
지난해 의장국인 우리 정부가 이를 적극 추진했지만, 독일 등 일부 선진국이 ‘수혜국이 도덕적 해이에 빠질 가능성이 있다’며 난색을 보였다.

지난해	지난해/NNG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
우리	우리/NP
정부가	정부/NNG+가/JKS
이를	이/NP+를/JKO
적극	적극/NNG
추진했지만,	추진/NNG+하/XSV+았/EP+지만/EC+,/SP
독일	독일/NNP
등	등/NNB
일부	일부/NNG
선진국이	선진국/NNG+이/JKS
‘수혜국이	‘/SS+수혜국/NNG+이/JKS
도덕적	도덕/NNG+적/XSN
해이에	해이/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다’며	있/VA+다/EF+’/SS+며/EC
난색을	난색/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.76.12.2
올해도 여전히 독일과 미국 등 선진국이 GSM에 부정적이어서 G20 재무장관 회담과 칸 정상회의에서 합의가 이뤄질지는 미지수다.

올해도	올해/NNG+도/JX
여전히	여전히/MAG
독일과	독일/NNP+과/JC
미국	미국/NNP
등	등/NNB
선진국이	선진국/NNG+이/JKS
GSM에	GSM/SL+에/JKB
부정적이어서	부정/NNG+적/XSN+이/VCP+어서/EC
G20	G/SL+20/SN
재무장관	재무/NNG+장관/NNG
회담과	회담/NNG+과/JC
칸	칸/NNP
정상회의에서	정상/NNG+회의/NNG+에서/JKB
합의가	합의/NNG+가/JKS
이뤄질지는	이뤄지/VV+ㄹ지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.76.12.3
하지만 올해 의장국인 프랑스가 그리스 재정위기의 직격탄을 맞으며 GSM에 대해 호의적인 입장으로 돌아서 합의 가능성에 대한 긍정적인 전망이 나오고 있다.

하지만	하지만/MAJ
올해	올해/NNG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
프랑스가	프랑스/NNP+가/JKS
그리스	그리스/NNP
재정위기의	재정/NNG+위기/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞으며	맞/VV+으며/EC
GSM에	GSM/SL+에/JKB
대해	대하/VV+아/EC
호의적인	호의/NNG+적/XSN+이/VCP+ㄴ/ETM
입장으로	입장/NNG+으로/JKB
돌아서	돌아서/VV+어/EC
합의	합의/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


