# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.26
metadata : {}


# id : NWRW1800000054.26.1.1
"19세기에나 일어났을 화재"… 실종자 100명 넘어

"19세기에나	"/SS+19/SN+세기/NNG+에/JKB+나/JX
메이	메이/NNP
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판도	비판/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.8.2
제러미 코빈 노동당 대표는 "중앙정부 예산 삭감으로 지자체가 돈이 없어 스프링클러 등을 설치하지 못했다면 정부가 대가를 치러야 할 것"이라고 했다.

제러미	제러미/NNP
코빈	코빈/NNP
노동당	노동당/NNP
대표는	대표/NNG+는/JX
"중앙정부	"/SS+중앙/NNG+정부/NNG
예산	예산/NNG
삭감으로	삭감/NNG+으로/JKB
지자체가	지자체/NNG+가/JKS
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
스프링클러	스프링클러/NNG
등을	등/NNB+을/JKO
설치하지	설치/NNG+하/XSV+지/EC
못했다면	못하/VX+았/EP+다면/EC
정부가	정부/NNG+가/JKS
대가를	대가/NNG+를/JKO
치러야	치르/VV+어야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.8.3
메이 총리는 이날 현장을 방문해 "희생자 가족과 국민들은 해명을 들을 권리가 있다"며 전면적인 사고 원인 조사를 지시했다.

메이	메이/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
현장을	현장/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
"희생자	"/SS+희생자/NNG
가족과	가족/NNG+과/JC
국민들은	국민/NNG+들/XSN+은/JX
해명을	해명/NNG+을/JKO
들을	듣/VV+을/ETM
권리가	권리/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
사고	사고/NNG
원인	원인/NNG
조사를	조사/NNG+를/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.9.1
희생자들의 안타까운 사연들도 속속 알려지고 있다.

희생자들의	희생자/NNG+들/XSN+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
사연들도	사연/NNG+들/XSN+도/JX
속속	속속/MAG
알려지고	알려지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.9.2
한 여성은 휠체어에 타고 있던 아버지를 불 속에 그대로 두고 떠나야 했다.

한	한/MMN
여성은	여성/NNG+은/JX
휠체어에	휠체어/NNG+에/JKB
타고	타/VV+고/EC
있던	있/VX+던/ETM
아버지를	아버지/NNG+를/JKO
불	불/NNG
속에	속/NNG+에/JKB
그대로	그대로/MAG
두고	두/VV+고/EC
떠나야	떠나/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.26.9.3
아버지는 "나를 두고 빨리 떠나거라. 여기 있으면 다 죽는다"며 딸의 등을 떠밀었다.

아버지는	아버지/NNG+는/JX
"나를	"/SS+나/NP+를/JKO
두고	두/VV+고/EC
빨리	빨리/MAG
떠나거라.	떠나/VV+거라/EF+./SF
여기	여기/NP
있으면	있/VA+으면/EC
다	다/MAG
죽는다"며	죽/VV+는다/EF+"/SS+며/EC
딸의	딸/NNG+의/JKG
등을	등/NNG+을/JKO
떠밀었다.	떠밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.26.9.4
12세 소녀 제시카 우르바노는 오전 1시 39분쯤 "엄마, 계단에 있어"라는 전화를 마지막으로 소식이 끊겼다.

12세	12/SN+세/NNB
소녀	소녀/NNG
제시카	제시카/NNP
우르바노는	우르바노/NNP+는/JX
오전	오전/NNG
1시	1/SN+시/NNB
39분쯤	39/SN+분/NNB+쯤/XSN
"엄마,	"/SS+엄마/NNG+,/SP
계단에	계단/NNG+에/JKB
있어"라는	있/VA+어/EC+"/SS+이/VCP+라는/ETM
전화를	전화/NNG+를/JKO
마지막으로	마지막/NNG+으로/JKB
소식이	소식/NNG+이/JKS
끊겼다.	끊기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.26.9.5
사망자 신원도 밝혀지고 있다.

사망자	사망자/NNG
신원도	신원/NNG+도/JX
밝혀지고	밝혀지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.26.9.6
처음으로 확인된 사망자는 3년 전 시리아에서 온 난민 모함마드 알하즈 알리(23·웨스트런던대 재학)로 밝혀졌다.

처음으로	처음/NNG+으로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
사망자는	사망자/NNG+는/JX
3년	3/SN+년/NNB
전	전/MMD
시리아에서	시리아/NNP+에서/JKB
온	오/VV+ㄴ/ETM
난민	난민/NNG
모함마드	모함마드/NNP
알하즈	알하즈/NNP
알리(23·웨스트런던대	알리/NNP+(/SS+23/SN+·/SP+웨스트런던대/NNP
재학)로	재학/NNG+)/SS+로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.26.10.1
영국인들은 분노와 절망감을 쏟아냈다.

영국인들은	영국인/NNG+들/XSN+은/JX
분노와	분노/NNG+와/JC
절망감을	절망감/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.26.10.2
한 주민은 "싸구려 마감재는 독일이나 스칸디나비아 같은 곳에선 쓰지 않는다. 우리 영국이나 이런 걸 쓰는 것 아니냐"고 했다.

한	한/MMN
주민은	주민/NNG+은/JX
"싸구려	"/SS+싸구려/NNG
마감재는	마감재/NNG+는/JX
독일이나	독일/NNP+이나/JC
스칸디나비아	스칸디나비아/NNP
같은	같/VA+은/ETM
곳에선	곳/NNG+에서/JKB+ㄴ/JX
쓰지	쓰/VV+지/EC
않는다.	않/VX+는다/EF+./SF
우리	우리/NP
영국이나	영국/NNP+이나/JX
이런	이런/MMD
걸	거/NNB+ㄹ/JKO
쓰는	쓰/VV+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.26.10.3
워싱턴포스트는 "19~20세기, 또는 지구촌의 덜 부유한 곳에서나 있을 법한 통제 불능 불길이었다"고 했다.

워싱턴포스트는	워싱턴포스트/NNP+는/JX
"19~20세기,	"/SS+19/SN+~/SO+20/SN+세기/NNG+,/SP
또는	또는/MAG
지구촌의	지구촌/NNG+의/JKG
덜	덜/MAG
부유한	부유/NNG+하/XSA+ㄴ/ETM
곳에서나	곳/NNG+에서/JKB+나/JX
있을	있/VA+을/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
통제	통제/NNG
불능	불능/NNG
불길이었다"고	불길/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


