# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.194
metadata : {}


# id : NWRW1800000026.194.1.1
'낙하산 기관장' 경영성적 살펴보니… 4명 중 3명 '보통 이하'… 탁월·우수 없어

'낙하산	'/SS+낙하산/NNG
'미흡'(50~60점)이	'/SS+미흡/NNG+'/SS+(/SS+50/SN+~/SO+60/SN+점/NNB+)/SS+이/JKS
5명(23%)이었다.	5/SN+명/NNB+(/SS+23/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.194.4.1
'미흡' 성적표를 받은 정치권 낙하산 기관장은 한국전기안전공사 임인배 사장(국회의원), 국민체육진흥공단 김주훈 전 이사장(이 대통령 당선자 정책자문위원), 제주국제자유도시개발센터 변정일 이사장(국회의원), 한국원자력문화재단 이재환 이사장(국회의원), 울산항만공사 이채익 사장(이 대통령 선대위 정책특보) 등이었다.

'미흡'	'/SS+미흡/NNG+'/SS
성적표를	성적표/NNG+를/JKO
받은	받/VV+은/ETM
정치권	정치/NNG+권/XSN
낙하산	낙하산/NNG
기관장은	기관장/NNG+은/JX
한국전기안전공사	한국전기안전공사/NNP
임인배	임인배/NNP
사장(국회의원),	사장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
국민체육진흥공단	국민체육진흥공단/NNP
김주훈	김주훈/NNP
전	전/MMD
이사장(이	이사장/NNG+(/SS+이/NNP
대통령	대통령/NNG
당선자	당선자/NNG
정책자문위원),	정책/NNG+자문/NNG+위원/NNG+)/SS+,/SP
제주국제자유도시개발센터	제주국제자유도시개발센터/NNP
변정일	변정일/NNP
이사장(국회의원),	이사장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
한국원자력문화재단	한국원자력문화재단/NNP
이재환	이재환/NNP
울산항만공사	울산항만공사/NNP
이채익	이채익/NNP
사장(이	사장/NNG+(/SS+이/NNP
선대위	선대위/NNG
정책특보)	정책/NNG+특보/NNG+)/SS
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.194.4.2
이 중 김주훈 전 이사장은 2년 연속 경고를 받아 '해임건의 대상'이 됐지만, 이번 평가가 나오기 전에 국기원 이사장으로 자리를 옮겼다.

이	이/NP
중	중/NNB
김주훈	김주훈/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
2년	2/SN+년/NNB
연속	연속/NNG
경고를	경고/NNG+를/JKO
받아	받/VV+아/EC
'해임건의	'/SS+해임/NNG+건의/NNG
대상'이	대상/NNG+'/SS+이/JKC
됐지만,	되/VV+었/EP+지만/EC+,/SP
이번	이번/NNG
평가가	평가/NNG+가/JKS
나오기	나오/VV+기/ETN
전에	전/NNG+에/JKB
국기원	국기원/NNP
이사장으로	이사장/NNG+으로/JKB
자리를	자리/NNG+를/JKO
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.194.5.1
'보통' 평가 대상은 국제방송교류재단 정국록 사장(이명박 대선캠프 방송특보), 부산항만공사 노기태 사장(국회의원), 한국가스안전공사 박환규 사장(한나라당 충북도당 부위원장), 한국광해관리공단 이이재 이사장(대통령 인수위 자문위원), 한국마사회 김광원 회장(국회의원), 한국승강기안전관리원 김남덕 원장(한나라당 선대위 부위원장), 한국컨테이너부두공단 이상조 이사장(밀양시장), 수도권매립지관리공사 조춘구 사장(한나라당 선대위 부본부장), 한국폴리텍 허병기 이사장(한나라당 여의도연구소 부소장), 한국방송광고공사 양휘부 사장(이명박 대통령 대선캠프 TV토론대책위부위원장) 등이다.

'보통'	'/SS+보통/NNG+'/SS
평가	평가/NNG
대상은	대상/NNG+은/JX
국제방송교류재단	국제방송교류재단/NNP
정국록	정국록/NNP
사장(이명박	사장/NNG+(/SS+이명박/NNP
대선캠프	대선/NNG+캠프/NNG
방송특보),	방송/NNG+특보/NNG+)/SS+,/SP
부산항만공사	부산항만공사/NNP
노기태	노기태/NNP
사장(국회의원),	사장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
한국가스안전공사	한국가스안전공사/NNP
박환규	박환규/NNP
사장(한나라당	사장/NNG+(/SS+한나라당/NNP
충북도당	충북도/NNP+당/NNG
부위원장),	부위원장/NNG+)/SS+,/SP
한국광해관리공단	한국광해관리공단/NNP
이이재	이이재/NNP
이사장(대통령	이사장/NNG+(/SS+대통령/NNG
인수위	인수위/NNG
자문위원),	자문/NNG+위원/NNG+)/SS+,/SP
한국마사회	한국마사회/NNP
김광원	김광원/NNP
회장(국회의원),	회장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
한국승강기안전관리원	한국승강기안전관리원/NNP
김남덕	김남덕/NNP
원장(한나라당	원장/NNG+(/SS+한나라당/NNP
선대위	선대위/NNG
한국컨테이너부두공단	한국컨테이너부두공단/NNP
이상조	이상조/NNP
이사장(밀양시장),	이사장/NNG+(/SS+밀양시장/NNG+)/SS+,/SP
수도권매립지관리공사	수도권매립지관리공사/NNP
조춘구	조춘구/NNP
부본부장),	부본부장/NNG+)/SS+,/SP
한국폴리텍	한국폴리텍/NNP
허병기	허병기/NNP
이사장(한나라당	이사장/NNG+(/SS+한나라당/NNP
여의도연구소	여의도연구소/NNP
부소장),	부소장/NNG+)/SS+,/SP
한국방송광고공사	한국방송광고공사/NNP
양휘부	양휘부/NNP
대통령	대통령/NNG
TV토론대책위부위원장)	TV/SL+토론/NNG+대책위/NNG+부위원장/NNG+)/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.194.6.1
이에 비해 국민건강보험공단 정형근 이사장(국회의원), 신용보증기금 안택수 이사장(국회의원), 중소기업진흥공단 이기우 이사장(대통령 인수위원), 한국농어촌공사 홍문표 사장(국회의원), 한국조폐공사 전용학 사장(국회의원), 한국콘텐츠진흥원 이재웅 원장(국회의원) 등 6명은 비교적 우수한 '양호' 성적표를 받았다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
국민건강보험공단	국민건강보험공단/NNP
정형근	정형근/NNP
이사장(국회의원),	이사장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
신용보증기금	신용보증기금/NNP
안택수	안택수/NNP
중소기업진흥공단	중소기업진흥공단/NNP
이기우	이기우/NNP
이사장(대통령	이사장/NNG+(/SS+대통령/NNG
인수위원),	인수/NNG+위원/NNG+)/SS+,/SP
한국농어촌공사	한국농어촌공사/NNP
홍문표	홍문표/NNP
사장(국회의원),	사장/NNG+(/SS+국회/NNG+의원/NNG+)/SS+,/SP
한국조폐공사	한국조폐공사/NNP
전용학	전용학/NNP
한국콘텐츠진흥원	한국콘텐츠진흥원/NNP
이재웅	이재웅/NNP
원장(국회의원)	원장/NNG+(/SS+국회/NNG+의원/NNG+)/SS
등	등/NNB
6명은	6/SN+명/NNB+은/JX
비교적	비교/NNG+적/XSN
우수한	우수/NNG+하/XSA+ㄴ/ETM
'양호'	'/SS+양호/NNG+'/SS
성적표를	성적표/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


