# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.312
metadata : {}


# id : NWRW1800000044.312.1.1
[유레카] 화살탄 / 김종구

[유레카]	[/SS+유레카/NNG+]/SS
대에	대/NNB+에/JKB
많으면	많/VA+으면/EC
한꺼번에	한꺼번에/MAG
1만2천개씩	1/SN+만/NR+2/SN+천/NR+개/NNB+씩/XSN
실을	싣/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.312.2.4
독일도 곧바로 프랑스를 따라 화살 공격에 나섰다.

독일도	독일/NNP+도/JX
곧바로	곧바로/MAG
프랑스를	프랑스/NNP+를/JKO
따라	따르/VV+아/EC
화살	화살/NNG
공격에	공격/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.312.2.5
하늘에서 강철 화살의 비가 쏟아져 내리는 것은 지상의 군인들에게 엄청난 공포심을 불러일으켰다.

하늘에서	하늘/NNG+에서/JKB
강철	강철/NNG
화살의	화살/NNG+의/JKG
비가	비/NNG+가/JKS
쏟아져	쏟아지/VV+어/EC
내리는	내리/VV+는/ETM
것은	것/NNB+은/JX
지상의	지상/NNG+의/JKG
군인들에게	군인/NNG+들/XSN+에게/JKB
엄청난	엄청나/VA+ㄴ/ETM
공포심을	공포심/NNG+을/JKO
불러일으켰다.	불러일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.312.2.6
“조용한 죽음”이라는 별명도 붙었다.

“조용한	“/SS+조용하/VA+ㄴ/ETM
죽음”이라는	죽음/NNG+”/SS+이/VCP+라는/ETM
별명도	별명/NNG+도/JX
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.312.2.7
작은 화살이라는 뜻의 플레셰트(flechette)란 단어가 영어사전에 등재된 것도 1916년 무렵이다.

작은	작/VA+은/ETM
화살이라는	화살/NNG+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
플레셰트(flechette)란	플레셰트/NNG+(/SS+flechette/SL+)/SS+란/JX
단어가	단어/NNG+가/JKS
영어사전에	영어/NNP+사전/NNG+에/JKB
등재된	등재/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
1916년	1916/SN+년/NNB
무렵이다.	무렵/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.312.3.1
화살을 단순히 자유낙하 방식이 아니라 총포에 장전해 사용하려는 연구가 본격화하면서 1950년대 초반 무렵에 미군은 12구경 전투용 산탄총에, 소련은 AO-27 소총 등에 화살탄을 장착해 사용하는 방법을 개발했다.

화살을	화살/NNG+을/JKO
단순히	단순히/MAG
자유낙하	자유/NNG+낙하/NNG
방식이	방식/NNG+이/JKC
아니라	아니/VCN+라/EC
총포에	총포/NNG+에/JKB
장전해	장전/NNG+하/XSV+아/EC
사용하려는	사용/NNG+하/XSV+려는/ETM
연구가	연구/NNG+가/JKS
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
1950년대	1950/SN+년대/NNB
초반	초반/NNG
무렵에	무렵/NNB+에/JKB
미군은	미군/NNG+은/JX
12구경	12/SN+구경/NNG
전투용	전투/NNG+용/XSN
산탄총에,	산탄총/NNG+에/JKB+,/SP
소련은	소련/NNP+은/JX
AO-27	AO/SL+-/SO+27/SN
소총	소총/NNG
등에	등/NNB+에/JKB
화살탄을	화살탄/NNG+을/JKO
장착해	장착/NNG+하/XSV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.312.3.2
특히 ‘벌집탄’이라는 이름이 붙은 화살 포탄은 베트남전쟁 때 미군이 105밀리 곡사포와 탱크의 90밀리 자주포 등에 장착해 사용했다.

특히	특히/MAG
‘벌집탄’이라는	‘/SS+벌집/NNG+탄/NNG+’/SS+이/VCP+라는/ETM
이름이	이름/NNG+이/JKS
붙은	붙/VV+은/ETM
화살	화살/NNG
포탄은	포탄/NNG+은/JX
베트남전쟁	베트남/NNP+전쟁/NNG
때	때/NNG
미군이	미군/NNG+이/JKS
105밀리	105/SN+밀리/NNB
곡사포와	곡사포/NNG+와/JC
탱크의	탱크/NNG+의/JKG
90밀리	90/SN+밀리/NNB
자주포	자주포/NNG
등에	등/NNB+에/JKB
장착해	장착/NNG+하/XSV+아/EC
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.312.3.3
화살탄 사용으로 가장 악명 높은 나라는 최근 가자지구에서 화살탄을 발사해 또다시 국제적 지탄을 받고 있는 이스라엘이다.

화살탄	화살탄/NNG
사용으로	사용/NNG+으로/JKB
가장	가장/MAG
악명	악명/NNG
높은	높/VA+은/ETM
나라는	나라/NNG+는/JX
최근	최근/MAG
가자지구에서	가자지구/NNP+에서/JKB
화살탄을	화살탄/NNG+을/JKO
발사해	발사/NNG+하/XSV+아/EC
또다시	또다시/MAG
국제적	국제/NNG+적/XSN
지탄을	지탄/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이스라엘이다.	이스라엘/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000044.312.3.4
2002년 10월 인권을 위한 이스라엘 의사회와 팔레스타인 인권센터는 이스라엘 법원에 화살탄 사용을 금지해 달라는 청원을 제출했으나 법원은 “전쟁에 사용할 무기의 선택 문제는 법원이 간여할 성질이 아니다”라는 등의 이유를 대며 받아들이지 않았다.

2002년	2002/SN+년/NNB
10월	10/SN+월/NNB
인권을	인권/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이스라엘	이스라엘/NNP
의사회와	의사회/NNG+와/JC
팔레스타인	팔레스타인/NNP
인권센터는	인권/NNG+센터/NNG+는/JX
법원에	법원/NNG+에/JKB
화살탄	화살탄/NNG
사용을	사용/NNG+을/JKO
금지해	금지/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
청원을	청원/NNG+을/JKO
제출했으나	제출/NNG+하/XSV+았/EP+으나/EC
법원은	법원/NNG+은/JX
“전쟁에	“/SS+전쟁/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
무기의	무기/NNG+의/JKG
선택	선택/NNG
문제는	문제/NNG+는/JX
법원이	법원/NNG+이/JKS
간여할	간여/NNG+하/XSV+ㄹ/ETM
성질이	성질/NNG+이/JKS
아니다”라는	아니/VCN+다/EF+”/SS+라는/ETM
등의	등/NNB+의/JKG
이유를	이유/NNG+를/JKO
대며	대/VV+며/EC
받아들이지	받아들이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.312.4.1
화살탄 사용은 국제인권법으로 금지돼 있지는 않다.

화살탄	화살탄/NNG
사용은	사용/NNG+은/JX
국제인권법으로	국제/NNG+인권법/NNG+으로/JKB
금지돼	금지/NNG+되/XSV+어/EC
있지는	있/VX+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000044.312.4.2
하지만 인명 살상의 범위가 넓어서 가자지구처럼 인구가 밀집한 곳에서 사용하면 반드시 무고한 민간인 사상자를 내게 돼 있다는 점에서 민간인 희생 최소화라는 인권법의 대원칙에 어긋난다.

하지만	하지만/MAJ
인명	인명/NNG
살상의	살상/NNG+의/JKG
범위가	범위/NNG+가/JKS
넓어서	넓/VA+어서/EC
가자지구처럼	가자지구/NNP+처럼/JKB
인구가	인구/NNG+가/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
사용하면	사용/NNG+하/XSV+면/EC
반드시	반드시/MAG
무고한	무고하/VA+ㄴ/ETM
민간인	민간인/NNG
사상자를	사상자/NNG+를/JKO
내게	내/VV+게/EC
돼	되/VV+어/EC
있다는	있/VX+다는/ETM
점에서	점/NNG+에서/JKB
희생	희생/NNG
최소화라는	최소/NNG+화/XSN+이/VCP+라는/ETM
인권법의	인권법/NNG+의/JKG
대원칙에	대/XPN+원칙/NNG+에/JKB
어긋난다.	어긋나/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.312.4.3
이번에도 화살탄 사용에 대한 국제사회의 비난 여론이 들끓고 있지만 이스라엘군은 끄떡도 하지 않고 있다.

이번에도	이번/NNG+에/JKB+도/JX
화살탄	화살탄/NNG
사용에	사용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
비난	비난/NNG
여론이	여론/NNG+이/JKS
들끓고	들끓/VV+고/EC
있지만	있/VX+지만/EC
이스라엘군은	이스라엘군/NNG+은/JX
끄떡도	끄떡/MAG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


