# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.306
metadata : {}


# id : NWRW1800000030.306.1.1
[고위 공직자 재산공개] 전혜경 국립식량과학원장… 고위공직 최고 332억 신고, 1등 공신은 '외환딜러' 남편

[고위	[/SS+고위/NNG
수익을	수익/NNG+을/JKO
올리는	올리/VV+는/ETM
것으로	것/NNB+으로/JKB
추정할	추정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.306.7.1
이씨는 1980년대 초 외환딜러를 시작해 2000년에 은행에서 퇴직했다.

이씨는	이/NNP+씨/NNB+는/JX
1980년대	1980/SN+년대/NNB
초	초/NNB
외환딜러를	외환/NNG+딜러/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
2000년에	2000/SN+년/NNB+에/JKB
은행에서	은행/NNG+에서/JKB
퇴직했다.	퇴직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.306.7.2
퇴직 후 한 시중은행과 연봉 1억원에 최대 10억원의 성과급을 보장받는 계약을 체결한 것으로 전해진다.

퇴직	퇴직/NNG
후	후/NNG
한	한/MMN
시중은행과	시중/NNG+은행/NNG+과/JKB
연봉	연봉/NNG
1억원에	1/SN+억/NR+원/NNB+에/JKB
최대	최대/NNG
10억원의	10/SN+억/NR+원/NNB+의/JKG
성과급을	성과급/NNG+을/JKO
보장받는	보장/NNG+받/XSV+는/ETM
계약을	계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.306.7.3
한 외환딜러는 "이씨가 외환딜러 중에서 최초로 억대 연봉을 받은 사람으로 알고 있다"고 말했다.

한	한/MMN
외환딜러는	외환/NNG+딜러/NNG+는/JX
"이씨가	"/SS+이/NNP+씨/NNB+가/JKS
외환딜러	외환/NNG+딜러/NNG
중에서	중/NNB+에서/JKB
최초로	최초/NNG+로/JKB
억대	억/NR+대/XSN
연봉을	연봉/NNG+을/JKO
받은	받/VV+은/ETM
사람으로	사람/NNG+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


