# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.409
metadata : {}


# id : NWRW1800000022.409.1.1
다가온 '하지(Hajj·이슬람 성지 순례)' … 이란·사우디 또 갈등;이란 "사우디서 反美 집회"사우디 "혼란행위 용납못해"

다가온	다가오/VV+ㄴ/ETM
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.409.3.4
하지는 무슬림에게 어떤 의미가 있을까.

하지는	하지/NNG+는/JX
무슬림에게	무슬림/NNG+에게/JKB
어떤	어떤/MMD
의미가	의미/NNG+가/JKS
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000022.409.4.1
코란 제22장 '하지'에는 "(이슬람력으로) 12월 첫 10일간을 하지 기간으로 한다"고 명시돼 있다.

코란	코란/NNG
제22장	제/XPN+22/SN+장/NNG
'하지'에는	'/SS+하지/NNG+'/SS+에/JKB+는/JX
"(이슬람력으로)	"/SS+(/SS+이슬람력/NNG+으로/JKB+)/SS
12월	12/SN+월/NNB
첫	첫/MMN
10일간을	10/SN+일/NNB+간/XSN+을/JKO
하지	하지/NNG
기간으로	기간/NNG+으로/JKB
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
명시돼	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.409.4.2
올해는 양력으로 25일부터 29일까지다.

올해는	올해/NNG+는/JX
양력으로	양력/NNG+으로/JKB
25일부터	25/SN+일/NNB+부터/JX
29일까지다.	29/SN+일/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000022.409.4.3
하지는 신앙 고백, 하루 5차례의 기도, 특정 기간 중의 절제, 가난한 자에 대한 자선과 함께 천국에 가기 위해 무슬림이 실천해야 할 5가지 의무 가운데 하나다.

하지는	하지/NNG+는/JX
신앙	신앙/NNG
고백,	고백/NNG+,/SP
하루	하루/NNG
5차례의	5/SN+차례/NNG+의/JKG
기도,	기도/NNG+,/SP
특정	특정/NNG
기간	기간/NNG
중의	중/NNB+의/JKG
절제,	절제/NNG+,/SP
가난한	가난/NNG+하/XSA+ㄴ/ETM
자에	자/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
자선과	자선/NNG+과/JC
함께	함께/MAG
천국에	천국/NNG+에/JKB
가기	가/VV+기/ETN
위해	위하/VV+아/EC
무슬림이	무슬림/NNG+이/JKS
실천해야	실천/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
5가지	5/SN+가지/NNB
의무	의무/NNG
가운데	가운데/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000022.409.4.4
하지는 '이흐람'이라고 불리는 바느질하지 않은 흰 천 2장을 두르고 메카 주변의 성지를 순례한 다음 메카로 돌아와 기도를 올리는 것으로 끝난다.

하지는	하지/NNG+는/JX
'이흐람'이라고	'/SS+이흐람/NNG+'/SS+이라고/JKQ
불리는	불리/VV+는/ETM
바느질하지	바느질/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
흰	희/VA+ㄴ/ETM
천	천/NNG
2장을	2/SN+장/NNB+을/JKO
두르고	두르/VV+고/EC
메카	메카/NNP
주변의	주변/NNG+의/JKG
성지를	성지/NNG+를/JKO
순례한	순례/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
메카로	메카/NNP+로/JKB
돌아와	돌아오/VV+아/EC
기도를	기도/NNG+를/JKO
올리는	올리/VV+는/ETM
것으로	것/NNB+으로/JKB
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.409.5.1
하지에는 설화·종교적 의미뿐만 아니라 사회·정치적 긴장관계도 담겨 있다.

하지에는	하지/NNG+에/JKB+는/JX
설화·종교적	설화/NNG+·/SP+종교/NNG+적/XSN
의미뿐만	의미/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
사회·정치적	사회/NNG+·/SP+정치/NNG+적/XSN
긴장관계도	긴장/NNG+관계/NNG+도/JX
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.409.5.2
하지 때 무슬림이 찾는 '카바 신전'은 아랍인들이 아브라함이 그의 아들 이스마일을 희생제물로 바치려다 알라(신)가 던진 양을 대신 바쳤다고 믿는 곳으로, 아브라함과 이스마일이 알라의 명을 받들어 창건한 것이라고 한다.

하지	하지/NNG
때	때/NNG
무슬림이	무슬림/NNG+이/JKS
찾는	찾/VV+는/ETM
'카바	'/SS+카바/NNP
신전'은	신전/NNG+'/SS+은/JX
아랍인들이	아랍인/NNG+들/XSN+이/JKS
아브라함이	아브라함/NNP+이/JKS
그의	그/NP+의/JKG
아들	아들/NNG
이스마일을	이스마일/NNP+을/JKO
희생제물로	희생/NNG+제물/NNG+로/JKB
바치려다	바치/VV+려다/EC
알라(신)가	알라/NNP+(/SS+신/NNG+)/SS+가/JKS
던진	던지/VV+ㄴ/ETM
양을	양/NNG+을/JKO
대신	대신/NNG
바쳤다고	바치/VV+었/EP+다고/EC
믿는	믿/VV+는/ETM
곳으로,	곳/NNG+으로/JKB+,/SP
아브라함과	아브라함/NNP+과/JC
이스마일이	이스마일/NNP+이/JKS
알라의	알라/NNP+의/JKG
명을	명/NNG+을/JKO
받들어	받들/VV+어/EC
창건한	창건/NNG+하/XSV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.409.5.3
이곳에 세계 각국의 무슬림이 모여 동일한 복장으로 동일한 의식을 치르면서 그들 사이의 인종적·언어적·정치적 장벽을 허무는 계기가 된다.

이곳에	이곳/NP+에/JKB
세계	세계/NNG
각국의	각국/NNG+의/JKG
무슬림이	무슬림/NNG+이/JKS
모여	모이/VV+어/EC
동일한	동일/NNG+하/XSA+ㄴ/ETM
복장으로	복장/NNG+으로/JKB
의식을	의식/NNG+을/JKO
치르면서	치르/VV+면서/EC
그들	그/NP+들/XSN
사이의	사이/NNG+의/JKG
인종적·언어적·정치적	인종/NNG+적/XSN+·/SP+언어/NNG+적/XSN+·/SP+정치/NNG+적/XSN
장벽을	장벽/NNG+을/JKO
허무는	허물/VV+는/ETM
계기가	계기/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.409.6.1
하지만 이 기간에 시아파 국가인 이란과 수니파 국가인 사우디아라비아 간의 긴장관계도 반복된다.

하지만	하지만/MAJ
이	이/MMD
기간에	기간/NNG+에/JKB
시아파	시아파/NNG
국가인	국가/NNG+이/VCP+ㄴ/ETM
이란과	이란/NNP+과/JC
수니파	수니파/NNG
사우디아라비아	사우디아라비아/NNP
간의	간/NNB+의/JKG
긴장관계도	긴장/NNG+관계/NNG+도/JX
반복된다.	반복/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.409.6.2
올해도 이란이 "(하지 기간에) 사우디아라비아에서 반미·반이스라엘 집회를 가지겠다"고 선포하고, 사우디아라비아가 "하지 기간에 혼란을 일으킬 수 있는 어떤 행위도 용납하지 않겠다"고 밝힘으로써 충돌이 예상된다.

올해도	올해/NNG+도/JX
이란이	이란/NNP+이/JKS
"(하지	"/SS+(/SS+하지/NNG
기간에)	기간/NNG+에/JKB+)/SS
사우디아라비아에서	사우디아라비아/NNP+에서/JKB
반미·반이스라엘	반미/NNG+·/SP+반/XPN+이스라엘/NNP
집회를	집회/NNG+를/JKO
가지겠다"고	가지/VV+겠/EP+다/EF+"/SS+고/JKQ
선포하고,	선포/NNG+하/XSV+고/EC+,/SP
사우디아라비아가	사우디아라비아/NNP+가/JKS
"하지	"/SS+하지/NNG
기간에	기간/NNG+에/JKB
혼란을	혼란/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
어떤	어떤/MMD
행위도	행위/NNG+도/JX
용납하지	용납/NNG+하/XSV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
밝힘으로써	밝히/VV+ㅁ/ETN+으로써/JKB
충돌이	충돌/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


