# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.53
metadata : {}


# id : NWRW1800000030.53.1.1
美기업들 "베이비부머 세대 숙련공 챙겨라"

美기업들	美/SH+기업/NNG+들/XSN
노스캐롤라이나주에	노스캐롤라이나주/NNP+에/JKB
있는	있/VA+는/ETM
전자기기	전자/NNG+기기/NNG
회사	회사/NNG
'듀크	'/SS+듀크/NNP
에너지'는	에너지/NNG+'/SS+는/JX
중장년	중장년/NNG
근로자들이	근로자/NNG+들/XSN+이/JKS
공장	공장/NNG
일을	일/NNG+을/JKO
시작하기	시작/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
관절	관절/NNG
부상을	부상/NNG+을/JKO
예방하기	예방/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
스트레칭	스트레칭/NNG
트레이닝을	트레이닝/NNG+을/JKO
받도록	받/VV+도록/EC
전문가를	전문가/NNG+를/JKO
고용했다.	고용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.53.4.4
이 회사는 50대 중반부터는 전동 가위로 전선을 자르도록 권하고, 무거운 물건을 안전하게 들기 위한 방법도 가르친다.

이	이/MMD
회사는	회사/NNG+는/JX
50대	50/SN+대/NNB
중반부터는	중반/NNG+부터/JX+는/JX
전동	전동/NNG
가위로	가위/NNG+로/JKB
전선을	전선/NNG+을/JKO
자르도록	자르/VV+도록/EC
권하고,	권/NNG+하/XSV+고/EC+,/SP
무거운	무겁/VA+ㄴ/ETM
물건을	물건/NNG+을/JKO
안전하게	안전/NNG+하/XSA+게/EC
들기	들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방법도	방법/NNG+도/JX
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.53.5.1
50~60대가 일하기 편하도록 작업 환경 자체를 바꾸는 회사들도 있다.

50~60대가	50/SN+~/SO+60/SN+대/NNB+가/JKS
일하기	일/NNG+하/XSV+기/ETN
편하도록	편하/VA+도록/EC
작업	작업/NNG
환경	환경/NNG
자체를	자체/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
회사들도	회사/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.53.5.2
콘크리트 자재 생산사인 '불칸 매터리얼스'는 이전에 쓰던 금속 성분 재료를 가벼운 합성물로 대체했다.

콘크리트	콘크리트/NNG
자재	자재/NNG
생산사인	생산사/NNG+이/VCP+ㄴ/ETM
'불칸	'/SS+불칸/NNP
매터리얼스'는	매터리얼스/NNP+'/SS+는/JX
이전에	이전/NNG+에/JKB
쓰던	쓰/VV+던/ETM
금속	금속/NNG
성분	성분/NNG
재료를	재료/NNG+를/JKO
가벼운	가볍/VA+ㄴ/ETM
합성물로	합성물/NNG+로/JKB
대체했다.	대체/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.53.5.3
광업 회사 유니민은 테네시주에 있는 점토 제조공장의 운반 시스템을 교체해, 사람이 나르던 화학 물질을 기계가 나르도록 자동화했다.

광업	광업/NNG
회사	회사/NNG
유니민은	유니민/NNP+은/JX
테네시주에	테네시주/NNP+에/JKB
있는	있/VA+는/ETM
점토	점토/NNG
제조공장의	제조/NNG+공장/NNG+의/JKG
운반	운반/NNG
시스템을	시스템/NNG+을/JKO
교체해,	교체/NNG+하/XSV+아/EC+,/SP
사람이	사람/NNG+이/JKS
나르던	나르/VV+던/ETM
화학	화학/NNG
물질을	물질/NNG+을/JKO
기계가	기계/NNG+가/JKS
나르도록	나르/VV+도록/EC
자동화했다.	자동/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.53.5.4
미국 노동통계국에 따르면 2018년 55세 이상 근로자는 2008년(18%)보다 크게 늘어난, 전체의 24%를 차지할 전망이다.

미국	미국/NNP
노동통계국에	노동/NNG+통계국/NNG+에/JKB
따르면	따르/VV+면/EC
2018년	2018/SN+년/NNB
55세	55/SN+세/NNB
이상	이상/NNG
근로자는	근로자/NNG+는/JX
2008년(18%)보다	2008/SN+년/NNB+(/SS+18/SN+%/SW+)/SS+보다/JKB
크게	크/VA+게/EC
늘어난,	늘어나/VV+ㄴ/ETM+,/SP
전체의	전체/NNG+의/JKG
24%를	24/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


