# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.364
metadata : {}


# id : NWRW1800000049.364.1.1
“北, 한미동맹 끝장내고 핵보유국 지위 인정 노려”

“北,	“/SS+北/SH+,/SP
혼합시킨	혼합/NNG+시키/XSV+ㄴ/ETM
복잡한	복잡하/VA+ㄴ/ETM
도발을	도발/NNG+을/JKO
시도할지도	시도/NNG+하/XSV+ㄹ지/EF+도/JX
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.7.1
데이비드 스트라우브 스탠퍼드대 아태연구소 부소장도 “북한은 핵 위협이 우리(미국과 한국 등)의 정책 변화를 이끌어낼 수 없다는 데 좌절한 나머지 군사적 위험을 감수할 수도 있다”며 “전술핵무기의 배치는 특히 위험하다”고 우려했다.

데이비드	데이비드/NNP
스트라우브	스트라우브/NNP
스탠퍼드대	스탠퍼드대/NNP
아태연구소	아태연구소/NNP
부소장도	부소장/NNG+도/JX
“북한은	“/SS+북한/NNP+은/JX
핵	핵/NNG
위협이	위협/NNG+이/JKS
우리(미국과	우리/NP+(/SS+미국/NNP+과/JC
한국	한국/NNP
등)의	등/NNB+)/SS+의/JKG
정책	정책/NNG
변화를	변화/NNG+를/JKO
이끌어낼	이끌/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
데	데/NNB
좌절한	좌절/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
군사적	군사/NNG+적/XSN
위험을	위험/NNG+을/JKO
감수할	감수/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“전술핵무기의	“/SS+전술/NNG+핵무기/NNG+의/JKG
배치는	배치/NNG+는/JX
특히	특히/MAG
위험하다”고	위험/NNG+하/XSA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.8.1
주펑(朱鋒) 중국 난징(南京)대 교수는 “북한의 핵능력에 대해서는 반드시 최악의 준비와 계산을 해야 한다”며 “이것이 최근 수년간 중국, 미국, 한국 3국이 북한에 대한 정보 협력 및 교환이 필요하다고 호소하는 이유”라고 설명했다.

주펑(朱鋒)	주펑/NNP+(/SS+朱鋒/SH+)/SS
중국	중국/NNP
난징(南京)대	난징/NNP+(/SS+南京/SH+)/SS+대/NNG
교수는	교수/NNG+는/JX
“북한의	“/SS+북한/NNP+의/JKG
핵능력에	핵/NNG+능력/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
반드시	반드시/MAG
최악의	최악/NNG+의/JKG
준비와	준비/NNG+와/JC
계산을	계산/NNG+을/JKO
해야	하/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이것이	“/SS+이것/NP+이/JKS
최근	최근/MAG
수년간	수년/NNG+간/XSN
중국,	중국/NNP+,/SP
미국,	미국/NNP+,/SP
한국	한국/NNP
3국이	3국/NNG+이/JKS
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정보	정보/NNG
협력	협력/NNG
및	및/MAG
교환이	교환/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
호소하는	호소/NNG+하/XSV+는/ETM
이유”라고	이유/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.9.1
한편 닉시 연구위원은 북한이 이란에 핵미사일 기술을 제공해 외화 획득에 나설 가능성을 심각하게 경고했다.

한편	한편/MAG
닉시	닉시/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
북한이	북한/NNP+이/JKS
이란에	이란/NNP+에/JKB
핵미사일	핵미사일/NNG
기술을	기술/NNG+을/JKO
제공해	제공/NNG+하/XSV+아/EC
외화	외화/NNG
획득에	획득/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
심각하게	심각하/VA+게/EC
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.364.9.2
그는 이란이 북한을 통해 대리 핵개발을 하고 있으며 중국 은행을 통해 북한에 대가를 지급하고 기술을 이전받을 가능성을 제기해 왔다.

그는	그/NP+는/JX
이란이	이란/NNP+이/JKS
북한을	북한/NNP+을/JKO
통해	통하/VV+아/EC
대리	대리/NNG
핵개발을	핵/NNG+개발/NNG+을/JKO
하고	하/VV+고/EC
있으며	있/VX+으며/EC
중국	중국/NNP
은행을	은행/NNG+을/JKO
북한에	북한/NNP+에/JKB
대가를	대가/NNG+를/JKO
지급하고	지급/NNG+하/XSV+고/EC
기술을	기술/NNG+을/JKO
이전받을	이전/NNG+받/XSV+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
제기해	제기/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


