# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.441
metadata : {}


# id : NWRW1800000038.441.1.1
朴대통령, 새해 취임후 첫 회견… 본격 소통 나서나

朴대통령,	朴/SH+대통령/NNG+,/SP
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.441.6.2
박 대통령은 주로 청와대 수석비서관 회의나 국무회의 모두발언을 자신의 생각을 밝히는 기회로 활용했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
주로	주로/MAG
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
회의나	회의/NNG+나/JC
국무회의	국무/NNG+회의/NNG
모두발언을	모두/NNG+발언/NNG+을/JKO
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
밝히는	밝히/VV+는/ETM
기회로	기회/NNG+로/JKB
활용했다.	활용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.6.3
4월과 5월, 7월에 언론사 편집·보도국장단, 정치부장단, 논설실장을 각각 청와대로 초청해 오·만찬을 겸한 질의응답 자리를 가졌지만 박 대통령의 육성(肉聲)이 국민에게 전달되진 못했다.

4월과	4/SN+월/NNB+과/JC
5월,	5/SN+월/NNB+,/SP
7월에	7/SN+월/NNB+에/JKB
언론사	언론사/NNG
편집·보도국장단,	편집/NNG+·/SP+보도국장단/NNG+,/SP
정치부장단,	정치부장단/NNG+,/SP
논설실장을	논설실장/NNG+을/JKO
각각	각각/MAG
청와대로	청와대/NNP+로/JKB
초청해	초청/NNG+하/XSV+아/EC
오·만찬을	오·만찬/NNG+을/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
질의응답	질의응답/NNG
자리를	자리/NNG+를/JKO
가졌지만	가지/VV+었/EP+지만/EC
박	박/NNP
대통령의	대통령/NNG+의/JKG
육성(肉聲)이	육성/NNG+(/SS+肉聲/SH+)/SS+이/JKS
국민에게	국민/NNG+에게/JKB
전달되진	전달/NNG+되/XSV+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.441.6.4
이런 상황은 박 대통령에 대한 '불통' 논란의 소재로 활용됐다.

이런	이런/MMD
상황은	상황/NNG+은/JX
박	박/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'불통'	'/SS+불통/NNG+'/SS
논란의	논란/NNG+의/JKG
소재로	소재/NNG+로/JKB
활용됐다.	활용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.441.7.1
박 대통령 지지율이 50%를 웃돌 땐 이런 게 큰 문제가 되진 않았다.

박	박/NNP
대통령	대통령/NNG
지지율이	지지/NNG+율/XSN+이/JKS
50%를	50/SN+%/SW+를/JKO
웃돌	웃돌/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
이런	이런/MMD
게	거/NNB+이/JKS
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKC
되진	되/VV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.441.7.2
그러나 최근 지지율이 50% 밑으로 떨어지면서 청와대 참모들도 '위기감'을 느끼기 시작했다.

그러나	그러나/MAJ
최근	최근/NNG
지지율이	지지/NNG+율/XSN+이/JKS
50%	50/SN+%/SW
밑으로	밑/NNG+으로/JKB
떨어지면서	떨어지/VV+면서/EC
청와대	청와대/NNP
참모들도	참모/NNG+들/XSN+도/JX
'위기감'을	'/SS+위기감/NNG+'/SS+을/JKO
느끼기	느끼/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.7.3
참모들은 "대통령이 여론조사 결과에 일희일비하는 스타일은 아니다"라면서도 "지지율 하락 국면에 집권 2년 차를 맞는 것은 부담일 수 있다"고 했다.

참모들은	참모/NNG+들/XSN+은/JX
"대통령이	"/SS+대통령/NNG+이/JKS
여론조사	여론/NNG+조사/NNG
결과에	결과/NNG+에/JKB
일희일비하는	일희일비/NNG+하/XSV+는/ETM
스타일은	스타일/NNG+은/JX
아니다"라면서도	아니/VCN+다/EF+"/SS+이/VCP+라면서/EC+도/JX
"지지율	"/SS+지지/NNG+율/XSN
하락	하락/NNG
국면에	국면/NNG+에/JKB
집권	집권/NNG
2년	2/SN+년/NNB
차를	차/NNB+를/JKO
맞는	맞/VV+는/ETM
것은	것/NNB+은/JX
부담일	부담/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.7.4
그들은 "내년에 공기업 개혁 등의 바람이 몰아칠 건데 (지지율이 낮으면) 자칫 동력이 떨어질 수 있다"고도 했다.

그들은	그/NP+들/XSN+은/JX
"내년에	"/SS+내년/NNG+에/JKB
공기업	공기업/NNG
개혁	개혁/NNG
등의	등/NNB+의/JKG
바람이	바람/NNG+이/JKS
몰아칠	몰아치/VV+ㄹ/ETM
건데	거/NNB+이/VCP+ㄴ데/EC
(지지율이	(/SS+지지/NNG+율/XSN+이/JKS
낮으면)	낮/VA+으면/EC+)/SS
자칫	자칫/MAG
동력이	동력/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다"고도	있/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.7.5
박 대통령은 이날 "내년에 신년(新年) 기자회견을 하는 것이 좋겠다고 생각한다"며 "여러 수석이 함께 머리를 맞대 국민에게 제시할 어젠다와 내용을 잘 준비해달라"고 지시했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
"내년에	"/SS+내년/NNG+에/JKB
신년(新年)	신년/NNG+(/SS+新年/SH+)/SS
기자회견을	기자/NNG+회견/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
좋겠다고	좋/VA+겠/EP+다고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"여러	"/SS+여러/MMN
수석이	수석/NNG+이/JKS
함께	함께/MAG
머리를	머리/NNG+를/JKO
맞대	맞대/VV+어/EC
국민에게	국민/NNG+에게/JKB
제시할	제시/NNG+하/XSV+ㄹ/ETM
어젠다와	어젠다/NNG+와/JC
내용을	내용/NNG+을/JKO
잘	잘/MAG
준비해달라"고	준비/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.8.1
신년 기자회견은 출입기자들과 질의응답을 주고받는 방식이 될 공산이 큰 것으로 알려졌다.

신년	신년/NNG
기자회견은	기자/NNG+회견/NNG+은/JX
출입기자들과	출입/NNG+기자/NNG+들/XSN+과/JKB
질의응답을	질의응답/NNG+을/JKO
주고받는	주고받/VV+는/ETM
방식이	방식/NNG+이/JKC
될	되/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.441.8.2
사회 통합, 인사(人事), 복지 공약 수정, 경제 민주화 후퇴 등 민감한 이슈에 대해서도 진솔한 답을 내놓을 것이라고 청와대 관계자는 전했다.

사회	사회/NNG
통합,	통합/NNG+,/SP
인사(人事),	인사/NNG+(/SS+人事/SH+)/SS+,/SP
복지	복지/NNG
공약	공약/NNG
수정,	수정/NNG+,/SP
경제	경제/NNG
민주화	민주/NNG+화/XSN
후퇴	후퇴/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
이슈에	이슈/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
진솔한	진솔하/VA+ㄴ/ETM
답을	답/NNG+을/JKO
내놓을	내놓/VV+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.8.3
이를 위해 청와대 춘추관 2층 기자회견장의 음향 시설도 보완한 것으로 전해졌다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
청와대	청와대/NNP
춘추관	춘추관/NNG
2층	2/SN+층/NNG
기자회견장의	기자/NNG+회견장/NNG+의/JKG
음향	음향/NNG
시설도	시설/NNG+도/JX
보완한	보완/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.441.9.1
◇"특별사면은 민심 수습용"

◇"특별사면은	◇/SW+"/SS+특별/NNG+사면/NNG+은/JX
민심	민심/NNG
수습용"	수습/NNG+용/XSN+"/SS


# id : NWRW1800000038.441.10.1
설 특사(特赦)도 1월 중에 있을 것으로 보인다.

설	설/NNG
특사(特赦)도	특사/NNG+(/SS+特赦/SH+)/SS+도/JX
1월	1/SN+월/NNB
중에	중/NNB+에/JKB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.441.10.2
특별사면권은 대통령 고유 권한이지만 박 대통령은 한 번도 행사하지 않았다.

특별사면권은	특별/NNG+사면/NNG+권/XSN+은/JX
대통령	대통령/NNG
고유	고유/NNG
권한이지만	권한/NNG+이/VCP+지만/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
한	한/MMN
번도	번/NNB+도/JX
행사하지	행사/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.441.10.3
대통령 사면권을 엄격하게 제한하겠다는 게 대선 공약이었다.

대통령	대통령/NNG
사면권을	사면/NNG+권/XSN+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
제한하겠다는	제한/NNG+하/XSV+겠/EP+다는/ETM
게	거/NNB+이/JKS
대선	대선/NNG
공약이었다.	공약/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.441.11.1
이 때문에 박 대통령은 특사 대상에 부정부패, 사회지도층 범죄를 제외하고 순수 서민 생계형 범죄로 제한하라고 지시했다.

이	이/NP
때문에	때문/NNB+에/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
특사	특사/NNG
대상에	대상/NNG+에/JKB
부정부패,	부정부패/NNG+,/SP
사회지도층	사회/NNG+지도/NNG+층/XSN
범죄를	범죄/NNG+를/JKO
제외하고	제외/NNG+하/XSV+고/EC
순수	순수/NNG
서민	서민/NNG
생계형	생계/NNG+형/XSN
범죄로	범죄/NNG+로/JKB
제한하라고	제한/NNG+하/XSV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.11.2
청와대 관계자는 "노점상, 영업용 운전기사, 택배 배달원 같은 서민들이 혜택을 보고 부패에 연루된 경제인이나 정치인은 제외될 것"이라고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"노점상,	"/SS+노점상/NNG+,/SP
영업용	영업/NNG+용/XSN
운전기사,	운전기사/NNG+,/SP
택배	택배/NNG
배달원	배달원/NNG
같은	같/VA+은/ETM
서민들이	서민/NNG+들/XSN+이/JKS
혜택을	혜택/NNG+을/JKO
보고	보/VV+고/EC
부패에	부패/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
경제인이나	경제인/NNG+이나/JC
정치인은	정치인/NNG+은/JX
제외될	제외/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.12.1
그동안 박 대통령은 각종 회의에서 '성장률과 고용률 등 경제지표가 호전되고 있지만 서민들은 못 느낀다'는 지적을 자주 했다.

그동안	그동안/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
각종	각종/NNG
회의에서	회의/NNG+에서/JKB
'성장률과	'/SS+성장/NNG+률/XSN+과/JC
고용률	고용/NNG+률/XSN
등	등/NNB
경제지표가	경제/NNG+지표/NNG+가/JKS
호전되고	호전/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
서민들은	서민/NNG+들/XSN+은/JX
못	못/MAG
느낀다'는	느끼/VV+ㄴ다/EF+'/SS+는/ETM
지적을	지적/NNG+을/JKO
자주	자주/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.12.2
서민들을 대상으로 증액되거나 신설되는 복지 서비스도 대개 올 연말에 예산을 확보해 내년부터 본격적으로 시행된다.

서민들을	서민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
증액되거나	증액/NNG+되/XSV+거나/EC
신설되는	신설/NNG+되/XSV+는/ETM
복지	복지/NNG
서비스도	서비스/NNG+도/JX
대개	대개/MAG
올	올/NNG
연말에	연말/NNG+에/JKB
예산을	예산/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.441.13.1
여권 관계자는 "바닥 민심이 우호적이지 않다. 박근혜 정부가 들어서도 달라진 게 없다는 불만도 만만치 않다"며 "사면의 효과가 어느 정도일지는 모르지만 적절한 타이밍에 나왔다고 본다"고 했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
"바닥	"/SS+바닥/NNG
민심이	민심/NNG+이/JKS
우호적이지	우호/NNG+적/XSN+이/VCP+지/EC
않다.	않/VX+다/EF+./SF
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
들어서도	들어서/VV+어도/EC
달라진	달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
불만도	불만/NNG+도/JX
만만치	만만하/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"사면의	"/SS+사면/NNG+의/JKG
효과가	효과/NNG+가/JKS
어느	어느/MMD
정도일지는	정도/NNG+이/VCP+ㄹ지/EC+는/JX
모르지만	모르/VV+지만/EC
적절한	적절하/VA+ㄴ/ETM
타이밍에	타이밍/NNG+에/JKB
나왔다고	나오/VV+았/EP+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.441.14.1
일각에서는 민주노총 사무실에 공권력을 투입한 다음 날 특사 지시가 나온 점에 주목하고 있다.

일각에서는	일각/NNG+에서/JKB+는/JX
민주노총	민주노총/NNP
사무실에	사무실/NNG+에/JKB
공권력을	공권력/NNG+을/JKO
투입한	투입/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날	날/NNG
특사	특사/NNG
지시가	지시/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
점에	점/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.441.14.2
"'노조를 압박하는 강경한 대통령'으로 비칠 수 있는 점을 감안한 것 아니겠느냐"는 관측이다.

"'노조를	"/SS+'/SS+노조/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
대통령'으로	대통령/NNG+'/SS+으로/JKB
비칠	비치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점을	점/NNG+을/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니겠느냐"는	아니/VCN+겠/EP+느냐/EF+"/SS+는/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


