# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.9
metadata : {}


# id : NWRW1800000037.9.1.1
한은, 기준금리 2.75% 넉달째 동결

한은,	한은/NNP+,/SP
배포한	배포/NNG+하/XSV+ㄴ/ETM
‘최근의	‘/SS+최근/NNG+의/JKG
국내외	국내외/NNG
경제동향’에	경제/NNG+동향/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
한국의	한국/NNP+의/JKG
1월	1/SN+월/NNB
수출은	수출/NNG+은/JX
중국과	중국/NNP+과/JC
동남아	동남아/NNP
등의	등/NNB+의/JKG
수요회복으로	수요/NNG+회복/NNG+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
11.8%,	11/SN+./SP+8/SN+%/SW+,/SP
12월	12/SN+월/NNB
설비투자는	설비/NNG+투자/NNG+는/JX
9.9%	9/SN+./SP+9/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.9.6.1
지난해 12월 미국의 제조업 생산 및 소매판매도 전년 동기 대비 각각 0.8%, 0.5% 증가했다.

지난해	지난해/NNG
12월	12/SN+월/NNB
미국의	미국/NNP+의/JKG
제조업	제조업/NNG
생산	생산/NNG
및	및/MAG
소매판매도	소매/NNG+판매/NNG+도/JX
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
각각	각각/MAG
0.8%,	0/SN+./SP+8/SN+%/SW+,/SP
0.5%	0/SN+./SP+5/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.9.6.2
중국도 생산과 소비가 호조를 보이면서 회복세가 보다 뚜렷해졌다.

중국도	중국/NNP+도/JX
생산과	생산/NNG+과/JC
소비가	소비/NNG+가/JKS
호조를	호조/NNG+를/JKO
보이면서	보이/VV+면서/EC
회복세가	회복세/NNG+가/JKS
보다	보다/MAG
뚜렷해졌다.	뚜렷하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.9.7.1
김 총재는 “기준금리 동결 결정이 만장일치는 아니었다”며 “유럽 지역의 재정 위기, 미국의 재정 긴축 등 여러 불확실성이 사라지지 않았으므로 해외 위험요인과 한국의 지정학적 위험에 따른 금융·경제상황 변화를 점검하면서 통화정책을 펴 나갈 것”이라고 말했다.

김	김/NNP
총재는	총재/NNG+는/JX
“기준금리	“/SS+기준/NNG+금리/NNG
동결	동결/NNG
결정이	결정/NNG+이/JKS
만장일치는	만장일치/NNG+는/JX
아니었다”며	아니/VCN+었/EP+다/EF+”/SS+며/EC
“유럽	“/SS+유럽/NNP
지역의	지역/NNG+의/JKG
재정	재정/NNG
위기,	위기/NNG+,/SP
미국의	미국/NNP+의/JKG
긴축	긴축/NNG
등	등/NNB
여러	여러/MMN
불확실성이	불확실/NNG+성/XSN+이/JKS
사라지지	사라지/VV+지/EC
않았으므로	않/VX+았/EP+으므로/EC
해외	해외/NNG
위험요인과	위험/NNG+요인/NNG+과/JC
한국의	한국/NNP+의/JKG
지정학적	지정학/NNG+적/XSN
위험에	위험/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
금융·경제상황	금융/NNG+·/SP+경제/NNG+상황/NNG
변화를	변화/NNG+를/JKO
점검하면서	점검/NNG+하/XSV+면서/EC
통화정책을	통화/NNG+정책/NNG+을/JKO
펴	펴/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.9.8.1
이날 원-달러 환율은 기준금리 동결에도 큰 영향을 받지 않았다.

이날	이날/NNG
원-달러	원/NNB+-/SO+달러/NNG
환율은	환율/NNG+은/JX
기준금리	기준/NNG+금리/NNG
동결에도	동결/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.9.8.2
서울 외환시장에서 전 거래일보다 3.0원 하락한 1083.80원에 거래를 마쳤다.

서울	서울/NNP
외환시장에서	외환/NNG+시장/NNG+에서/JKB
전	전/MMD
거래일보다	거래일/NNG+보다/JKB
3.0원	3/SN+./SP+0/SN+원/NNB
하락한	하락/NNG+하/XSV+ㄴ/ETM
1083.80원에	1083/SN+./SP+80/SN+원/NNB+에/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


