# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.110
metadata : {}


# id : NWRW1800000030.110.1.1
"선플 달아요" 전국 청소년 용돈 모아 착한 캠페인

"선플	"/SS+선플/NNG
부산을	부산/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
부산	부산/NNP
동아중	동아중/NNP
학생들과	학생/NNG+들/XSN+과/JKB
함께	함께/MAG
광안리	광안리/NNP
해수욕장	해수욕장/NNG
인근에서	인근/NNG+에서/JKB
선플	선플/NNG
거리	거리/NNG
캠페인을	캠페인/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.110.4.2
부안여고 1학년 한혜빈 학생은 "학교 친구들과 함께 용돈을 모아 선플 홍보물을 만들어 캠페인을 준비했다"고 말했다.

부안여고	부안여고/NNP
1학년	1/SN+학년/NNG
한혜빈	한혜빈/NNP
학생은	학생/NNG+은/JX
"학교	"/SS+학교/NNG
친구들과	친구/NNG+들/XSN+과/JKB
함께	함께/MAG
용돈을	용돈/NNG+을/JKO
모아	모으/VV+아/EC
선플	선플/NNG
홍보물을	홍보물/NNG+을/JKO
만들어	만들/VV+어/EC
캠페인을	캠페인/NNG+을/JKO
준비했다"고	준비/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.110.5.1
대전 남대전고 학생들은 이날 유성에 있는 유림공원을 찾았다.

대전	대전/NNP
남대전고	남대전고/NNP
학생들은	학생/NNG+들/XSN+은/JX
이날	이날/NNG
유성에	유성/NNP+에/JKB
있는	있/VA+는/ETM
유림공원을	유림공원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.110.5.2
그곳에서 지나는 청소년들에게 '인터넷 세상 밖으로, 지켜줄수록 아름다운 저작권, 모두를 행복하게 하는 선플'이라는 내용의 유인물을 만들어 나눠줬다.

그곳에서	그곳/NP+에서/JKB
지나는	지나/VV+는/ETM
청소년들에게	청소년/NNG+들/XSN+에게/JKB
'인터넷	'/SS+인터넷/NNG
세상	세상/NNG
밖으로,	밖/NNG+으로/JKB+,/SP
지켜줄수록	지키/VV+어/EC+주/VX+ㄹ수록/EC
아름다운	아름답/VA+ㄴ/ETM
저작권,	저작/NNG+권/XSN+,/SP
모두를	모두/NNG+를/JKO
행복하게	행복/NNG+하/XSA+게/EC
하는	하/VX+는/ETM
선플'이라는	선플/NNG+'/SS+이/VCP+라는/ETM
내용의	내용/NNG+의/JKG
유인물을	유인물/NNG+을/JKO
만들어	만들/VV+어/EC
나눠줬다.	나누/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.110.5.3
이 학교 이정용 교사는 "정보통신 윤리를 잘 지켜 건전하고 아름다운 사이버 세상을 만들자는 취지에서 학생들이 적극 참여하고 있다"고 했다.

이	이/MMD
학교	학교/NNG
이정용	이정용/NNP
교사는	교사/NNG+는/JX
"정보통신	"/SS+정보/NNG+통신/NNG
윤리를	윤리/NNG+를/JKO
잘	잘/MAG
지켜	지키/VV+어/EC
건전하고	건전/NNG+하/XSA+고/EC
아름다운	아름답/VA+ㄴ/ETM
사이버	사이버/NNG
세상을	세상/NNG+을/JKO
만들자는	만들/VV+자는/ETM
취지에서	취지/NNG+에서/JKB
학생들이	학생/NNG+들/XSN+이/JKS
적극	적극/NNG
참여하고	참여/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.110.6.1
이 캠페인을 주최한 선플달기국민운동본부 민병철 이사장은 "이번 캠페인은 청소년들의 인성 교육과 사이버 폭력 예방에 기여할 것"이라고 말했다.

이	이/MMD
캠페인을	캠페인/NNG+을/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
선플달기국민운동본부	선플/NNG+달/VV+기/ETN+국민운동/NNG+본부/NNG
민병철	민병철/NNP
이사장은	이사장/NNG+은/JX
"이번	"/SS+이번/NNG
캠페인은	캠페인/NNG+은/JX
청소년들의	청소년/NNG+들/XSN+의/JKG
인성	인성/NNG
교육과	교육/NNG+과/JC
사이버	사이버/NNG
폭력	폭력/NNG
예방에	예방/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


