# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.321
metadata : {}


# id : NWRW1800000049.321.1.1
비례 지지율, 더민주 18%: 국민의당 17%

비례	비례/NNG
대한	대하/VV+ㄴ/ETM
응답은	응답/NNG+은/JX
△새누리당	△/SW+새누리당/NNP
36%	36/SN+%/SW
△더민주당	△/SW+더민주당/NNP
21%	21/SN+%/SW
△국민의당	△/SW+국민의당/NNP
10%	10/SN+%/SW
△정의당	△/SW+정의당/NNP
2%	2/SN+%/SW
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.321.7.3
국민의당 후보에게 투표하지 않더라도 비례대표 정당으로 국민의당을 선택하겠다는 유권자가 7%포인트 늘어난 것이다.

국민의당	국민의당/NNP
후보에게	후보/NNG+에게/JKB
투표하지	투표/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
비례대표	비례/NNG+대표/NNG
정당으로	정당/NNG+으로/JKB
국민의당을	국민의당/NNP+을/JKO
선택하겠다는	선택/NNG+하/XSV+겠/EP+다는/ETM
유권자가	유권자/NNG+가/JKS
7%포인트	7/SN+%포인트/NNG
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.321.7.4
정당 지지율 역시 △새누리당 39% △더민주당 21% △국민의당 14% △정의당 5%로 일부 여당 지지자들이 국민의당에 비례대표 투표를 할 가능성도 있는 것으로 분석된다.

정당	정당/NNG
지지율	지지/NNG+율/XSN
역시	역시/MAG
△새누리당	△/SW+새누리당/NNP
39%	39/SN+%/SW
△더민주당	△/SW+더민주당/NNP
21%	21/SN+%/SW
△국민의당	△/SW+국민의당/NNP
14%	14/SN+%/SW
△정의당	△/SW+정의당/NNP
5%로	5/SN+%/SW+로/JKB
일부	일부/NNG
여당	여당/NNG
지지자들이	지지자/NNG+들/XSN+이/JKS
국민의당에	국민의당/NNP+에/JKB
비례대표	비례/NNG+대표/NNG
투표를	투표/NNG+를/JKO
할	하/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.321.8.1
새누리당과 더민주당은 비상이 걸렸다.

새누리당과	새누리당/NNP+과/JC
더민주당은	더민주당/NNP+은/JX
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.321.8.2
반면 국민의당은 표정 관리를 하며 돌발 변수에 대비하는 모습이다.

반면	반면/NNG
국민의당은	국민의당/NNP+은/JX
표정	표정/NNG
관리를	관리/NNG+를/JKO
하며	하/VV+며/EC
돌발	돌발/NNG
변수에	변수/NNG+에/JKB
대비하는	대비/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.321.8.3
이 같은 흐름이 실제 투표로 이어져 국민의당이 10석 안팎의 비례대표 의석을 확보할 경우 안철수 상임공동대표로선 3당 체제를 굳히는 계기를 마련할 수 있을 것으로 보인다.

이	이/NP
같은	같/VA+은/ETM
흐름이	흐름/NNG+이/JKS
실제	실제/NNG
투표로	투표/NNG+로/JKB
이어져	이어지/VV+어/EC
국민의당이	국민의당/NNP+이/JKS
10석	10/SN+석/NNB
안팎의	안팎/NNG+의/JKG
비례대표	비례/NNG+대표/NNG
의석을	의석/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
안철수	안철수/NNP
상임공동대표로선	상임/NNG+공동/NNG+대표/NNG+로서/JKB+ㄴ/JX
3당	3/SN+당/NNG
체제를	체제/NNG+를/JKO
굳히는	굳히/VV+는/ETM
계기를	계기/NNG+를/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


