# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.181
metadata : {}


# id : NWRW1800000026.181.1.1
軍기밀 北에 넘긴 '흑금성' 누구인가;97년 北風사건 때 안기부 對北공작원 北에 포섭된 후 돈받고 軍기밀 넘겨

軍기밀	軍/SH+기밀/NNG
'이중간첩'으로	'/SS+이중간첩/NNG+'/SS+으로/JKB
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
소송을	소송/NNG+을/JKO
내	내/VV+어/EC
승소하기도	승소/NNG+하/XSV+기/ETN+도/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
노동당	노동당/NNP
작전국(현	작전국/NNG+(/SS+현/MMD
정찰총국으로	정찰/NNG+총국/NNG+으로/JKB
통합)	통합/NNG+)/SS
소속	소속/NNG
북한	북한/NNP
공작원에게	공작원/NNG+에게/JKB
포섭돼	포섭/NNG+되/XSV+어/EC
군사기밀을	군사/NNG+기밀/NNG+을/JKO
빼내주고	빼내/VV+어/EC+주/VX+고/EC
공작금을	공작금/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
검찰은	검찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


