# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.246
metadata : {}


# id : NWRW1800000033.246.1.1
불꽃타 이승엽… 철벽투 오승환… 사자는 강했다

불꽃타	불꽃타/NNG
마지막	마지막/NNG
날	날/NNG
오른팔을	오른팔/NNG+을/JKO
번쩍	번쩍/MAG
치켜들었던	치켜들/VV+었/EP+던/ETM
그는	그/NP+는/JX
1년	1/SN+년/NNB
하루	하루/NNG
만에	만/NNB+에/JKB
같은	같/VA+은/ETM
장면을	장면/NNG+을/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
선수들과	선수/NNG+들/XSN+과/JKB
얼싸안고	얼싸안/VV+고/EC
기쁨을	기쁨/NNG+을/JKO
만끽했다.	만끽/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.4.1
삼성이 1일 잠실에서 열린 한국시리즈(4선승제) 6차전에서 SK를 7-0으로 꺾고 4승 2패로 시리즈를 마쳤다.

삼성이	삼성/NNP+이/JKS
1일	1/SN+일/NNB
잠실에서	잠실/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한국시리즈(4선승제)	한국/NNP+시리즈/NNG+(/SS+4/SN+선승/NNG+제/XSN+)/SS
6차전에서	6/SN+차전/NNB+에서/JKB
SK를	SK/SL+를/JKO
7-0으로	7/SN+-/SO+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
4승	4/SN+승/NNB
2패로	2/SN+패/NNB+로/JKB
시리즈를	시리즈/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.246.4.2
2년 연속 통합 우승을 차지한 삼성은 전·후기 리그 시절이던 1985년 한국시리즈를 치르지 않고 차지한 우승을 포함해 2002, 2005, 2006, 2011, 2012년 등 통산 6차례 정상에 올랐다.

2년	2/SN+년/NNB
연속	연속/NNG
통합	통합/NNG
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
삼성은	삼성/NNP+은/JX
전·후기	전·후기/NNG
리그	리그/NNG
시절이던	시절/NNG+이/VCP+던/ETM
1985년	1985/SN+년/NNB
한국시리즈를	한국/NNP+시리즈/NNG+를/JKO
치르지	치르/VV+지/EC
않고	않/VX+고/EC
포함해	포함/NNG+하/XSV+아/EC
2002,	2002/SN+,/SP
2005,	2005/SN+,/SP
2006,	2006/SN+,/SP
2011,	2011/SN+,/SP
2012년	2012/SN+년/NNB
등	등/NNB
통산	통산/NNG
6차례	6/SN+차례/NNG
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.5.1
삼성은 1982년 프로 출범부터 강팀으로 꼽혔지만 2001년까지 한국시리즈 우승과 인연을 맺지 못했다.

삼성은	삼성/NNP+은/JX
1982년	1982/SN+년/NNB
프로	프로/NNG
출범부터	출범/NNG+부터/JX
강팀으로	강팀/NNG+으로/JKB
꼽혔지만	꼽히/VV+었/EP+지만/EC
2001년까지	2001/SN+년/NNB+까지/JX
한국시리즈	한국/NNP+시리즈/NNG
우승과	우승/NNG+과/JKB
인연을	인연/NNG+을/JKO
맺지	맺/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.246.5.2
올해를 포함해 역대 한국시리즈에 진출한 횟수는 삼성이 14회로 가장 많다.

올해를	올해/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
역대	역대/NNG
한국시리즈에	한국/NNP+시리즈/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
횟수는	횟수/NNG+는/JX
삼성이	삼성/NNP+이/JKS
14회로	14/SN+회/NNB+로/JKB
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.246.5.3
KIA(해태 포함)가 10회, 두산이 7회로 그 뒤를 잇고 있다.

KIA(해태	KIA/SL+(/SS+해태/NNP
포함)가	포함/NNG+)/SS+가/JKS
10회,	10/SN+회/NNB+,/SP
두산이	두산/NNP+이/JKS
7회로	7/SN+회/NNB+로/JKB
그	그/MMD
뒤를	뒤/NNG+를/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.246.5.4
1993년을 끝으로 한동안 한국시리즈에 진출하지 못했던 삼성은 결국 2000시즌을 마친 뒤 ‘우승 청부사’ 김응용 감독을 영입해 팀의 체질을 바꿨고 2002년 창단 이후 처음으로 한국시리즈에서 우승했다.

1993년을	1993/SN+년/NNB+을/JKO
끝으로	끝/NNG+으로/JKB
한동안	한/XPN+동안/NNG
한국시리즈에	한국/NNP+시리즈/NNG+에/JKB
진출하지	진출/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
삼성은	삼성/NNP+은/JX
결국	결국/NNG
2000시즌을	2000/SN+시즌/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
‘우승	‘/SS+우승/NNG
청부사’	청부사/NNG+’/SS
김응용	김응용/NNP
감독을	감독/NNG+을/JKO
영입해	영입/NNG+하/XSV+아/EC
팀의	팀/NNG+의/JKG
체질을	체질/NNG+을/JKO
바꿨고	바꾸/VV+었/EP+고/EC
2002년	2002/SN+년/NNB
창단	창단/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
한국시리즈에서	한국/NNP+시리즈/NNG+에서/JKB
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.6.1
이번 한국시리즈를 관통해 온 ‘선취점 승리의 법칙’은 마지막까지 통했다.

이번	이번/NNG
한국시리즈를	한국/NNP+시리즈/NNG+를/JKO
관통해	관통/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
‘선취점	‘/SS+선취점/NNG
승리의	승리/NNG+의/JKG
법칙’은	법칙/NNG+’/SS+은/JX
마지막까지	마지막/NNG+까지/JX
통했다.	통하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.7.1
삼성은 경기를 시작하자마자 선두 타자 배영섭이 안타로 출루한 뒤 1사 1, 3루에서 최형우의 희생플라이로 선취점을 뽑았다.

삼성은	삼성/NNP+은/JX
경기를	경기/NNG+를/JKO
시작하자마자	시작/NNG+하/XSV+자마자/EC
선두	선두/NNG
타자	타자/NNG
배영섭이	배영섭/NNP+이/JKS
안타로	안타/NNG+로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1사	1/SN+사/NNG
1,	1/SN+,/SP
3루에서	3루/NNG+에서/JKB
최형우의	최형우/NNP+의/JKG
희생플라이로	희생/NNG+플라이/NNG+로/JKB
선취점을	선취점/NNG+을/JKO
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.7.2
삼성은 1-0으로 앞선 4회 1사 1루에서 이전 타석까지 15타수 1안타(0.067)로 부진했던 박석민이 SK 선발 마리오를 상대로 승부를 가르는 2점 홈런을 터뜨렸고 4-0으로 앞선 2사 만루에서 이승엽이 승부에 대못을 박는 3타점 3루타를 날렸다.

삼성은	삼성/NNP+은/JX
1-0으로	1/SN+-/SO+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
4회	4/SN+회/NNB
1사	1/SN+사/NNG
1루에서	1루/NNG+에서/JKB
이전	이전/NNG
타석까지	타석/NNG+까지/JX
15타수	15/SN+타수/NNG
1안타(0.067)로	1/SN+안타/NNG+(/SS+0/SN+./SP+067/SN+)/SS+로/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
박석민이	박석민/NNP+이/JKS
SK	SK/SL
선발	선발/NNG
마리오를	마리오/NNP+를/JKO
상대로	상대/NNG+로/JKB
승부를	승부/NNG+를/JKO
가르는	가르/VV+는/ETM
2점	2/SN+점/NNB
홈런을	홈런/NNG+을/JKO
터뜨렸고	터뜨리/VV+었/EP+고/EC
4-0으로	4/SN+-/SO+0/SN+으로/JKB
2사	2/SN+사/NNG
만루에서	만루/NNG+에서/JKB
이승엽이	이승엽/NNP+이/JKS
승부에	승부/NNG+에/JKB
대못을	대/XPN+못/NNG+을/JKO
박는	박/VV+는/ETM
3타점	3/SN+타점/NNG
3루타를	3루타/NNG+를/JKO
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.246.7.3
2차전 승리 투수였던 삼성 선발 장원삼은 삼진 9개를 솎아내며 7이닝을 1안타 무실점으로 막고 6차전 MVP로 뽑혔다.

2차전	2/SN+차전/NNB
승리	승리/NNG
투수였던	투수/NNG+이/VCP+었/EP+던/ETM
삼성	삼성/NNP
선발	선발/NNG
장원삼은	장원삼/NNP+은/JX
삼진	삼진/NNG
9개를	9/SN+개/NNB+를/JKO
솎아내며	솎/VV+아/EC+내/VX+며/EC
7이닝을	7/SN+이닝/NNG+을/JKO
1안타	1/SN+안타/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
막고	막/VV+고/EC
6차전	6/SN+차전/NNB
MVP로	MVP/SL+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.246.7.4
삼성은 8일부터 11일까지 부산에서 열리는 아시아시리즈에 출전해 2연패에 도전한다.

삼성은	삼성/NNP+은/JX
8일부터	8/SN+일/NNB+부터/JX
11일까지	11/SN+일/NNB+까지/JX
부산에서	부산/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시아시리즈에	아시아/NNP+시리즈/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
2연패에	2/SN+연패/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.246.8.1
한편 사상 처음 700만 관객 시대를 연 프로야구는 포스트시즌 입장 수입에서도 사상 최초로 100억 원(103억9322만6000원)을 돌파했다.

한편	한편/MAG
사상	사상/NNG
처음	처음/NNG
700만	700/SN+만/NR
관객	관객/NNG
시대를	시대/NNG+를/JKO
연	열/VV+ㄴ/ETM
프로야구는	프로/NNG+야구/NNG+는/JX
포스트시즌	포스트시즌/NNG
입장	입장/NNG
수입에서도	수입/NNG+에서/JKB+도/JX
최초로	최초/NNG+로/JKB
100억	100/SN+억/NR
원(103억9322만6000원)을	원/NNB+(/SS+103/SN+억/NR+9322/SN+만/NR+6000/SN+원/NNB+)/SS+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.246.8.2
이에 따라 삼성의 우승 배당금은 30억 원 정도가 될 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
삼성의	삼성/NNP+의/JKG
우승	우승/NNG
배당금은	배당금/NNG+은/JX
30억	30/SN+억/NR
원	원/NNB
정도가	정도/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.246.8.3
여기에 구단이 보험회사에 가입한 우승 보험금 10억 원을 보태면 우승 보너스는 40억 원에 이를 것으로 전망된다.

여기에	여기/NP+에/JKB
구단이	구단/NNG+이/JKS
보험회사에	보험/NNG+회사/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
우승	우승/NNG
보험금	보험금/NNG
10억	10/SN+억/NR
원을	원/NNB+을/JKO
보태면	보태/VV+면/EC
보너스는	보너스/NNG+는/JX
40억	40/SN+억/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


