# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.355
metadata : {}


# id : NWRW1800000026.355.1.1
[부산·경남] '2010 부산디지털콘텐츠유니버시아드' 열려

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
제작자·감독	제작자/NNG+·/SP+감독/NNG
등	등/NNB
융합콘텐츠를	융합/NNG+콘텐츠/NNG+를/JKO
지향하는	지향/NNG+하/XSV+는/ETM
전문가들의	전문가/NNG+들/XSN+의/JKG
특강,	특강/NNG+,/SP
애니메이션	애니메이션/NNG
'오디션'	'/SS+오디션/NNP+'/SS
상영,	상영/NNG+,/SP
민경조	민경조/NNP
감독의	감독/NNG+의/JKG
관객과의	관객/NNG+과/JKB+의/JKG
대화	대화/NNG
부대행사도	부대/NNG+행사/NNG+도/JX
다채롭게	다채롭/VA+게/EC
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.355.4.2
폐막식은 5일 오후 7시 경성대 콘서트홀에서 열려 대상 등 수상작 시상과 감상회 등으로 진행될 예정이다.

폐막식은	폐막식/NNG+은/JX
5일	5/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
경성대	경성대/NNP
콘서트홀에서	콘서트홀/NNG+에서/JKB
열려	열리/VV+어/EC
대상	대상/NNG
등	등/NNB
수상작	수상작/NNG
시상과	시상/NNG+과/JC
감상회	감상회/NNG
등으로	등/NNB+으로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


