# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.98
metadata : {}


# id : NWRW1800000030.98.1.1
춤으로 시대 감동시킨 그녀를 아십니까

춤으로	춤/NNG+으로/JKB
됐습니다."	되/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.98.4.1
무용가 최승희(1911~1969) 탄생 100주년을 맞아 광주시립미술관(관장 황영성)에서 대규모 전시 '불꽃처럼 바람처럼, 무희 최승희'가 12일 공식 개막한다.

무용가	무용가/NNG
최승희(1911~1969)	최승희/NNP+(/SS+1911/SN+~/SO+1969/SN+)/SS
탄생	탄생/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
광주시립미술관(관장	광주시립미술관/NNP+(/SS+관장/NNG
황영성)에서	황영성/NNP+)/SS+에서/JKB
대규모	대/XPN+규모/NNG
전시	전시/NNG
'불꽃처럼	'/SS+불꽃/NNG+처럼/JKB
바람처럼,	바람/NNG+처럼/JKB+,/SP
무희	무희/NNG
최승희'가	최승희/NNP+'/SS+가/JKS
12일	12/SN+일/NNB
공식	공식/NNG
개막한다.	개막/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.98.4.2
미공개작 27점을 비롯해 전시장을 채울 최승희 사진·그림 등 147점을 기증한 재일교포 하정웅(河正雄·72)씨는 8일 "일본군 위문공연과 월북 같은 이데올로기에 얽혀 최승희가 무용가로서 제대로 평가받지 못하는 것 같아 가슴 아프다"고 말했다.

미공개작	미/XPN+공개작/NNG
27점을	27/SN+점/NNB+을/JKO
비롯해	비롯하/VV+아/EC
전시장을	전시장/NNG+을/JKO
채울	채우/VV+ㄹ/ETM
최승희	최승희/NNP
사진·그림	사진/NNG+·/SP+그림/NNG
등	등/NNB
147점을	147/SN+점/NNB+을/JKO
기증한	기증/NNG+하/XSV+ㄴ/ETM
재일교포	재일/NNG+교포/NNG
하정웅(河正雄·72)씨는	하정웅/NNP+(/SS+河正雄/SH+·/SP+72/SN+)/SS+씨/NNB+는/JX
8일	8/SN+일/NNB
"일본군	"/SS+일본군/NNG
위문공연과	위문/NNG+공연/NNG+과/JC
월북	월북/NNG
같은	같/VA+은/ETM
이데올로기에	이데올로기/NNG+에/JKB
얽혀	얽히/VV+어/EC
최승희가	최승희/NNP+가/JKS
무용가로서	무용가/NNG+로서/JKB
제대로	제대로/MAG
평가받지	평가/NNG+받/XSV+지/EC
못하는	못하/VX+는/ETM
것	것/NNB
같아	같/VA+아/EC
가슴	가슴/NNG
아프다"고	아프/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.98.5.1
일본 무용가 이시이 바쿠(石井漠)로부터 신무용을 배운 최승희는 한국 전통춤을 접목해 장구춤·칼춤·부채춤·보살춤·화랑춤 등을 만들었고, 미국·프랑스·중국 등에서도 인정받은 세계적인 스타였다.

일본	일본/NNP
무용가	무용가/NNG
이시이	이시이/NNP
바쿠(石井漠)로부터	바쿠/NNP+(/SS+石井漠/SH+)/SS+로부터/JKB
신무용을	신무용/NNG+을/JKO
배운	배우/VV+ㄴ/ETM
최승희는	최승희/NNP+는/JX
한국	한국/NNP
전통춤을	전통/NNG+춤/NNG+을/JKO
접목해	접목/NNG+하/XSV+아/EC
장구춤·칼춤·부채춤·보살춤·화랑춤	장구춤/NNG+·/SP+칼춤/NNG+·/SP+부채춤/NNG+·/SP+보살/NNG+춤/NNG+·/SP+화랑/NNG+춤/NNG
등을	등/NNB+을/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
미국·프랑스·중국	미국/NNP+·/SP+프랑스/NNP+·/SP+중국/NNP
등에서도	등/NNB+에서/JKB+도/JX
인정받은	인정/NNG+받/XSV+은/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
스타였다.	스타/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.98.5.2
그는 사회주의 작가였던 남편 안막을 따라 1946년 월북했다.

그는	그/NP+는/JX
사회주의	사회주의/NNG
작가였던	작가/NNG+이/VCP+었/EP+던/ETM
남편	남편/NNG
안막을	안막/NNP+을/JKO
따라	따르/VV+아/EC
1946년	1946/SN+년/NNB
월북했다.	월북/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.98.6.1
전남 영암 출신 부모를 둔 하씨는 일본 아키타에서 나고 자라 한때는 화가를 꿈꿨다.

전남	전남/NNP
영암	영암/NNP
출신	출신/NNG
부모를	부모/NNG+를/JKO
둔	두/VV+ㄴ/ETM
하씨는	하/NNP+씨/NNB+는/JX
일본	일본/NNP
아키타에서	아키타/NNP+에서/JKB
나고	나/VV+고/EC
자라	자라/VV+아/EC
한때는	한때/NNG+는/JX
화가를	화가/NNG+를/JKO
꿈꿨다.	꿈꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.98.6.2
처음 판매한 그림이 '최승희의 장구춤'이었다.

처음	처음/NNG
판매한	판매/NNG+하/XSV+ㄴ/ETM
그림이	그림/NNG+이/JKS
'최승희의	'/SS+최승희/NNP+의/JKG
장구춤'이었다.	장구춤/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.98.6.3
일본에서 부동산 임대업으로 성공하고 최승희 관련 수집가로 변신한 그는 1990년대부터 광주시립미술관에 꾸준히 기증을 해왔다.

일본에서	일본/NNP+에서/JKB
부동산	부동산/NNG
임대업으로	임대업/NNG+으로/JKB
성공하고	성공/NNG+하/XSV+고/EC
최승희	최승희/NNP
관련	관련/NNG
수집가로	수집가/NNG+로/JKB
변신한	변신/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
1990년대부터	1990/SN+년대/NNB+부터/JX
광주시립미술관에	광주시립미술관/NNP+에/JKB
꾸준히	꾸준히/MAG
기증을	기증/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.98.6.4
하씨는 "최승희 관련 사진의 상당수는 정병호 전 중앙대 교수에게 필름 등을 구입해 일본에서 1m 이상의 크기로 작품화했고, 일본 신문·잡지나 지인들로부터 수집한 사진·그림 등을 더해 모두 한국으로 보냈다"면서 "이번 전시에는 2002년 광주시립미술관 전시에 걸리지 않았던 '해변에서' '무녀의 춤' 등이 포함돼 있다"고 말했다.

하씨는	하/NNP+씨/NNB+는/JX
"최승희	"/SS+최승희/NNP
관련	관련/NNG
사진의	사진/NNG+의/JKG
상당수는	상당수/NNG+는/JX
정병호	정병호/NNP
전	전/MMD
중앙대	중앙대/NNP
교수에게	교수/NNG+에게/JKB
필름	필름/NNG
등을	등/NNB+을/JKO
구입해	구입/NNG+하/XSV+아/EC
일본에서	일본/NNP+에서/JKB
1m	1/SN+m/SW
이상의	이상/NNG+의/JKG
크기로	크기/NNG+로/JKB
작품화했고,	작품/NNG+화/XSN+하/XSV+았/EP+고/EC+,/SP
일본	일본/NNP
신문·잡지나	신문/NNG+·/SP+잡지/NNG+나/JC
지인들로부터	지인/NNG+들/XSN+로부터/JKB
수집한	수집/NNG+하/XSV+ㄴ/ETM
사진·그림	사진/NNG+·/SP+그림/NNG
더해	더/MAG+하/XSV+아/EC
모두	모두/MAG
한국으로	한국/NNP+으로/JKB
보냈다"면서	보내/VV+었/EP+다/EF+"/SS+면서/EC
"이번	"/SS+이번/NNG
전시에는	전시/NNG+에/JKB+는/JX
2002년	2002/SN+년/NNB
광주시립미술관	광주시립미술관/NNP
전시에	전시/NNG+에/JKB
걸리지	걸리/VV+지/EC
않았던	않/VX+았/EP+던/ETM
'해변에서'	'/SS+해변/NNG+에서/JKB+'/SS
'무녀의	'/SS+무녀/NNG+의/JKG
춤'	춤/NNG+'/SS
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.98.7.1
최승희는 유명 사진가에게 의뢰해 공연 사진을 촬영했고 생활 사진도 대량 판매해 홍보 효과와 수익을 올렸다.

최승희는	최승희/NNP+는/JX
유명	유명/NNG
사진가에게	사진가/NNG+에게/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
공연	공연/NNG
사진을	사진/NNG+을/JKO
촬영했고	촬영/NNG+하/XSV+았/EP+고/EC
생활	생활/NNG
사진도	사진/NNG+도/JX
대량	대량/NNG
판매해	판매/NNG+하/XSV+아/EC
홍보	홍보/NNG
효과와	효과/NNG+와/JC
수익을	수익/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.98.7.2
하지만 현재 가장 방대하고 상태가 좋은 건 광주시립미술관에 소장된 '하정웅 콜렉션'이다.

하지만	하지만/MAJ
현재	현재/MAG
가장	가장/MAG
방대하고	방대하/VA+고/EC
상태가	상태/NNG+가/JKS
좋은	좋/VA+은/ETM
건	거/NNB+ㄴ/JX
광주시립미술관에	광주시립미술관/NNP+에/JKB
소장된	소장/NNG+되/XSV+ㄴ/ETM
'하정웅	'/SS+하정웅/NNP
콜렉션'이다.	콜렉션/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.98.7.3
하씨는 "올해가 100주년이지만 최승희 무용의 창조적인 정신은 후세와 오래 나누고 싶다"고 했다.

하씨는	하/NNP+씨/NNB+는/JX
"올해가	"/SS+올해/NNG+가/JKS
100주년이지만	100/SN+주년/NNB+이/VCP+지만/EC
최승희	최승희/NNP
무용의	무용/NNG+의/JKG
창조적인	창조/NNG+적/XSN+이/VCP+ㄴ/ETM
정신은	정신/NNG+은/JX
후세와	후세/NNG+와/JKB
오래	오래/MAG
나누고	나누/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.98.7.4
이번 전시회는 8월 폐막 후 10월에는 일본 도쿄의 한국문화원에서 이어진다.

이번	이번/NNG
전시회는	전시회/NNG+는/JX
8월	8/SN+월/NNB
폐막	폐막/NNG
후	후/NNG
10월에는	10/SN+월/NNB+에/JKB+는/JX
일본	일본/NNP
도쿄의	도쿄/NNP+의/JKG
한국문화원에서	한국문화원/NNP+에서/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


