# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.382
metadata : {}


# id : NWRW1800000041.382.1.1
[수도권]유종필 관악구청장 “인문학이 흐르는 ‘지식 복지’ 1번지로”

[수도권]유종필	[/SS+수도/NNG+권/XSN+]/SS+유종필/NNP
활약했던	활약/NNG+하/XSV+았/EP+던/ETM
유	유/NNP
구청장의	구청장/NNG+의/JKG
작명	작명/NNG
재주는	재주/NNG+는/JX
여전한	여전하/VA+ㄴ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.382.4.1
중앙 정치 무대에서 벗어나 민선 5기 때 관악구청장이 된 그는 지난 지방선거에서 60.49%의 높은 득표율로 재선에 성공했다.

중앙	중앙/NNG
정치	정치/NNG
무대에서	무대/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
민선	민선/NNG
5기	5/SN+기/NNG
때	때/NNG
관악구청장이	관악구청장/NNG+이/JKC
된	되/VV+ㄴ/ETM
그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
지방선거에서	지방/NNG+선거/NNG+에서/JKB
60.49%의	60/SN+./SP+49/SN+%/SW+의/JKG
높은	높/VA+은/ETM
득표율로	득표/NNG+율/XSN+로/JKB
재선에	재선/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.382.4.2
비결을 묻자 그는 “‘걸어서 10분 거리 도서관’ ‘175 교육지원 사업(청소년 대상 문화 교육)’ ‘인문학 강좌’ 등 그동안 펼친 다양한 지식 복지 사업이 주민들에게 직접적인 혜택으로 돌아가서일 것”이라며 “앞으로 관악구를 ‘도서관 도시’ ‘평행 학습의 도시’로 만들겠다”고 강조했다.

비결을	비결/NNG+을/JKO
묻자	묻/VV+자/EC
그는	그/NP+는/JX
“‘걸어서	“/SS+‘/SS+걷/VV+어서/EC
10분	10/SN+분/NNB
거리	거리/NNG
도서관’	도서관/NNG+’/SS
‘175	‘/SS+175/SN
교육지원	교육/NNG+지원/NNG
사업(청소년	사업/NNG+(/SS+청소년/NNG
대상	대상/NNG
문화	문화/NNG
교육)’	교육/NNG+)/SS+’/SS
‘인문학	‘/SS+인문학/NNG
강좌’	강좌/NNG+’/SS
등	등/NNB
그동안	그동안/NNG
펼친	펼치/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
지식	지식/NNG
복지	복지/NNG
사업이	사업/NNG+이/JKS
주민들에게	주민/NNG+들/XSN+에게/JKB
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
혜택으로	혜택/NNG+으로/JKB
돌아가서일	돌아가/VV+아서/EC+이/VCP+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
관악구를	관악구/NNP+를/JKO
‘도서관	‘/SS+도서관/NNG
도시’	도시/NNG+’/SS
‘평행	‘/SS+평행/NNG
학습의	학습/NNG+의/JKG
도시’로	도시/NNG+’/SS+로/JKB
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.382.5.1
유 구청장은 ‘지식 복지’를 강조했다.

유	유/NNP
구청장은	구청장/NNG+은/JX
‘지식	‘/SS+지식/NNG
복지’를	복지/NNG+’/SS+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.382.5.2
취임 당시 4곳이었던 도서관이 이제 43곳으로 늘었다.

취임	취임/NNG
당시	당시/NNG
4곳이었던	4/SN+곳/NNG+이/VCP+었/EP+던/ETM
도서관이	도서관/NNG+이/JKS
이제	이제/MAG
43곳으로	43/SN+곳/NNG+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.382.5.3
애플리케이션(앱)으로 신청하면 39곳으로 도서를 배달해주는 서비스를 운영하며 지난해에만 이렇게 25만 권이 대출됐다.

애플리케이션(앱)으로	애플리케이션/NNG+(/SS+앱/NNG+)/SS+으로/JKB
신청하면	신청/NNG+하/XSV+면/EC
39곳으로	39/SN+곳/NNG+으로/JKB
도서를	도서/NNG+를/JKO
배달해주는	배달/NNG+하/XSV+아/EC+주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
운영하며	운영/NNG+하/XSV+며/EC
지난해에만	지난해/NNG+에/JKB+만/JX
이렇게	이렇/VA+게/EC
25만	25/SN+만/NR
권이	권/NNB+이/JKS
대출됐다.	대출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.382.5.4
“‘작은 도서관’을 안 하는 지자체는 거의 없어요.

“‘작은	“/SS+‘/SS+작/VA+은/ETM
도서관’을	도서관/NNG+’/SS+을/JKO
안	안/MAG
하는	하/VV+는/ETM
지자체는	지자체/NNG+는/JX
거의	거의/MAG
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000041.382.5.5
하지만 우리처럼 이렇게 많고, 앱으로 대출까지 되는 곳을 찾기는 힘들죠.

하지만	하지만/MAJ
우리처럼	우리/NP+처럼/JKB
이렇게	이렇/VA+게/EC
많고,	많/VA+고/EC+,/SP
앱으로	앱/NNG+으로/JKB
대출까지	대출/NNG+까지/JX
되는	되/VV+는/ETM
곳을	곳/NNG+을/JKO
찾기는	찾/VV+기/ETN+는/JX
힘들죠.	힘들/VA+죠/EF+./SF


# id : NWRW1800000041.382.5.6
이제 배고픈 사람은 없지만 지식은 다릅니다.

이제	이제/MAG
배고픈	배고프/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
없지만	없/VA+지만/EC
지식은	지식/NNG+은/JX
다릅니다.	다르/VA+ㅂ니다/EF+./SF


# id : NWRW1800000041.382.5.7
저는 지식이 배고픈 사람을 없게 하겠습니다.”

저는	저/NP+는/JX
지식이	지식/NNG+이/JKS
배고픈	배고프/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
없게	없/VA+게/EC
하겠습니다.”	하/VX+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.382.6.1
유 구청장은 경제 청사진도 내보였다.

유	유/NNP
구청장은	구청장/NNG+은/JX
경제	경제/NNG
청사진도	청사진/NNG+도/JX
내보였다.	내보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.382.6.2
서울대입구역 주변을 서울 서남권의 경제, 교통, 문화 중심으로 개발하고, 신림역, 난곡사거리, 시흥나들목(IC) 주변의 지구단위계획 정비를 추진 중이다.

서울대입구역	서울대입구역/NNP
주변을	주변/NNG+을/JKO
서울	서울/NNP
서남권의	서남/NNG+권/XSN+의/JKG
경제,	경제/NNG+,/SP
교통,	교통/NNG+,/SP
문화	문화/NNG
중심으로	중심/NNG+으로/JKB
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
신림역,	신림역/NNP+,/SP
난곡사거리,	난곡사거리/NNP+,/SP
시흥나들목(IC)	시흥나들목/NNP+(/SS+IC/SL+)/SS
주변의	주변/NNG+의/JKG
지구단위계획	지구/NNG+단위/NNG+계획/NNG
정비를	정비/NNG+를/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.382.6.3
또 민간 전문가들이 포함된 ‘안심관악특별위윈회’를 설치해 주민들의 안전도 강화할 계획이다.

또	또/MAG
민간	민간/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
‘안심관악특별위윈회’를	‘/SS+안심관악특별위윈회/NNP+’/SS+를/JKO
설치해	설치/NNG+하/XSV+아/EC
주민들의	주민/NNG+들/XSN+의/JKG
안전도	안전/NNG+도/JX
강화할	강화/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.382.7.1
오랜 정당 생활에 국회도서관장까지 한 유 구청장에게 ‘구청장’이란 자리는 어떤 의미일까.

오랜	오랜/MMA
정당	정당/NNG
생활에	생활/NNG+에/JKB
국회도서관장까지	국회/NNG+도서관장/NNG+까지/JX
한	하/VV+ㄴ/ETM
유	유/NNP
구청장에게	구청장/NNG+에게/JKB
‘구청장’이란	‘/SS+구청장/NNG+’/SS+이/VCP+란/ETM
자리는	자리/NNG+는/JX
어떤	어떤/MMD
의미일까.	의미/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.382.7.2
“사실 당 지도자가 되지 않으면 국회의원 3, 4선을 해도 의미 있는 일 하나 하기 힘들어요.

“사실	“/SS+사실/MAG
당	당/NNG
지도자가	지도자/NNG+가/JKC
되지	되/VV+지/EC
않으면	않/VX+으면/EC
국회의원	국회/NNG+의원/NNG
3,	3/SN+,/SP
4선을	4/SN+선/NNB+을/JKO
해도	하/VV+아도/EC
의미	의미/NNG
있는	있/VA+는/ETM
일	일/NNG
하나	하나/NR
하기	하/VV+기/ETN
힘들어요.	힘들/VA+어요/EF+./SF


# id : NWRW1800000041.382.7.3
하지만 구청장은 자신의 가치 철학을 직접 현실화할 수 있어 상당히 매력 있습니다.”

하지만	하지만/MAJ
구청장은	구청장/NNG+은/JX
자신의	자신/NNG+의/JKG
가치	가치/NNG
철학을	철학/NNG+을/JKO
직접	직접/MAG
현실화할	현실/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
상당히	상당히/MAG
매력	매력/NNG
있습니다.”	있/VA+습니다/EF+./SF+”/SS


