# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.132
metadata : {}


# id : NWRW1800000032.132.1.1
중 ‘구원투수’ 국부펀드 불안한 경제 구해낼까

중	중/NNP
등	등/NNB
4대	4/SN+대/NNG
은행	은행/NNG
주식을	주식/NNG+을/JKO
매입했다.	매입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.132.6.2
또 앞으로도 공개시장을 통한 주식 매입을 계속하겠다고 밝혔으나 추가매입의 규모는 공개하지 않았다.

또	또/MAG
앞으로도	앞/NNG+으로/JKB+도/JX
공개시장을	공개/NNG+시장/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
주식	주식/NNG
매입을	매입/NNG+을/JKO
계속하겠다고	계속/NNG+하/XSV+겠/EP+다고/EC
밝혔으나	밝히/VV+었/EP+으나/EC
추가매입의	추가/NNG+매입/NNG+의/JKG
규모는	규모/NNG+는/JX
공개하지	공개/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.132.7.1
중앙후이진투자는 이날 공상은행 주식 1458만주, 농업은행 3907만주, 건설은행 738만주, 중국은행 351만주를 매입했다고 각 은행들이 공시했다.

중앙후이진투자는	중앙후이진투자/NNP+는/JX
이날	이날/NNG
공상은행	공상은행/NNP
주식	주식/NNG
1458만주,	1458/SN+만/NR+주/NNG+,/SP
농업은행	농업은행/NNP
3907만주,	3907/SN+만/NR+주/NNG+,/SP
건설은행	건설은행/NNP
738만주,	738/SN+만/NR+주/NNG+,/SP
중국은행	중국은행/NNP
351만주를	351/SN+만/NR+주/NNG+를/JKO
매입했다고	매입/NNG+하/XSV+았/EP+다고/EC
각	각/MMD
은행들이	은행/NNG+들/XSN+이/JKS
공시했다.	공시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.132.7.2
8년 전 국유은행 지원 목적으로 설립된 후이진은 약 4000억달러(465조원)의 자산을 운용하고 있으며, 이번 매입 전에도 4대은행 지분을 35.4~67.6%씩 보유하고 있었다.

8년	8/SN+년/NNB
전	전/NNG
국유은행	국유/NNG+은행/NNG
지원	지원/NNG
목적으로	목적/NNG+으로/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
후이진은	후이진/NNP+은/JX
약	약/MMA
4000억달러(465조원)의	4000/SN+억/NR+달러/NNB+(/SS+465/SN+조/NR+원/NNB+)/SS+의/JKG
자산을	자산/NNG+을/JKO
운용하고	운용/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
이번	이번/NNG
매입	매입/NNG
전에도	전/NNG+에/JKB+도/JX
4대은행	4/SN+대/NNG+은행/NNG
지분을	지분/NNG+을/JKO
35.4~67.6%씩	35/SN+./SP+4/SN+~/SO+67/SN+./SP+6/SN+%/SW+씩/XSN
보유하고	보유/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.132.8.1
중국이 은행 지분 공개매입에 나선 것은 2008년 금융위기 이후 처음이다.

중국이	중국/NNP+이/JKS
은행	은행/NNG
지분	지분/NNG
공개매입에	공개/NNG+매입/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.132.8.2
중국 금융시스템 전반에 대한 불신이 커지는 가운데 시장의 신뢰를 회복하려는 조처다.

중국	중국/NNP
금융시스템	금융/NNG+시스템/NNG
전반에	전반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신이	불신/NNG+이/JKS
커지는	커지/VV+는/ETM
가운데	가운데/NNG
시장의	시장/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
회복하려는	회복/NNG+하/XSV+려는/ETM
조처다.	조처/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.132.8.3
올들어 중국 4대은행 주가는 약 35% 빠졌고 9월 이후에만 평균 25% 떨어지는 등 날개 없는 추락을 해왔다.

올들어	올/NNG+들/VV+어/EC
중국	중국/NNP
4대은행	4/SN+대/NNG+은행/NNG
주가는	주가/NNG+는/JX
약	약/MMA
35%	35/SN+%/SW
빠졌고	빠지/VV+었/EP+고/EC
9월	9/SN+월/NNB
이후에만	이후/NNG+에/JKB+만/JX
평균	평균/NNG
25%	25/SN+%/SW
떨어지는	떨어지/VV+는/ETM
등	등/NNB
날개	날개/NNG
없는	없/VA+는/ETM
추락을	추락/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.132.8.4
중국 금융 시스템에 대한 불신이 국채로까지 확산되면서, 중국 국채의 부도 가능성을 상품화한 신용부도스와프(CDS) 순거래 규모는 지난달 말 현재 83억4000만달러로 한해 전에 비해 거의 2배 늘었다.

중국	중국/NNP
금융	금융/NNG
시스템에	시스템/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신이	불신/NNG+이/JKS
국채로까지	국채/NNG+로/JKB+까지/JX
확산되면서,	확산/NNG+되/XSV+면서/EC+,/SP
국채의	국채/NNG+의/JKG
부도	부도/NNG
가능성을	가능/NNG+성/XSN+을/JKO
상품화한	상품/NNG+화/XSN+하/XSV+ㄴ/ETM
신용부도스와프(CDS)	신용/NNG+부도/NNG+스와프/NNG+(/SS+CDS/SL+)/SS
순거래	순/MMA+거래/NNG
규모는	규모/NNG+는/JX
지난달	지난달/NNG
말	말/NNB
현재	현재/MAG
83억4000만달러로	83/SN+억/NR+4000/SN+만/NR+달러/NNB+로/JKB
한해	한/MMN+해/NNB
전에	전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
거의	거의/MAG
2배	2/SN+배/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.132.9.1
중국 정부의 개입 이후 11일 상하이 증시에서 4대은행 주식은 1~2%대 상승세를 보이는 등 시장은 일단 환영했다.

중국	중국/NNP
정부의	정부/NNG+의/JKG
개입	개입/NNG
이후	이후/NNG
11일	11/SN+일/NNB
상하이	상하이/NNP
증시에서	증시/NNG+에서/JKB
4대은행	4/SN+대/NNG+은행/NNG
주식은	주식/NNG+은/JX
1~2%대	1/SN+~/SO+2/SN+%/SW+대/XSN
상승세를	상승세/NNG+를/JKO
보이는	보이/VV+는/ETM
등	등/NNB
시장은	시장/NNG+은/JX
일단	일단/MAG
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.132.9.2
하지만 근본적인 부실 문제가 해결되지 않는 한 효과가 얼마나 지속될지에 대해서는 회의적인 전망이 많다.

하지만	하지만/MAJ
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
부실	부실/NNG
문제가	문제/NNG+가/JKS
해결되지	해결/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
효과가	효과/NNG+가/JKS
얼마나	얼마나/MAG
지속될지에	지속/NNG+되/XSV+ㄹ지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.132.9.3
선인완궈증권의 우다중 애널리스트는 <월스트리트저널>에 “대형은행 지분 매입을 통해 정부는 신뢰 회복을 원한다는 분명한 메시지를 시장에 보냈다”면서도 “4대은행 지분을 사들이는 것만으로는 최근 시장침체의 주범인 자금 부족 상황을 뒤집을 순 없을 것”이라고 말했다.

선인완궈증권의	선인완궈증권/NNP+의/JKG
우다중	우다중/NNP
애널리스트는	애널리스트/NNG+는/JX
<월스트리트저널>에	</SS+월스트리트저널/NNP+>/SS+에/JKB
“대형은행	“/SS+대형/NNG+은행/NNG
지분	지분/NNG
매입을	매입/NNG+을/JKO
통해	통하/VV+아/EC
정부는	정부/NNG+는/JX
신뢰	신뢰/NNG
회복을	회복/NNG+을/JKO
원한다는	원/NNG+하/XSV+ㄴ다는/ETM
분명한	분명/MAG+하/XSA+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
시장에	시장/NNG+에/JKB
보냈다”면서도	보내/VV+었/EP+다/EF+”/SS+면서/EC+도/JX
“4대은행	“/SS+4/SN+대/NNG+은행/NNG
지분을	지분/NNG+을/JKO
사들이는	사들이/VV+는/ETM
것만으로는	것/NNB+만/JX+으로/JKB+는/JX
최근	최근/MAG
시장침체의	시장/NNG+침체/NNG+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
자금	자금/NNG
부족	부족/NNG
상황을	상황/NNG+을/JKO
뒤집을	뒤집/VV+을/ETM
순	수/NNB+ㄴ/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.132.10.1
위기에 빠진 세계 경제의 유일한 ‘구원자’가 될 거라는 기대를 모았던 중국은 자국의 금융 부실과 부동산 거품 문제로 흔들리고 있다.

위기에	위기/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
세계	세계/NNG
경제의	경제/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
‘구원자’가	‘/SS+구원자/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
기대를	기대/NNG+를/JKO
모았던	모으/VV+았/EP+던/ETM
중국은	중국/NNP+은/JX
자국의	자국/NNG+의/JKG
금융	금융/NNG
부실과	부실/NNG+과/JC
부동산	부동산/NNG
거품	거품/NNG
문제로	문제/NNG+로/JKB
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.132.10.2
2008년 금융위기 당시 대규모 부양정책의 부작용으로 지방정부 부채는 2010년 말 현재 정부 공식통계로 10조7000억위안으로 치솟았다.

2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
당시	당시/NNG
대규모	대/XPN+규모/NNG
부양정책의	부양/NNG+정책/NNG+의/JKG
부작용으로	부작용/NNG+으로/JKB
지방정부	지방/NNG+정부/NNG
부채는	부채/NNG+는/JX
2010년	2010/SN+년/NNB
말	말/NNB
현재	현재/MAG
정부	정부/NNG
공식통계로	공식/NNG+통계/NNG+로/JKB
10조7000억위안으로	10/SN+조/NR+7000/SN+억/NR+위안/NNB+으로/JKB
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.132.10.3
정부는 이 가운데 2.5~3조위안 정도를 부실채권으로 분류하고 있지만, 스탠더드차터드는 수익을 못내는 과잉투자가 너무 많아 8~9조위안이 부실채권이라고 분석한다.

정부는	정부/NNG+는/JX
이	이/NP
가운데	가운데/NNG
2.5~3조위안	2/SN+./SP+5/SN+~/SO+3/SN+조/NR+위안/NNB
정도를	정도/NNG+를/JKO
부실채권으로	부실/NNG+채권/NNG+으로/JKB
분류하고	분류/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
스탠더드차터드는	스탠더드차터드/NNP+는/JX
수익을	수익/NNG+을/JKO
못내는	못/MAG+내/VV+는/ETM
과잉투자가	과잉/NNG+투자/NNG+가/JKS
너무	너무/MAG
많아	많/VA+아/EC
8~9조위안이	8/SN+~/SO+9/SN+조/NR+위안/NNB+이/JKS
부실채권이라고	부실/NNG+채권/NNG+이/VCP+라고/EC
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


