# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.50
metadata : {}


# id : NWRW1800000038.50.1.1
시퀘스터로 교통 예산 삭감… 美, 붕괴위험 다리 8000개 방치

시퀘스터로	시퀘스터/NNG+로/JKB
LAT에 따르면 미 전역에 구조적 결함과 붕괴 위험이 있는 다리는 8000여개다.

LAT에	LAT/SL+에/JKB
따르면	따르/VV+면/EC
미	미/NNP
전역에	전역/NNG+에/JKB
구조적	구조/NNG+적/XSN
결함과	결함/NNG+과/JC
붕괴	붕괴/NNG
위험이	위험/NNG+이/JKS
있는	있/VA+는/ETM
다리는	다리/NNG+는/JX
8000여개다.	8000/SN+여/XSN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.50.4.2
시민은 이를 매일 2억번씩 이용하고 있다.

시민은	시민/NNG+은/JX
이를	이/NP+를/JKO
매일	매일/MAG
2억번씩	2/SN+억/NR+번/NNB+씩/XSN
이용하고	이용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.50.4.3
캘리포니아주(州)의 다리 대부분은 평균 44년 전에 지어졌다.

캘리포니아주(州)의	캘리포니아주/NNP+(/SS+州/SH+)/SS+의/JKG
다리	다리/NNG
대부분은	대/XPN+부분/NNG+은/JX
평균	평균/NNG
44년	44/SN+년/NNB
전에	전/NNG+에/JKB
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.50.4.4
캘리포니아에만 건설한 지 50년 넘은 다리가 8000개다.

캘리포니아에만	캘리포니아/NNP+에/JKB+만/JX
건설한	건설/NNG+하/XSV+ㄴ/ETM
지	지/NNB
50년	50/SN+년/NNB
넘은	넘/VV+은/ETM
다리가	다리/NNG+가/JKS
8000개다.	8000/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.50.4.5
이 중 로스앤젤레스 카운티(군·郡) 16개 다리는 '고위험' 판정을 받았다.

이	이/NP
중	중/NNB
로스앤젤레스	로스앤젤레스/NNP
카운티(군·郡)	카운티/NNG+(/SS+군/NNG+·/SP+郡/SH+)/SS
16개	16/SN+개/NNB
다리는	다리/NNG+는/JX
'고위험'	'/SS+고/XPN+위험/NNG+'/SS
판정을	판정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.4.6
펜실베이니아주는 다리의 25%가 구조적 위험 판정을 받았다.

펜실베이니아주는	펜실베이니아주/NNP+는/JX
다리의	다리/NNG+의/JKG
25%가	25/SN+%/SW+가/JKS
구조적	구조/NNG+적/XSN
위험	위험/NNG
판정을	판정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.5.1
뉴욕주에서 가장 긴 다리이자 핵심 연결도로인 타판지(Tappan Zee) 브리지는 '재앙적 붕괴'의 위험이 있다고 LAT는 전했다.

뉴욕주에서	뉴욕주/NNP+에서/JKB
가장	가장/MAG
긴	길/VA+ㄴ/ETM
다리이자	다리/NNG+이/VCP+자/EC
핵심	핵심/NNG
연결도로인	연결/NNG+도로/NNG+이/VCP+ㄴ/ETM
타판지(Tappan	타판지/NNP+(/SS+Tappan/SL
Zee)	Zee/SL+)/SS
브리지는	브리지/NNP+는/JX
'재앙적	'/SS+재앙/NNG+적/XSN
붕괴'의	붕괴/NNG+'/SS+의/JKG
위험이	위험/NNG+이/JKS
있다고	있/VA+다고/EC
LAT는	LAT/SL+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.5.2
LAT는 "다리의 내구연한은 평균 50년인데 대부분이 1950년대에 건설돼 동시에 한계 수명에 이르고 있다"고 전했다.

LAT는	LAT/SL+는/JX
"다리의	"/SS+다리/NNG+의/JKG
내구연한은	내구연한/NNG+은/JX
평균	평균/NNG
50년인데	50/SN+년/NNB+이/VCP+ㄴ데/EC
대부분이	대/XPN+부분/NNG+이/JKS
1950년대에	1950/SN+년대/NNB+에/JKB
건설돼	건설/NNG+되/XSV+어/EC
동시에	동시/NNG+에/JKB
한계	한계/NNG
수명에	수명/NNG+에/JKB
이르고	이르/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.6.1
다리가 무너지는 사고도 일어나고 있다.

다리가	다리/NNG+가/JKS
무너지는	무너지/VV+는/ETM
사고도	사고/NNG+도/JX
일어나고	일어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.50.6.2
지난 2007년에는 미네소타주에서 넷째로 교통량이 많은 다리가 붕괴해 13명이 사망했다.

지난	지나/VV+ㄴ/ETM
2007년에는	2007/SN+년/NNB+에/JKB+는/JX
미네소타주에서	미네소타주/NNP+에서/JKB
넷째로	넷째/NR+로/JKB
교통량이	교통량/NNG+이/JKS
많은	많/VA+은/ETM
다리가	다리/NNG+가/JKS
붕괴해	붕괴/NNG+하/XSV+아/EC
13명이	13/SN+명/NNB+이/JKS
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.6.3
올해 초 워싱턴주에서는 자동차가 다리를 들이받자 교량이 무너지는 사고가 발생했다.

올해	올해/NNG
초	초/NNB
워싱턴주에서는	워싱턴주/NNP+에서/JKB+는/JX
자동차가	자동차/NNG+가/JKS
다리를	다리/NNG+를/JKO
들이받자	들이받/VV+자/EC
교량이	교량/NNG+이/JKS
무너지는	무너지/VV+는/ETM
사고가	사고/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.50.7.1
미 연방고속도로국(FHWA)에 따르면 노후 도로 및 다리 개·보수에는 연간 205억달러(약 22조5000억원)가 소요된다.

미	미/NNP
연방고속도로국(FHWA)에	연방/NNG+고속/NNG+도로국/NNG+(/SS+FHWA/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
노후	노후/NNG
도로	도로/NNG
및	및/MAG
다리	다리/NNG
개·보수에는	개·보수/NNG+에/JKB+는/JX
연간	연간/NNG
205억달러(약	205/SN+억/NR+달러/NNB+(/SS+약/MMA
22조5000억원)가	22/SN+조/NR+5000/SN+억/NR+원/NNB+)/SS+가/JKS
소요된다.	소요/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.50.7.2
타판지 브리지를 대체하는 비용만 52억달러(약 5조7000억원)가 필요하다.

타판지	타판지/NNP
브리지를	브리지/NNP+를/JKO
대체하는	대체/NNG+하/XSV+는/ETM
비용만	비용/NNG+만/JX
52억달러(약	52/SN+억/NR+달러/NNB+(/SS+약/MMA
5조7000억원)가	5/SN+조/NR+7000/SN+억/NR+원/NNB+)/SS+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.50.7.3
하지만 정부는 예산 마련에 어려움을 겪고 있다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
예산	예산/NNG
마련에	마련/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.50.7.4
연방 정부는 그간 도로 보수에 휘발유세를 사용해 왔지만, 자동차 연비 향상 등으로 세수 증가 폭이 줄었다.

연방	연방/NNG
정부는	정부/NNG+는/JX
그간	그/NP+간/XSN
도로	도로/NNG
보수에	보수/NNG+에/JKB
휘발유세를	휘발유세/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
자동차	자동차/NNG
연비	연비/NNG
향상	향상/NNG
등으로	등/NNB+으로/JKB
세수	세수/NNG
증가	증가/NNG
폭이	폭/NNG+이/JKS
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.50.7.5
반면 시멘트와 아스팔트 값은 중국·브라질 등 신흥 경제국이 떠오르면서 국제 가격이 크게 올랐다고 LAT가 전했다.

반면	반면/NNG
시멘트와	시멘트/NNG+와/JC
아스팔트	아스팔트/NNG
값은	값/NNG+은/JX
중국·브라질	중국/NNP+·/SP+브라질/NNP
등	등/NNB
신흥	신흥/NNG
경제국이	경제국/NNG+이/JKS
떠오르면서	떠오르/VV+면서/EC
국제	국제/NNG
가격이	가격/NNG+이/JKS
크게	크/VA+게/EC
올랐다고	오르/VV+았/EP+다고/EC
LAT가	LAT/SL+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


