# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.47
metadata : {}


# id : NWRW1800000025.47.1.1
6·25戰史에 소년병 오른다

6·25戰史에	6/SN+·/SP+25/SN+戰史/SH+에/JKB
사안별로	사안/NNG+별/XSN+로/JKB
각종	각종/NNG
인터뷰를	인터뷰/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
참전	참전/NNG
증언록을	증언록/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
3단계에서	3/SN+단계/NNG+에서/JKB
종합분석	종합/NNG+분석/NNG
및	및/MAG
전사를	전사/NNG+를/JKO
발간할	발간/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.47.5.1
소년·소녀지원병 가운데 현재 생존자는 4700여 명인 것으로 알려졌다.

소년·소녀지원병	소년/NNG+·/SP+소녀/NNG+지원병/NNG
가운데	가운데/NNG
현재	현재/MAG
생존자는	생존자/NNG+는/JX
4700여	4700/SN+여/XSN
명인	명/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.47.5.2
소년·소녀지원병 가운데 1950년 해병대 4기로 참전해 진해 신병훈련소에 입대한 80여 명의 소녀병 등이 포함돼 있다는 증언도 있다.

소년·소녀지원병	소년/NNG+·/SP+소녀/NNG+지원병/NNG
가운데	가운데/NNG
1950년	1950/SN+년/NNB
해병대	해병대/NNG
4기로	4/SN+기/NNG+로/JKB
참전해	참전/NNG+하/XSV+아/EC
진해	진해/NNP
신병훈련소에	신병/NNG+훈련소/NNG+에/JKB
입대한	입대/NNG+하/XSV+ㄴ/ETM
80여	80/SN+여/XSN
명의	명/NNB+의/JKG
소녀병	소녀/NNG+병/NNG
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
증언도	증언/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.47.5.3
국방부는 이들의 실체에 대해서는 아직 확인 중이라고 밝혔다.

국방부는	국방부/NNG+는/JX
이들의	이/NP+들/XSN+의/JKG
실체에	실체/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
아직	아직/MAG
확인	확인/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.47.6.1
정부는 이미 1993년부터 참전유공자 예우에 관한 법률에 따라 이들을 참전유공자로 예우하고 있다.

정부는	정부/NNG+는/JX
이미	이미/MAG
1993년부터	1993/SN+년/NNB+부터/JX
참전유공자	참전/NNG+유공자/NNG
예우에	예우/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률에	법률/NNG+에/JKB
따라	따르/VV+아/EC
이들을	이/NP+들/XSN+을/JKO
참전유공자로	참전/NNG+유공자/NNG+로/JKB
예우하고	예우/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.47.6.2
소년·소녀지원병이라는 집단의 실체는 2008년 인정했지만 개인 차원에서는 1993년부터 인정한 것이다.

소년·소녀지원병이라는	소년/NNG+·/SP+소녀/NNG+지원병/NNG+이/VCP+라는/ETM
집단의	집단/NNG+의/JKG
실체는	실체/NNG+는/JX
2008년	2008/SN+년/NNB
인정했지만	인정/NNG+하/XSV+았/EP+지만/EC
개인	개인/NNG
차원에서는	차원/NNG+에서/JKB+는/JX
1993년부터	1993/SN+년/NNB+부터/JX
인정한	인정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.47.6.3
소년·소녀지원병들은 국방부 장관으로부터 6·25전쟁 참전 사실을 확인받아 참전유공자로 등록하면 매달 9만 원의 참전명예수당을 받고 사망 후 국립묘지에 안장된다.

소년·소녀지원병들은	소년/NNG+·/SP+소녀/NNG+지원병/NNG+들/XSN+은/JX
국방부	국방부/NNG
장관으로부터	장관/NNG+으로부터/JKB
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
참전	참전/NNG
사실을	사실/NNG+을/JKO
확인받아	확인/NNG+받/XSV+아/EC
참전유공자로	참전/NNG+유공자/NNG+로/JKB
등록하면	등록/NNG+하/XSV+면/EC
매달	매달/MAG
9만	9/SN+만/NR
원의	원/NNB+의/JKG
참전명예수당을	참전/NNG+명예/NNG+수당/NNG+을/JKO
받고	받/VV+고/EC
사망	사망/NNG
후	후/NNG
국립묘지에	국립묘지/NNG+에/JKB
안장된다.	안장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.47.7.1
소년·소녀지원병들은 참전유공자 예우 외에 추가적인 보상을 원하고 있으나 정부는 난색을 표하고 있다.

소년·소녀지원병들은	소년/NNG+·/SP+소녀/NNG+지원병/NNG+들/XSN+은/JX
참전유공자	참전/NNG+유공자/NNG
예우	예우/NNG
외에	외/NNB+에/JKB
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
보상을	보상/NNG+을/JKO
원하고	원/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
정부는	정부/NNG+는/JX
난색을	난색/NNG+을/JKO
표하고	표/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.47.7.2
보훈처 관계자는 “국방부가 참전유공자 대상 규정에 ‘병역의무 없이 참전해 군번을 부여받고 현역으로 복무한 소년·소녀지원병’을 포함시키는 방안을 검토해 줄 것을 요청했지만 이미 현행법에 ‘병역의무 없이 참전한 소년지원병을 포함한다’는 규정이 있고 실제 소년·소녀지원병을 모두 참전유공자로 인정하고 있어 실익이 없다”며 “이들에 대한 추가적인 보상은 검토하고 있지 않다”고 말했다.

보훈처	보훈처/NNG
관계자는	관계자/NNG+는/JX
“국방부가	“/SS+국방부/NNG+가/JKS
참전유공자	참전/NNG+유공자/NNG
대상	대상/NNG
규정에	규정/NNG+에/JKB
‘병역의무	‘/SS+병역/NNG+의무/NNG
없이	없이/MAG
참전해	참전/NNG+하/XSV+아/EC
군번을	군번/NNG+을/JKO
부여받고	부여/NNG+받/XSV+고/EC
현역으로	현역/NNG+으로/JKB
복무한	복무/NNG+하/XSV+ㄴ/ETM
소년·소녀지원병’을	소년/NNG+·/SP+소녀/NNG+지원병/NNG+’/SS+을/JKO
포함시키는	포함/NNG+시키/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
이미	이미/MAG
현행법에	현행법/NNG+에/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
소년지원병을	소년/NNG+지원병/NNG+을/JKO
포함한다’는	포함/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
규정이	규정/NNG+이/JKS
있고	있/VA+고/EC
실제	실제/NNG
소년·소녀지원병을	소년/NNG+·/SP+소녀/NNG+지원병/NNG+을/JKO
모두	모두/MAG
참전유공자로	참전/NNG+유공자/NNG+로/JKB
인정하고	인정/NNG+하/XSV+고/EC
있어	있/VX+어/EC
실익이	실익/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“이들에	“/SS+이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
보상은	보상/NNG+은/JX
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


