# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.208
metadata : {}


# id : NWRW1800000022.208.1.1
[6·10 서울광장 시위] 수만명 모여 "독재 타도" 反정부 구호 외쳐;100여개 정당·단체 참가 한때 태평로 차로 점거… 경찰과 몸싸움 벌이기도

[6·10	[/SS+6/SN+·/SP+10/SN
광장을 메운 군중은 "명박퇴진, 독재타도" 등 반정부 구호를 외쳤다.

광장을	광장/NNG+을/JKO
메운	메우/VV+ㄴ/ETM
군중은	군중/NNG+은/JX
"명박퇴진,	"/SS+명박/NNP+퇴진/NNG+,/SP
독재타도"	독재/NNG+타도/NNG+"/SS
등	등/NNB
반정부	반/XPN+정부/NNG
구호를	구호/NNG+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.3.1
서울광장 시위 군중은 이날 오후 9시30분쯤 수만 명(경찰 추산 2만2000명, 주최측 추산 15만명)에 달했다.

서울광장	서울광장/NNP
시위	시위/NNG
군중은	군중/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
9시30분쯤	9/SN+시/NNB+30/SN+분/NNB+쯤/XSN
수만	수만/NR
명(경찰	명/NNB+(/SS+경찰/NNG
추산	추산/NNG
2만2000명,	2/SN+만/NR+2000/SN+명/NNB+,/SP
주최측	주최/NNG+측/NNB
15만명)에	15/SN+만/NR+명/NNB+)/SS+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.3.2
지난달 29일 고 노무현 전 대통령 국민장 영결식이 엄수된 지 12일 만에 서울광장이 다시 한번 특정 정치세력과 그에 호응하는 일부 시민의 집결지가 된 것이다.

지난달	지난달/NNG
29일	29/SN+일/NNB
고	고/MMA
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
국민장	국민장/NNG
영결식이	영결식/NNG+이/JKS
엄수된	엄수/NNG+되/XSV+ㄴ/ETM
지	지/NNB
12일	12/SN+일/NNB
만에	만/NNB+에/JKB
서울광장이	서울광장/NNP+이/JKS
다시	다시/MAG
한번	한번/MAG
특정	특정/NNG
정치세력과	정치/NNG+세력/NNG+과/JC
그에	그/NP+에/JKB
호응하는	호응/NNG+하/XSV+는/ETM
일부	일부/NNG
시민의	시민/NNG+의/JKG
집결지가	집결지/NNG+가/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.208.4.1
집회에 앞서 이날 낮 12시쯤 정동 성공회 대성당에서 사단법인 '6월 민주항쟁계승사업회' 등의 주최로 '6월 민주항쟁 22주년 기념식'이 열렸다.

집회에	집회/NNG+에/JKB
앞서	앞서/VV+어/EC
이날	이날/NNG
낮	낮/NNG
12시쯤	12/SN+시/NNB+쯤/XSN
정동	정동/NNP
성공회	성공회/NNG
대성당에서	대/XPN+성당/NNG+에서/JKB
사단법인	사단/NNG+법인/NNG
'6월	'/SS+6/SN+월/NNB
민주항쟁계승사업회'	민주항쟁계승사업회/NNP+'/SS
등의	등/NNB+의/JKG
주최로	주최/NNG+로/JKB
민주항쟁	민주/NNG+항쟁/NNG
22주년	22/SN+주년/NNB
기념식'이	기념식/NNG+'/SS+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.4.2
함세웅 천주교 신부, 백낙청 서울대 명예교수, 임성규 민주노총 위원장 등 진보진영 인사와 민주당·민노당 정치인들이 대거 참석했다.

함세웅	함세웅/NNP
천주교	천주교/NNG
신부,	신부/NNG+,/SP
백낙청	백낙청/NNP
서울대	서울대/NNP
명예교수,	명예/NNG+교수/NNG+,/SP
임성규	임성규/NNP
민주노총	민주노총/NNP
위원장	위원장/NNG
등	등/NNB
진보진영	진보/NNG+진영/NNG
인사와	인사/NNG+와/JC
민주당·민노당	민주당/NNP+·/SP+민노당/NNP
정치인들이	정치인/NNG+들/XSN+이/JKS
대거	대거/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.4.3
주최 측은 1987년 6·10 항쟁 시위 장면과 작년 촛불시위 장면, 고 노 전 대통령 빈소 장면 등을 교차 편집한 동영상을 상영했다.

주최	주최/NNG
측은	측/NNB+은/JX
1987년	1987/SN+년/NNB
6·10	6/SN+·/SP+10/SN
항쟁	항쟁/NNG
시위	시위/NNG
장면과	장면/NNG+과/JC
작년	작년/NNG
촛불시위	촛불/NNG+시위/NNG
장면,	장면/NNG+,/SP
고	고/MMA
노	노/NNP
전	전/MMD
대통령	대통령/NNG
빈소	빈소/NNG
장면	장면/NNG
등을	등/NNB+을/JKO
교차	교차/NNG
편집한	편집/NNG+하/XSV+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
상영했다.	상영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.4.4
이해찬 전 총리는 "노 전 대통령 서거는 불량정권, 불량검찰, 불량언론이 저지른 불량한 행위"라고 말했다.

이해찬	이해찬/NNP
전	전/MMD
총리는	총리/NNG+는/JX
"노	"/SS+노/NNP
대통령	대통령/NNG
서거는	서거/NNG+는/JX
불량정권,	불량/NNG+정권/NNG+,/SP
불량검찰,	불량/NNG+검찰/NNG+,/SP
불량언론이	불량/NNG+언론/NNG+이/JKS
저지른	저지르/VV+ㄴ/ETM
불량한	불량/NNG+하/XSA+ㄴ/ETM
행위"라고	행위/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.4.5
기념식 참가자들은 서울광장으로 이동해 민주당 의원 30여 명이 전날 밤 설치한 천막에 합류했다.

기념식	기념식/NNG
참가자들은	참가자/NNG+들/XSN+은/JX
서울광장으로	서울광장/NNP+으로/JKB
이동해	이동/NNG+하/XSV+아/EC
민주당	민주당/NNP
의원	의원/NNG
30여	30/SN+여/XSN
명이	명/NNB+이/JKS
전날	전날/NNG
밤	밤/NNG
설치한	설치/NNG+하/XSV+ㄴ/ETM
천막에	천막/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.5.1
이어 오후 4시20분쯤, 강기갑 대표 등 민노당 당직자 4명이 삼보일배를 하며 서울광장을 한 바퀴 돈 뒤 일민미술관 앞까지 이동했고, 교보빌딩으로 이어지는 횡단보도 앞에서 10분간 연좌농성을 벌였다.

이어	이어/MAG
오후	오후/NNG
4시20분쯤,	4/SN+시/NNB+20/SN+분/NNB+쯤/XSN+,/SP
강기갑	강기갑/NNP
대표	대표/NNG
등	등/NNB
민노당	민노당/NNP
당직자	당직자/NNG
4명이	4/SN+명/NNB+이/JKS
삼보일배를	삼보일배/NNG+를/JKO
하며	하/VV+며/EC
서울광장을	서울광장/NNP+을/JKO
한	한/MMN
바퀴	바퀴/NNB
돈	돌/VV+ㄴ/ETM
뒤	뒤/NNG
일민미술관	일민미술관/NNP
앞까지	앞/NNG+까지/JX
이동했고,	이동/NNG+하/XSV+았/EP+고/EC+,/SP
교보빌딩으로	교보빌딩/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
횡단보도	횡단보도/NNG
앞에서	앞/NNG+에서/JKB
10분간	10/SN+분/NNB+간/XSN
연좌농성을	연좌/NNG+농성/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.5.2
강 대표 일행을 따르던 지지자 50여명이 "야당탄압 중단하라" "청와대로 가자" 등의 구호를 외치며 경찰과 대치하다 서울광장으로 돌아와 시위대에 합류했다.

강	강/NNP
대표	대표/NNG
일행을	일행/NNG+을/JKO
따르던	따르/VV+던/ETM
지지자	지지자/NNG
50여명이	50/SN+여/XSN+명/NNB+이/JKS
"야당탄압	"/SS+야당/NNG+탄압/NNG
중단하라"	중단/NNG+하/XSV+라/EF+"/SS
"청와대로	"/SS+청와대/NNP+로/JKB
가자"	가/VV+자/EC+"/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
경찰과	경찰/NNG+과/JKB
대치하다	대치/NNG+하/XSV+다/EC
서울광장으로	서울광장/NNP+으로/JKB
돌아와	돌아오/VV+아/EC
시위대에	시위대/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.6.1
비슷한 시각, 광장 남쪽 서울프라자호텔 앞 횡단보도에서는 군중 수백명이 경찰을 밀치고 도로 점거를 시도했고, 경찰에 밀려 인도로 오르는 과정에서 달걀을 던지며 경찰과 몸싸움을 벌였다.

비슷한	비슷하/VA+ㄴ/ETM
시각,	시각/NNG+,/SP
광장	광장/NNG
남쪽	남쪽/NNG
서울프라자호텔	서울프라자호텔/NNP
앞	앞/NNG
횡단보도에서는	횡단보도/NNG+에서/JKB+는/JX
군중	군중/NNG
수백명이	수백/NR+명/NNB+이/JKS
경찰을	경찰/NNG+을/JKO
밀치고	밀치/VV+고/EC
도로	도로/NNG
점거를	점거/NNG+를/JKO
시도했고,	시도/NNG+하/XSV+았/EP+고/EC+,/SP
경찰에	경찰/NNG+에/JKB
밀려	밀리/VV+어/EC
인도로	인도/NNG+로/JKB
오르는	오르/VV+는/ETM
과정에서	과정/NNG+에서/JKB
달걀을	달걀/NNG+을/JKO
던지며	던지/VV+며/EC
경찰과	경찰/NNG+과/JKB
몸싸움을	몸싸움/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.6.2
시위대 중 전직 야당 의원들도 있었다.

시위대	시위대/NNG
중	중/NNB
전직	전직/NNG
야당	야당/NNG
의원들도	의원/NNG+들/XSN+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.208.7.1
'4대 강 삽질사업 MB는 뻥쟁이'라는 패널을 든 '운하백지화국민행동' 회원들이 시민들에게 유인물을 나눠줬다.

'4대	'/SS+4/SN+대/NNG
강	강/NNG
삽질사업	삽/NNG+질/XSN+사업/NNG
MB는	MB/SL+는/JX
뻥쟁이'라는	뻥/NNG+쟁이/XSN+'/SS+이/VCP+라는/ETM
패널을	패널/NNG+을/JKO
든	들/VV+ㄴ/ETM
'운하백지화국민행동'	'/SS+운하백지화국민행동/NNP+'/SS
회원들이	회원/NNG+들/XSN+이/JKS
시민들에게	시민/NNG+들/XSN+에게/JKB
유인물을	유인물/NNG+을/JKO
나눠줬다.	나누/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.208.7.2
10대 청소년 수십명은 '배운 대로 행동하자! 민주주의 지켜내자!'라고 쓴 현수막을 펼치고 '민주주의를 사랑하는 3076명 청소년 일동' 명의의 '6·10 청소년 시국선언문'을 나눠줬다.

10대	10/SN+대/NNB
청소년	청소년/NNG
수십명은	수십/NR+명/NNB+은/JX
'배운	'/SS+배우/VV+ㄴ/ETM
대로	대로/NNB
행동하자!	행동/NNG+하/XSV+자/EC+!/SF
민주주의	민주주의/NNG
지켜내자!'라고	지키/VV+어/EC+내/VX+자/EF+!/SF+'/SS+라고/JKQ
쓴	쓰/VV+ㄴ/ETM
현수막을	현수막/NNG+을/JKO
펼치고	펼치/VV+고/EC
'민주주의를	'/SS+민주주의/NNG+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
3076명	3076/SN+명/NNB
일동'	일동/NNG+'/SS
명의의	명의/NNG+의/JKG
'6·10	'/SS+6/SN+·/SP+10/SN
시국선언문'을	시국/NNG+선언문/NNG+'/SS+을/JKO
나눠줬다.	나누/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.208.8.1
명동 향린교회에서 열린 범민련 남측본부 초대의장 고 강희남 목사 영결식에 참석했던 인사들도 영결식 후 서울광장으로 이동했다.

명동	명동/NNP
향린교회에서	향린교회/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
범민련	범민련/NNP
남측본부	남측/NNG+본부/NNG
초대의장	초대/NNG+의장/NNG
고	고/MMA
강희남	강희남/NNP
목사	목사/NNG
영결식에	영결식/NNG+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
인사들도	인사/NNG+들/XSN+도/JX
영결식	영결식/NNG
후	후/NNG
서울광장으로	서울광장/NNP+으로/JKB
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.8.2
백기완 통일문제연구소장 등 100여명은 소형 트럭에 강 목사 대형 영정 사진을 싣고 '우리 민족 련방제 통일 추진'이라고 적은 만장을 앞세우며 서울광장 시위에 합세했다.

백기완	백기완/NNP
통일문제연구소장	통일/NNG+문제/NNG+연구소장/NNG
등	등/NNB
100여명은	100/SN+여/XSN+명/NNB+은/JX
소형	소형/NNG
트럭에	트럭/NNG+에/JKB
강	강/NNP
목사	목사/NNG
대형	대형/NNG
영정	영정/NNG
사진을	사진/NNG+을/JKO
싣고	싣/VV+고/EC
'우리	'/SS+우리/NP
민족	민족/NNG
련방제	련방제/NNG
통일	통일/NNG
추진'이라고	추진/NNG+'/SS+이/VCP+라고/EC
적은	적/VV+은/ETM
만장을	만장/NNG+을/JKO
앞세우며	앞세우/VV+며/EC
서울광장	서울광장/NNP
시위에	시위/NNG+에/JKB
합세했다.	합세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.9.1
오후 7시30분쯤 집회가 시작되자, 1987년 숨진 고(故) 박종철 열사 아버지 박정기씨와 고 이한열 열사 어머니 배은심씨가 무대에 올라 인사말을 했다.

오후	오후/NNG
7시30분쯤	7/SN+시/NNB+30/SN+분/NNB+쯤/XSN
집회가	집회/NNG+가/JKS
시작되자,	시작/NNG+되/XSV+자/EC+,/SP
1987년	1987/SN+년/NNB
숨진	숨지/VV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
박종철	박종철/NNP
열사	열사/NNG
아버지	아버지/NNG
박정기씨와	박정기/NNP+씨/NNB+와/JC
고	고/MMA
이한열	이한열/NNP
어머니	어머니/NNG
배은심씨가	배은심/NNP+씨/NNB+가/JKS
무대에	무대/NNG+에/JKB
올라	오르/VV+아/EC
인사말을	인사말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.9.2
이와 동시에, 시위 군중 중 일부가 경찰을 밀어내고 시청역 7번출구 앞 네거리에서 서울시의회 앞까지 태평로 전 차로를 점거했다.

이와	이/NP+와/JKB
동시에,	동시/NNG+에/JKB+,/SP
시위	시위/NNG
군중	군중/NNG
중	중/NNB
일부가	일부/NNG+가/JKS
경찰을	경찰/NNG+을/JKO
밀어내고	밀어내/VV+고/EC
시청역	시청역/NNP
7번출구	7/SN+번/NNB+출구/NNG
앞	앞/NNG
네거리에서	네거리/NNG+에서/JKB
서울시의회	서울시의회/NNP
앞까지	앞/NNG+까지/JX
태평로	태평로/NNP
전	전/MMN
차로를	차로/NNG+를/JKO
점거했다.	점거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.9.3
이들은 반정부 구호를 외치며 경찰과 대치했다.

이들은	이/NP+들/XSN+은/JX
반정부	반/XPN+정부/NNG
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
경찰과	경찰/NNG+과/JKB
대치했다.	대치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.10.1
야당 대표들은 차례로 마이크를 잡고 정부를 비판했다.

야당	야당/NNG
대표들은	대표/NNG+들/XSN+은/JX
차례로	차례/NNG+로/JKB
마이크를	마이크/NNG+를/JKO
잡고	잡/VV+고/EC
정부를	정부/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.10.2
정세균 민주당 대표는 "이명박 정권이 그렇게 지키려고 했던 서울광장을 우리가 열었다. 2012년에 민주 개혁 정권을 세우자"고 했고, 노회찬 진보신당 대표는 "이명박 정부는 민주주의가 낳은 괴물"이라고 말했다.

정세균	정세균/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
"이명박	"/SS+이명박/NNP
정권이	정권/NNG+이/JKS
그렇게	그렇/VA+게/EC
지키려고	지키/VV+려고/EC
했던	하/VX+았/EP+던/ETM
서울광장을	서울광장/NNP+을/JKO
우리가	우리/NP+가/JKS
열었다.	열/VV+었/EP+다/EF+./SF
2012년에	2012/SN+년/NNB+에/JKB
민주	민주/NNG
개혁	개혁/NNG
정권을	정권/NNG+을/JKO
세우자"고	세우/VV+자/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
노회찬	노회찬/NNP
진보신당	진보신당/NNP
정부는	정부/NNG+는/JX
민주주의가	민주주의/NNG+가/JKS
낳은	낳/VV+은/ETM
괴물"이라고	괴물/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.10.3
강기갑 민노당 대표, 이강실 한국진보연대 상임대표도 가세했다.

강기갑	강기갑/NNP
민노당	민노당/NNP
대표,	대표/NNG+,/SP
이강실	이강실/NNP
한국진보연대	한국진보연대/NNP
상임대표도	상임/NNG+대표/NNG+도/JX
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.10.4
김경자 민주노총 부위원장, 한도숙 전국농민회총연맹 회장, 이원기 한국대학생연합 의장, 김한성 전국 교수노조위원장도 잇따라 단상에 올랐다.

김경자	김경자/NNP
민주노총	민주노총/NNP
부위원장,	부위원장/NNG+,/SP
한도숙	한도숙/NNP
전국농민회총연맹	전국농민회총연맹/NNP
회장,	회장/NNG+,/SP
이원기	이원기/NNP
한국대학생연합	한국대학생연합/NNP
의장,	의장/NNG+,/SP
김한성	김한성/NNP
전국	전국/NNG
교수노조위원장도	교수/NNG+노조/NNG+위원장/NNG+도/JX
잇따라	잇따르/VV+아/EC
단상에	단상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.10.5
참가자들은 연설이 끝날 때마다 "(노 전 대통령의 죽음에 대해)이명박은 사과하라" 등의 구호를 외쳤다.

참가자들은	참가자/NNG+들/XSN+은/JX
연설이	연설/NNG+이/JKS
끝날	끝나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
"(노	"/SS+(/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
죽음에	죽음/NNG+에/JKB
대해)이명박은	대하/VV+아/EC+)/SS+이명박/NNP+은/JX
사과하라"	사과/NNG+하/XSV+라/EF+"/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.11.1
시위대는 오후 10시15분쯤 대부분 해산했다.

시위대는	시위대/NNG+는/JX
오후	오후/NNG
10시15분쯤	10/SN+시/NNB+15/SN+분/NNB+쯤/XSN
대부분	대/XPN+부분/NNG
해산했다.	해산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.11.2
경찰은 오후 11시쯤 최루액을 분사하며 광장 주변 차도를 점거한 군중 4500명을 인도로 밀어 올렸다.

경찰은	경찰/NNG+은/JX
오후	오후/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
최루액을	최루액/NNG+을/JKO
분사하며	분사/NNG+하/XSV+며/EC
광장	광장/NNG
주변	주변/NNG
차도를	차도/NNG+를/JKO
점거한	점거/NNG+하/XSV+ㄴ/ETM
군중	군중/NNG
4500명을	4500/SN+명/NNB+을/JKO
인도로	인도/NNG+로/JKB
밀어	밀/VV+어/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.208.11.3
이 과정에서 일부 시위대가 "폭력경찰 물러가라"고 외치며 경찰을 향해 PVC 막대기를 휘두르고, 깨진 소주병을 들어 위협하기도 했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
일부	일부/NNG
시위대가	시위대/NNG+가/JKS
"폭력경찰	"/SS+폭력/NNG+경찰/NNG
물러가라"고	물러가/VV+라/EF+"/SS+고/JKQ
외치며	외치/VV+며/EC
경찰을	경찰/NNG+을/JKO
향해	향하/VV+아/EC
PVC	PVC/SL
막대기를	막대기/NNG+를/JKO
휘두르고,	휘두르/VV+고/EC+,/SP
깨진	깨지/VV+ㄴ/ETM
소주병을	소주병/NNG+을/JKO
들어	들/VV+어/EC
위협하기도	위협/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.208.11.4
오후 11시29분 태평로 양방향 교통 소통이 재개됐고, 11일 자정엔 시청광장에 150여명, 대한문 앞에 200여명이 남았다.

오후	오후/NNG
11시29분	11/SN+시/NNB+29/SN+분/NNB
태평로	태평로/NNP
양방향	양방향/NNG
교통	교통/NNG
소통이	소통/NNG+이/JKS
재개됐고,	재개/NNG+되/XSV+었/EP+고/EC+,/SP
11일	11/SN+일/NNB
자정엔	자정/NNG+에/JKB+ㄴ/JX
시청광장에	시청/NNG+광장/NNG+에/JKB
150여명,	150/SN+여/XSN+명/NNB+,/SP
대한문	대한문/NNP
앞에	앞/NNG+에/JKB
200여명이	200/SN+여/XSN+명/NNB+이/JKS
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.208.11.5
이날 시위대 24명을 연행했다고 경찰은 밝혔다.

이날	이날/NNG
시위대	시위대/NNG
24명을	24/SN+명/NNB+을/JKO
연행했다고	연행/NNG+하/XSV+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


