# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.337
metadata : {}


# id : NWRW1800000038.337.1.1
[朴당선인 청와대 추가 인선] 원조 親朴 '비서실장 허태열' '박정희 청와대'서 5년간 근무

[朴당선인	[/SS+朴/SH+당선인/NNG
나가겠다"고	나가/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.337.3.2
이어 "귀는 있는데 입은 없는 게 비서 아니냐"며 말을 아꼈다.

이어	이어/MAG
"귀는	"/SS+귀/NNG+는/JX
있는데	있/VA+는데/EC
입은	입/NNG+은/JX
없는	없/VA+는/ETM
게	거/NNB+이/JKS
비서	비서/NNG
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
말을	말/NNG+을/JKO
아꼈다.	아끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.337.4.1
그는 여권(與圈) 내 대표적인 '원조 친박'이다.

그는	그/NP+는/JX
여권(與圈)	여권/NNG+(/SS+與圈/SH+)/SS
내	내/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
'원조	'/SS+원조/NNG
친박'이다.	친/XPN+박/NNP+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.337.4.2
박정희 대통령 시절인 1970년 행정고시(8회)에 합격한 그는 1974년부터 대통령 비서실 정무1실 행정관으로 파견 근무를 했다.

박정희	박정희/NNP
대통령	대통령/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1970년	1970/SN+년/NNB
행정고시(8회)에	행정/NNG+고시/NNG+(/SS+8/SN+회/NNB+)/SS+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
1974년부터	1974/SN+년/NNB+부터/JX
비서실	비서실/NNG
정무1실	정무1실/NNG
행정관으로	행정관/NNG+으로/JKB
파견	파견/NNG
근무를	근무/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.337.4.3
이 무렵 박 당선인이 퍼스트레이디 대행을 맡게 됐지만, 박 당선인을 따로 접촉할 수 있는 기회는 없었다고 한다.

이	이/MMD
무렵	무렵/NNB
박	박/NNP
당선인이	당선인/NNG+이/JKS
퍼스트레이디	퍼스트레이디/NNG
대행을	대행/NNG+을/JKO
맡게	맡/VV+게/EC
됐지만,	되/VV+었/EP+지만/EC+,/SP
당선인을	당선인/NNG+을/JKO
따로	따로/MAG
접촉할	접촉/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회는	기회/NNG+는/JX
없었다고	없/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.337.4.4
'박정희 청와대'에서 5년간 근무한 그는 "박 전 대통령을 가장 존경한다"는 말을 자주 해왔다.

'박정희	'/SS+박정희/NNP
청와대'에서	청와대/NNP+'/SS+에서/JKB
5년간	5/SN+년/NNB+간/XSN
근무한	근무/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
"박	"/SS+박/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
가장	가장/MAG
존경한다"는	존경/NNG+하/XSV+ㄴ다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.337.4.5
그는 1985년 대통령 비서실 파견 근무를 마치고 경기도 의정부시장, 부천시장, 충북도지사(26대) 등을 지낸 뒤 정계(政界)에 입문했다.

그는	그/NP+는/JX
1985년	1985/SN+년/NNB
대통령	대통령/NNG
비서실	비서실/NNG
파견	파견/NNG
근무를	근무/NNG+를/JKO
마치고	마치/VV+고/EC
경기도	경기도/NNP
의정부시장,	의정부시장/NNG+,/SP
부천시장,	부천시장/NNG+,/SP
충북도지사(26대)	충북/NNP+도지사/NNG+(/SS+26/SN+대/NNB+)/SS
등을	등/NNB+을/JKO
지낸	지내/VV+ㄴ/ETM
뒤	뒤/NNG
정계(政界)에	정계/NNG+(/SS+政界/SH+)/SS+에/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.337.5.1
2000년 16대 총선 때 부산 북·강서을에서 당선된 뒤 2008년 18대 총선까지 내리 3선(選)에 성공했다.

2000년	2000/SN+년/NNB
16대	16/SN+대/NNB
총선	총선/NNG
때	때/NNG
부산	부산/NNP
북·강서을에서	북·강서을/NNP+에서/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
2008년	2008/SN+년/NNB
18대	18/SN+대/NNB
총선까지	총선/NNG+까지/JX
내리	내리/MAG
3선(選)에	3/SN+선/NNB+(/SS+選/SH+)/SS+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.337.5.2
재선(再選)이던 2006년 2월 박근혜 당시 한나라당 대표에 의해 당 사무총장에 기용되면서 친박 핵심으로 불렸다.

재선(再選)이던	재선/NNG+(/SS+再選/SH+)/SS+이/VCP+던/ETM
2006년	2006/SN+년/NNB
2월	2/SN+월/NNB
박근혜	박근혜/NNP
당시	당시/NNG
한나라당	한나라당/NNP
대표에	대표/NNG+에/JKB
의해	의하/VV+아/EC
당	당/NNG
사무총장에	사무총장/NNG+에/JKB
기용되면서	기용/NNG+되/XSV+면서/EC
친박	친/XPN+박/NNP
핵심으로	핵심/NNG+으로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.337.5.3
그는 "당시 박 당선인이 날 믿고 발탁해준 게 내가 친박(親朴)이 되는 결정적 인연이 됐다"고 했다.

그는	그/NP+는/JX
"당시	"/SS+당시/NNG
박	박/NNP
당선인이	당선인/NNG+이/JKS
날	나/NP+ㄹ/JKO
믿고	믿/VV+고/EC
발탁해준	발탁/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
게	거/NNB+이/JKS
내가	내/NP+가/JKS
친박(親朴)이	친/XPN+박/NNP+(/SS+親朴/SH+)/SS+이/JKC
되는	되/VV+는/ETM
결정적	결정/NNG+적/XSN
인연이	인연/NNG+이/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.337.5.4
그는 이후 2007년 대선 후보 경선 때 '박근혜 캠프' 직능총괄본부장을 맡았고, 2008년 총선 직후 열린 전당대회에선 친박계를 대표하는 최고위원에 선출되기도 했다.

그는	그/NP+는/JX
이후	이후/NNG
2007년	2007/SN+년/NNB
대선	대선/NNG
후보	후보/NNG
경선	경선/NNG
때	때/NNG
'박근혜	'/SS+박근혜/NNP
캠프'	캠프/NNG+'/SS
직능총괄본부장을	직능/NNG+총괄/NNG+본부장/NNG+을/JKO
맡았고,	맡/VV+았/EP+고/EC+,/SP
2008년	2008/SN+년/NNB
총선	총선/NNG
직후	직후/NNG
열린	열리/VV+ㄴ/ETM
전당대회에선	전당/NNG+대회/NNG+에서/JKB+ㄴ/JX
친박계를	친/XPN+박/NNP+계/XSN+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
최고위원에	최고/NNG+위원/NNG+에/JKB
선출되기도	선출/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.337.5.5
그는 작년 4·11총선을 앞두고 당내에서 '중진 물갈이론'이 제기됐을 때 "친박계에선 내가 희생할 용의가 있다. 필요하면 날 불쏘시개로 쓰라"는 건의도 했던 것으로 전해졌다.

그는	그/NP+는/JX
작년	작년/NNG
4·11총선을	4/SN+·/SP+11/SN+총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
당내에서	당내/NNG+에서/JKB
'중진	'/SS+중진/NNG
물갈이론'이	물갈이/NNG+론/XSN+'/SS+이/JKS
제기됐을	제기/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
"친박계에선	"/SS+친/XPN+박/NNP+계/XSN+에서/JKB+ㄴ/JX
내가	내/NP+가/JKS
희생할	희생/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다.	있/VA+다/EF+./SF
필요하면	필요/NNG+하/XSA+면/EC
날	나/NP+ㄹ/JKO
불쏘시개로	불쏘시개/NNG+로/JKB
쓰라"는	쓰/VV+라/EF+"/SS+는/ETM
건의도	건의/NNG+도/JX
했던	하/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.337.5.6
그는 이후 공천에서 배제됐지만, 총선·대선 때 전국을 돌며 외곽 지원을 했다.

그는	그/NP+는/JX
이후	이후/NNG
공천에서	공천/NNG+에서/JKB
배제됐지만,	배제/NNG+되/XSV+었/EP+지만/EC+,/SP
총선·대선	총선/NNG+·/SP+대선/NNG
때	때/NNG
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
외곽	외곽/NNG
지원을	지원/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


