# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.349
metadata : {}


# id : NWRW1800000049.349.1.1
“화학물질 3만5000여종 여전히 규제 사각”

“화학물질	“/SS+화학/NNG+물질/NNG
한편 15일까지 가습기 살균제로 인해 사망했다는 신고가 올해 들어서만 627건에 달하는 것으로 나타났다.

한편	한편/MAG
15일까지	15/SN+일/NNB+까지/JX
가습기	가습기/NNG
살균제로	살균제/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
신고가	신고/NNG+가/JKS
올해	올해/NNG
들어서만	들/VV+어서/EC+만/JX
627건에	627/SN+건/NNB+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.349.10.2
이를 포함해 올해 들어 재개된 정부 피해조사에 2979명이 접수시켰는데 이들이 전부 피해자로 인정되면 기존 1∼3차 정부 조사에 더해 가습기 살균제 피해자는 총 4261명, 사망자는 853명으로 늘어난다.

이를	이/NP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
올해	올해/NNG
들어	들/VV+어/EC
재개된	재개/NNG+되/XSV+ㄴ/ETM
정부	정부/NNG
피해조사에	피해/NNG+조사/NNG+에/JKB
2979명이	2979/SN+명/NNB+이/JKS
접수시켰는데	접수/NNG+시키/XSV+었/EP+는데/EC
이들이	이/NP+들/XSN+이/JKS
전부	전부/MAG
피해자로	피해자/NNG+로/JKB
인정되면	인정/NNG+되/XSV+면/EC
기존	기존/NNG
1∼3차	1/SN+∼/SO+3/SN+차/NNB
조사에	조사/NNG+에/JKB
더해	더/MAG+하/XSV+아/EC
가습기	가습기/NNG
살균제	살균제/NNG
피해자는	피해자/NNG+는/JX
총	총/MMA
4261명,	4261/SN+명/NNB+,/SP
사망자는	사망자/NNG+는/JX
853명으로	853/SN+명/NNB+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


