# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.152
metadata : {}


# id : NWRW1800000024.152.1.1
동네 휩쓴 대형마트의 포식성 ‘카드의 증언’

동네	동네/NNG
A카드의	A/SL+카드/NNG+의/JKG
행당동	행당동/NNP
매출은	매출/NNG+은/JX
54억8600만원인데	54/SN+억/NR+8600/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC
이	이/MMD
가운데	가운데/NNG
이마트	이마트/NNP
왕십리역점	왕십리역점/NNG
매출(30억5500만원)이	매출/NNG+(/SS+30/SN+억/NR+5500/SN+만/NR+원/NNB+)/SS+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
56%나	56/SN+%/SW+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.152.3.3
행당동에서 발생한 매출의 절반 이상이 이곳에서 발생한 것이다.

행당동에서	행당동/NNP+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
매출의	매출/NNG+의/JKG
절반	절반/NNG
이상이	이상/NNG+이/JKS
이곳에서	이곳/NP+에서/JKB
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.152.3.4
반면 같은 달 이마트 왕십리역점을 제외한 행당동 지역 매출액은 24억3100만원으로 전년 동기(30억3200만원)보다 20%나 감소했다.

반면	반면/NNG
같은	같/VA+은/ETM
달	달/NNG
이마트	이마트/NNP
왕십리역점을	왕십리역점/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
행당동	행당동/NNP
지역	지역/NNG
매출액은	매출액/NNG+은/JX
24억3100만원으로	24/SN+억/NR+3100/SN+만/NR+원/NNB+으로/JKB
전년	전년/NNG
동기(30억3200만원)보다	동기/NNG+(/SS+30/SN+억/NR+3200/SN+만/NR+원/NNB+)/SS+보다/JKB
20%나	20/SN+%/SW+나/JX
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.3.5
이런 추세는 그 이후에도 계속 이어졌다.

이런	이런/MMD
추세는	추세/NNG+는/JX
그	그/MMD
이후에도	이후/NNG+에/JKB+도/JX
계속	계속/MAG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.152.4.1
20년 가까이 행당동에서 마트를 하는 전아무개(46)씨는 이마트가 입점하면서 하루 매출이 반토막 났다고 말했다.

20년	20/SN+년/NNB
가까이	가까이/MAG
행당동에서	행당동/NNP+에서/JKB
마트를	마트/NNG+를/JKO
하는	하/VV+는/ETM
전아무개(46)씨는	전/NNP+아무개/NP+(/SS+46/SN+)/SS+씨/NNB+는/JX
이마트가	이마트/NNP+가/JKS
입점하면서	입점/NNG+하/XSV+면서/EC
하루	하루/NNG
매출이	매출/NNG+이/JKS
반토막	반토막/NNG
났다고	나/VV+았/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.4.2
이마트와 약 700m 떨어진 곳에서 장사를 하는 그는 “200만원이 넘던 하루 매출이 100만원으로 줄었고, 카드 매출도 월 1500만~1700만원 하던 것이 요즘은 겨우 500만원 정도 찍고 있다”고 말했다.

이마트와	이마트/NNP+와/JKB
약	약/MMA
700m	700/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
장사를	장사/NNG+를/JKO
하는	하/VV+는/ETM
그는	그/NP+는/JX
“200만원이	“/SS+200/SN+만/NR+원/NNB+이/JKS
넘던	넘/VV+던/ETM
하루	하루/NNG
매출이	매출/NNG+이/JKS
100만원으로	100/SN+만/NR+원/NNB+으로/JKB
줄었고,	줄/VV+었/EP+고/EC+,/SP
카드	카드/NNG
매출도	매출/NNG+도/JX
월	월/NNG
1500만~1700만원	1500/SN+만/NR+~/SO+1700/SN+만/NR+원/NNB
하던	하/VV+던/ETM
것이	것/NNB+이/JKS
요즘은	요즘/NNG+은/JX
겨우	겨우/MAG
500만원	500/SN+만/NR+원/NNB
정도	정도/NNG
찍고	찍/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.4.3
왕십리역은 물론 한양대와도 가까워 ‘먹자골목’으로 통하던 이곳은 최근 대형마트 입점 뒤 가게들이 속속 매물로 나오고 있다.

왕십리역은	왕십리역/NNP+은/JX
물론	물론/MAG
한양대와도	한양대/NNP+와/JKB+도/JX
가까워	가깝/VA+어/EC
‘먹자골목’으로	‘/SS+먹자골목/NNG+’/SS+으로/JKB
통하던	통하/VV+던/ETM
이곳은	이곳/NP+은/JX
최근	최근/NNG
대형마트	대형/NNG+마트/NNG
입점	입점/NNG
뒤	뒤/NNG
가게들이	가게/NNG+들/XSN+이/JKS
속속	속속/MAG
매물로	매물/NNG+로/JKB
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.152.4.4
전씨는 “주위 음식점, 정육점 등 8곳이 임대 매물로 나온 상태”라며 “권리금 3천만원을 1천만~2천만원씩 줄인다고 해도 들어오려는 사람이 없다”고 말했다.

전씨는	전/NNP+씨/NNB+는/JX
“주위	“/SS+주위/NNG
음식점,	음식점/NNG+,/SP
정육점	정육점/NNG
등	등/NNB
8곳이	8/SN+곳/NNG+이/JKS
임대	임대/NNG
매물로	매물/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
“권리금	“/SS+권리금/NNG
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
1천만~2천만원씩	1/SN+천만/NR+~/SO+2/SN+천만/NR+원/NNB+씩/XSN
줄인다고	줄이/VV+ㄴ다고/EC
해도	하/VV+아도/EC
들어오려는	들어오/VV+려는/ETM
사람이	사람/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.5.1
대형마트 입점으로 행당동뿐 아니라 성동구 다른 동들도 크게 영향을 받았다.

대형마트	대형/NNG+마트/NNG
입점으로	입점/NNG+으로/JKB
행당동뿐	행당동/NNP+뿐/JX
아니라	아니/VCN+라/EC
성동구	성동구/NNP
다른	다른/MMD
동들도	동/NNG+들/XSN+도/JX
크게	크/VA+게/EC
영향을	영향/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.5.2
이마트 왕십리역점이 들어선 2008년 9월을 기점으로 앞뒤 3개월 동안 전년동기비 매출증가율을 비교해본 결과, A카드의 경우 성동구 17개동 가운데 이마트가 들어선 뒤에도 전년도에 비해 매출 증가세가 유지된 곳은 행당동을 제외하고 하왕십리동 한군데뿐이었다.

이마트	이마트/NNP
왕십리역점이	왕십리역점/NNG+이/JKS
들어선	들어서/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
9월을	9/SN+월/NNB+을/JKO
기점으로	기점/NNG+으로/JKB
앞뒤	앞뒤/NNG
3개월	3/SN+개월/NNB
동안	동안/NNG
전년동기비	전년/NNG+동기비/NNG
매출증가율을	매출/NNG+증가/NNG+율/XSN+을/JKO
비교해본	비교/NNG+하/XSV+아/EC+보/VX+ㄴ/ETM
결과,	결과/NNG+,/SP
A카드의	A/SL+카드/NNG+의/JKG
경우	경우/NNG
성동구	성동구/NNP
17개동	17/SN+개/NNB+동/NNB
가운데	가운데/NNG
이마트가	이마트/NNP+가/JKS
뒤에도	뒤/NNG+에/JKB+도/JX
전년도에	전년도/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
매출	매출/NNG
증가세가	증가세/NNG+가/JKS
유지된	유지/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
행당동을	행당동/NNP+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
하왕십리동	하왕십리동/NNP
한군데뿐이었다.	한군데/NNG+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.152.5.3
금호동2가, 금호동4가, 상왕십리동, 성수동2가 등 4개 동은 이마트 입점 뒤 3개월간 매출액 자체가 5~10% 감소했다.

금호동2가,	금호동/NNP+2가/NNG+,/SP
금호동4가,	금호동/NNP+4가/NNG+,/SP
상왕십리동,	상왕십리동/NNP+,/SP
성수동2가	성수동/NNP+2가/NNG
등	등/NNB
4개	4/SN+개/NNB
동은	동/NNG+은/JX
이마트	이마트/NNP
입점	입점/NNG
뒤	뒤/NNG
3개월간	3/SN+개월/NNB+간/XSN
매출액	매출액/NNG
자체가	자체/NNG+가/JKS
5~10%	5/SN+~/SO+10/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.5.4
금호동1가, 금호동3가, 도선동 등 나머지 11개 동은 이마트가 들어서기 전에는 두 자릿수의 매출 상승률을 기록했지만 이마트가 들어선 뒤 한 자릿수로 내려앉았다.

금호동1가,	금호동/NNP+1가/NNG+,/SP
금호동3가,	금호동/NNP+3가/NNG+,/SP
도선동	도선동/NNP
등	등/NNB
나머지	나머지/NNG
11개	11/SN+개/NNB
동은	동/NNG+은/JX
이마트가	이마트/NNP+가/JKS
들어서기	들어서/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
두	두/MMN
자릿수의	자릿수/NNG+의/JKG
매출	매출/NNG
상승률을	상승/NNG+률/XSN+을/JKO
기록했지만	기록/NNG+하/XSV+았/EP+지만/EC
들어선	들어서/VV+ㄴ/ETM
뒤	뒤/NNG
한	한/MMN
자릿수로	자릿수/NNG+로/JKB
내려앉았다.	내려앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.5.5
같은 기간 B카드의 경우도 금호동2가, 금호동4가, 상왕십리동, 성수동1가, 성수동2가, 응봉동, 하왕십리동 등은 1~40%까지 매출이 감소했다.

같은	같/VA+은/ETM
기간	기간/NNG
B카드의	B/SL+카드/NNG+의/JKG
경우도	경우/NNG+도/JX
금호동2가,	금호동/NNP+2가/NNG+,/SP
금호동4가,	금호동/NNP+4가/NNG+,/SP
상왕십리동,	상왕십리동/NNP+,/SP
성수동1가,	성수동/NNP+1가/NNG+,/SP
성수동2가,	성수동/NNP+2가/NNG+,/SP
응봉동,	응봉동/NNP+,/SP
하왕십리동	하왕십리동/NNP
등은	등/NNB+은/JX
1~40%까지	1/SN+~/SO+40/SN+%/SW+까지/JX
매출이	매출/NNG+이/JKS
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.6.1
민주노동당 이정희 의원은 “신용카드 자료로만 봐도 대형마트가 들어서면서 영세 자영업자의 피해가 얼마나 큰지를 알 수 있다”고 말했다.

민주노동당	민주노동당/NNP
이정희	이정희/NNP
의원은	의원/NNG+은/JX
“신용카드	“/SS+신용/NNG+카드/NNG
자료로만	자료/NNG+로/JKB+만/JX
봐도	보/VV+아도/EC
대형마트가	대형/NNG+마트/NNG+가/JKS
들어서면서	들어서/VV+면서/EC
영세	영세/NNG
자영업자의	자영업자/NNG+의/JKG
피해가	피해/NNG+가/JKS
얼마나	얼마나/MAG
큰지를	크/VA+ㄴ지/EC+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.152.6.2
그는 “현재 대형마트 규제를 위한 7개 법안이 국회 지식경제위원회에 상정된 상태”라며 “국회에서 조속한 논의가 이뤄져 오는 6월 국회에서 대형마트를 규제할 수 있는 개정안이 마련되어야 한다”고 덧붙였다.

그는	그/NP+는/JX
“현재	“/SS+현재/MAG
대형마트	대형/NNG+마트/NNG
규제를	규제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
7개	7/SN+개/NNB
법안이	법안/NNG+이/JKS
국회	국회/NNG
지식경제위원회에	지식/NNG+경제/NNG+위원회/NNG+에/JKB
상정된	상정/NNG+되/XSV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
“국회에서	“/SS+국회/NNG+에서/JKB
조속한	조속하/VA+ㄴ/ETM
논의가	논의/NNG+가/JKS
이뤄져	이뤄지/VV+어/EC
오는	오/VV+는/ETM
6월	6/SN+월/NNB
국회에서	국회/NNG+에서/JKB
대형마트를	대형/NNG+마트/NNG+를/JKO
규제할	규제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
개정안이	개정안/NNG+이/JKS
마련되어야	마련/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


