# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.248
metadata : {}


# id : NWRW1800000029.248.1.1
[2012학년도 수능점수 분석]서울대 주요학과 535∼552점 예상… 의예과 합격선 크게 올라갈 듯

[2012학년도	[/SS+2012/SN+학년도/NNG
놓고	놓/VV+고/EC
치밀한	치밀하/VA+ㄴ/ETM
전략을	전략/NNG+을/JKO
세워야	세우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.4.1
○ 상위권

○	○/SW
상위권	상위/NNG+권/XSN


# id : NWRW1800000029.248.5.1
수능이 쉽게 출제되면서 표준점수가 크게 하락했다.

수능이	수능/NNG+이/JKS
쉽게	쉽/VA+게/EC
출제되면서	출제/NNG+되/XSV+면서/EC
표준점수가	표준/NNG+점수/NNG+가/JKS
크게	크/VA+게/EC
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.5.2
29일 입시기관들은 올해 수능의 최상위권 총점을 지난해보다 10점가량 낮은 540점 초반에서 550점 초반으로 봤다.

29일	29/SN+일/NNB
입시기관들은	입시/NNG+기관/NNG+들/XSN+은/JX
올해	올해/NNG
수능의	수능/NNG+의/JKG
최상위권	최/XPN+상위/NNG+권/XSN
총점을	총점/NNG+을/JKO
지난해보다	지난해/NNG+보다/JKB
10점가량	10/SN+점/NNB+가량/XSN
낮은	낮/VA+은/ETM
540점	540/SN+점/NNB
초반에서	초반/NNG+에서/JKB
550점	550/SN+점/NNB
초반으로	초반/NNG+으로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.5.3
서울대 고려대 연세대의 인기 학과에 지원하려면 4개 영역 표준점수 합이 최소 530점 이상은 돼야 할 것으로 보인다.

서울대	서울대/NNP
고려대	고려대/NNP
연세대의	연세대/NNP+의/JKG
인기	인기/NNG
학과에	학과/NNG+에/JKB
지원하려면	지원/NNG+하/XSV+려면/EC
4개	4/SN+개/NNB
영역	영역/NNG
표준점수	표준/NNG+점수/NNG
합이	합/NNG+이/JKS
최소	최소/NNG
530점	530/SN+점/NNB
이상은	이상/NNG+은/JX
돼야	되/VV+어야/EC
할	하/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.248.6.1
최상위권은 수험생 간 성적 차가 줄어 변별력이 약해지면서 지원 전략을 세우기 어렵게 됐다.

최상위권은	최/XPN+상위/NNG+권/XSN+은/JX
수험생	수험/NNG+생/XSN
간	간/NNB
성적	성적/NNG
차가	차/NNG+가/JKS
줄어	줄/VV+어/EC
변별력이	변별력/NNG+이/JKS
약해지면서	약하/VA+아/EC+지/VX+면서/EC
지원	지원/NNG
전략을	전략/NNG+을/JKO
세우기	세우/VV+기/ETN
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.248.6.2
수리‘나’형과 외국어가 쉬웠던 만큼 인문계 상위권은 언어와 사회탐구 영역이 변수로 작용할 것으로 보인다.

수리‘나’형과	수리/NNG+‘/SS+나/NNG+’/SS+형/NA+과/JC
외국어가	외국어/NNG+가/JKS
쉬웠던	쉽/VA+었/EP+던/ETM
만큼	만큼/NNB
인문계	인문/NNG+계/XSN
상위권은	상위/NNG+권/XSN+은/JX
언어와	언어/NNG+와/JC
사회탐구	사회/NNG+탐구/NNG
영역이	영역/NNG+이/JKS
변수로	변수/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.248.7.1
만점자가 늘어 대학별 동점자 처리 기준도 중요하게 살펴야 한다.

만점자가	만점자/NNG+가/JKS
늘어	늘/VV+어/EC
대학별	대학/NNG+별/XSN
동점자	동점자/NNG
처리	처리/NNG
기준도	기준/NNG+도/JX
중요하게	중요/NNG+하/XSA+게/EC
살펴야	살피/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.7.2
대부분 계열과 관련 있는 영역의 성적이 우수한 학생을 뽑지만 중앙대나 서강대처럼 인문계열에서 수리 성적을 언어나 외국어보다 우선순위로 두는 곳도 있다.

대부분	대/XPN+부분/NNG
계열과	계열/NNG+과/JKB
관련	관련/NNG
있는	있/VA+는/ETM
영역의	영역/NNG+의/JKG
성적이	성적/NNG+이/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생을	학생/NNG+을/JKO
뽑지만	뽑/VV+지만/EC
중앙대나	중앙대/NNP+나/JC
서강대처럼	서강대/NNP+처럼/JKB
인문계열에서	인문/NNG+계열/NNG+에서/JKB
수리	수리/NNG
성적을	성적/NNG+을/JKO
언어나	언어/NNG+나/JC
외국어보다	외국어/NNG+보다/JKB
우선순위로	우선순위/NNG+로/JKB
두는	두/VV+는/ETM
곳도	곳/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.248.8.1
자연계 상위권은 수리‘가’형과 과학탐구에서의 고득점 여부가 중요하게 작용할 것으로 보인다.

자연계	자연/NNG+계/XSN
상위권은	상위/NNG+권/XSN+은/JX
수리‘가’형과	수리/NNG+‘/SS+가/NNG+’/SS+형/NA+과/JC
과학탐구에서의	과학/NNG+탐구/NNG+에서/JKB+의/JKG
고득점	고/XPN+득점/NNG
여부가	여부/NNG+가/JKS
중요하게	중요/NNG+하/XSA+게/EC
작용할	작용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.248.8.2
김희동 진학사 입시분석실장은 “표준점수 만점과 1등급 구분점수 차가 9점으로 높게 나와 수리‘가’형에 강점이 있다면 소신 지원해도 좋을 것 같다”고 말했다.

김희동	김희동/NNP
진학사	진학사/NNP
입시분석실장은	입시/NNG+분석실장/NNG+은/JX
“표준점수	“/SS+표준/NNG+점수/NNG
만점과	만점/NNG+과/JC
1등급	1/SN+등급/NNG
구분점수	구분/NNG+점수/NNG
차가	차/NNG+가/JKS
9점으로	9/SN+점/NNB+으로/JKB
높게	높/VA+게/EC
나와	나오/VV+아/EC
수리‘가’형에	수리/NNG+‘/SS+가/NNG+’/SS+형/NA+에/JKB
강점이	강점/NNG+이/JKS
있다면	있/VA+다면/EC
소신	소신/NNG
지원해도	지원/NNG+하/XSV+아도/EC
좋을	좋/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.8.3
반면 수리‘가’형 성적이 저조하면 백분위 성적을 활용하는 대학에 지원하는 게 유리할 수 있다.

반면	반면/NNG
수리‘가’형	수리/NNG+‘/SS+가/NNG+’/SS+형/NA
성적이	성적/NNG+이/JKS
저조하면	저조/NNG+하/XSA+면/EC
백분위	백분위/NNG
성적을	성적/NNG+을/JKO
활용하는	활용/NNG+하/XSV+는/ETM
대학에	대학/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
유리할	유리/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.248.9.1
최상위권 학생이 최소 하나의 모집군에서 지원하는 의학계열의 경우 주요 대학이 의학전문대학원을 폐지해 의예과 경쟁률과 합격선이 크게 올라갈 수 있다는 점을 유의해야 한다.

최상위권	최/XPN+상위/NNG+권/XSN
학생이	학생/NNG+이/JKS
최소	최소/NNG
하나의	하나/NR+의/JKG
모집군에서	모집군/NNG+에서/JKB
지원하는	지원/NNG+하/XSV+는/ETM
의학계열의	의학/NNG+계열/NNG+의/JKG
경우	경우/NNG
주요	주요/NNG
대학이	대학/NNG+이/JKS
의학전문대학원을	의학/NNG+전문/NNG+대학원/NNG+을/JKO
폐지해	폐지/NNG+하/XSV+아/EC
의예과	의예과/NNG
경쟁률과	경쟁/NNG+률/XSN+과/JC
합격선이	합격선/NNG+이/JKS
크게	크/VA+게/EC
올라갈	올라가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
유의해야	유의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.10.1
○ 중하위권

○	○/SW
중하위권	중하위/NNG+권/XSN


# id : NWRW1800000029.248.11.1
중위권은 대학별 활용지표(표준점수와 백분위)에 따른 유불리를 잘 따져야 한다.

중위권은	중위/NNG+권/XSN+은/JX
대학별	대학/NNG+별/XSN
활용지표(표준점수와	활용/NNG+지표/NNG+(/SS+표준/NNG+점수/NNG+와/JC
백분위)에	백분위/NNG+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
유불리를	유불리/NNG+를/JKO
잘	잘/MAG
따져야	따지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.11.2
쉽게 출제된 외국어 영역은 표준점수보다는 백분위 성적에 따른 차이가 크다.

쉽게	쉽/VA+게/EC
출제된	출제/NNG+되/XSV+ㄴ/ETM
외국어	외국어/NNG
영역은	영역/NNG+은/JX
표준점수보다는	표준/NNG+점수/NNG+보다/JKB+는/JX
백분위	백분위/NNG
성적에	성적/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
차이가	차이/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000029.248.11.3
외국어 점수가 상대적으로 좋으면 백분위 점수를 전형에 활용하는 대학에 지원하는 게 좋은 이유다.

외국어	외국어/NNG
점수가	점수/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
좋으면	좋/VA+으면/EC
백분위	백분위/NNG
점수를	점수/NNG+를/JKO
전형에	전형/NNG+에/JKB
활용하는	활용/NNG+하/XSV+는/ETM
대학에	대학/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋은	좋/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.248.12.1
하위권은 시험 난도가 변해도 표준점수, 백분위에 따른 성적 차가 크지 않다.

하위권은	하위/NNG+권/XSN+은/JX
시험	시험/NNG
난도가	난도/NNG+가/JKS
변해도	변하/VV+아도/EC
표준점수,	표준/NNG+점수/NNG+,/SP
백분위에	백분위/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
성적	성적/NNG
차가	차/NNG+가/JKS
크지	크/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.248.12.2
따라서 수능 반영 방법이 유리한 대학을 찾아가면 된다.

따라서	따라서/MAJ
수능	수능/NNG
반영	반영/NNG
방법이	방법/NNG+이/JKS
유리한	유리/NNG+하/XSA+ㄴ/ETM
대학을	대학/NNG+을/JKO
찾아가면	찾아가/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.248.12.3
수능의 특정 영역을 반영하지 않는 곳도 많으므로 성적이 나쁜 영역을 반영하지 않는 대학이나 학과를 택하는 게 좋다.

수능의	수능/NNG+의/JKG
특정	특정/NNG
영역을	영역/NNG+을/JKO
반영하지	반영/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
곳도	곳/NNG+도/JX
많으므로	많/VA+으므로/EC
성적이	성적/NNG+이/JKS
나쁜	나쁘/VA+ㄴ/ETM
대학이나	대학/NNG+이나/JC
학과를	학과/NNG+를/JKO
택하는	택하/VV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000029.248.13.1
중하위권이 주로 지원하는 대학에서는 수능 못지않게 학생부 반영 비율이 높은 경우가 많으니 학생부에서의 감점 정도도 고려해야 한다.

중하위권이	중하위/NNG+권/XSN+이/JKS
주로	주로/MAG
지원하는	지원/NNG+하/XSV+는/ETM
대학에서는	대학/NNG+에서/JKB+는/JX
수능	수능/NNG
못지않게	못지않/VA+게/EC
학생부	학생부/NNG
반영	반영/NNG
비율이	비율/NNG+이/JKS
높은	높/VA+은/ETM
경우가	경우/NNG+가/JKS
많으니	많/VA+으니/EC
학생부에서의	학생부/NNG+에서/JKB+의/JKG
감점	감점/NNG
정도도	정도/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.13.2
내신 성적이 나쁘면 수능 100% 전형이나 학생부 실질 반영 비율이 낮은 대학이 유리하다.

내신	내신/NNG
성적이	성적/NNG+이/JKS
나쁘면	나쁘/VA+면/EC
수능	수능/NNG
100%	100/SN+%/SW
전형이나	전형/NNG+이나/JC
학생부	학생부/NNG
실질	실질/NNG
반영	반영/NNG
비율이	비율/NNG+이/JKS
낮은	낮/VA+은/ETM
대학이	대학/NNG+이/JKS
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.248.13.3
이영덕 대성학력개발연구소장은 “하위권은 4년제 대학만 고집하지 말고 전공에 따라 전문대를 지원하는 것도 괜찮은 전략이 될 수 있다”고 말했다.

이영덕	이영덕/NNP
대성학력개발연구소장은	대성학력개발연구소장/NNG+은/JX
“하위권은	“/SS+하위/NNG+권/XSN+은/JX
4년제	4/SN+년/NNB+제/XSN
대학만	대학/NNG+만/JX
고집하지	고집/NNG+하/XSV+지/EC
말고	말/VX+고/EC
전공에	전공/NNG+에/JKB
따라	따르/VV+아/EC
전문대를	전문대/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
괜찮은	괜찮/VA+은/ETM
전략이	전략/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.14.1
▼ “내년에도 ‘쉬운 수능’ 계속됩니다”… 성태제 평가원장 ▼

▼	▼/SW
“내년에도	“/SS+내년/NNG+에/JKB+도/JX
‘쉬운	‘/SS+쉽/VA+ㄴ/ETM
수능’	수능/NNG+’/SS
계속됩니다”…	계속/NNG+되/XSV+ㅂ니다/EF+”/SS+…/SE
성태제	성태제/NNP
평가원장	평가원장/NNG


# id : NWRW1800000029.248.15.1
대학수학능력시험을 출제한 한국교육과정평가원의 성태제 원장(사진)은 29일 “영역별로 만점자 1%에 접근해가고 있다”며 “쉬운 수능의 긍정적인 효과가 커 앞으로도 이런 기조를 유지하겠다”고 밝혔다.

대학수학능력시험을	대학/NNG+수학/NNG+능력/NNG+시험/NNG+을/JKO
출제한	출제/NNG+하/XSV+ㄴ/ETM
한국교육과정평가원의	한국교육과정평가원/NNP+의/JKG
성태제	성태제/NNP
원장(사진)은	원장/NNG+(/SS+사진/NNG+)/SS+은/JX
29일	29/SN+일/NNB
“영역별로	“/SS+영역/NNG+별/XSN+로/JKB
만점자	만점자/NNG
1%에	1/SN+%/SW+에/JKB
접근해가고	접근/NNG+하/XSV+아/EC+가/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“쉬운	“/SS+쉽/VA+ㄴ/ETM
수능의	수능/NNG+의/JKG
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
효과가	효과/NNG+가/JKS
커	크/VA+어/EC
앞으로도	앞/NNG+으로/JKB+도/JX
이런	이런/MMD
기조를	기조/NNG+를/JKO
유지하겠다”고	유지/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.248.15.2
내년 수능 출제 방향에 대해서는 “올해 어려웠던 영역은 더 쉬워진다고 보면 된다”고 말했다.

내년	내년/NNG
수능	수능/NNG
출제	출제/NNG
방향에	방향/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“올해	“/SS+올해/NNG
어려웠던	어렵/VA+었/EP+던/ETM
영역은	영역/NNG+은/JX
더	더/MAG
쉬워진다고	쉬워지/VV+ㄴ다고/EC
보면	보/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.15.3
성 원장은 영역별 만점자 비율 1%를 맞추지 못해 난도 조절에 사실상 실패했다는 지적에 대해 “지난 수능과 모의수능의 만점자 비율을 추적해 보면 외국어를 빼고는 1%에 접근하고 있다.

성	성/NNP
원장은	원장/NNG+은/JX
영역별	영역/NNG+별/XSN
만점자	만점자/NNG
비율	비율/NNG
1%를	1/SN+%/SW+를/JKO
맞추지	맞추/VV+지/EC
못해	못하/VX+아/EC
난도	난도/NNG
조절에	조절/NNG+에/JKB
사실상	사실/NNG+상/XSN
실패했다는	실패/NNG+하/XSV+았/EP+다는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
“지난	“/SS+지나/VV+ㄴ/ETM
수능과	수능/NNG+과/JC
모의수능의	모의/NNG+수능/NNG+의/JKG
비율을	비율/NNG+을/JKO
추적해	추적/NNG+하/XSV+아/EC
보면	보/VX+면/EC
외국어를	외국어/NNG+를/JKO
빼고는	빼/VV+고/EC+는/JX
1%에	1/SN+%/SW+에/JKB
접근하고	접근/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.248.15.4
점수 분포도 정상적으로 나왔다”고 답했다.

점수	점수/NNG
분포도	분포/NNG+도/JX
정상적으로	정상/NNG+적/XSN+으로/JKB
나왔다”고	나오/VV+았/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.16.1
만점자 1%를 계속 수능 출제목표로 삼을지에 대해 성 원장은 “사교육비 경감을 위해서는 적정 난도로 출제해야 한다.

만점자	만점자/NNG
1%를	1/SN+%/SW+를/JKO
계속	계속/MAG
수능	수능/NNG
출제목표로	출제/NNG+목표/NNG+로/JKB
삼을지에	삼/VV+을지/EF+에/JKB
대해	대하/VV+아/EC
성	성/NNP
원장은	원장/NNG+은/JX
“사교육비	“/SS+사교육비/NNG
경감을	경감/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
적정	적정/NNG
난도로	난도/NNG+로/JKB
출제해야	출제/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.248.16.2
올해 처음으로 1%를 위해 노력했는데 기조를 금방 바꾸면 학교 현장의 혼란을 야기한다”며 “2014년부터 수능을 난도에 따라 두 가지로 나눠 출제해도 쉬운 수능 기조는 유지될 것”이라고 말했다.

올해	올해/NNG
처음으로	처음/NNG+으로/JKB
1%를	1/SN+%/SW+를/JKO
위해	위하/VV+아/EC
노력했는데	노력/NNG+하/XSV+았/EP+는데/EC
기조를	기조/NNG+를/JKO
금방	금방/MAG
바꾸면	바꾸/VV+면/EC
학교	학교/NNG
현장의	현장/NNG+의/JKG
혼란을	혼란/NNG+을/JKO
야기한다”며	야기/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“2014년부터	“/SS+2014/SN+년/NNB+부터/JX
수능을	수능/NNG+을/JKO
난도에	난도/NNG+에/JKB
따라	따르/VV+아/EC
두	두/MMN
가지로	가지/NNB+로/JKB
나눠	나누/VV+어/EC
출제해도	출제/NNG+하/XSV+아도/EC
쉬운	쉽/VA+ㄴ/ETM
수능	수능/NNG
기조는	기조/NNG+는/JX
유지될	유지/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.248.16.3
그는 “쉬운 수능은 중하위권 학생의 학습의욕을 높일 수 있고 교육 소외지역의 학생이 EBS 연계로 과외 없이 준비할 수 있다”며 “부정적인 면도 없지 않겠지만 긍정적인 점이 많다는 것을 이번에 다시 확인했다”고 강조했다.

그는	그/NP+는/JX
“쉬운	“/SS+쉽/VA+ㄴ/ETM
수능은	수능/NNG+은/JX
중하위권	중하위/NNG+권/XSN
학생의	학생/NNG+의/JKG
학습의욕을	학습/NNG+의욕/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
교육	교육/NNG
소외지역의	소외/NNG+지역/NNG+의/JKG
학생이	학생/NNG+이/JKS
EBS	EBS/SL
연계로	연계/NNG+로/JKB
과외	과외/NNG
없이	없이/MAG
준비할	준비/NNG+하/XSV+ㄹ/ETM
있다”며	있/VA+다/EF+”/SS+며/EC
“부정적인	“/SS+부정/NNG+적/XSN+이/VCP+ㄴ/ETM
면도	면/NNG+도/JX
없지	없/VA+지/EC
않겠지만	않/VX+겠/EP+지만/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
점이	점/NNG+이/JKS
많다는	많/VA+다는/ETM
것을	것/NNB+을/JKO
이번에	이번/NNG+에/JKB
다시	다시/MAG
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


