# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.94
metadata : {}


# id : NWRW1800000041.94.1.1
경복대, 재학생 10명 중 7명이 장학금 받는 수도권 특성화 우수대학

경복대,	경복대/NNP+,/SP
지난해까지도 교육부의 교육역량강화사업 우수대학 선정, 고등직업교육 품질인증대학 인증, 교육기부대상 수상 등 최고의 교육 여건을 갖추고 사회에 기여하는 대학이라는 평가를 받아 왔다.

지난해까지도	지난해/NNG+까지/JX+도/JX
교육부의	교육부/NNG+의/JKG
교육역량강화사업	교육/NNG+역량/NNG+강화/NNG+사업/NNG
우수대학	우수/NNG+대학/NNG
선정,	선정/NNG+,/SP
고등직업교육	고등/NNG+직업/NNG+교육/NNG
품질인증대학	품질/NNG+인증/NNG+대학/NNG
인증,	인증/NNG+,/SP
교육기부대상	교육/NNG+기부/NNG+대상/NNG
수상	수상/NNG
등	등/NNB
최고의	최고/NNG+의/JKG
교육	교육/NNG
여건을	여건/NNG+을/JKO
갖추고	갖추/VV+고/EC
사회에	사회/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
대학이라는	대학/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받아	받/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.94.8.3
특성화대학 사업 선정에 따라 경복대는 100% 취업보장형 산학협력 특성화 거점대학 사업을 추진하면서 대학의 강점 분야인 보건의료, 사회복지, 유통, 관광산업 등의 분야에서 공인 전문인력을 양성하고 특성화 거점 대학의 비전을 실현하고 있다.

특성화대학	특성/NNG+화/XSN+대학/NNG
사업	사업/NNG
선정에	선정/NNG+에/JKB
따라	따르/VV+아/EC
경복대는	경복대/NNP+는/JX
100%	100/SN+%/SW
취업보장형	취업/NNG+보장/NNG+형/XSN
산학협력	산학/NNG+협력/NNG
특성화	특성/NNG+화/XSN
거점대학	거점/NNG+대학/NNG
사업을	사업/NNG+을/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
대학의	대학/NNG+의/JKG
강점	강점/NNG
분야인	분야/NNG+이/VCP+ㄴ/ETM
보건의료,	보건/NNG+의료/NNG+,/SP
사회복지,	사회/NNG+복지/NNG+,/SP
유통,	유통/NNG+,/SP
관광산업	관광/NNG+산업/NNG
등의	등/NNB+의/JKG
분야에서	분야/NNG+에서/JKB
공인	공인/NNG
전문인력을	전문/NNG+인력/NNG+을/JKO
양성하고	양성/NNG+하/XSV+고/EC
거점	거점/NNG
비전을	비전/NNG+을/JKO
실현하고	실현/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.9.1
경복대는 2009년 전문대 가운데 처음으로 각 전공과 관련한 취업처 직무분석을 통해 NCS를 도입해 교육에 적용해오고 있다.

경복대는	경복대/NNP+는/JX
2009년	2009/SN+년/NNB
전문대	전문대/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
각	각/MMD
전공과	전공/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
취업처	취업처/NNG
직무분석을	직무/NNG+분석/NNG+을/JKO
통해	통하/VV+아/EC
NCS를	NCS/SL+를/JKO
도입해	도입/NNG+하/XSV+아/EC
교육에	교육/NNG+에/JKB
적용해오고	적용/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.9.2
8000여 개의 직무분석을 통해 교육과정을 개발하고 산업 현장과의 공동 교육체제를 구축했다.

8000여	8000/SN+여/XSN
개의	개/NNB+의/JKG
직무분석을	직무/NNG+분석/NNG+을/JKO
통해	통하/VV+아/EC
교육과정을	교육/NNG+과정/NNG+을/JKO
개발하고	개발/NNG+하/XSV+고/EC
산업	산업/NNG
현장과의	현장/NNG+과/JKB+의/JKG
공동	공동/NNG
교육체제를	교육/NNG+체제/NNG+를/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.94.9.3
수도권 최대 규모인 3700개 기업과의 산학협력을 통해 산학 밀착형 교육을 실시하고 있다.

수도권	수도/NNG+권/XSN
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
3700개	3700/SN+개/NNB
기업과의	기업/NNG+과/JKB+의/JKG
산학협력을	산학/NNG+협력/NNG+을/JKO
통해	통하/VV+아/EC
산학	산학/NNG
밀착형	밀착/NNG+형/XSN
교육을	교육/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.10.1
이는 취업보장형 학과 개설의 밑바탕이 됐다.

이는	이/NP+는/JX
취업보장형	취업/NNG+보장/NNG+형/XSN
학과	학과/NNG
개설의	개설/NNG+의/JKG
밑바탕이	밑바탕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.94.10.2
경복대는 NCS를 기반으로 기업과 공동 개설한 준오헤어디자인과, 약손명가미용과를 필두로 컴퓨터정보과, IT보안과, 친환경건축과, 공간디자인과 등 7개 학과의 경우 해당 기업체군에 취업이 보장되는 취업보장형 학과로 운영하고 있다.

경복대는	경복대/NNP+는/JX
NCS를	NCS/SL+를/JKO
기반으로	기반/NNG+으로/JKB
기업과	기업/NNG+과/JKB
공동	공동/NNG
개설한	개설/NNG+하/XSV+ㄴ/ETM
준오헤어디자인과,	준오헤어/NNP+디자인과/NNG+,/SP
약손명가미용과를	약손명가/NNP+미용/NNG+과/NNG+를/JKO
필두로	필두/NNG+로/JKB
컴퓨터정보과,	컴퓨터/NNG+정보과/NNG+,/SP
IT보안과,	IT/SL+보안/NNG+과/NNG+,/SP
친환경건축과,	친/XPN+환경/NNG+건축과/NNG+,/SP
공간디자인과	공간/NNG+디자인과/NNG
등	등/NNB
7개	7/SN+개/NNB
학과의	학과/NNG+의/JKG
경우	경우/NNG
해당	해당/NNG
기업체군에	기업체/NNG+군/NNG+에/JKB
취업이	취업/NNG+이/JKS
보장되는	보장/NNG+되/XSV+는/ETM
취업보장형	취업/NNG+보장/NNG+형/XSN
학과로	학과/NNG+로/JKB
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.10.3
의료보건계열의 경우 NCS를 통한 실무중심 교육으로 최고 수준의 경쟁력을 갖추고 있다.

의료보건계열의	의료/NNG+보건/NNG+계열/NNG+의/JKG
경우	경우/NNG
NCS를	NCS/SL+를/JKO
통한	통하/VV+ㄴ/ETM
실무중심	실무/NNG+중심/NNG
교육으로	교육/NNG+으로/JKB
최고	최고/NNG
수준의	수준/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.11.1
경복대는 2015학년도에 의료보건학부, 공공인재학부, 관광경영학부, 공학부, 예술학부의 5개 학부 30개 학과에서 2198명을 모집한다.

경복대는	경복대/NNP+는/JX
2015학년도에	2015/SN+학년도/NNG+에/JKB
의료보건학부,	의료/NNG+보건/NNG+학부/NNG+,/SP
공공인재학부,	공공/NNG+인재/NNG+학부/NNG+,/SP
관광경영학부,	관광/NNG+경영학부/NNG+,/SP
공학부,	공학부/NNG+,/SP
예술학부의	예술학부/NNG+의/JKG
5개	5/SN+개/NNB
학부	학부/NNG
30개	30/SN+개/NNB
학과에서	학과/NNG+에서/JKB
2198명을	2198/SN+명/NNB+을/JKO
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.11.2
수시에서 90%를 선발한다.

수시에서	수시/NNG+에서/JKB
90%를	90/SN+%/SW+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.11.3
모든 학과에서 면접(20% 이상 반영)을 실시하며, 면접에는 산업체 인사들이 공동으로 참여해 학생들의 인성과 해당 학과의 목표에 맞는 인재를 선발한다.

모든	모든/MMN
학과에서	학과/NNG+에서/JKB
면접(20%	면접/NNG+(/SS+20/SN+%/SW
이상	이상/NNG
반영)을	반영/NNG+)/SS+을/JKO
실시하며,	실시/NNG+하/XSV+며/EC+,/SP
면접에는	면접/NNG+에/JKB+는/JX
산업체	산업체/NNG
인사들이	인사/NNG+들/XSN+이/JKS
공동으로	공동/NNG+으로/JKB
참여해	참여/NNG+하/XSV+아/EC
학생들의	학생/NNG+들/XSN+의/JKG
인성과	인성/NNG+과/JC
해당	해당/NNG
학과의	학과/NNG+의/JKG
목표에	목표/NNG+에/JKB
맞는	맞/VV+는/ETM
인재를	인재/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.12.1
경복대는 수도권 최대 규모의 간호보건계열 학과들도 운영하고 있다.

경복대는	경복대/NNP+는/JX
수도권	수도/NNG+권/XSN
최대	최대/NNG
규모의	규모/NNG+의/JKG
간호보건계열	간호/NNG+보건/NNG+계열/NNG
학과들도	학과/NNG+들/XSN+도/JX
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.94.12.2
4년제 간호학과(250명)를 필두로 치위생과(160명), 작업치료과(80명), 의료복지과(80명), 의료미용과(80명), 임상병리과(40명), 물리치료과(40명) 등 700명에 가까운 보건 전문인력을 선발한다.

4년제	4/SN+년/NNB+제/XSN
간호학과(250명)를	간호학과/NNG+(/SS+250/SN+명/NNB+)/SS+를/JKO
필두로	필두/NNG+로/JKB
치위생과(160명),	치위생과/NNG+(/SS+160/SN+명/NNB+)/SS+,/SP
작업치료과(80명),	작업/NNG+치료과/NNG+(/SS+80/SN+명/NNB+)/SS+,/SP
의료복지과(80명),	의료/NNG+복지과/NNG+(/SS+80/SN+명/NNB+)/SS+,/SP
의료미용과(80명),	의료/NNG+미용/NNG+과/NNG+(/SS+80/SN+명/NNB+)/SS+,/SP
임상병리과(40명),	임상/NNG+병리과/NNG+(/SS+40/SN+명/NNB+)/SS+,/SP
물리치료과(40명)	물리/NNG+치료과/NNG+(/SS+40/SN+명/NNB+)/SS
등	등/NNB
700명에	700/SN+명/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
보건	보건/NNG
전문인력을	전문/NNG+인력/NNG+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.12.3
학생부와 수능 성적을 반영하지 않고, 학생의 잠재적 역량을 심층평가해서 일본 현지취업을 목표로 하는 ‘간호학과 비교과전형’(40명)도 실시한다.

학생부와	학생부/NNG+와/JC
수능	수능/NNG
성적을	성적/NNG+을/JKO
반영하지	반영/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
학생의	학생/NNG+의/JKG
잠재적	잠재/NNG+적/XSN
역량을	역량/NNG+을/JKO
심층평가해서	심층/NNG+평가/NNG+하/XSV+아서/EC
일본	일본/NNP
현지취업을	현지/NNG+취업/NNG+을/JKO
목표로	목표/NNG+로/JKB
하는	하/VV+는/ETM
‘간호학과	‘/SS+간호학과/NNG
비교과전형’(40명)도	비/XPN+교과/NNG+전형/NNG+’/SS+(/SS+40/SN+명/NNB+)/SS+도/JX
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.13.1
전형방법은 일반전형과 특별전형, 농어촌전형, 기회균등선발전형, 전문대 졸업자 이상자 전형이 있다.

전형방법은	전형/NNG+방법/NNG+은/JX
일반전형과	일반/NNG+전형/NNG+과/JC
특별전형,	특별/NNG+전형/NNG+,/SP
농어촌전형,	농어촌/NNG+전형/NNG+,/SP
기회균등선발전형,	기회균등/NNG+선발/NNG+전형/NNG+,/SP
전문대	전문대/NNG
졸업자	졸업자/NNG
이상자	이상자/NNG
전형이	전형/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.94.13.2
10%의 인원을 정원 외로 추가 선발한다.

10%의	10/SN+%/SW+의/JKG
인원을	인원/NNG+을/JKO
정원	정원/NNG
외로	외/NNB+로/JKB
추가	추가/NNG
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.14.1
항공서비스과와 실용음악과, 뮤지컬과를 제외한 전 모집단위는 학생부 80%에 면접 20%를 합산해 선발한다.

항공서비스과와	항공/NNG+서비스/NNG+과/NNG+와/JC
실용음악과,	실용/NNG+음악과/NNG+,/SP
뮤지컬과를	뮤지컬/NNG+과/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전	전/MMN
모집단위는	모집/NNG+단위/NNG+는/JX
학생부	학생부/NNG
80%에	80/SN+%/SW+에/JKB
면접	면접/NNG
20%를	20/SN+%/SW+를/JKO
합산해	합산/NNG+하/XSV+아/EC
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.14.2
항공서비스과는 학생부 40%에 면접 60%, 실용음악과(보컬)와 뮤지컬과는 실기 70%와 학생부 30%를 반영한다.

항공서비스과는	항공/NNG+서비스/NNG+과/JKB+는/JX
학생부	학생부/NNG
40%에	40/SN+%/SW+에/JKB
면접	면접/NNG
60%,	60/SN+%/SW+,/SP
실용음악과(보컬)와	실용/NNG+음악과/NNG+(/SS+보컬/NNG+)/SS+와/JC
뮤지컬과는	뮤지컬/NNG+과/NNG+는/JX
실기	실기/NNG
70%와	70/SN+%/SW+와/JC
30%를	30/SN+%/SW+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.15.1
학생부의 성적반영 방법은 석차등급 적용이다.

학생부의	학생부/NNG+의/JKG
성적반영	성적/NNG+반영/NNG
방법은	방법/NNG+은/JX
석차등급	석차/NNG+등급/NNG
적용이다.	적용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.94.15.2
수능 최저학력기준은 간호학과(2개 영역 평균이 4등급 이내)에만 적용된다.

수능	수능/NNG
최저학력기준은	최저/NNG+학력/NNG+기준/NNG+은/JX
간호학과(2개	간호학과/NNG+(/SS+2/SN+개/NNB
영역	영역/NNG
평균이	평균/NNG+이/JKS
4등급	4/SN+등급/NNG
이내)에만	이내/NNG+)/SS+에/JKB+만/JX
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.15.3
면접 시 면접관이 모두 ‘부적합’ 판정을 내리면 학생부 성적에 상관 없이 불합격된다.

면접	면접/NNG
시	시/NNB
면접관이	면접관/NNG+이/JKS
모두	모두/MAG
‘부적합’	‘/SS+부/XPN+적합/NNG+’/SS
판정을	판정/NNG+을/JKO
내리면	내리/VV+면/EC
학생부	학생부/NNG
성적에	성적/NNG+에/JKB
상관	상관/NNG
없이	없이/MAG
불합격된다.	불/XPN+합격/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.94.15.4
원서는 9월 27일까지 받고, 면접과 실기고사(해당 학과)는 모두 10월 11일이다.

원서는	원서/NNG+는/JX
9월	9/SN+월/NNB
27일까지	27/SN+일/NNB+까지/JX
받고,	받/VV+고/EC+,/SP
면접과	면접/NNG+과/JC
실기고사(해당	실기/NNG+고사/NNG+(/SS+해당/NNG
학과)는	학과/NNG+)/SS+는/JX
모두	모두/MAG
10월	10/SN+월/NNB
11일이다.	11/SN+일/NNB+이/VCP+다/EF+./SF


