# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.423
metadata : {}


# id : NWRW1800000022.423.1.1
[길] "기사님, 샌드위치 드세요"… 안전운전 위한 점심 봉사

[길]	[/SS+길/NNG+]/SS
심하다는	심하/VA+다는/ETM
점	점/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
택시기사들에게	택시/NNG+기사/NNG+들/XSN+에게/JKB
간편한	간편하/VA+ㄴ/ETM
점심을	점심/NNG+을/JKO
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.423.6.1
"얼마냐"며 1000원짜리를 내미는 사람, 파는 물건인 줄 알고 아예 손을 내저으며 지나가는 사람….

"얼마냐"며	"/SS+얼마/NNG+이/VCP+냐/EF+"/SS+며/EC
1000원짜리를	1000/SN+원/NNB+짜리/XSN+를/JKO
내미는	내밀/VV+는/ETM
사람,	사람/NNG+,/SP
파는	팔/VV+는/ETM
물건인	물건/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알고	알/VV+고/EC
아예	아예/MAG
손을	손/NNG+을/JKO
내저으며	내젓/VV+으며/EC
지나가는	지나가/VV+는/ETM
사람….	사람/NNG+…/SE+./SF


# id : NWRW1800000022.423.6.2
택시기사들의 반응은 다양했다.

택시기사들의	택시/NNG+기사/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.423.6.3
이제는 소문이 퍼져 일부러 지나가는 '단골'까지 생겼다.

이제는	이제/NNG+는/JX
소문이	소문/NNG+이/JKS
퍼져	퍼지/VV+어/EC
일부러	일부러/MAG
지나가는	지나가/VV+는/ETM
'단골'까지	'/SS+단골/NNG+'/SS+까지/JX
생겼다.	생기/VV+었/EP+다/EF+./SF


