# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.215
metadata : {}


# id : NWRW1800000046.215.1.1
"어깨통증 없지만 복귀시점은 몰라"

"어깨통증	"/SS+어깨/NNG+통증/NNG
"언제쯤	"/SS+언제/NP+쯤/XSN
마운드에	마운드/NNG+에/JKB
설	서/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
모르겠다"며	모르/VV+겠/EP+다/EF+"/SS+며/EC
"트레이너들이	"/SS+트레이너/NNG+들/XSN+이/JKS
짜주는	짜/VV+아/EC+주/VX+는/ETM
스케줄을	스케줄/NNG+을/JKO
소화하다	소화/NNG+하/XSV+다/EC
보면	보/VX+면/EC
복귀	복귀/NNG
일정이	일정/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.7.1
팀에서 류현진의 복귀를 서두르지 않는 데는 이유가 있다.

팀에서	팀/NNG+에서/JKB
류현진의	류현진/NNP+의/JKG
복귀를	복귀/NNG+를/JKO
서두르지	서두르/VV+지/EC
않는	않/VX+는/ETM
데는	데/NNB+는/JX
이유가	이유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.215.7.2
매번 정밀 검사 결과 단순 염증으로 판명 났지만 투수에게 중요한 어깨를 1년 사이에 3차례나 다친 게 신경이 쓰이는 것이다.

매번	매번/MAG
정밀	정밀/NNG
검사	검사/NNG
결과	결과/NNG
단순	단순/NNG
염증으로	염증/NNG+으로/JKB
판명	판명/NNG
났지만	나/VV+았/EP+지만/EC
투수에게	투수/NNG+에게/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
어깨를	어깨/NNG+를/JKO
1년	1/SN+년/NNB
사이에	사이/NNG+에/JKB
3차례나	3/SN+차례/NNG+나/JX
다친	다치/VV+ㄴ/ETM
게	거/NNB+이/JKS
신경이	신경/NNG+이/JKS
쓰이는	쓰이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.215.7.3
돈 매팅리 감독은 류현진이 재활 운동에 들어가기 전 "어깨 근육을 지금보다 더 강하게 만들어야 한다"고 지침을 내렸다.

돈	돈/NNP
매팅리	매팅리/NNP
감독은	감독/NNG+은/JX
류현진이	류현진/NNP+이/JKS
재활	재활/NNG
운동에	운동/NNG+에/JKB
들어가기	들어가/VV+기/ETN
전	전/NNG
"어깨	"/SS+어깨/NNG
근육을	근육/NNG+을/JKO
지금보다	지금/NNG+보다/JKB
더	더/MAG
강하게	강하/VA+게/EC
만들어야	만들/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
지침을	지침/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.7.4
류현진은 "팀 트레이너들이 웨이트트레이닝을 정말 많이 시킨다"며 "캐치볼을 재개한 다음에도 똑같다"고 말했다.

류현진은	류현진/NNP+은/JX
"팀	"/SS+팀/NNG
트레이너들이	트레이너/NNG+들/XSN+이/JKS
웨이트트레이닝을	웨이트/NNG+트레이닝/NNG+을/JKO
정말	정말/MAG
많이	많이/MAG
시킨다"며	시키/VV+ㄴ다/EF+"/SS+며/EC
"캐치볼을	"/SS+캐치볼/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
다음에도	다음/NNG+에/JKB+도/JX
똑같다"고	똑같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.8.1
팀 분위기도 류현진의 복귀가 급하지 않은 상황이다.

팀	팀/NNG
분위기도	분위기/NNG+도/JX
류현진의	류현진/NNP+의/JKG
복귀가	복귀/NNG+가/JKS
급하지	급하/VA+지/EC
않은	않/VX+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.215.8.2
다저스는 현재 내셔널리그 팀 홈런 1위(17개)의 화끈한 방망이를 앞세워 서부 지구 단독 선두 자리(9승3패)를 지키고 있다.

다저스는	다저스/NNP+는/JX
현재	현재/MAG
내셔널리그	내셔널리그/NNG
팀	팀/NNG
홈런	홈런/NNG
1위(17개)의	1/SN+위/NNB+(/SS+17/SN+개/NNB+)/SS+의/JKG
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
방망이를	방망이/NNG+를/JKO
앞세워	앞세우/VV+어/EC
서부	서부/NNG
지구	지구/NNG
단독	단독/NNG
선두	선두/NNG
자리(9승3패)를	자리/NNG+(/SS+9/SN+승/NNB+3/SN+패/NNB+)/SS+를/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.215.8.3
이날도 홈런 3방을 앞세워 콜로라도 로키스를 7대0으로 꺾고 7연승을 달렸다.

이날도	이날/NNG+도/JX
홈런	홈런/NNG
3방을	3/SN+방/NNB+을/JKO
앞세워	앞세우/VV+어/EC
콜로라도	콜로라도/NNP
로키스를	로키스/NNP+를/JKO
7대0으로	7/SN+대/NNB+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
7연승을	7/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.9.1
류현진도 빨리 마운드에 서겠다고 조바심을 내기보단 완벽한 몸을 만드는 데 집중하고 있다.

류현진도	류현진/NNP+도/JX
빨리	빨리/MAG
마운드에	마운드/NNG+에/JKB
서겠다고	서/VV+겠/EP+다고/EC
조바심을	조바심/NNG+을/JKO
내기보단	내/VV+기/ETN+보다/JKB+ㄴ/JX
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
몸을	몸/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
집중하고	집중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.215.9.2
그는 "올스타전(7월 14~15일) 이전까진 돌아오느냐"는 현지 취재진의 질문에 "그전에는 복귀한다"고 웃으면서 답했다.

그는	그/NP+는/JX
"올스타전(7월	"/SS+올스타전/NNG+(/SS+7/SN+월/NNB
14~15일)	14/SN+~/SO+15/SN+일/NNB+)/SS
이전까진	이전/NNG+까지/JX+ㄴ/JX
돌아오느냐"는	돌아오/VV+느냐/EF+"/SS+는/ETM
현지	현지/NNG
취재진의	취재진/NNG+의/JKG
질문에	질문/NNG+에/JKB
"그전에는	"/SS+그전/NNG+에/JKB+는/JX
복귀한다"고	복귀/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
웃으면서	웃/VV+으면서/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.10.1
강정호(28·피츠버그 파이리츠)는 이날 '빅리그' 첫 득점과 볼넷을 올렸다.

강정호(28·피츠버그	강정호/NNP+(/SS+28/SN+·/SP+피츠버그/NNP
파이리츠)는	파이리츠/NNP+)/SS+는/JX
이날	이날/NNG
'빅리그'	'/SS+빅리그/NNG+'/SS
첫	첫/MMN
득점과	득점/NNG+과/JC
볼넷을	볼넷/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.10.2
밀워키 브루어스와의 홈 경기 6회 1루 대주자로 나가 후속 타자의 적시타 때 홈을 밟았다.

밀워키	밀워키/NNP
브루어스와의	브루어스/NNP+와/JKB+의/JKG
홈	홈/NNG
경기	경기/NNG
6회	6/SN+회/NNB
1루	1루/NNG
대주자로	대주자/NNG+로/JKB
나가	나가/VV+아/EC
후속	후속/NNG
타자의	타자/NNG+의/JKG
적시타	적시타/NNG
때	때/NNG
홈을	홈/NNG+을/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.10.3
8회에는 타석에 들어서 메이저리그 개인 통산 1호 볼넷을 골라서 출루했다.

8회에는	8/SN+회/NNB+에/JKB+는/JX
타석에	타석/NNG+에/JKB
들어서	들어서/VV+어/EC
메이저리그	메이저리그/NNG
개인	개인/NNG
통산	통산/NNG
1호	1/SN+호/NNB
볼넷을	볼넷/NNG+을/JKO
골라서	고르/VV+아서/EC
출루했다.	출루/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.10.4
파이리츠는 5대2로 이겼다.

파이리츠는	파이리츠/NNP+는/JX
5대2로	5/SN+대/NNB+2/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.215.10.5
추신수(33·텍사스 레인저스)는 시애틀 매리너스전에서 4타수 1안타 2타점을 기록했다.

추신수(33·텍사스	추신수/NNP+(/SS+33/SN+·/SP+텍사스/NNP
레인저스)는	레인저스/NNP+)/SS+는/JX
시애틀	시애틀/NNP
매리너스전에서	매리너스전/NNG+에서/JKB
4타수	4/SN+타수/NNG
1안타	1/SN+안타/NNG
2타점을	2/SN+타점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.215.10.6
팀은 10대11로 졌다.

팀은	팀/NNG+은/JX
10대11로	10/SN+대/NNB+11/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


