# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.131
metadata : {}


# id : NWRW1800000025.131.1.1
국민임대단지 6곳, ‘보금자리’로 바뀐다

국민임대단지	국민/NNG+임대/NNG+단지/NNG
보금자리주택지구로	보금자리/NNG+주택/NNG+지구/NNG+로/JKB
전환한다고	전환/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.131.3.2
6개 지구의 총면적은 7.4km²로 이들 지역엔 앞으로 공공분양 및 임대, 민간 분양주택 등 모두 4만5000채를 공급할 예정이다.

6개	6/SN+개/NNB
지구의	지구/NNG+의/JKG
총면적은	총면적/NNG+은/JX
7.4km²로	7/SN+./SP+4/SN+km²/SW+로/JKB
이들	이/NP+들/XSN
지역엔	지역/NNG+에/JKB+ㄴ/JX
앞으로	앞/NNG+으로/JKB
공공분양	공공/NNG+분양/NNG
및	및/MAG
임대,	임대/NNG+,/SP
민간	민간/NNG
분양주택	분양/NNG+주택/NNG
등	등/NNB
모두	모두/MAG
4만5000채를	4/SN+만/NR+5000/SN+채/NNB+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.131.4.1
이 6개 지구는 서울 지하철 1·3호선, 분당선 및 서울외곽순환고속국도와 접해 있어 교통망이 잘 갖춰져 있고 서울 도심에서 10∼30km 거리로 접근성도 좋은 편이다.

이	이/MMD
6개	6/SN+개/NNB
지구는	지구/NNG+는/JX
서울	서울/NNP
지하철	지하철/NNG
1·3호선,	1/SN+·/SP+3/SN+호선/NNB+,/SP
분당선	분당선/NNP
및	및/MAG
서울외곽순환고속국도와	서울외곽순환고속국도/NNP+와/JKB
접해	접하/VV+아/EC
있어	있/VX+어/EC
교통망이	교통망/NNG+이/JKS
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있고	있/VX+고/EC
도심에서	도심/NNG+에서/JKB
10∼30km	10/SN+∼/SO+30/SN+km/SW
거리로	거리/NNG+로/JKB
접근성도	접근/NNG+성/XSN+도/JX
좋은	좋/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.131.5.1
국토부는 이 지역의 임대주택 유형도 다양화해 입주자의 소득과 여건에 따라 선택할 수 있는 영구·국민·10년·분납형 임대주택을 선보일 계획이다.

국토부는	국토부/NNG+는/JX
이	이/MMD
지역의	지역/NNG+의/JKG
임대주택	임대/NNG+주택/NNG
유형도	유형/NNG+도/JX
다양화해	다양/NNG+화/XSN+하/XSV+아/EC
입주자의	입주자/NNG+의/JKG
소득과	소득/NNG+과/JC
여건에	여건/NNG+에/JKB
따라	따르/VV+아/EC
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영구·국민·10년·분납형	영구/NNG+·/SP+국민/NNG+·/SP+10/SN+년/NNB+·/SP+분납/NNG+형/XSN
임대주택을	임대/NNG+주택/NNG+을/JKO
선보일	선보이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.131.6.1
이 가운데 실시계획 승인이 난 의정부 민락2지구는 지구계획 변경 승인 후 올해 하반기에 아파트를 분양할 방침이다.

이	이/NP
가운데	가운데/NNG
실시계획	실시/NNG+계획/NNG
승인이	승인/NNG+이/JKS
난	나/VV+ㄴ/ETM
의정부	의정부/NNP
민락2지구는	민락2지구/NNP+는/JX
지구계획	지구/NNG+계획/NNG
변경	변경/NNG
승인	승인/NNG
후	후/NNG
올해	올해/NNG
하반기에	하반기/NNG+에/JKB
아파트를	아파트/NNG+를/JKO
분양할	분양/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.131.6.2
나머지 지구도 지구계획 승인을 거쳐 사업 진행속도에 따라 내년 이후에 공급할 예정이다.

나머지	나머지/NNG
지구도	지구/NNG+도/JX
지구계획	지구/NNG+계획/NNG
승인을	승인/NNG+을/JKO
거쳐	거치/VV+어/EC
사업	사업/NNG
진행속도에	진행/NNG+속도/NNG+에/JKB
따라	따르/VV+아/EC
내년	내년/NNG
이후에	이후/NNG+에/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


