# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.87
metadata : {}


# id : NWRW1800000028.87.1.1
서울 야권 단일화땐 한명숙-오세훈 격차 8%p로 좁혀져

서울	서울/NNP
공감하는	공감/NNG+하/XSV+는/ETM
야권	야권/NNG
지지표를	지지표/NNG+를/JKO
결집할	결집/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.87.4.1
한나라당도 이런 상황을 경계하고 있다.

한나라당도	한나라당/NNP+도/JX
이런	이런/MMD
상황을	상황/NNG+을/JKO
경계하고	경계/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.87.4.2
한 핵심 당직자는 “곽영욱 전 사장의 진술이 일관성을 잃으면서 한 전 총리의 무죄가능성도 배제할 수 없는 상황”이라며 “만약 무죄가 선고되면 서울시장 선거는 물론 경기지사와 인천시장 선거에서도 고전할 수 있다”고 내다봤다.

한	한/NNP
핵심	핵심/NNG
당직자는	당직자/NNG+는/JX
“곽영욱	“/SS+곽영욱/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
진술이	진술/NNG+이/JKS
일관성을	일관/NNG+성/XSN+을/JKO
잃으면서	잃/VV+으면서/EC
총리의	총리/NNG+의/JKG
무죄가능성도	무죄/NNG+가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“만약	“/SS+만약/MAG
무죄가	무죄/NNG+가/JKS
선고되면	선고/NNG+되/XSV+면/EC
서울시장	서울시장/NNG
선거는	선거/NNG+는/JX
물론	물론/MAG
경기지사와	경기/NNP+지사/NNG+와/JC
인천시장	인천시장/NNG
선거에서도	선거/NNG+에서/JKB+도/JX
고전할	고전/NNG+하/XSV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.4.3
오 시장과 경쟁하고 있는 원희룡 의원도 15일 <문화방송> 라디오와 인터뷰에서 “만약 무죄 판결이 나올 경우 그 파장은 매우 심각하다”며 “필승구도에 대해 당 차원에서 심각한 고민에 들어갈 수밖에 없다”고 말했다.

오	오/NNP
시장과	시장/NNG+과/JKB
경쟁하고	경쟁/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
원희룡	원희룡/NNP
의원도	의원/NNG+도/JX
15일	15/SN+일/NNB
<문화방송>	</SS+문화방송/NNP+>/SS
라디오와	라디오/NNG+와/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
“만약	“/SS+만약/MAG
무죄	무죄/NNG
판결이	판결/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
경우	경우/NNG
그	그/MMD
파장은	파장/NNG+은/JX
매우	매우/MAG
심각하다”며	심각하/VA+다/EF+”/SS+며/EC
“필승구도에	“/SS+필승/NNG+구도/NNG+에/JKB
대해	대하/VV+아/EC
당	당/NNG
차원에서	차원/NNG+에서/JKB
심각한	심각하/VA+ㄴ/ETM
고민에	고민/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.4.4
한편 엄기영 전 문화방송 사장이 야권 단일후보로 나설 경우에도 오 시장과의 격차가 8.6%포인트에 그치는 것으로 나타났다.

한편	한편/MAG
엄기영	엄기영/NNP
전	전/MMD
문화방송	문화방송/NNP
사장이	사장/NNG+이/JKS
야권	야권/NNG
단일후보로	단일/NNG+후보/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
경우에도	경우/NNG+에/JKB+도/JX
오	오/NNP
시장과의	시장/NNG+과/JKB+의/JKG
격차가	격차/NNG+가/JKS
8.6%포인트에	8/SN+./SF+6/SN+%/SW+포인트/NNG+에/JKB
그치는	그치/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.5.1
■ 김문수 대항마는 누구?

■	■/SW
김문수	김문수/NNP
대항마는	대항마/NNG+는/JX
누구?	누구/NP+?/SF


# id : NWRW1800000028.87.5.2
경기도지사 선거전의 관심사는 한나라당 소속 김문수 지사에 맞설 야권 후보가 누구냐로 모아지고 있다.

경기도지사	경기/NNP+도지사/NNG
선거전의	선거전/NNG+의/JKG
관심사는	관심사/NNG+는/JX
한나라당	한나라당/NNP
소속	소속/NNG
김문수	김문수/NNP
지사에	지사/NNG+에/JKB
맞설	맞서/VV+ㄹ/ETM
야권	야권/NNG
후보가	후보/NNG+가/JKS
누구냐로	누구/NP+이/VCP+냐/EF+로/JKB
모아지고	모으/VV+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.87.5.3
야권 후보들이 난립하는 구도에선 김 지사가 52.5%로 압도적 우세를 보였다.

야권	야권/NNG
후보들이	후보/NNG+들/XSN+이/JKS
난립하는	난립/NNG+하/XSV+는/ETM
구도에선	구도/NNG+에서/JKB+ㄴ/JX
김	김/NNP
지사가	지사/NNG+가/JKS
52.5%로	52/SN+./SP+5/SN+%/SW+로/JKB
압도적	압도/NNG+적/XSN
우세를	우세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.87.5.4
민주당 김진표 의원은 15.3%, 국민참여당 유시민 전 보건복지부 장관은 14.4%에 그쳤다.

민주당	민주당/NNP
김진표	김진표/NNP
의원은	의원/NNG+은/JX
15.3%,	15/SN+./SF+3/SN+%/SW+,/SP
국민참여당	국민참여당/NNP
유시민	유시민/NNP
전	전/MMD
보건복지부	보건/NNG+복지부/NNG
장관은	장관/NNG+은/JX
14.4%에	14/SN+./SF+4/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.87.5.5
김 지사는 야권 단일후보가 나서더라도 여유 있게 승리하는 것으로 나온다.

김	김/NNP
지사는	지사/NNG+는/JX
야권	야권/NNG
단일후보가	단일/NNG+후보/NNG+가/JKS
나서더라도	나서/VV+더라도/EC
여유	여유/NNG
있게	있/VA+게/EC
승리하는	승리/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.87.5.6
김 지사는 야권 단일후보 출마를 상정한 가상대결에서도 김진표 의원을 28.8%포인트, 유시민 전 장관을 26.1%포인트, 심상정 전 진보신당 공동대표를 39.9%포인트 앞서는 것으로 나타났다.

김	김/NNP
지사는	지사/NNG+는/JX
야권	야권/NNG
단일후보	단일/NNG+후보/NNG
출마를	출마/NNG+를/JKO
상정한	상정/NNG+하/XSV+ㄴ/ETM
가상대결에서도	가상/NNG+대결/NNG+에서/JKB+도/JX
김진표	김진표/NNP
의원을	의원/NNG+을/JKO
28.8%포인트,	28/SN+./SP+8/SN+%/SW+포인트/NNG+,/SP
유시민	유시민/NNP
전	전/MMD
장관을	장관/NNG+을/JKO
26.1%포인트,	26/SN+./SP+1/SN+%/SW+포인트/NNG+,/SP
심상정	심상정/NNP
진보신당	진보신당/NNP
공동대표를	공동/NNG+대표/NNG+를/JKO
39.9%포인트	39/SN+./SP+9/SN+%/SW+포인트/NNG
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.5.7
그러나 유시민 전 장관의 출전으로 경기지사 선거전에 대한 관심도가 높아져 야권 후보 단일화가 성사될 경우 야권 후보가 적잖은 시너지 효과를 누릴 것으로 보인다.

그러나	그러나/MAJ
유시민	유시민/NNP
전	전/MMD
장관의	장관/NNG+의/JKG
출전으로	출전/NNG+으로/JKB
경기지사	경기/NNP+지사/NNG
선거전에	선거전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심도가	관심도/NNG+가/JKS
높아져	높아지/VV+어/EC
야권	야권/NNG
후보	후보/NNG
단일화가	단일/NNG+화/XSN+가/JKS
성사될	성사/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
후보가	후보/NNG+가/JKS
적잖은	적잖/VA+은/ETM
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
누릴	누리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.87.5.8
이 경우 판세는 크게 흔들릴 수 있다.

이	이/MMD
경우	경우/NNG
판세는	판세/NNG+는/JX
크게	크/VA+게/EC
흔들릴	흔들리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.87.6.1
■ 인천, 송영길 도전장에 안상수 흔들 인천에선 한나라당 소속 안상수 시장의 독주 체제가 크게 흔들리고 있다.

■	■/SW
인천,	인천/NNP+,/SP
송영길	송영길/NNP
도전장에	도전장/NNG+에/JKB
안상수	안상수/NNP
흔들	흔들/VV+ㄹ/ETM
인천에선	인천/NNP+에서/JKB+ㄴ/JX
한나라당	한나라당/NNP
소속	소속/NNG
시장의	시장/NNG+의/JKG
독주	독주/NNG
체제가	체제/NNG+가/JKS
크게	크/VA+게/EC
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.87.6.2
출마가 예상되는 송영길 민주당 의원의 세가 만만찮은 까닭이다.

출마가	출마/NNG+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
송영길	송영길/NNP
민주당	민주당/NNP
의원의	의원/NNG+의/JKG
세가	세/NNG+가/JKS
만만찮은	만만찮/VA+은/ETM
까닭이다.	까닭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.87.6.3
두 사람의 가상대결에서 안 시장은 37.9%의 지지율을 기록해 33.8%를 얻은 송 의원과 오차범위(±2.6%포인트) 안에서 접전을 벌이고 있는 것으로 나타났다.

두	두/MMN
사람의	사람/NNG+의/JKG
가상대결에서	가상/NNG+대결/NNG+에서/JKB
안	안/NNP
시장은	시장/NNG+은/JX
37.9%의	37/SN+./SF+9/SN+%/SW+의/JKG
지지율을	지지/NNG+율/XSN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
33.8%를	33/SN+./SF+8/SN+%/SW+를/JKO
얻은	얻/VV+은/ETM
송	송/NNP
의원과	의원/NNG+과/JC
오차범위(±2.6%포인트)	오차/NNG+범위/NNG+(/SS+±/SW+2/SN+./SP+6/SN+%/SW+포인트/NNG+)/SS
안에서	안/NNG+에서/JKB
접전을	접전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.87.6.4
이곳은 야권 후보 단일화 가능성이 높은 지역이다.

이곳은	이곳/NP+은/JX
야권	야권/NNG
후보	후보/NNG
단일화	단일/NNG+화/XSN
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.87.6.5
가상대결에서 4.7%를 얻은 김성진 민주노동당 후보와 2.7%를 얻은 김상하 진보신당 후보의 지지도까지 단순히 합산하면 송 의원이 안 시장을 앞선다.

가상대결에서	가상/NNG+대결/NNG+에서/JKB
4.7%를	4/SN+./SF+7/SN+%/SW+를/JKO
얻은	얻/VV+은/ETM
김성진	김성진/NNP
민주노동당	민주노동당/NNP
후보와	후보/NNG+와/JC
2.7%를	2/SN+./SP+7/SN+%/SW+를/JKO
김상하	김상하/NNP
진보신당	진보신당/NNP
후보의	후보/NNG+의/JKG
지지도까지	지지도/NNG+까지/JX
단순히	단순히/MAG
합산하면	합산/NNG+하/XSV+면/EC
송	송/NNP
의원이	의원/NNG+이/JKS
안	안/NNP
시장을	시장/NNG+을/JKO
앞선다.	앞서/VV+ㄴ다/EF+./SF


