# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.353
metadata : {}


# id : NWRW1800000030.353.1.1
[수도권III] "용인경전철 부실 감사"… 용인시 맞불

[수도권III]	[/SS+수도/NNG+권/XSN+III/SL+]/SS
그러자	그러/VV+자/EC
시는	시/NNG+는/JX
사업시행자에게	사업/NNG+시행자/NNG+에게/JKB
사업해지통보를	사업/NNG+해지/NNG+통보/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
부실공사	부실/NNG+공사/NNG
여부까지	여부/NNG+까지/JX
따지겠다고	따지/VV+겠/EP+다고/EC
맞불을	맞불/NNG+을/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.5.2
김학규 용인시장은 "용인시도 법적 지위 확보 차원에서 사업시행자에게 똑같이 사업해지통보를 할 것"이라며 "시 경전철프로젝트팀이 4공구(에버랜드쪽)를 외관만 조사한 결과 교각균열, 승강장 비가림 시설 등 40여건의 하자가 발견돼 전 구간에 걸쳐 하자를 찾아내 공개할 계획"이라고 말했다.

김학규	김학규/NNP
용인시장은	용인시장/NNG+은/JX
"용인시도	"/SS+용인시/NNP+도/JX
법적	법/NNG+적/XSN
지위	지위/NNG
확보	확보/NNG
차원에서	차원/NNG+에서/JKB
사업시행자에게	사업/NNG+시행자/NNG+에게/JKB
똑같이	똑같이/MAG
사업해지통보를	사업/NNG+해지/NNG+통보/NNG+를/JKO
할	하/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"시	"/SS+시/NNG
경전철프로젝트팀이	경전철/NNG+프로젝트팀/NNG+이/JKS
4공구(에버랜드쪽)를	4/SN+공구/NNG+(/SS+에버랜드/NNP+쪽/NNB+)/SS+를/JKO
외관만	외관/NNG+만/JX
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
교각균열,	교각/NNG+균열/NNG+,/SP
승강장	승강장/NNG
비가림	비가림/NNG
시설	시설/NNG
등	등/NNB
40여건의	40/SN+여/XSN+건/NNB+의/JKG
하자가	하자/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
전	전/MMN
구간에	구간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
하자를	하자/NNG+를/JKO
찾아내	찾아내/VV+어/EC
공개할	공개/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.6.1
논란이 되고 있는 적자운행에 따른 운임손실보전에 대해서는 "적자운행이 예상되지만 어차피 공공성을 띠고 있는 사업이라서 적자 폭을 최소화하는 게 관건"이라며 "완공되면 적자가 나더라도 개통할 것"이라고 해명했다.

논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
적자운행에	적자/NNG+운행/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
운임손실보전에	운임/NNG+손실/NNG+보전/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"적자운행이	"/SS+적자/NNG+운행/NNG+이/JKS
예상되지만	예상/NNG+되/XSV+지만/EC
어차피	어차피/MAG
공공성을	공공/NNG+성/XSN+을/JKO
띠고	띠/VV+고/EC
사업이라서	사업/NNG+이/VCP+라서/EC
적자	적자/NNG
폭을	폭/NNG+을/JKO
최소화하는	최소/NNG+화/XSN+하/XSV+는/ETM
게	거/NNB+이/JKS
관건"이라며	관건/NNG+"/SS+이/VCP+라며/EC
"완공되면	"/SS+완공/NNG+되/XSV+면/EC
적자가	적자/NNG+가/JKS
나더라도	나/VV+더라도/EC
개통할	개통/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.7.1
기흥구 구갈동에서 포곡읍 전대리 에버랜드까지 15개역 18.1㎞ 구간을 무인 운행하는 시스템으로 건설된 용인경전철은 당초 지난해 7월 개통될 예정이었다.

기흥구	기흥구/NNP
구갈동에서	구갈동/NNP+에서/JKB
포곡읍	포곡읍/NNP
전대리	전대리/NNP
에버랜드까지	에버랜드/NNP+까지/JX
15개역	15/SN+개/NNB+역/NNG
18.1㎞	18/SN+./SP+1/SN+㎞/SW
구간을	구간/NNG+을/JKO
무인	무인/NNG
운행하는	운행/NNG+하/XSV+는/ETM
시스템으로	시스템/NNG+으로/JKB
건설된	건설/NNG+되/XSV+ㄴ/ETM
용인경전철은	용인경전철/NNP+은/JX
당초	당초/NNG
지난해	지난해/NNG
7월	7/SN+월/NNB
개통될	개통/NNG+되/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.353.8.1
시는 지난 2009년 실시협약 당시 개통연도 하루 승객 수요를 14만6000명으로 예측했지만 실제 승객 수요가 30% 수준인 3만~5만명에 머물 것으로 추정돼 연간 300억~450억원의 운임손실을 시 예산으로 보전해야 할 상황에 놓이자 안전문제를 이유로 준공확인을 거부했다.

시는	시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
실시협약	실시/NNG+협약/NNG
당시	당시/NNG
개통연도	개통/NNG+연도/NNG
하루	하루/NNG
승객	승객/NNG
수요를	수요/NNG+를/JKO
14만6000명으로	14/SN+만/NR+6000/SN+명/NNB+으로/JKB
예측했지만	예측/NNG+하/XSV+았/EP+지만/EC
실제	실제/NNG
수요가	수요/NNG+가/JKS
30%	30/SN+%/SW
수준인	수준/NNG+이/VCP+ㄴ/ETM
3만~5만명에	3/SN+만/NR+~/SO+5/SN+만/NR+명/NNB+에/JKB
머물	머물/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정돼	추정/NNG+되/XSV+어/EC
연간	연간/NNG
300억~450억원의	300/SN+억/NR+~/SO+450/SN+억/NR+원/NNB+의/JKG
운임손실을	운임/NNG+손실/NNG+을/JKO
시	시/NNG
예산으로	예산/NNG+으로/JKB
보전해야	보전/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
상황에	상황/NNG+에/JKB
놓이자	놓이/VV+자/EC
안전문제를	안전/NNG+문제/NNG+를/JKO
이유로	이유/NNG+로/JKB
준공확인을	준공/NNG+확인/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.353.8.2
용인경전철은 '선개통 후준공'을 주장해왔다.

용인경전철은	용인경전철/NNP+은/JX
'선개통	'/SS+선/NNG+개통/NNG
후준공'을	후/NNG+준공/NNG+'/SS+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


