# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.237
metadata : {}


# id : NWRW1800000029.237.1.1
‘논문 인용지수’ 대폭 반영… 학술지 평가 까다로워진다

‘논문	‘/SS+논문/NNG
평가에	평가/NNG+에/JKB
거의	거의/MAG
반영하지	반영/NNG+하/XSV+지/EC
않던	않/VX+던/ETM
한국학술지인용색인(KCI)의	한국학술지인용색인/NNP+(/SS+KCI/SL+)/SS+의/JKG
배점을	배점/NNG+을/JKO
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.237.11.2
KCI는 한국판 과학기술논문인용색인(SCI)으로 국내 학술단체가 발행하는 모든 학문분야의 학술지 및 게재논문 정보, 참고문헌을 데이터베이스(DB)화한 자료다.

KCI는	KCI/SL+는/JX
한국판	한국판/NNG
과학기술논문인용색인(SCI)으로	과학기술논문인용색인/NNP+(/SS+SCI/SL+)/SS+으로/JKB
국내	국내/NNG
학술단체가	학술/NNG+단체/NNG+가/JKS
발행하는	발행/NNG+하/XSV+는/ETM
모든	모든/MMN
학문분야의	학문/NNG+분야/NNG+의/JKG
학술지	학술지/NNG
및	및/MAG
게재논문	게재/NNG+논문/NNG
정보,	정보/NNG+,/SP
참고문헌을	참고/NNG+문헌/NNG+을/JKO
데이터베이스(DB)화한	데이터베이스/NNG+(/SS+DB/SL+)/SS+화/XSN+하/XSV+ㄴ/ETM
자료다.	자료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.237.11.3
KCI 인용지수는 특정 논문이 다른 논문에 얼마나 인용됐는지 보여줘 논문의 질을 평가할 수 있는 지표로 활용된다.

KCI	KCI/SL
인용지수는	인용/NNG+지수/NNG+는/JX
특정	특정/NNG
논문이	논문/NNG+이/JKS
다른	다른/MMD
논문에	논문/NNG+에/JKB
얼마나	얼마나/MAG
인용됐는지	인용/NNG+되/XSV+었/EP+는지/EC
보여줘	보이/VV+어/EC+주/VX+어/EC
논문의	논문/NNG+의/JKG
질을	질/NNG+을/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지표로	지표/NNG+로/JKB
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.237.12.1
지금까지는 발행횟수, 발행기관, 투고 규정 등 형식에 관한 평가가 대부분이었고 KCI 인용지수 배점은 5점에 그쳤다.

지금까지는	지금/NNG+까지/JX+는/JX
발행횟수,	발행/NNG+횟수/NNG+,/SP
발행기관,	발행/NNG+기관/NNG+,/SP
투고	투고/NNG
규정	규정/NNG
등	등/NNB
형식에	형식/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
대부분이었고	대/XPN+부분/NNG+이/VCP+었/EP+고/EC
KCI	KCI/SL
인용지수	인용/NNG+지수/NNG
배점은	배점/NNG+은/JX
5점에	5/SN+점/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.237.12.2
그러나 내년 20점, 2013년 30점 등 연차적으로 50점까지 배점이 늘어난다.

그러나	그러나/MAJ
내년	내년/NNG
20점,	20/SN+점/NNB+,/SP
2013년	2013/SN+년/NNB
30점	30/SN+점/NNB
등	등/NNB
연차적으로	연차/NNG+적/XSN+으로/JKB
50점까지	50/SN+점/NNB+까지/JX
배점이	배점/NNG+이/JKS
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.237.12.3
또 재단은 인문사회 분야 50종, 과학기술 분야 100종씩 우수 학술지를 선정해 발행비를 지원하기로 했다.

또	또/MAG
재단은	재단/NNG+은/JX
인문사회	인문/NNG+사회/NNG
분야	분야/NNG
50종,	50/SN+종/NNG+,/SP
과학기술	과학/NNG+기술/NNG
100종씩	100/SN+종/NNG+씩/XSN
우수	우수/NNG
학술지를	학술지/NNG+를/JKO
선정해	선정/NNG+하/XSV+아/EC
발행비를	발행비/NNG+를/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.237.13.1
또 학술지 게재 논문을 선정하는 과정의 투명성을 강화하기 위해 학술지를 발행하는 단체가 ‘학술지 관리 전문 사이트’를 만들어 논문 투고 및 심사 등 전 과정을 온라인 시스템으로 구축토록 할 방침이다.

또	또/MAG
학술지	학술지/NNG
게재	게재/NNG
논문을	논문/NNG+을/JKO
선정하는	선정/NNG+하/XSV+는/ETM
과정의	과정/NNG+의/JKG
투명성을	투명/NNG+성/XSN+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
학술지를	학술지/NNG+를/JKO
발행하는	발행/NNG+하/XSV+는/ETM
단체가	단체/NNG+가/JKS
‘학술지	‘/SS+학술지/NNG
관리	관리/NNG
전문	전문/NNG
사이트’를	사이트/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
논문	논문/NNG
투고	투고/NNG
및	및/MAG
심사	심사/NNG
등	등/NNB
전	전/MMN
과정을	과정/NNG+을/JKO
온라인	온라인/NNG
시스템으로	시스템/NNG+으로/JKB
구축토록	구축/NNG+하/XSV+도록/EC
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


