# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.259
metadata : {}


# id : NWRW1800000038.259.1.1
'아마' 접수한 이창우, KPGA 정상 서다

'아마'	'/SS+아마/NNG+'/SS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.5.2
후반 들어 버디 2개와 보기 2개를 맞바꿔 타수를 더 줄이지 못하다가 18번홀(파5)에서 우승을 결정짓는 버디를 잡아냈다.

후반	후반/NNG
들어	들/VV+어/EC
버디	버디/NNG
2개와	2/SN+개/NNB+와/JC
보기	보기/NNG
2개를	2/SN+개/NNB+를/JKO
맞바꿔	맞바꾸/VV+어/EC
타수를	타수/NNG+를/JKO
더	더/MAG
줄이지	줄이/VV+지/EC
못하다가	못하/VX+다가/EC
18번홀(파5)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
우승을	우승/NNG+을/JKO
결정짓는	결정짓/VV+는/ETM
버디를	버디/NNG+를/JKO
잡아냈다.	잡아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.5.3
이창우는 KPGA 투어에서 아마추어 신분으로 우승한 역대 9번째 선수가 됐다.

이창우는	이창우/NNP+는/JX
KPGA	KPGA/SL
투어에서	투어/NNG+에서/JKB
아마추어	아마추어/NNG
신분으로	신분/NNG+으로/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
역대	역대/NNG
9번째	9/SN+번/NNB+째/XSN
선수가	선수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.5.4
올 시즌에는 지난 6월 군산CC오픈에서 우승한 이수민(20·중앙대2)에 이어 두 번째다.

올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
군산CC오픈에서	군산/NNP+CC/SL+오픈/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
이수민(20·중앙대2)에	이수민/NNP+(/SS+20/SN+·/SP+중앙대/NNP+2/SN+)/SS+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.259.5.5
아마추어는 우승 상금(8000만원)을 받을 수 없기 때문에 공동 2위 김승혁과 송영한에게 상금이 6000만원(1위 상금과 2위 상금 합계의 절반)씩 돌아갔다.

아마추어는	아마추어/NNG+는/JX
우승	우승/NNG
상금(8000만원)을	상금/NNG+(/SS+8000/SN+만/NR+원/NNB+)/SS+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
공동	공동/NNG
2위	2/SN+위/NNB
김승혁과	김승혁/NNP+과/JC
송영한에게	송영한/NNP+에게/JKB
상금이	상금/NNG+이/JKS
6000만원(1위	6000/SN+만/NR+원/NNB+(/SS+1/SN+위/NNB
상금과	상금/NNG+과/JC
상금	상금/NNG
합계의	합계/NNG+의/JKG
절반)씩	절반/NNG+)/SS+씩/XSN
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.6.1
국가대표 이창우는 지난달부터 일주일 간격으로 열린 아마추어 메이저 대회 송암배·익성배·허정구배에서 '우승·준우승·우승'의 최고 성적을 거뒀다.

국가대표	국가/NNG+대표/NNG
이창우는	이창우/NNP+는/JX
지난달부터	지난달/NNG+부터/JX
일주일	일주일/NNG
간격으로	간격/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
아마추어	아마추어/NNG
메이저	메이저/NNG
대회	대회/NNG
송암배·익성배·허정구배에서	송암/NNP+배/NNB+·/SP+익성/NNP+배/NNB+·/SP+허정구/NNP+배/NNB+에서/JKB
'우승·준우승·우승'의	'/SS+우승/NNG+·/SP+준/XPN+우승/NNG+·/SP+우승/NNG+'/SS+의/JKG
최고	최고/NNG
성적을	성적/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.6.2
지난 6일 아마추어 골프 최고 권위의 허정구배 한국아마추어선수권에서는 자신의 롤 모델인 김경태(27)가 2006년 세운 역대 대회 최소타 기록을 경신했다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
아마추어	아마추어/NNG
골프	골프/NNG
최고	최고/NNG
권위의	권위/NNG+의/JKG
허정구배	허정구/NNP+배/NNB
한국아마추어선수권에서는	한국/NNP+아마추어/NNG+선수/NNG+권/XSN+에서/JKB+는/JX
자신의	자신/NNG+의/JKG
롤	롤/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
김경태(27)가	김경태/NNP+(/SS+27/SN+)/SS+가/JKS
2006년	2006/SN+년/NNB
세운	세우/VV+ㄴ/ETM
역대	역대/NNG
대회	대회/NNG
최소타	최소타/NNG
기록을	기록/NNG+을/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.6.3
이번 프로 대회 우승으로 이창우는 2006년 당시 20세 나이에 아마추어 신분으로 KPGA 투어 대회에서 두 차례 우승한 김경태의 커리어를 또 한 번 그대로 따르게 됐다.

이번	이번/NNG
프로	프로/NNG
대회	대회/NNG
우승으로	우승/NNG+으로/JKB
이창우는	이창우/NNP+는/JX
2006년	2006/SN+년/NNB
당시	당시/NNG
20세	20/SN+세/NNB
나이에	나이/NNG+에/JKB
아마추어	아마추어/NNG
신분으로	신분/NNG+으로/JKB
KPGA	KPGA/SL
투어	투어/NNG
대회에서	대회/NNG+에서/JKB
두	두/MMN
차례	차례/NNG
우승한	우승/NNG+하/XSV+ㄴ/ETM
김경태의	김경태/NNP+의/JKG
커리어를	커리어/NNG+를/JKO
또	또/MAG
한	한/MMN
번	번/NNB
그대로	그대로/MAG
따르게	따르/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.7.1
이창우는 "지난해 프로 전향을 고려했지만, 아마추어 시절 프로 대회에서 우승한 뒤 국내 투어 상금왕을 차지한 김경태 선배처럼 차근차근 밟아나가기로 했다"며 "아시안게임에서 금메달을 2개나 따낸 김경태 선배를 본받아 나도 내년 인천 아시안게임에서 금메달을 목에 건 뒤 프로 전향하고 싶다"고 했다.

이창우는	이창우/NNP+는/JX
"지난해	"/SS+지난해/NNG
프로	프로/NNG
전향을	전향/NNG+을/JKO
고려했지만,	고려/NNG+하/XSV+았/EP+지만/EC+,/SP
아마추어	아마추어/NNG
시절	시절/NNG
대회에서	대회/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국내	국내/NNG
투어	투어/NNG
상금왕을	상금왕/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
김경태	김경태/NNP
선배처럼	선배/NNG+처럼/JKB
차근차근	차근차근/MAG
밟아나가기로	밟/VV+아/EC+나가/VX+기/ETN+로/JKB
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"아시안게임에서	"/SS+아시안/NNP+게임/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
2개나	2/SN+개/NNB+나/JX
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
선배를	선배/NNG+를/JKO
본받아	본받/VV+아/EC
나도	나/NP+도/JX
내년	내년/NNG
인천	인천/NNP
아시안게임에서	아시안/NNP+게임/NNG+에서/JKB
목에	목/NNG+에/JKB
건	걸/VV+ㄴ/ETM
전향하고	전향/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.8.1
초등학교 3학년 때 무역업을 하는 아버지의 권유로 골프를 배우기 시작한 이창우는 182㎝, 74㎏의 체격으로 평균 드라이버 샷 거리는 290야드다.

초등학교	초등학교/NNG
3학년	3/SN+학년/NNG
때	때/NNG
무역업을	무역업/NNG+을/JKO
하는	하/VV+는/ETM
아버지의	아버지/NNG+의/JKG
권유로	권유/NNG+로/JKB
골프를	골프/NNG+를/JKO
배우기	배우/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
이창우는	이창우/NNP+는/JX
182㎝,	182/SN+㎝/SW+,/SP
74㎏의	74/SN+㎏/SW+의/JKG
체격으로	체격/NNG+으로/JKB
평균	평균/NNG
드라이버	드라이버/NNG
샷	샷/NNG
거리는	거리/NNG+는/JX
290야드다.	290/SN+야드/NNB+이/VCP+다/EF+./SF


