# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.8
metadata : {}


# id : NWRW1800000045.8.1.1
만원어치 약 팔고 연구비는 달랑 백원

만원어치	만/NR+원/NNB+어치/XSN
# id : NWRW1800000045.8.6.2
유럽연합(EU)이 지난해 12월 펴낸 전 세계 주요 기업의 R&D 비용(2013년 기준) 분석 자료를 보면 노바티스, 화이자 등 글로벌 10대 제약회사의 매출액 대비 연구개발비 비중은 평균 14.5%에 이른다.

유럽연합(EU)이	유럽연합/NNP+(/SS+EU/SL+)/SS+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
펴낸	펴내/VV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
주요	주요/NNG
기업의	기업/NNG+의/JKG
R&D	R/SL+&/SW+D/SL
비용(2013년	비용/NNG+(/SS+2013/SN+년/NNB
기준)	기준/NNG+)/SS
분석	분석/NNG
자료를	자료/NNG+를/JKO
보면	보/VV+면/EC
노바티스,	노바티스/NNP+,/SP
화이자	화이자/NNP
등	등/NNB
글로벌	글로벌/NNG
10대	10/SN+대/NNG
제약회사의	제약/NNG+회사/NNG+의/JKG
매출액	매출액/NNG
대비	대비/NNG
연구개발비	연구/NNG+개발비/NNG
비중은	비중/NNG+은/JX
평균	평균/NNG
14.5%에	14/SN+./SP+5/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.8.7.1
스위스에 본사를 둔 노바티스는 매출액의 17.1%인 71억7400만 유로(약 8조3218억 원)를 R&D에 썼다.

스위스에	스위스/NNP+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
노바티스는	노바티스/NNP+는/JX
매출액의	매출액/NNG+의/JKG
17.1%인	17/SN+./SP+1/SN+%/SW+이/VCP+ㄴ/ETM
71억7400만	71/SN+억/NR+7400/SN+만/NR
유로(약	유로/NNB+(/SS+약/MMA
8조3218억	8/SN+조/NR+3218/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
R&D에	R/SL+&/SW+D/SL+에/JKB
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.8.7.2
미국에 본사가 있는 일라이릴리도 매출액의 23.9%인 40억1100만 유로(약 4조6528억 원)를 R&D에 투자했다.

미국에	미국/NNP+에/JKB
본사가	본사/NNG+가/JKS
있는	있/VA+는/ETM
일라이릴리도	일라이릴리/NNP+도/JX
매출액의	매출액/NNG+의/JKG
23.9%인	23/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
40억1100만	40/SN+억/NR+1100/SN+만/NR
유로(약	유로/NNB+(/SS+약/MMA
4조6528억	4/SN+조/NR+6528/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
R&D에	R/SL+&/SW+D/SL+에/JKB
투자했다.	투자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.8.8.1
게다가 국내 상위 업체 중 일부는 매출의 5%에도 못 미치는 비용을 R&D에 투자한 것으로 나타났다.

게다가	게다가/MAG
국내	국내/NNG
상위	상위/NNG
업체	업체/NNG
중	중/NNB
일부는	일부/NNG+는/JX
매출의	매출/NNG+의/JKG
5%에도	5/SN+%/SW+에/JKB+도/JX
못	못/MAG
미치는	미치/VV+는/ETM
비용을	비용/NNG+을/JKO
R&D에	R/SL+&/SW+D/SL+에/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.8.8.2
광동제약은 지난해 5210억 원의 매출을 올렸지만 매출의 1.1%인 59억 원만 R&D에 투자했다.

광동제약은	광동제약/NNP+은/JX
지난해	지난해/NNG
5210억	5210/SN+억/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올렸지만	올리/VV+었/EP+지만/EC
매출의	매출/NNG+의/JKG
1.1%인	1/SN+./SP+1/SN+%/SW+이/VCP+ㄴ/ETM
59억	59/SN+억/NR
원만	원/NNB+만/JX
R&D에	R/SL+&/SW+D/SL+에/JKB
투자했다.	투자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.8.8.3
제일약품도 매출(5127억 원)의 3.3%인 168억 원을 투자하는 데 그쳤다.

제일약품도	제일약품/NNP+도/JX
매출(5127억	매출/NNG+(/SS+5127/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
3.3%인	3/SN+./SP+3/SN+%/SW+이/VCP+ㄴ/ETM
168억	168/SN+억/NR
원을	원/NNB+을/JKO
투자하는	투자/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.8.8.4
이들과 비슷한 규모의 매출(5441억 원)을 기록한 종근당이 747억 원을 쓴 것과 대비된다.

이들과	이/NP+들/XSN+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
매출(5441억	매출/NNG+(/SS+5441/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
종근당이	종근당/NNP+이/JKS
747억	747/SN+억/NR
원을	원/NNB+을/JKO
쓴	쓰/VV+ㄴ/ETM
것과	것/NNB+과/JKB
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.8.9.1
특히 광동제약은 정부로부터 혁신형 제약기업으로 선정돼 세금 감면 및 약값 우대, 연구개발비 지원 등의 혜택을 받고 있지만 R&D 비중은 낮다는 지적을 받고 있다.

특히	특히/MAG
광동제약은	광동제약/NNP+은/JX
정부로부터	정부/NNG+로부터/JKB
혁신형	혁신/NNG+형/XSN
제약기업으로	제약/NNG+기업/NNG+으로/JKB
선정돼	선정/NNG+되/XSV+어/EC
세금	세금/NNG
감면	감면/NNG
및	및/MAG
약값	약값/NNG
우대,	우대/NNG+,/SP
연구개발비	연구/NNG+개발비/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
혜택을	혜택/NNG+을/JKO
받고	받/VV+고/EC
있지만	있/VX+지만/EC
R&D	R/SL+&/SW+D/SL
비중은	비중/NNG+은/JX
낮다는	낮/VA+다는/ETM
지적을	지적/NNG+을/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.8.9.2
이에 대해 광동제약 관계자는 “(음료 사업 등을 제외하면) 제약 분야에서 매출의 5%를 연구개발에 투자하고 있다는 사실을 알 수 있다”며 “현재 임상을 진행 중인 신약도 있는 등 제약 분야 R&D에도 힘을 쏟고 있다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
광동제약	광동제약/NNP
관계자는	관계자/NNG+는/JX
“(음료	“/SS+(/SS+음료/NNG
사업	사업/NNG
등을	등/NNB+을/JKO
제외하면)	제외/NNG+하/XSV+면/EC+)/SS
제약	제약/NNG
분야에서	분야/NNG+에서/JKB
매출의	매출/NNG+의/JKG
5%를	5/SN+%/SW+를/JKO
연구개발에	연구/NNG+개발/NNG+에/JKB
투자하고	투자/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
임상을	임상/NNG+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
신약도	신약/NNG+도/JX
있는	있/VA+는/ETM
등	등/NNB
분야	분야/NNG
R&D에도	R/SL+&/SW+D/SL+에/JKB+도/JX
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.8.10.1
제약업계 안팎에서는 국내 업체들이 R&D 비중을 더욱 높일 필요가 있다고 보고 있다.

제약업계	제약업/NNG+계/XSN
안팎에서는	안팎/NNG+에서/JKB+는/JX
국내	국내/NNG
업체들이	업체/NNG+들/XSN+이/JKS
R&D	R/SL+&/SW+D/SL
비중을	비중/NNG+을/JKO
더욱	더욱/MAG
높일	높이/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.8.10.2
올 3월부터 시행된 허가-특허 연계제도는 오리지널 약을 만든 회사의 특허권을 강화하는 동시에 복제약(제네릭)을 먼저 개발해 오리지널 약 제조사와의 특허 소송에서 이긴 업체에도 독점 판매권 등의 혜택을 준다.

올	올/NNG
3월부터	3/SN+월/NNB+부터/JX
시행된	시행/NNG+되/XSV+ㄴ/ETM
허가-특허	허가/NNG+-/SO+특허/NNG
연계제도는	연계/NNG+제도/NNG+는/JX
오리지널	오리지널/NNG
약을	약/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
회사의	회사/NNG+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
복제약(제네릭)을	복제약/NNG+(/SS+제네릭/NNG+)/SS+을/JKO
먼저	먼저/MAG
개발해	개발/NNG+하/XSV+아/EC
약	약/NNG
제조사와의	제조사/NNG+와/JKB+의/JKG
특허	특허/NNG
소송에서	소송/NNG+에서/JKB
이긴	이기/VV+ㄴ/ETM
업체에도	업체/NNG+에/JKB+도/JX
독점	독점/NNG
판매권	판매/NNG+권/XSN
등의	등/NNB+의/JKG
혜택을	혜택/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.8.10.3
그만큼 R&D의 중요성이 커진 것이다.

그만큼	그만큼/MAG
R&D의	R/SL+&/SW+D/SL+의/JKG
중요성이	중요/NNG+성/XSN+이/JKS
커진	커지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.8.11.1
하지만 한국보건산업진흥원이 지난해 말 발간한 ‘2014년 제약산업 분석 보고서’에 따르면 국내 상장 제약사들의 2013년 매출액 대비 R&D 비중은 평균 7.2%에 그친다.

하지만	하지만/MAJ
한국보건산업진흥원이	한국보건산업진흥원/NNP+이/JKS
지난해	지난해/NNG
말	말/NNB
발간한	발간/NNG+하/XSV+ㄴ/ETM
‘2014년	‘/SS+2014/SN+년/NNB
제약산업	제약/NNG+산업/NNG
분석	분석/NNG
보고서’에	보고서/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
국내	국내/NNG
상장	상장/NNG
제약사들의	제약사/NNG+들/XSN+의/JKG
2013년	2013/SN+년/NNB
매출액	매출액/NNG
대비	대비/NNG
R&D	R/SL+&/SW+D/SL
비중은	비중/NNG+은/JX
평균	평균/NNG
7.2%에	7/SN+./SP+2/SN+%/SW+에/JKB
그친다.	그치/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.8.11.2
EU가 집계한 세계 1000대 기업에 포함된 제약회사 294곳 평균치(14.4%·2014년 기준)의 절반 수준이다.

EU가	EU/SL+가/JKS
집계한	집계/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
1000대	1000/SN+대/NNG
기업에	기업/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
제약회사	제약/NNG+회사/NNG
294곳	294/SN+곳/NNG
평균치(14.4%·2014년	평균/NNG+치/XSN+(/SS+14/SN+./SP+4/SN+%/SW+·/SP+2014/SN+년/NNB
기준)의	기준/NNG+)/SS+의/JKG
절반	절반/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.8.12.1
이재국 한국제약협회 커뮤니케이션실장은 “국내 업체들이 좋은 약을 확보하지 못한다면 장기적으로 경쟁력을 잃을 수 있다”며 “R&D는 국내 제약회사의 생존을 가늠하는 문제”라고 말했다.

이재국	이재국/NNP
한국제약협회	한국제약협회/NNP
커뮤니케이션실장은	커뮤니케이션실장/NNG+은/JX
“국내	“/SS+국내/NNG
업체들이	업체/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
약을	약/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못한다면	못하/VX+ㄴ다면/EC
장기적으로	장기/NNG+적/XSN+으로/JKB
경쟁력을	경쟁력/NNG+을/JKO
잃을	잃/VV+을/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“R&D는	“/SS+R/SL+&/SW+D/SL+는/JX
국내	국내/NNG
제약회사의	제약/NNG+회사/NNG+의/JKG
생존을	생존/NNG+을/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
문제”라고	문제/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


