# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.411
metadata : {}


# id : NWRW1800000026.411.1.1
'서울 4배 땅' 토지거래허가구역 풀린다;대부분 수도권 녹지 서울은 허가구역 중 4분의 1 인천·경기는 절반 풀려

'서울	'/SS+서울/NNP
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.411.5.1
국토부는 수도권 녹지·비도시지역은 개발·보상이 끝난 지역과 국·공유지, 규제가 중첩된 지역, 휴전선 접경지역 등을 중심으로 풀었다고 밝혔다.

국토부는	국토부/NNG+는/JX
수도권	수도/NNG+권/XSN
녹지·비도시지역은	녹지/NNG+·/SP+비/XPN+도시/NNG+지역/NNG+은/JX
개발·보상이	개발/NNG+·/SP+보상/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
지역과	지역/NNG+과/JC
국·공유지,	국·공유지/NNG+,/SP
규제가	규제/NNG+가/JKS
중첩된	중첩/NNG+되/XSV+ㄴ/ETM
지역,	지역/NNG+,/SP
휴전선	휴전선/NNG
접경지역	접경/NNG+지역/NNG
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
풀었다고	풀/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.411.5.2
국토부 관계자는 "개발 사업 등으로 해당 지자체가 땅값 불안이나 투기 우려가 있다고 판단한 곳은 대상에서 제외했다"고 말했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
"개발	"/SS+개발/NNG
사업	사업/NNG
등으로	등/NNB+으로/JKB
해당	해당/NNG
지자체가	지자체/NNG+가/JKS
땅값	땅값/NNG
불안이나	불안/NNG+이나/JC
투기	투기/NNG
우려가	우려/NNG+가/JKS
있다고	있/VA+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
대상에서	대상/NNG+에서/JKB
제외했다"고	제외/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.411.5.3
도시지역의 주거·상업·공업지역이 규제 해제 대상에서 제외됐다.

도시지역의	도시/NNG+지역/NNG+의/JKG
주거·상업·공업지역이	주거/NNG+·/SP+상업/NNG+·/SP+공업/NNG+지역/NNG+이/JKS
규제	규제/NNG
해제	해제/NNG
대상에서	대상/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.411.6.1
국토부가 대규모 허가구역 해제에 나선 이유는 최근 2~3년간 땅값이 안정돼 있고, 주민 불편도 해소할 필요가 있어서다.

국토부가	국토부/NNG+가/JKS
대규모	대/XPN+규모/NNG
허가구역	허가/NNG+구역/NNG
해제에	해제/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
최근	최근/MAG
2~3년간	2/SN+~/SO+3/SN+년/NNB+간/XSN
땅값이	땅값/NNG+이/JKS
안정돼	안정/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
주민	주민/NNG
불편도	불편/NNG+도/JX
해소할	해소/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있어서다.	있/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000026.411.6.2
그린벨트는 1998년 11월, 녹지와 비도시지역은 2002년 11월에 허가구역으로 묶여 최장 10년 동안 재산권 행사가 제약됐다.

그린벨트는	그린벨트/NNG+는/JX
1998년	1998/SN+년/NNB
11월,	11/SN+월/NNB+,/SP
녹지와	녹지/NNG+와/JC
비도시지역은	비/XPN+도시/NNG+지역/NNG+은/JX
2002년	2002/SN+년/NNB
11월에	11/SN+월/NNB+에/JKB
허가구역으로	허가/NNG+구역/NNG+으로/JKB
묶여	묶이/VV+어/EC
최장	최장/NNG
10년	10/SN+년/NNB
동안	동안/NNG
재산권	재산/NNG+권/XSN
행사가	행사/NNG+가/JKS
제약됐다.	제약/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.411.6.3
땅값도 글로벌 금융위기가 터진 2008년 11월부터 줄곧 하락하거나 미미한 상승률을 기록했다.

땅값도	땅값/NNG+도/JX
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
터진	터지/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
줄곧	줄곧/MAG
하락하거나	하락/NNG+하/XSV+거나/EC
미미한	미미하/VA+ㄴ/ETM
상승률을	상승/NNG+률/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.411.7.1
그러나 일부 지방을 중심으로 부동산 시장이 과열 양상을 보이고 수도권도 침체에서 조금씩 벗어나는 상황에서 이번 해제 조치가 자칫 투기심리를 자극해 부동산 시장 불안을 부추길 수 있다는 지적도 나온다.

그러나	그러나/MAJ
일부	일부/NNG
지방을	지방/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
부동산	부동산/NNG
시장이	시장/NNG+이/JKS
과열	과열/NNG
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
수도권도	수도/NNG+권/XSN+도/JX
침체에서	침체/NNG+에서/JKB
조금씩	조금/NNG+씩/XSN
벗어나는	벗어나/VV+는/ETM
상황에서	상황/NNG+에서/JKB
이번	이번/NNG
해제	해제/NNG
조치가	조치/NNG+가/JKS
자칫	자칫/MAG
투기심리를	투기/NNG+심리/NNG+를/JKO
자극해	자극/NNG+하/XSV+아/EC
시장	시장/NNG
불안을	불안/NNG+을/JKO
부추길	부추기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.7.2
한 부동산 전문가는 "이번에 풀린 땅 대부분이 전통적으로 투기 타깃이 됐던 녹지라는 점에서 시중에 풀린 유동성이 유입되면 땅값을 자극할 가능성이 있다"고 말했다.

한	한/MMN
부동산	부동산/NNG
전문가는	전문가/NNG+는/JX
"이번에	"/SS+이번/NNG+에/JKB
풀린	풀리/VV+ㄴ/ETM
땅	땅/NNG
대부분이	대/XPN+부분/NNG+이/JKS
전통적으로	전통/NNG+적/XSN+으로/JKB
투기	투기/NNG
타깃이	타깃/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
녹지라는	녹지/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
시중에	시중/NNG+에/JKB
유동성이	유동/NNG+성/XSN+이/JKS
유입되면	유입/NNG+되/XSV+면/EC
땅값을	땅값/NNG+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


