# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.287
metadata : {}


# id : NWRW1800000036.287.1.1
‘첩첩산중’…박주영과 넘어야 할 경쟁자들

‘첩첩산중’…박주영과	‘/SS+첩첩산중/NNG+’/SS+…/SE+박주영/NNP+과/JC
아스널의	아스널/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
기대주로	기대주/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.287.5.4
최전방에서 어느 포지션이나 소화할 수 있는 멀티플레이로, 민첩한 움직임과 화려한 개인기를 겸비하고 있다.

최전방에서	최/XPN+전방/NNG+에서/JKB
어느	어느/MMD
포지션이나	포지션/NNG+이나/JX
소화할	소화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
멀티플레이로,	멀티플레이/NNG+로/JKB+,/SP
민첩한	민첩하/VA+ㄴ/ETM
움직임과	움직임/NNG+과/JC
화려한	화려하/VA+ㄴ/ETM
개인기를	개인기/NNG+를/JKO
겸비하고	겸비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.287.6.1
■ 더욱 좁아진 입지, 돌파구는 없나?

■	■/SW
더욱	더욱/MAG
좁아진	좁아지/VV+ㄴ/ETM
입지,	입지/NNG+,/SP
돌파구는	돌파구/NNG+는/JX
없나?	없/VA+나/EF+?/SF


# id : NWRW1800000036.287.6.2
포지션 경쟁자들의 눈부신 활약, 새 경쟁자의 출현으로 박주영의 입지는 더욱 좁아진 셈이 됐다.

포지션	포지션/NNG
경쟁자들의	경쟁자/NNG+들/XSN+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
활약,	활약/NNG+,/SP
새	새/MMA
경쟁자의	경쟁자/NNG+의/JKG
출현으로	출현/NNG+으로/JKB
박주영의	박주영/NNP+의/JKG
입지는	입지/NNG+는/JX
더욱	더욱/MAG
좁아진	좁아지/VV+ㄴ/ETM
셈이	셈/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.287.6.3
게다가 아프리카 네이션스컵에 차출된 마루앙 샤마크(28·모로코)와 제르비뉴(25·코트디부아르)가 복귀하면 더욱 그렇게 된다.

게다가	게다가/MAG
아프리카	아프리카/NNP
네이션스컵에	네이션스/NNG+컵/NNG+에/JKB
차출된	차출/NNG+되/XSV+ㄴ/ETM
마루앙	마루앙/NNP
샤마크(28·모로코)와	샤마크/NNP+(/SS+28/SN+·/SP+모로코/NNP+)/SS+와/JC
제르비뉴(25·코트디부아르)가	제르비뉴/NNP+(/SS+25/SN+·/SP+코트디부아르/NNP+)/SS+가/JKS
복귀하면	복귀/NNG+하/XSV+면/EC
더욱	더욱/MAG
그렇게	그렇/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.287.6.4
이쯤되면 돌파구는 없어 보인다.

이쯤되면	이쯤/MAG+되/XSV+면/EC
돌파구는	돌파구/NNG+는/JX
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.287.6.5
만 27살을 맞은 박주영의 나이를 감안하면 어쩌면 이적까지 심각하게 고려해봐야 할지도 모른다.

만	만/MMA
27살을	27/SN+살/NNB+을/JKO
맞은	맞/VV+은/ETM
박주영의	박주영/NNP+의/JKG
나이를	나이/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
어쩌면	어쩌면/MAG
이적까지	이적/NNG+까지/JX
심각하게	심각하/VA+게/EC
고려해봐야	고려/NNG+하/XSV+아/EC+보/VX+아야/EC
할지도	하/VX+ㄹ지/EC+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.287.6.6
벵거 감독은 블랙번과의 경기에서 팀이 6-1로 크게 앞서고 있는데도 페르시를 빼지 않았고, 박주영에게 전혀 출장기회를 주지 않았다.

벵거	벵거/NNP
감독은	감독/NNG+은/JX
블랙번과의	블랙번/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
팀이	팀/NNG+이/JKS
6-1로	6/SN+-/SO+1/SN+로/JKB
크게	크/VA+게/EC
앞서고	앞서/VV+고/EC
있는데도	있/VX+는데/EC+도/JX
페르시를	페르시/NNP+를/JKO
빼지	빼/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
박주영에게	박주영/NNP+에게/JKB
전혀	전혀/MAG
출장기회를	출장/NNG+기회/NNG+를/JKO
주지	주/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.287.7.1
아스널은 이날 페르시와 챔벌레인, 오른쪽 날개 시오 월콧(3도움)의 눈부신 활약으로 7-1 대승을 거두고 새해 정규리그 1무3패의 부진에서 벗어났다.

아스널은	아스널/NNP+은/JX
이날	이날/NNG
페르시와	페르시/NNP+와/JC
챔벌레인,	챔벌레인/NNP+,/SP
오른쪽	오른쪽/NNG
날개	날개/NNG
시오	시오/NNP
월콧(3도움)의	월콧/NNP+(/SS+3/SN+도움/NNG+)/SS+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
활약으로	활약/NNG+으로/JKB
7-1	7/SN+-/SO+1/SN
대승을	대승/NNG+을/JKO
거두고	거두/VV+고/EC
새해	새해/NNG
정규리그	정규/NNG+리그/NNG
1무3패의	1/SN+무/NNB+3/SN+패/NNB+의/JKG
부진에서	부진/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.287.7.2
4위 첼시(12승6무5패 승점 42)에 이어 5위(12승4무8패 승점 40)를 달렸다.

4위	4/SN+위/NNB
첼시(12승6무5패	첼시/NNP+(/SS+12/SN+승/NNB+6/SN+무/NNB+5/SN+패/NNB
승점	승점/NNG
42)에	42/SN+)/SS+에/JKB
이어	잇/VV+어/EC
5위(12승4무8패	5/SN+위/NNB+(/SS+12/SN+승/NNB+4/SN+무/NNB+8/SN+패/NNB
40)를	40/SN+)/SS+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.287.8.1
한편, 선덜랜드는 눈이 내린 가운데 열린 스토크시티와의 원정 경기에서 1-0 승리를 거두고 최근 3연승을 거뒀다.

한편,	한편/MAG+,/SP
선덜랜드는	선덜랜드/NNP+는/JX
눈이	눈/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
스토크시티와의	스토크시티/NNP+와/JKB+의/JKG
원정	원정/NNG
경기에서	경기/NNG+에서/JKB
1-0	1/SN+-/SO+0/SN
승리를	승리/NNG+를/JKO
거두고	거두/VV+고/EC
최근	최근/NNG
3연승을	3/SN+연승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.287.8.2
지동원은 교체 명단에 포함됐지만 출전기회를 잡지 못했다.

지동원은	지동원/NNP+은/JX
교체	교체/NNG
명단에	명단/NNG+에/JKB
포함됐지만	포함/NNG+되/XSV+었/EP+지만/EC
출전기회를	출전/NNG+기회/NNG+를/JKO
잡지	잡/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.287.8.3
리그 8위(9승6무9패 승점 33).

리그	리그/NNG
8위(9승6무9패	8/SN+위/NNB+(/SS+9/SN+승/NNB+6/SN+무/NNB+9/SN+패/NNB
승점	승점/NNG
33).	33/SN+)/SS+./SF


# id : NWRW1800000036.287.8.4
리그 1위 맨체스터 시티는 풀럼과의 안방경기에서 3-0 승리를 거두고 홈경기 13연승을 기록했다.

리그	리그/NNG
1위	1/SN+위/NNB
맨체스터	맨체스터/NNP
시티는	시티/NNP+는/JX
풀럼과의	풀럼/NNP+과/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
3-0	3/SN+-/SO+0/SN
승리를	승리/NNG+를/JKO
거두고	거두/VV+고/EC
홈경기	홈경기/NNG
13연승을	13/SN+연승/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


