# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.248
metadata : {}


# id : NWRW1800000054.248.1.1
[행복한 기부 아너 소사이어티 10년] (5·끝) 해외서도 나눔 잇따라

[행복한	[/SS+행복/NNG+하/XSA+ㄴ/ETM
행장은	행장/NNG+은/JX
본지	본지/NNG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
'한국에	'/SS+한국/NNP+에/JKB
1억원이라는	1/SN+억/NR+원/NNB+이/VCP+라는/ETM
큰	크/VA+ㄴ/ETM
기부금을	기부금/NNG+을/JKO
선뜻	선뜻/MAG
내놓은	내놓/VV+은/ETM
이유가	이유/NNG+가/JKS
무엇인지'	무엇/NP+이/VCP+ㄴ지/EF+'/SS
묻자	묻/VV+자/EC
"한국계	"/SS+한국/NNP+계/XSN
미국인이지만	미국인/NNG+이/VCP+지만/EC
한국이	한국/NNP+이/JKS
잘돼야	잘/MAG+되/XSV+어야/EC
여기(한국	여기/NP+(/SS+한국/NNP
동포)도	동포/NNG+)/SS+도/JX
잘되기	잘/MAG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
당연히	당연히/MAG
고국의	고국/NNG+의/JKG
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
돕고	돕/VV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.5.1
김 행장은 지난 6월 사회복지공동모금회가 해외 동포를 대상으로 시작한 모금 캠페인에 1억원을 내놓으며 캠페인 1호 기부자이자 '아너 소사이어티'(1억원 이상 기부자 모임) 회원이 됐다.

김	김/NNP
행장은	행장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
사회복지공동모금회가	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+가/JKS
해외	해외/NNG
동포를	동포/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
모금	모금/NNG
캠페인에	캠페인/NNG+에/JKB
1억원을	1/SN+억/NR+원/NNB+을/JKO
내놓으며	내놓/VV+으며/EC
캠페인	캠페인/NNG
1호	1/SN+호/NNB
기부자이자	기부자/NNG+이/VCP+자/EC
'아너	'/SS+아너/NNP
소사이어티'(1억원	소사이어티/NNP+'/SS+(/SS+1/SN+억/NR+원/NNB
이상	이상/NNG
기부자	기부자/NNG
모임)	모임/NNG+)/SS
회원이	회원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.248.5.2
이 글로벌 캠페인으로 모인 성금은 한국과 동포 사회의 어려운 이웃을 위해 쓰일 예정이다.

이	이/MMD
글로벌	글로벌/NNG
캠페인으로	캠페인/NNG+으로/JKB
모인	모이/VV+ㄴ/ETM
성금은	성금/NNG+은/JX
한국과	한국/NNP+과/JC
동포	동포/NNG
사회의	사회/NNG+의/JKG
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
위해	위하/VV+아/EC
쓰일	쓰이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.248.5.3
10주년을 맞은 아너 소사이어티가 국내뿐 아니라 해외에까지 나눔을 확대하고 있는 것이다.

10주년을	10/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
아너	아너/NNP
소사이어티가	소사이어티/NNP+가/JKS
국내뿐	국내/NNG+뿐/JX
아니라	아니/VCN+라/EC
해외에까지	해외/NNG+에/JKB+까지/JX
나눔을	나누/VV+ㅁ/ETN+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.248.6.1
김 행장은 "한국과 해외 동포는 끈끈하게 연결돼 있다는 것을 굳게 믿는다"며 "내가 1982년 처음 미국 땅을 밟았을 때와 지금을 비교하면 한국인에 대한 인식이 굉장히 바뀌었고, 한국의 국격·국위가 올라 한국 동포들의 위상도 함께 올랐다"고 말했다.

김	김/NNP
행장은	행장/NNG+은/JX
"한국과	"/SS+한국/NNP+과/JC
해외	해외/NNG
동포는	동포/NNG+는/JX
끈끈하게	끈끈하/VA+게/EC
연결돼	연결/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
굳게	굳/VA+게/EC
믿는다"며	믿/VV+는다/EF+"/SS+며/EC
"내가	"/SS+내/NP+가/JKS
1982년	1982/SN+년/NNB
처음	처음/NNG
미국	미국/NNP
땅을	땅/NNG+을/JKO
밟았을	밟/VV+았/EP+을/ETM
때와	때/NNG+와/JC
지금을	지금/NNG+을/JKO
비교하면	비교/NNG+하/XSV+면/EC
한국인에	한국인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
굉장히	굉장히/MAG
바뀌었고,	바뀌/VV+었/EP+고/EC+,/SP
한국의	한국/NNP+의/JKG
국격·국위가	국격/NNG+·/SP+국위/NNG+가/JKS
올라	오르/VV+아/EC
한국	한국/NNP
동포들의	동포/NNG+들/XSN+의/JKG
위상도	위상/NNG+도/JX
함께	함께/MAG
올랐다"고	오르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.6.2
그는 "예전에 미국인들은 한국 하면 '싸구려 차'를 만드는 나라라는 이미지만 갖고 있었는데, 지금은 유엔(UN) 사무총장과 세계은행 총재를 배출하고 가수 싸이처럼 전 세계적으로 춤·노래를 유행시키는 영향력 있는 나라로 이미지가 바뀌었다. 이에 재미 한국인들 위상도 격세지감을 느낄 정도로 굉장히 높아졌다"고 했다.

그는	그/NP+는/JX
"예전에	"/SS+예전/NNG+에/JKB
미국인들은	미국인/NNG+들/XSN+은/JX
한국	한국/NNP
하면	하/VV+면/EC
'싸구려	'/SS+싸구려/NNG
차'를	차/NNG+'/SS+를/JKO
만드는	만들/VV+는/ETM
나라라는	나라/NNG+이/VCP+라는/ETM
이미지만	이미지/NNG+만/JX
갖고	갖/VV+고/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
지금은	지금/NNG+은/JX
유엔(UN)	유엔/NNP+(/SS+UN/SL+)/SS
사무총장과	사무총장/NNG+과/JC
세계은행	세계은행/NNP
총재를	총재/NNG+를/JKO
배출하고	배출/NNG+하/XSV+고/EC
가수	가수/NNG
싸이처럼	싸이/NNP+처럼/JKB
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
춤·노래를	춤/NNG+·/SP+노래/NNG+를/JKO
유행시키는	유행/NNG+시키/XSV+는/ETM
영향력	영향력/NNG
있는	있/VA+는/ETM
나라로	나라/NNG+로/JKB
이미지가	이미지/NNG+가/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF
이에	이/NP+에/JKB
재미	재미/NNG
한국인들	한국인/NNG+들/XSN
위상도	위상/NNG+도/JX
격세지감을	격세지감/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
굉장히	굉장히/MAG
높아졌다"고	높아지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.6.3
고국인 한국의 성장과 해외 동포들의 성공이 별개가 아니라 한 운명처럼 묶여 있다는 것이 김 행장 생각이다.

고국인	고국/NNG+이/VCP+ㄴ/ETM
한국의	한국/NNP+의/JKG
성장과	성장/NNG+과/JC
해외	해외/NNG
동포들의	동포/NNG+들/XSN+의/JKG
성공이	성공/NNG+이/JKS
별개가	별개/NNG+가/JKC
아니라	아니/VCN+라/EC
한	한/MMN
운명처럼	운명/NNG+처럼/JKB
묶여	묶이/VV+어/EC
있다는	있/VX+다는/ETM
것이	것/NNB+이/JKS
김	김/NNP
행장	행장/NNG
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.248.7.1
"유대인의 민족적 단결이 유명한데, 우리 해외 동포들도 이젠 무엇인가를 해야 할 때가 됐다고 생각하고 있습니다."

"유대인의	"/SS+유대인/NNP+의/JKG
민족적	민족/NNG+적/XSN
단결이	단결/NNG+이/JKS
유명한데,	유명/NNG+하/XSA+ㄴ데/EC+,/SP
우리	우리/NP
해외	해외/NNG
동포들도	동포/NNG+들/XSN+도/JX
이젠	이제/NNG+ㄴ/JX
무엇인가를	무엇/NP+이/VCP+ㄴ가/EF+를/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
생각하고	생각/NNG+하/XSV+고/EC
있습니다."	있/VX+습니다/EF+./SF+"/SS


# id : NWRW1800000054.248.7.2
김 행장은 "한 개인이 할 수 있는 일은 한계가 있지만, 여러 사람이 같은 뜻으로 일하면 큰 힘을 발휘할 수 있을 것이라 믿는다"며 "내년에는 해외에서 더 많은 사람이 기부 행렬에 동참할 것으로 기대한다"고 말했다.

김	김/NNP
행장은	행장/NNG+은/JX
"한	"/SS+한/MMN
개인이	개인/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일은	일/NNG+은/JX
한계가	한계/NNG+가/JKS
있지만,	있/VA+지만/EC+,/SP
여러	여러/MMN
사람이	사람/NNG+이/JKS
같은	같/VA+은/ETM
뜻으로	뜻/NNG+으로/JKB
일하면	일/NNG+하/XSV+면/EC
큰	크/VA+ㄴ/ETM
힘을	힘/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것이라	것/NNB+이/VCP+라/EC
믿는다"며	믿/VV+는다/EF+"/SS+며/EC
"내년에는	"/SS+내년/NNG+에/JKB+는/JX
해외에서	해외/NNG+에서/JKB
더	더/MAG
많은	많/VA+은/ETM
기부	기부/NNG
행렬에	행렬/NNG+에/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.8.1
실제로 이 해외 동포 모금 캠페인(고국사랑·동포사랑 One Heart, Two Loves)에는 지난달 3일 재미 동포 기업인 3명이 동시에 10만달러(약 1억800만원)씩을 내고 아너 회원으로 이름을 올리기도 했다.

실제로	실제로/MAG
이	이/MMD
해외	해외/NNG
동포	동포/NNG
모금	모금/NNG
캠페인(고국사랑·동포사랑	캠페인/NNG+(/SS+고국/NNG+사랑/NNG+·/SP+동포/NNG+사랑/NNG
One	One/SL
Heart,	Heart/SL+,/SP
Two	Two/SL
Loves)에는	Loves/SL+)/SS+에/JKB+는/JX
지난달	지난달/NNG
3일	3/SN+일/NNB
재미	재미/NNG
기업인	기업인/NNG
3명이	3/SN+명/NNB+이/JKS
동시에	동시/NNG+에/JKB
10만달러(약	10/SN+만/NR+달러/NNB+(/SS+약/MMA
1억800만원)씩을	1/SN+억/NR+800/SN+만/NR+원/NNB+)/SS+씩/XSN+을/JKO
내고	내/VV+고/EC
아너	아너/NNP
회원으로	회원/NNG+으로/JKB
이름을	이름/NNG+을/JKO
올리기도	올리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.248.8.2
기부 기업인은 고석화(74) 뱅크오브호프 명예회장, 이돈(64) 액티브 USA 회장, 하기환(69) 한남체인 USA 회장 등이다.

기부	기부/NNG
기업인은	기업인/NNG+은/JX
고석화(74)	고석화/NNP+(/SS+74/SN+)/SS
뱅크오브호프	뱅크오브호프/NNP
명예회장,	명예/NNG+회장/NNG+,/SP
이돈(64)	이돈/NNP+(/SS+64/SN+)/SS
액티브	액티브/NNP
USA	USA/SL
회장,	회장/NNG+,/SP
하기환(69)	하기환/NNP+(/SS+69/SN+)/SS
한남체인	한남체인/NNP
회장	회장/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.248.8.3
고 명예회장은 아너 회원 가입식에서 "인생 마지막 명함에는 이웃을 돕는 사업가로 이름을 새기고 싶다"고 했고, 이 회장은 "대한민국과 동포 사회의 밝은 미래를 열어갈 작은 힘이 되기 바란다"고 말했다.

고	고/NNP
명예회장은	명예/NNG+회장/NNG+은/JX
아너	아너/NNP
회원	회원/NNG
가입식에서	가입식/NNG+에서/JKB
"인생	"/SS+인생/NNG
마지막	마지막/NNG
명함에는	명함/NNG+에/JKB+는/JX
이웃을	이웃/NNG+을/JKO
돕는	돕/VV+는/ETM
사업가로	사업가/NNG+로/JKB
이름을	이름/NNG+을/JKO
새기고	새기/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
이	이/NNP
회장은	회장/NNG+은/JX
"대한민국과	"/SS+대한민국/NNP+과/JC
동포	동포/NNG
사회의	사회/NNG+의/JKG
밝은	밝/VA+은/ETM
미래를	미래/NNG+를/JKO
열어갈	열/VV+어/EC+가/VX+ㄹ/ETM
작은	작/VA+은/ETM
힘이	힘/NNG+이/JKC
되기	되/VV+기/ETN
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.9.1
하 회장은 "오늘의 성공이 있기까지 많은 힘이 된 동포들께 감사하는 마음으로 나눔에 동참했다. 동포 사회에서 나눔 문화가 더욱 확산되길 바란다"고 말했다.

하	하/NNP
회장은	회장/NNG+은/JX
"오늘의	"/SS+오늘/NNG+의/JKG
성공이	성공/NNG+이/JKS
있기까지	있/VA+기/ETN+까지/JX
많은	많/VA+은/ETM
힘이	힘/NNG+이/JKC
된	되/VV+ㄴ/ETM
동포들께	동포/NNG+들/XSN+께/JKB
감사하는	감사/NNG+하/XSV+는/ETM
마음으로	마음/NNG+으로/JKB
나눔에	나누/VV+ㅁ/ETN+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF
동포	동포/NNG
사회에서	사회/NNG+에서/JKB
나눔	나누/VV+ㅁ/ETN
문화가	문화/NNG+가/JKS
더욱	더욱/MAG
확산되길	확산/NNG+되/XSV+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.9.2
사회복지공동모금회는 "고국과 동포 사회의 소외된 이웃을 돕기 위한 온정이 계속 이어지길 바란다"며 "재외 동포의 나눔이 고국에 희망을 선물하고 있다"고 말했다.

사회복지공동모금회는	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+는/JX
"고국과	"/SS+고국/NNG+과/JC
동포	동포/NNG
사회의	사회/NNG+의/JKG
소외된	소외/NNG+되/XSV+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
돕기	돕/VV+기/ETN
위한	위하/VV+ㄴ/ETM
온정이	온정/NNG+이/JKS
계속	계속/MAG
이어지길	이어지/VV+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
"재외	"/SS+재외/NNG
동포의	동포/NNG+의/JKG
나눔이	나누/VV+ㅁ/ETN+이/JKS
고국에	고국/NNG+에/JKB
희망을	희망/NNG+을/JKO
선물하고	선물/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.248.9.3
한편 김동수(70) 전 듀폰 아태지역본부 사장이 최근 공동모금회에 1억원을 전달하며 아너 소사이어티 1696번째 회원으로 가입했다.

한편	한편/MAG
김동수(70)	김동수/NNP+(/SS+70/SN+)/SS
전	전/MMD
듀폰	듀폰/NNP
아태지역본부	아태지역/NNP+본부/NNG
사장이	사장/NNG+이/JKS
최근	최근/MAG
공동모금회에	공동/NNG+모금회/NNG+에/JKB
1억원을	1/SN+억/NR+원/NNB+을/JKO
전달하며	전달/NNG+하/XSV+며/EC
아너	아너/NNP
소사이어티	소사이어티/NNP
1696번째	1696/SN+번/NNB+째/XSN
회원으로	회원/NNG+으로/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


