# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.236
metadata : {}


# id : NWRW1800000046.236.1.1
2:9 → 4:9 → 5:9 → 11:9 … '의지'의 두산

2:9	2/SN+:/SP+9/SN
1개와	1/SN+개/NNB+와/JC
안타	안타/NNG
3개를	3/SN+개/NNB+를/JKO
집중시켜	집중/NNG+시키/XSV+어/EC
대거	대거/MAG
6점을	6/SN+점/NNB+을/JKO
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.6.9
양의지가 8―9로 뒤진 9회 1사 1·3루에서 좌중간을 가르는 2루타를 때린 뒤 수비 실책을 틈타 3루까지 진루하는 사이에 주자 2명이 모두 홈을 밟아 10―9로 역전했다.

양의지가	양의지/NNP+가/JKS
8―9로	8/SN+―/SS+9/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
9회	9/SN+회/NNB
1사	1/SN+사/NNG
1·3루에서	1/SN+·/SP+3루/NNG+에서/JKB
좌중간을	좌중간/NNG+을/JKO
가르는	가르/VV+는/ETM
2루타를	2루타/NNG+를/JKO
때린	때리/VV+ㄴ/ETM
뒤	뒤/NNG
수비	수비/NNG
실책을	실책/NNG+을/JKO
틈타	틈타/VV+아/EC
3루까지	3루/NNG+까지/JX
진루하는	진루/NNG+하/XSV+는/ETM
사이에	사이/NNG+에/JKB
주자	주자/NNG
2명이	2/SN+명/NNB+이/JKS
모두	모두/MAG
홈을	홈/NNG+을/JKO
밟아	밟/VV+아/EC
10―9로	10/SN+―/SS+9/SN+로/JKB
역전했다.	역전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.6.10
양의지는 조상우의 폭투 때 홈을 파고들어 쐐기 득점까지 올렸다.

양의지는	양의지/NNP+는/JX
조상우의	조상우/NNP+의/JKG
폭투	폭투/NNG
때	때/NNG
홈을	홈/NNG+을/JKO
파고들어	파고들/VV+어/EC
쐐기	쐐기/NNG
득점까지	득점/NNG+까지/JX
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.11
이날 5타수 3안타 1타점 1득점을 기록한 양의지는 경기 MVP로 선정됐다.

이날	이날/NNG
5타수	5/SN+타수/NNG
3안타	3/SN+안타/NNG
1타점	1/SN+타점/NNG
1득점을	1/SN+득점/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
양의지는	양의지/NNP+는/JX
경기	경기/NNG
MVP로	MVP/SL+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.7.1
두산은 그간 포스트시즌에서 놀라운 뒷심으로 수많은 역전극을 연출했다.

두산은	두산/NNP+은/JX
그간	그/NP+간/XSN
포스트시즌에서	포스트시즌/NNG+에서/JKB
놀라운	놀랍/VA+ㄴ/ETM
뒷심으로	뒷심/NNG+으로/JKB
수많은	수많/VA+은/ETM
역전극을	역전극/NNG+을/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.7.2
그래서 별명이 '미러클 두(Miracle Doo)'.

그래서	그래서/MAJ
별명이	별명/NNG+이/JKS
'미러클	'/SS+미러클/NNG
두(Miracle	두/NNP+(/SS+Miracle/SL
Doo)'.	Doo/SL+)/SS+'/SS+./SF


# id : NWRW1800000046.236.7.3
두산은 이날 7점차(2―9)까지 뒤지던 경기를 잡아내면서 '가을 야구' 최다 점수 차 역전승 신기록을 세웠다.

두산은	두산/NNP+은/JX
이날	이날/NNG
7점차(2―9)까지	7/SN+점/NNB+차/NNG+(/SS+2/SN+―/SS+9/SN+)/SS+까지/JX
뒤지던	뒤지/VV+던/ETM
경기를	경기/NNG+를/JKO
잡아내면서	잡아내/VV+면서/EC
'가을	'/SS+가을/NNG
야구'	야구/NNG+'/SS
최다	최다/NNG
점수	점수/NNG
차	차/NNG
역전승	역전승/NNG
신기록을	신/XPN+기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.7.4
종전 기록은 두산이 2001년 한국시리즈 4차전에서 삼성을 상대로 기록한 6점차 역전승(18대11 승)이었다.

종전	종전/NNG
기록은	기록/NNG+은/JX
두산이	두산/NNP+이/JKS
2001년	2001/SN+년/NNB
한국시리즈	한국/NNP+시리즈/NNG
4차전에서	4/SN+차전/NNB+에서/JKB
삼성을	삼성/NNP+을/JKO
상대로	상대/NNG+로/JKB
기록한	기록/NNG+하/XSV+ㄴ/ETM
6점차	6/SN+점/NNB+차/NNG
역전승(18대11	역전승/NNG+(/SS+18/SN+대/NNB+11/SN
승)이었다.	승/NNG+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.236.8.1
◇기적의 드라마를 완성한 이현승

◇기적의	◇/SW+기적/NNG+의/JKG
드라마를	드라마/NNG+를/JKO
완성한	완성/NNG+하/XSV+ㄴ/ETM
이현승	이현승/NNP


# id : NWRW1800000046.236.9.1
두산의 마무리 이현승은 9회말 등판해 1이닝을 삼자 범퇴로 처리해 팀 승리를 지켰다.

두산의	두산/NNP+의/JKG
마무리	마무리/NNG
이현승은	이현승/NNP+은/JX
9회말	9/SN+회/NNB+말/NNB
등판해	등판/NNG+하/XSV+아/EC
1이닝을	1/SN+이닝/NNG+을/JKO
삼자	삼자/NNG
범퇴로	범퇴/NNG+로/JKB
처리해	처리/NNG+하/XSV+아/EC
팀	팀/NNG
승리를	승리/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.9.2
이현승은 이번 시리즈에서 1승2세이브(3경기 3이닝 무실점)를 올리면서 두산의 뒷문을 든든하게 지켰다.

이현승은	이현승/NNP+은/JX
이번	이번/NNG
시리즈에서	시리즈/NNG+에서/JKB
1승2세이브(3경기	1/SN+승/NNB+2/SN+세이브/NNG+(/SS+3/SN+경기/NNG
3이닝	3/SN+이닝/NNG
무실점)를	무/XPN+실점/NNG+)/SS+를/JKO
올리면서	올리/VV+면서/EC
두산의	두산/NNP+의/JKG
뒷문을	뒷문/NNG+을/JKO
든든하게	든든하/VA+게/EC
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.9.3
그는 준플레이오프 MVP(최우수선수)로 뽑혔다.

그는	그/NP+는/JX
준플레이오프	준/XPN+플레이오프/NNG
MVP(최우수선수)로	MVP/SL+(/SS+최/XPN+우수/NNG+선수/NNG+)/SS+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.9.4
이현승은 "사실 9회 시작할 때만 해도 '5차전을 준비해야지'하는 마음이었다"며 "그런데 기적이 일어났다"고 소감을 밝혔다.

이현승은	이현승/NNP+은/JX
"사실	"/SS+사실/MAG
9회	9/SN+회/NNB
시작할	시작/NNG+하/XSV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
'5차전을	'/SS+5/SN+차전/NNB+을/JKO
준비해야지'하는	준비/NNG+하/XSV+아야지/EF+'/SS+하/VV+는/ETM
마음이었다"며	마음/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"그런데	"/SS+그런데/MAJ
기적이	기적/NNG+이/JKS
일어났다"고	일어나/VV+았/EP+다/EF+"/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.10.1
두산 김태형 감독은 "경기를 뒤집는 건 생각도 못했다. 힘든 경기를 역전한 선수 모두가 MVP"라면서 "플레이오프 시작까지 전력을 재정비해 마지막 무대인 한국시리즈까지 도전하겠다"고 말했다.

두산	두산/NNP
김태형	김태형/NNP
감독은	감독/NNG+은/JX
"경기를	"/SS+경기/NNG+를/JKO
뒤집는	뒤집/VV+는/ETM
건	거/NNB+ㄴ/JX
생각도	생각/NNG+도/JX
못했다.	못하/VX+았/EP+다/EF+./SF
힘든	힘들/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
역전한	역전/NNG+하/XSV+ㄴ/ETM
선수	선수/NNG
모두가	모두/NNG+가/JKS
MVP"라면서	MVP/SL+"/SS+이/VCP+라면서/EC
"플레이오프	"/SS+플레이오프/NNG
시작까지	시작/NNG+까지/JX
전력을	전력/NNG+을/JKO
재정비해	재/XPN+정비/NNG+하/XSV+아/EC
마지막	마지막/NNG
무대인	무대/NNG+이/VCP+ㄴ/ETM
한국시리즈까지	한국/NNP+시리즈/NNG+까지/JX
도전하겠다"고	도전/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.11.1
가을 야구 기록실

가을	가을/NNG
야구	야구/NNG
기록실	기록실/NNG


# id : NWRW1800000046.236.12.1
▲두산의 7점차(2—9) 뒤집기는 포스트시즌 역대 최다 점수차 역전승

▲두산의	▲/SW+두산/NNP+의/JKG
7점차(2—9)	7/SN+점/NNB+차/NNG+(/SS+2/SN+—/SS+9/SN+)/SS
뒤집기는	뒤집기/NNG+는/JX
포스트시즌	포스트시즌/NNG
역대	역대/NNG
최다	최다/NNG
점수차	점수/NNG+차/NNG
역전승	역전승/NNG


# id : NWRW1800000046.236.13.1
▲김재호(두산), 준PO 한 경기 최다안타(4개) 타이

▲김재호(두산),	▲/SW+김재호/NNP+(/SS+두산/NNP+)/SS+,/SP
준PO	준/XPN+PO/SL
한	한/MMN
경기	경기/NNG
최다안타(4개)	최다/NNG+안타/NNG+(/SS+4/SN+개/NNB+)/SS
타이	타이/NNG


# id : NWRW1800000046.236.14.1
▲박동원(넥센), 준PO 한 경기 2루타(2개) 타이

▲박동원(넥센),	▲/SW+박동원/NNP+(/SS+넥센/NNP+)/SS+,/SP
준PO	준/XPN+PO/SL
한	한/MMN
경기	경기/NNG
2루타(2개)	2루타/NNG+(/SS+2/SN+개/NNB+)/SS
타이	타이/NNG


