# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.184
metadata : {}


# id : NWRW1800000038.184.1.1
공참총장 "조종사 선발 때 흡연자는 원천 배제"

공참총장	공참/NNG+총장/NNG
것이	것/NNB+이/JKS
마땅하다고	마땅하/VA+다고/EC
생각했다"며	생각/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"당시	"/SS+당시/NNG
교육을	교육/NNG+을/JKO
받으면서	받/VV+으면서/EC
흡연이	흡연/NNG+이/JKS
타인이나	타인/NNG+이나/JC
공동체에	공동체/NNG+에/JKB
얼마나	얼마나/MAG
해악을	해악/NNG+을/JKO
끼치는지	끼치/VV+는지/EC
깨닫게	깨닫/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.184.7.1
흡연자를 조종사 선발에서 제외하는 조치에 대해 사회 일각에선 직업 선택의 자유를 침해하는 것이라는 지적이 나온다.

흡연자를	흡연자/NNG+를/JKO
조종사	조종사/NNG
선발에서	선발/NNG+에서/JKB
제외하는	제외/NNG+하/XSV+는/ETM
조치에	조치/NNG+에/JKB
대해	대하/VV+아/EC
사회	사회/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
직업	직업/NNG
선택의	선택/NNG+의/JKG
자유를	자유/NNG+를/JKO
침해하는	침해/NNG+하/XSV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.184.7.2
성 총장은 "조종사들은 공중에서 음속을 넘나드는 고난도 전투 기동을 해야 한다"며 "흡연은 혈중 이산화탄소 농도를 높이기 때문에 산소량이 부족한 고공에서 비행해야 하는 조종사들에게 특히 해롭다"고 말했다.

성	성/NNP
총장은	총장/NNG+은/JX
"조종사들은	"/SS+조종사/NNG+들/XSN+은/JX
공중에서	공중/NNG+에서/JKB
음속을	음속/NNG+을/JKO
넘나드는	넘나들/VV+는/ETM
고난도	고/XPN+난도/NNG
전투	전투/NNG
기동을	기동/NNG+을/JKO
해야	하/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"흡연은	"/SS+흡연/NNG+은/JX
혈중	혈중/NNG
이산화탄소	이산화/NNG+탄소/NNG
농도를	농도/NNG+를/JKO
높이기	높이/VV+기/ETN
때문에	때문/NNB+에/JKB
산소량이	산소량/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
고공에서	고공/NNG+에서/JKB
비행해야	비행/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
조종사들에게	조종사/NNG+들/XSN+에게/JKB
특히	특히/MAG
해롭다"고	해/NNG+롭/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.184.8.1
그는 "미군의 경우 우리보다 앞서 강도 높은 금연 프로그램을 운영하고 있다"고 말했다.

그는	그/NP+는/JX
"미군의	"/SS+미군/NNG+의/JKG
경우	경우/NNG
우리보다	우리/NP+보다/JKB
앞서	앞서/MAG
강도	강도/NNG
높은	높/VA+은/ETM
금연	금연/NNG
프로그램을	프로그램/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.184.8.2
공군에 따르면, 미 공군 장병의 흡연율은 12% 수준이라고 한다.

공군에	공군/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
미	미/NNP
공군	공군/NNG
장병의	장병/NNG+의/JKG
흡연율은	흡연/NNG+율/XSN+은/JX
12%	12/SN+%/SW
수준이라고	수준/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.184.8.3
한국 공군의 흡연율은 작년 33%였다.

한국	한국/NNP
공군의	공군/NNG+의/JKG
흡연율은	흡연/NNG+율/XSN+은/JX
작년	작년/NNG
33%였다.	33/SN+%/SW+이/VCP+었/EP+다/EF+./SF


