# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.396
metadata : {}


# id : NWRW1800000030.396.1.1
[수도권Ⅲ] 광주에 '토마토 테마마을' 만든다

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
'토마루권역'으로	'/SS+토마루권역/NNP+'/SS+으로/JKB
개발한다"고	개발/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.396.4.1
토마루권역은 ▲마을경관 개선사업(둘레길 및 탐방로 조성, 토마토 조형물, 경관수목식재 등) ▲생활환경 정비사업(농산물집하장 등에 태양에너지시설 설치, 종합복지센터 건립 등) ▲주민소득 확충사업(다목적창고 리모델링, 도로변 판매장 리모델링, 공동육묘장 및 토마토 가공시설 설치 등) ▲농촌정주 지원사업(빈집 정비, 쾌적한 주거환경 조성 등) 등 토마토를 테마로 4개 분야에서 총 16개의 사업이 추진된다.

토마루권역은	토마루권역/NNP+은/JX
▲마을경관	▲/SW+마을/NNG+경관/NNG
개선사업(둘레길	개선/NNG+사업/NNG+(/SS+둘레/NNG+길/NNG
및	및/MAG
탐방로	탐방로/NNG
조성,	조성/NNG+,/SP
토마토	토마토/NNG
조형물,	조형물/NNG+,/SP
경관수목식재	경관/NNG+수목/NNG+식재/NNG
등)	등/NNB+)/SS
▲생활환경	▲/SW+생활/NNG+환경/NNG
정비사업(농산물집하장	정비/NNG+사업/NNG+(/SS+농산물/NNG+집하장/NNG
등에	등/NNB+에/JKB
태양에너지시설	태양/NNG+에너지/NNG+시설/NNG
설치,	설치/NNG+,/SP
종합복지센터	종합/NNG+복지/NNG+센터/NNG
건립	건립/NNG
▲주민소득	▲/SW+주민/NNG+소득/NNG
확충사업(다목적창고	확충/NNG+사업/NNG+(/SS+다목적/NNG+창고/NNG
리모델링,	리모델링/NNG+,/SP
도로변	도로변/NNG
판매장	판매장/NNG
공동육묘장	공동/NNG+육묘장/NNG
가공시설	가공/NNG+시설/NNG
설치	설치/NNG
▲농촌정주	▲/SW+농촌/NNG+정주/NNG
지원사업(빈집	지원/NNG+사업/NNG+(/SS+빈집/NNG
정비,	정비/NNG+,/SP
쾌적한	쾌적하/VA+ㄴ/ETM
주거환경	주거/NNG+환경/NNG
조성	조성/NNG
등	등/NNB
토마토를	토마토/NNG+를/JKO
테마로	테마/NNG+로/JKB
4개	4/SN+개/NNB
분야에서	분야/NNG+에서/JKB
총	총/MMA
16개의	16/SN+개/NNB+의/JKG
사업이	사업/NNG+이/JKS
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.396.5.1
시는 우선 오는 2013년까지 1단계로 농산물 공동구판장 및 농산물 창고 신설, 농산물 판매장 보수, 마을 상징물 설치, 친환경 토마토 공동작업소 설치를 통해 지역소득 증대에 나설 계획이다.

시는	시/NNG+는/JX
우선	우선/MAG
오는	오/VV+는/ETM
2013년까지	2013/SN+년/NNB+까지/JX
1단계로	1/SN+단계/NNG+로/JKB
농산물	농산물/NNG
공동구판장	공동/NNG+구판장/NNG
및	및/MAG
창고	창고/NNG
신설,	신설/NNG+,/SP
판매장	판매장/NNG
보수,	보수/NNG+,/SP
마을	마을/NNG
상징물	상징물/NNG
설치,	설치/NNG+,/SP
친환경	친/XPN+환경/NNG
토마토	토마토/NNG
공동작업소	공동/NNG+작업소/NNG
설치를	설치/NNG+를/JKO
통해	통하/VV+아/EC
지역소득	지역/NNG+소득/NNG
증대에	증대/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.396.5.2
또 토마루 마을회관 등을 조성해 생활기반을 확충하고 담장가꾸기, 경관형성계획 등으로 지역경관도 개선할 예정이다.

또	또/MAG
토마루	토마루/NNP
마을회관	마을/NNG+회관/NNG
등을	등/NNB+을/JKO
조성해	조성/NNG+하/XSV+아/EC
생활기반을	생활/NNG+기반/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
담장가꾸기,	담장/NNG+가꾸/VV+기/ETN+,/SP
경관형성계획	경관/NNG+형성/NNG+계획/NNG
등으로	등/NNB+으로/JKB
지역경관도	지역/NNG+경관/NNG+도/JX
개선할	개선/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.396.5.3
2014년부터 2015년까지는 2단계 사업을 통해 공동육묘장을 마련하고 농로길 정비 및 마을쉼터, 마을안내도 등을 설치하게 된다.

2014년부터	2014/SN+년/NNB+부터/JX
2015년까지는	2015/SN+년/NNB+까지/JX+는/JX
2단계	2/SN+단계/NNG
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
공동육묘장을	공동/NNG+육묘장/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
농로길	농로/NNG+길/NNG
정비	정비/NNG
및	및/MAG
마을쉼터,	마을/NNG+쉼터/NNG+,/SP
마을안내도	마을/NNG+안내도/NNG
등을	등/NNB+을/JKO
설치하게	설치/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.396.6.1
조억동 광주시장은 "토마루권역 개발이 완료되면 퇴촌면 토마토축제 행사장을 비롯해 생태습지공원, 경기도자박물관, 남한산성, 팔당호를 연계하는 관광벨트가 구축될 것으로 전망된다"고 전했다.

조억동	조억동/NNP
광주시장은	광주시장/NNG+은/JX
"토마루권역	"/SS+토마루권역/NNP
개발이	개발/NNG+이/JKS
완료되면	완료/NNG+되/XSV+면/EC
퇴촌면	퇴촌면/NNP
토마토축제	토마토/NNG+축제/NNG
행사장을	행사장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
생태습지공원,	생태/NNG+습지/NNG+공원/NNG+,/SP
경기도자박물관,	경기도자박물관/NNP+,/SP
남한산성,	남한산성/NNP+,/SP
팔당호를	팔당호/NNP+를/JKO
연계하는	연계/NNG+하/XSV+는/ETM
관광벨트가	관광/NNG+벨트/NNG+가/JKS
구축될	구축/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다"고	전망/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.396.6.2
(031)760-2872

(031)760-2872	(/SS+031/SN+)/SS+760/SN+-/SO+2872/SN


