# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.73
metadata : {}


# id : NWRW1800000044.73.1.1
북-일, 1년4개월만에 국장급 회담 ‘일본인 납치문제’ 해법 찾을까

북-일,	북-일/NNP+,/SP
토론할까는	토론/NNG+하/XSV+ㄹ까/EF+는/JX
얘기해봐야	얘기/NNG+하/XSV+아/EC+보/VX+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
여지를	여지/NNB+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.73.5.5
그동안 북한이 납치 문제는 “이미 해결됐다”는 태도를 고수했던 것과 다른 태도다.

그동안	그동안/NNG
북한이	북한/NNP+이/JKS
납치	납치/NNG
문제는	문제/NNG+는/JX
“이미	“/SS+이미/MAG
해결됐다”는	해결/NNG+되/XSV+었/EP+다/EF+”/SS+는/ETM
태도를	태도/NNG+를/JKO
고수했던	고수/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
다른	다른/MMD
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.73.6.1
일본 정부는 2008년 8월 북-일 실무자협의 때 합의됐던 ‘납치 피해자에 대한 재조사’를 북한이 받아들이게 하는 것을 1차 협상 목표로 정한 것으로 전해졌다.

일본	일본/NNP
정부는	정부/NNG+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
북-일	북-일/NNP
실무자협의	실무자/NNG+협의/NNG
때	때/NNG
합의됐던	합의/NNG+되/XSV+었/EP+던/ETM
‘납치	‘/SS+납치/NNG
피해자에	피해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재조사’를	재/XPN+조사/NNG+’/SS+를/JKO
북한이	북한/NNP+이/JKS
받아들이게	받아들이/VV+게/EC
하는	하/VX+는/ETM
것을	것/NNB+을/JKO
1차	1/SN+차/NNB
협상	협상/NNG
목표로	목표/NNG+로/JKB
정한	정하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.73.6.2
북한은 일본이 2006년부터 시행중인 대북 수출입 전면 금지 등 경제 제재를 어디까지 완화할지를 계산해가며 최종 결단을 내릴 것으로 보인다.

북한은	북한/NNP+은/JX
일본이	일본/NNP+이/JKS
2006년부터	2006/SN+년/NNB+부터/JX
시행중인	시행/NNG+중/NNB+이/VCP+ㄴ/ETM
대북	대북/NNG
수출입	수출입/NNG
전면	전면/NNG
금지	금지/NNG
등	등/NNB
경제	경제/NNG
제재를	제재/NNG+를/JKO
어디까지	어디/NP+까지/JX
완화할지를	완화/NNG+하/XSV+ㄹ지/EF+를/JKO
계산해가며	계산/NNG+하/XSV+아/EC+가/VX+며/EC
최종	최종/NNG
결단을	결단/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


