# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.141
metadata : {}


# id : NWRW1800000056.141.1.1
“아버지에 불효한 회한 비로소 사그라든다”

“아버지에	“/SS+아버지/NNG+에/JKB
모두	모두/MAG
1274점이	1274/SN+점/NNB+이/JKS
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.141.7.1
개관식에 이어 마련된 기자간담회에서 조정래 작가는 “김제 아리랑문학관과 벌교 태백산맥문학관에 이어 저로서는 벌써 세번째 문학관이다.

개관식에	개관식/NNG+에/JKB
이어	잇/VV+어/EC
마련된	마련/NNG+되/XSV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
조정래	조정래/NNP
작가는	작가/NNG+는/JX
“김제	“/SS+김제/NNP
아리랑문학관과	아리랑문학관/NNP+과/JC
벌교	벌교/NNP
태백산맥문학관에	태백산맥문학관/NNP+에/JKB
저로서는	저/NP+로서/JKB+는/JX
벌써	벌써/MAG
세번째	세/MMN+번/NNB+째/XSN
문학관이다.	문학관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.141.7.2
또 강원도 평창 월정사의 자연명상마을 촌장도 맡고 있다.

또	또/MAG
강원도	강원도/NNP
평창	평창/NNP
월정사의	월정사/NNP+의/JKG
자연명상마을	자연명상마을/NNP
촌장도	촌장/NNG+도/JX
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.141.7.3
국민에게 국가란 무엇인가를 주제로 한 다음 소설 ‘천년의 질문’(가제)을 2019년 6월 출간한 뒤 매달 마지막 주에는 김제와 벌교, 고흥과 평창에 이틀씩 머물며 독자를 만날 것이라는 약속을 드린다”고 말했다.

국민에게	국민/NNG+에게/JKB
국가란	국가/NNG+란/JX
무엇인가를	무엇/NP+이/VCP+ㄴ가/EF+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
다음	다음/NNG
소설	소설/NNG
‘천년의	‘/SS+천년/NNG+의/JKG
질문’(가제)을	질문/NNG+’/SS+(/SS+가제/NNG+)/SS+을/JKO
2019년	2019/SN+년/NNB
6월	6/SN+월/NNB
출간한	출간/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
매달	매달/MAG
마지막	마지막/NNG
주에는	주/NNG+에/JKB+는/JX
김제와	김제/NNP+와/JC
벌교,	벌교/NNP+,/SP
고흥과	고흥/NNP+과/JC
평창에	평창/NNP+에/JKB
이틀씩	이틀/NNG+씩/XSN
머물며	머물/VV+며/EC
독자를	독자/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
약속을	약속/NNG+을/JKO
드린다”고	드리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.141.8.1
이날 개관식 축사에서 소설가 김훈은 조종현의 동시 ‘욕심쟁이’와 시 ‘영하18도’를 낭독하며 “조종현 선생의 문학은 인간의 생명의 아름다움과 힘에 대한 예찬, 그리고 그것을 위협하는 사회 구조에 대한 저항으로 일관된다”며 “조종현 선생의 작품을 읽다 보니 <태백산맥>의 씨앗이 여기 있구나 싶어 깜짝 놀랐다”고 말했다.

이날	이날/NNG
개관식	개관식/NNG
축사에서	축사/NNG+에서/JKB
소설가	소설가/NNG
김훈은	김훈/NNP+은/JX
조종현의	조종현/NNP+의/JKG
동시	동시/NNG
‘욕심쟁이’와	‘/SS+욕심쟁이/NNP+’/SS+와/JC
시	시/NNG
‘영하18도’를	‘/SS+영하18도/NNP+’/SS+를/JKO
낭독하며	낭독/NNG+하/XSV+며/EC
“조종현	“/SS+조종현/NNP
선생의	선생/NNG+의/JKG
문학은	문학/NNG+은/JX
인간의	인간/NNG+의/JKG
생명의	생명/NNG+의/JKG
아름다움과	아름다움/NNG+과/JC
힘에	힘/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예찬,	예찬/NNG+,/SP
그리고	그리고/MAJ
그것을	그것/NP+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
사회	사회/NNG
구조에	구조/NNG+에/JKB
저항으로	저항/NNG+으로/JKB
일관된다”며	일관/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
작품을	작품/NNG+을/JKO
읽다	읽/VV+다/EC
보니	보/VX+니/EC
<태백산맥>의	</SS+태백산맥/NNP+>/SS+의/JKG
씨앗이	씨앗/NNG+이/JKS
여기	여기/NP
있구나	있/VA+구나/EF
싶어	싶/VX+어/EC
깜짝	깜짝/MAG
놀랐다”고	놀라/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.141.8.2
그는 또 “조종현 선생의 이런 문학관은 자부인 김초혜 시인의 시 세계로도 연면히 계승돼 내려온다”며 “김초혜 시인이 문학관으로 들어서는 모습을 보니 김 시인이 조씨 가문에 새롭게 시집 오는 느낌이 들더라”라며 웃었다.

그는	그/NP+는/JX
또	또/MAG
“조종현	“/SS+조종현/NNP
선생의	선생/NNG+의/JKG
이런	이런/MMD
문학관은	문학관/NNG+은/JX
자부인	자부/NNG+이/VCP+ㄴ/ETM
김초혜	김초혜/NNP
시인의	시인/NNG+의/JKG
시	시/NNG
세계로도	세계/NNG+로/JKB+도/JX
연면히	연면히/MAG
계승돼	계승/NNG+되/XSV+어/EC
내려온다”며	내려오/VV+ㄴ다/EF+”/SS+며/EC
“김초혜	“/SS+김초혜/NNP
시인이	시인/NNG+이/JKS
문학관으로	문학관/NNG+으로/JKB
들어서는	들어서/VV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
김	김/NNP
조씨	조/NNP+씨/NNB
가문에	가문/NNG+에/JKB
새롭게	새롭/VA+게/EC
시집	시집/NNG
오는	오/VV+는/ETM
느낌이	느낌/NNG+이/JKS
들더라”라며	들/VV+더라/EF+”/SS+이/VCP+라며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.141.9.1
남편인 조정래 작가와 달리 개관식에서 따로 발언을 하지 않은 김초혜 시인은 해냄출판사를 통해 “나 본인에 대한 문학관은 거듭 거절했으나 아버님이 일구신 시조문학의 뜻을 기리는 고흥군에 대한 감사의 마음으로 참여했다”고 밝혔다.

남편인	남편/NNG+이/VCP+ㄴ/ETM
조정래	조정래/NNP
작가와	작가/NNG+와/JKB
달리	달리/MAG
개관식에서	개관식/NNG+에서/JKB
따로	따로/MAG
발언을	발언/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
김초혜	김초혜/NNP
시인은	시인/NNG+은/JX
해냄출판사를	해냄출판사/NNP+를/JKO
통해	통하/VV+아/EC
“나	“/SS+나/NP
본인에	본인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문학관은	문학관/NNG+은/JX
거듭	거듭/MAG
거절했으나	거절/NNG+하/XSV+았/EP+으나/EC
아버님이	아버님/NNG+이/JKS
일구신	일구/VV+시/EP+ㄴ/ETM
시조문학의	시조/NNG+문학/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
기리는	기리/VV+는/ETM
고흥군에	고흥군/NNP+에/JKB
감사의	감사/NNG+의/JKG
마음으로	마음/NNG+으로/JKB
참여했다”고	참여/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


